name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.5,118.26",2022-07-01T00:00:00,74.6,74.6,67.4,78.3,0,0,,0,0,14.5,6,196.7,1006,100,15,0,,0,5,Overcast,cloudy,remote
"37.5,118.26",2022-07-01T01:00:00,73.8,73.8,68.3,82.74,0,0,,0,0,8.3,4.3,207.2,1006,61.7,15,0,,0,5,Partially cloudy,partly-cloudy-night,remote
"37.5,118.26",2022-07-01T02:00:00,71.3,71.3,71.3,100,0.004,100,rain,0,0,20.1,0,190.4,1006.8,100,2.5,0,,0,3,"Rain, Overcast",rain,54725099999
"37.5,118.26",2022-07-01T03:00:00,73.3,73.3,68.3,84.25,0,0,,0,0,6,4,185.8,1007,97.6,15,0,,0,3,Overcast,cloudy,remote
"37.5,118.26",2022-07-01T04:00:00,73.1,73.1,68.1,84.24,0,0,,0,0,5.4,3.8,213.1,1007,68.1,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.5,118.26",2022-07-01T05:00:00,71.7,71.7,71.7,100,0,0,,0,0,20.1,0,215.3,1007.2,5,1.9,0,,0,3,Clear,clear-day,54725099999
"37.5,118.26",2022-07-01T06:00:00,74.2,74.2,67.6,79.75,0,0,,0,0,3.4,2.5,209.6,1007,35,15,54,0.2,1,3,Partially cloudy,partly-cloudy-day,remote
"37.5,118.26",2022-07-01T07:00:00,76.2,76.2,67.4,74.19,0,0,,0,0,4,4,209.6,1007,37.4,15,212,0.8,2,3,Partially cloudy,partly-cloudy-day,remote
"37.5,118.26",2022-07-01T08:00:00,76.7,76.7,73.5,89.75,0,0,,0,0,11.2,2.2,270,1008.2,5,4.3,397,1.4,4,10,Clear,clear-day,54725099999
"37.5,118.26",2022-07-01T09:00:00,80.7,83.1,67.2,63.57,0,0,,0,0,4.5,4.7,229,1008,4.9,15,582,2.1,6,10,Clear,clear-day,remote
"37.5,118.26",2022-07-01T10:00:00,83.2,85.8,66.8,57.86,0,0,,0,0,4.5,4.5,234.1,1008,1.4,15,738,2.7,7,10,Clear,clear-day,remote
