name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.5,118.26",2022-11-28T00:00:00,50.4,50.4,48.5,92.89,0,0,,0,0,10.1,4.9,7.6,1012,100,15,0,,0,10,Overcast,cloudy,remote
"37.5,118.26",2022-11-28T01:00:00,50.4,50.4,48.8,94.15,0.004,100,rain,0,0,11.4,6.5,10.9,1011,100,14.7,0,,0,10,"Rain, Overcast",rain,remote
"37.5,118.26",2022-11-28T02:00:00,50.4,50.4,49,94.78,0.004,100,rain,0,0,11.9,6.7,0.8,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.5,118.26",2022-11-28T03:00:00,50.1,50.1,48.8,95.41,0.004,100,rain,0,0,13.2,7.4,341.1,1012,100,9.2,0,,0,10,"Rain, Overcast",rain,remote
"37.5,118.26",2022-11-28T04:00:00,49.2,45.2,47.9,95.4,0.091,100,rain,0,0,16.3,9.4,328.1,1011,100,3.9,0,,0,10,"Rain, Overcast",rain,remote
"37.5,118.26",2022-11-28T05:00:00,49,45.3,47.7,95.39,0.039,100,rain,0,0,16.1,8.7,328.5,1011,100,13.4,0,,0,10,"Rain, Overcast",rain,remote
"37.5,118.26",2022-11-28T06:00:00,50.1,50.1,48.1,92.88,0.012,100,rain,0,0,16.8,9.2,3.5,1011,100,10.4,0,,0,10,"Rain, Overcast",rain,remote
"37.5,118.26",2022-11-28T07:00:00,49.7,45.9,48.1,94.13,0.031,100,rain,0,0,15.7,9.4,328.6,1012,100,6.6,0,,0,10,"Rain, Overcast",rain,remote
"37.5,118.26",2022-11-28T08:00:00,49.7,45.6,48.1,94.13,0.028,100,rain,0,0,17.4,10.3,322.4,1013,100,11.5,1,0,0,10,"Rain, Overcast",rain,remote
"37.5,118.26",2022-11-28T09:00:00,50.4,50.4,48.1,91.65,0.012,42.9,rain,0,0,17.2,9.8,353,1014,100,14.9,3,0,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-28T10:00:00,51,51,47.4,87.43,0,42.9,,0,0,17,11,2.9,1014,100,15,26,0.1,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-28T11:00:00,50.8,50.8,46.1,83.94,0,42.9,,0,0,17.7,12.3,14,1014,100,15,35,0.1,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-28T12:00:00,50.3,50.3,45.2,82.76,0,42.9,,0,0,17.7,13.2,14.8,1015,100,15,59,0.2,1,10,Overcast,cloudy,
"37.5,118.26",2022-11-28T13:00:00,49.5,44.7,43.8,80.47,0,42.9,,0,0,16.1,12.5,14.6,1015,100,15,53,0.2,1,10,Overcast,cloudy,
"37.5,118.26",2022-11-28T14:00:00,49.5,44.5,42.9,77.75,0.004,42.9,rain,0,0,17.9,13.2,7.8,1015,100,15,74,0.3,1,10,Overcast,cloudy,
"37.5,118.26",2022-11-28T15:00:00,49.2,44.6,42.5,77.72,0,4.8,,0,0,17,11.2,358,1017,100,15,29,0.1,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-28T16:00:00,48.8,44.6,42.2,77.68,0,4.8,,0,0,17.2,9.8,3.8,1017,100,15,15,0.1,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-28T17:00:00,48.8,44.7,42,77.15,0,4.8,,0,0,16.8,9.6,353.7,1018,100,15,13,0,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-28T18:00:00,48.8,45,41.6,76.09,0,4.8,,0,0,18.8,8.9,347.7,1019,100,15,0,,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-28T19:00:00,47.2,44.8,41.3,79.73,0,4.8,,0,0,9.6,5.1,343.5,1020,100,15,0,,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-28T20:00:00,47,44.1,41.3,80.28,0,4.8,,0,0,12.1,6,324.4,1020,99.4,15,0,,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-28T21:00:00,46.5,43.6,41.4,82.5,0,0,,0,0,13.9,5.8,319.2,1020,100,15,0,,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-28T22:00:00,47.6,40.9,24.7,40.48,0,0,,0,0,30.6,17.9,346.2,1021,100,15,0,,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-28T23:00:00,43.6,34.9,14.1,29.88,0,0,,0,0,36.9,21.3,350.8,1022,100,15,0,,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-29T00:00:00,42.7,33.5,13.2,29.73,0,0,,0,0,34.2,22.6,353,1023,100,15,0,,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-29T01:00:00,39.6,29.5,9,27.84,0,0,,0,0,34.7,22.4,347.7,1025,100,15,0,,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-29T02:00:00,38.2,27.7,10.8,31.92,0,0,,0,0,32,21.9,349.1,1026,0,15,0,,0,10,Clear,clear-night,
"37.5,118.26",2022-11-29T03:00:00,36.4,25.7,10.3,33.44,0,0,,0,0,30.6,20.4,351,1026,97.3,15,0,,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-29T04:00:00,35,23.7,9.8,34.56,0,0,,0,0,30,20.8,347.7,1028,32.6,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"37.5,118.26",2022-11-29T05:00:00,34.2,23.5,10.3,36.44,0,0,,0,0,28,18.1,351.9,1028,77.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"37.5,118.26",2022-11-29T06:00:00,33.3,22.6,9.9,37.17,0,0,,0,0,27.1,17,353.4,1029,0.1,15,0,,0,10,Clear,clear-night,
"37.5,118.26",2022-11-29T07:00:00,32.4,21.6,10.5,39.47,0,0,,0,0,25.7,16.8,357.6,1030,20.6,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"37.5,118.26",2022-11-29T08:00:00,32.4,22.3,10.7,39.79,0,0,,0,0,23.3,14.5,358.8,1032,92.2,15,41,0.1,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-29T09:00:00,33,22.2,9,36.22,0,0,,0,0,22.8,17,9.7,1033,3.6,15,170,0.6,2,10,Clear,clear-day,
"37.5,118.26",2022-11-29T10:00:00,33.7,22.7,8,33.52,0,0,,0,0,23,18.3,4.9,1034,6.9,15,346,1.2,3,10,Clear,clear-day,
"37.5,118.26",2022-11-29T11:00:00,34.2,23.5,6.9,31.24,0,0,,0,0,22.8,18.1,1.6,1034,100,15,456,1.6,5,10,Overcast,cloudy,
"37.5,118.26",2022-11-29T12:00:00,34.4,23.5,6.3,30.27,0,0,,0,0,23.7,18.8,353.8,1033,100,15,462,1.7,5,10,Overcast,cloudy,
"37.5,118.26",2022-11-29T13:00:00,33.7,22.1,4,27.99,0,0,,0,0,24.6,20.4,342.7,1034,97.5,15,418,1.5,4,10,Overcast,cloudy,
"37.5,118.26",2022-11-29T14:00:00,32.6,20.7,1.8,26.45,0,0,,0,0,25.5,20.6,345.5,1034,99.3,15,381,1.4,4,10,Overcast,cloudy,
"37.5,118.26",2022-11-29T15:00:00,32.3,20.4,-1.2,23.25,0,0,,0,0,25.3,19.9,339.2,1035,79,15,237,0.9,2,10,Partially cloudy,partly-cloudy-day,
"37.5,118.26",2022-11-29T16:00:00,30.3,17.6,-5.9,20.15,0,0,,0,0,25.3,20.4,329.1,1036,23,15,155,0.6,2,10,Partially cloudy,partly-cloudy-day,
"37.5,118.26",2022-11-29T17:00:00,27.2,14.1,-9.3,19.33,0,0,,0,0,26.4,18.8,329.3,1037,49.4,15,26,0.1,0,10,Partially cloudy,partly-cloudy-night,
"37.5,118.26",2022-11-29T18:00:00,26,12.5,-8.1,21.66,0,0,,0,0,27.1,18.6,329.3,1038,3.3,15,0,,0,10,Clear,clear-night,
"37.5,118.26",2022-11-29T19:00:00,24.9,11.2,-8.4,22.26,0,0,,0,0,29.1,18.3,333.7,1039,100,15,0,,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-29T20:00:00,24.9,11.7,-6.6,24.29,0,0,,0,0,26.4,17,334.9,1039,99.3,15,0,,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-29T21:00:00,24.3,11.9,-4.8,27.1,0,0,,0,0,23.5,14.8,333.1,1041,4.9,15,0,,0,10,Clear,clear-night,
"37.5,118.26",2022-11-29T22:00:00,23.8,11.7,-2.5,31,0,0,,0,0,21.9,13.6,334.4,1041,0,15,0,,0,10,Clear,clear-night,
"37.5,118.26",2022-11-29T23:00:00,22.7,11,-2.8,31.88,0,0,,0,0,20.6,12.3,327.6,1042,0,15,0,,0,10,Clear,clear-night,
"37.5,118.26",2022-11-30T00:00:00,21.6,10.3,-4.1,31.42,0,0,,0,0,19.2,11,321.4,1042,0,15,0,,0,10,Clear,clear-night,
"37.5,118.26",2022-11-30T01:00:00,21.1,9.9,-3.9,32.43,0,0,,0,0,19.2,10.5,324.5,1042,0,15,0,,0,10,Clear,clear-night,
"37.5,118.26",2022-11-30T02:00:00,20.7,9.9,-3.7,33.21,0,0,,0,0,18.6,9.8,327.7,1042,0,15,0,,0,10,Clear,clear-night,
"37.5,118.26",2022-11-30T03:00:00,20.2,9.2,-4.5,32.83,0,0,,0,0,19.9,9.8,330.6,1042,0,15,0,,0,10,Clear,clear-night,
"37.5,118.26",2022-11-30T04:00:00,19.7,8.8,-5.7,31.62,0,0,,0,0,19.7,9.4,321.1,1042,0,15,0,,0,10,Clear,clear-night,
"37.5,118.26",2022-11-30T05:00:00,18.9,6.8,-8.1,29.11,0,0,,0,0,21.7,11.2,319.5,1043,0,15,0,,0,10,Clear,clear-night,
"37.5,118.26",2022-11-30T06:00:00,19.5,5.8,-10.8,24.91,0,0,,0,0,27.1,14.5,334.3,1042,72.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"37.5,118.26",2022-11-30T07:00:00,20,7,-8.4,27.31,0,0,,0,0,24.6,13.4,337.6,1043,88.6,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"37.5,118.26",2022-11-30T08:00:00,22.2,9.6,-9.9,23.22,0,0,,0,0,24.8,13.6,334,1043,98.2,15,39,0.1,0,10,Overcast,cloudy,
"37.5,118.26",2022-11-30T09:00:00,24.2,11.1,-12,19.2,0,0,,0,0,24.2,16.1,333.3,1043,53.9,15,172,0.6,2,10,Partially cloudy,partly-cloudy-day,
"37.5,118.26",2022-11-30T10:00:00,25.8,13.6,-12.7,17.32,0,0,,0,0,20.8,15,331.8,1043,98.8,15,334,1.2,3,10,Overcast,cloudy,
"37.5,118.26",2022-11-30T11:00:00,26.7,15.2,-17.1,13.41,0,0,,0,0,20.6,14.1,326.4,1043,100,15,383,1.4,4,10,Overcast,cloudy,
"37.5,118.26",2022-11-30T12:00:00,27.2,16.4,-18.5,12.18,0,0,,0,0,19,12.8,310,1042,100,15,424,1.5,4,10,Overcast,cloudy,
"37.5,118.26",2022-11-30T13:00:00,27.8,17.3,-18,12.25,0,0,,0,0,15.7,12.3,292.1,1041,99.8,15,463,1.7,5,10,Overcast,cloudy,
