name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"38.06,118.66",2022-07-01T00:00:00,76.9,76.9,69.9,78.97,0,0,,0,0,10.5,6.5,238.3,1006,100,15,0,,0,10,Overcast,cloudy,remote
"38.06,118.66",2022-07-01T01:00:00,76.7,76.7,68.6,76.09,0,0,,0,0,8.7,5.1,262,1006,100,15,0,,0,3,Overcast,cloudy,remote
"38.06,118.66",2022-07-01T02:00:00,76.4,76.4,66.6,71.93,0,0,,0,0,8.7,5.6,210.4,1006,100,15,0,,0,3,Overcast,cloudy,remote
"38.06,118.66",2022-07-01T03:00:00,74.2,74.2,65.6,74.47,0,0,,0,0,11,6.9,180.4,1007,99.9,15,0,,0,10,Overcast,cloudy,remote
"38.06,118.66",2022-07-01T04:00:00,73.7,73.7,65,74.42,0,0,,0,0,9.6,5.6,166.8,1007,100,15,0,,0,10,Overcast,cloudy,remote
"38.06,118.66",2022-07-01T05:00:00,73.8,73.8,65.4,74.9,0,0,,0,0,8.5,5.1,175.7,1007,72.4,15,1,0,0,10,Partially cloudy,partly-cloudy-day,remote
"38.06,118.66",2022-07-01T06:00:00,74.7,74.7,66.8,76.4,0,0,,0,0,8.5,5.8,166.2,1007,5,15,59,0.2,1,3,Clear,clear-day,remote
"38.06,118.66",2022-07-01T07:00:00,77.1,77.1,67.6,72.45,0,0,,0,0,6.9,5.8,169,1008,5,15,228,0.8,2,10,Clear,clear-day,remote
"38.06,118.66",2022-07-01T08:00:00,79.6,79.6,67.2,65.86,0,0,,0,0,7.4,6.5,152.3,1008,70.4,15,416,1.5,4,10,Partially cloudy,partly-cloudy-day,remote
"38.06,118.66",2022-07-01T09:00:00,81.6,84,66.8,60.97,0,0,,0,0,6,5.8,148.9,1008,19.3,15,579,2.1,6,10,Clear,clear-day,remote
"38.06,118.66",2022-07-01T10:00:00,83.6,86,66.5,56.48,0,0,,0,0,6,5.8,142.2,1008,5,15,743,2.7,7,10,Clear,clear-day,remote
"38.06,118.66",2022-07-01T11:00:00,85.4,88.1,66.8,53.98,0,0,,0,0,6.3,6,137.5,1007,5.4,15,858,3.1,9,10,Clear,clear-day,remote
"38.06,118.66",2022-07-01T12:00:00,86.6,89.6,67.2,52.5,0.004,100,rain,0,0,7.4,5.8,136.5,1007,63.6,7.8,918,3.3,9,10,"Rain, Partially cloudy",rain,remote
"38.06,118.66",2022-07-01T13:00:00,87.9,91.2,67.6,51.07,0.024,100,rain,0,0,9.8,6.9,135.4,1007,94.8,14.4,781,2.8,8,30,"Rain, Overcast",rain,remote
"38.06,118.66",2022-07-01T14:00:00,88.6,91.8,67.2,49.3,0,0,,0,0,8.7,4.9,165.9,1006,99.9,11.5,348,1.3,3,30,Overcast,cloudy,remote
"38.06,118.66",2022-07-01T15:00:00,87.9,91,67.2,50.44,0.004,100,rain,0,0,8.9,4.3,160.8,1006,100,11.1,146,0.5,1,30,"Rain, Overcast",rain,remote
"38.06,118.66",2022-07-01T16:00:00,87.2,90.7,67.9,52.9,0.02,100,rain,0,0,5.8,4.5,135.4,1006,100,15,132,0.5,1,30,"Rain, Overcast",rain,remote
"38.06,118.66",2022-07-01T17:00:00,85.4,89.5,69.3,58.86,0.004,100,rain,0,0,8.1,7.6,121.6,1006,95.3,13.9,83,0.3,1,30,"Rain, Overcast",rain,remote
"38.06,118.66",2022-07-01T18:00:00,83.4,87.9,70.6,65.48,0.004,100,rain,0,0,8.9,8.3,106.1,1006,15.5,15,95,0.3,1,30,Rain,rain,remote
"38.06,118.66",2022-07-01T19:00:00,80.9,85.1,71.9,74.16,0.004,100,rain,0,0,10.1,9.2,94.4,1006,0.6,15,100,0.4,1,30,Rain,rain,remote
"38.06,118.66",2022-07-01T20:00:00,79.8,79.8,72.4,78.24,0,0,,0,0,8.5,6.9,90.4,1007,6.6,15,6,0,0,30,Clear,clear-night,remote
"38.06,118.66",2022-07-01T21:00:00,80,80,72.1,76.84,0,0,,0,0,7.8,6,107.7,1007,4,15,0,,0,30,Clear,clear-night,remote
"38.06,118.66",2022-07-01T22:00:00,80.1,83.9,71.5,75.01,0,0,,0,0,10.5,7.4,133.6,1007,1.2,15,0,,0,30,Clear,clear-night,remote
"38.06,118.66",2022-07-01T23:00:00,80.3,84,71.1,73.66,0,0,,0,0,10.7,6.9,156.7,1008,4.1,15,0,,0,30,Clear,clear-night,remote
"38.06,118.66",2022-07-02T00:00:00,80.3,83.7,70.4,71.88,0,0,,0,0,6.9,6,177.8,1008,4.2,15,0,,0,30,Clear,clear-night,remote
"38.06,118.66",2022-07-02T01:00:00,80,80,69.9,71.4,0,0,,0,0,4.9,4.9,209.5,1007,4.9,15,0,,0,30,Clear,clear-night,remote
"38.06,118.66",2022-07-02T02:00:00,79.1,79.1,69.2,71.76,0,0,,0,0,3.8,3.6,251.4,1007,4.7,15,0,,0,30,Clear,clear-night,remote
"38.06,118.66",2022-07-02T03:00:00,78.9,78.9,68.6,70.86,0,0,,0,0,3.8,3.6,293.2,1007,0.3,15,0,,0,10,Clear,clear-night,remote
"38.06,118.66",2022-07-02T04:00:00,78.3,78.3,68.6,72.13,0,0,,0,0,3.4,3.1,296.6,1007,3.8,15,0,,0,10,Clear,clear-night,remote
"38.06,118.66",2022-07-02T05:00:00,77.8,77.8,68.4,72.97,0,0,,0,0,4.3,4.3,319.4,1008,4.9,15,1,0,0,10,Clear,clear-day,remote
"38.06,118.66",2022-07-02T06:00:00,79.1,79.1,69.2,71.76,0,0,,0,0,4,3.4,322.1,1008,58.1,15,62,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
"38.06,118.66",2022-07-02T07:00:00,81.4,84.4,68.4,64.85,0,0,,0,0,3.8,3.6,314.6,1008,100,15,218,0.8,2,10,Overcast,cloudy,remote
"38.06,118.66",2022-07-02T08:00:00,83.2,86.4,68.3,60.8,0,0,,0,0,2.9,3.6,337.9,1008,12.8,15,355,1.3,4,30,Clear,clear-day,remote
