name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.94,118.97",2022-07-01T00:00:00,77.3,77.3,70.1,78.52,0,0,,0,0,10.3,7.6,237.4,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.94,118.97",2022-07-01T01:00:00,76.9,76.9,70.1,79.46,0,0,,0,0,8.5,6,256.3,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.94,118.97",2022-07-01T02:00:00,76.7,76.7,69.3,77.99,0,0,,0,0,8.3,6.7,206.7,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.94,118.97",2022-07-01T03:00:00,75.8,75.8,67.2,74.61,0,0,,0,0,8.3,7.4,191.1,1007,99.5,15,0,,0,3,Overcast,cloudy,remote
"37.94,118.97",2022-07-01T04:00:00,74.9,74.9,66.1,74.07,0,0,,0,0,6.3,5.1,204.8,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.94,118.97",2022-07-01T05:00:00,74.7,74.7,65.9,74.05,0,0,,0,0,6.3,5.1,197.9,1007,100,15,1,0,0,10,Overcast,cloudy,remote
"37.94,118.97",2022-07-01T06:00:00,75.5,75.5,66.1,72.75,0,0,,0,0,6.5,5.4,168.4,1007,5,15,56,0.2,1,10,Clear,clear-day,remote
"37.94,118.97",2022-07-01T07:00:00,76.7,76.7,67,71.97,0,0,,0,0,6.5,5.8,153,1008,5,15,231,0.8,2,3,Clear,clear-day,remote
"37.94,118.97",2022-07-01T08:00:00,77.8,77.8,67.2,69.87,0,0,,0,0,6.3,6.3,142.5,1008,80.7,15,418,1.5,4,10,Partially cloudy,partly-cloudy-day,remote
"37.94,118.97",2022-07-01T09:00:00,78.7,78.7,67.7,69.11,0,0,,0,0,6,6.9,134.7,1008,19.5,15,581,2.1,6,10,Clear,clear-day,remote
"37.94,118.97",2022-07-01T10:00:00,79.4,79.4,67.7,67.49,0,0,,0,0,5.8,6.9,131.8,1008,5,15,744,2.7,7,10,Clear,clear-day,remote
"37.94,118.97",2022-07-01T11:00:00,80.1,82.8,68.3,67.16,0,0,,0,0,6.7,8.1,124.2,1008,5,15,859,3.1,9,10,Clear,clear-day,remote
"37.94,118.97",2022-07-01T12:00:00,80.9,83.8,68.6,66.41,0,0,,0,0,8.1,9.4,119.3,1008,23,15,920,3.3,9,10,Partially cloudy,partly-cloudy-day,remote
"37.94,118.97",2022-07-01T13:00:00,81.2,84.4,69,66.45,0.012,100,rain,0,0,9.2,10.3,116.7,1007,18.4,15,912,3.3,9,10,Rain,rain,remote
"37.94,118.97",2022-07-01T14:00:00,81.6,85.6,70.6,69.41,0,0,rain,0,0,10.3,11,117.4,1007,54.1,9.5,853,3.1,9,30,Partially cloudy,partly-cloudy-day,remote
"37.94,118.97",2022-07-01T15:00:00,80.9,84.6,70.8,71.49,0.059,100,rain,0,0,11.2,10.5,122,1007,56.2,7.2,553,2,6,30,"Rain, Partially cloudy",rain,remote
"37.94,118.97",2022-07-01T16:00:00,81.1,85,71,71.51,0.051,100,rain,0,0,11.4,10.7,118.4,1006,96,9.1,453,1.6,5,30,"Rain, Overcast",rain,remote
"37.94,118.97",2022-07-01T17:00:00,80.1,84,72.1,76.39,0,0,,0,0,12.8,11.9,108.5,1006,100,15,148,0.5,1,30,Overcast,cloudy,remote
"37.94,118.97",2022-07-01T18:00:00,79.6,79.6,72.9,80.15,0,0,,0,0,12.8,11.6,101.6,1006,80.5,15,107,0.4,1,30,Partially cloudy,partly-cloudy-day,remote
"37.94,118.97",2022-07-01T19:00:00,78.2,78.2,72.9,84.03,0.012,100,rain,0,0,13.9,11,100.8,1006,0,15,67,0.2,1,30,Rain,rain,remote
"37.94,118.97",2022-07-01T20:00:00,78.9,78.9,73.1,82.57,0.004,100,rain,0,0,9.6,7.6,113.9,1007,9.4,15,6,0,0,60,Rain,rain,remote
"37.94,118.97",2022-07-01T21:00:00,79.2,79.2,72.9,81.1,0,0,,0,0,9.2,7.2,137.9,1007,32,15,0,,0,60,Partially cloudy,partly-cloudy-night,remote
"37.94,118.97",2022-07-01T22:00:00,79.4,79.4,72.4,79.17,0.004,100,rain,0,0,12.5,9.4,151.3,1008,5,15,0,,0,60,Rain,rain,remote
"37.94,118.97",2022-07-01T23:00:00,79.6,79.6,71.9,77.28,0,0,,0,0,12.3,8.9,165.9,1008,4.4,15,0,,0,30,Clear,clear-night,remote
"37.94,118.97",2022-07-02T00:00:00,79.6,79.6,71.7,76.81,0,0,,0,0,7.6,6.7,173,1008,7,15,0,,0,30,Clear,clear-night,remote
"37.94,118.97",2022-07-02T01:00:00,79.4,79.4,71.5,76.8,0.004,100,rain,0,0,4.7,4.5,196.8,1007,2.5,15,0,,0,30,Rain,rain,remote
"37.94,118.97",2022-07-02T02:00:00,78.5,78.5,71.3,78.62,0.004,100,rain,0,0,3.1,2.9,268.8,1007,0,15,0,,0,30,Rain,rain,remote
"37.94,118.97",2022-07-02T03:00:00,78.3,78.3,70.6,77.18,0,0,,0,0,4,4,315.2,1007,4.7,15,0,,0,30,Clear,clear-night,remote
"37.94,118.97",2022-07-02T04:00:00,78,78,70.1,76.67,0,0,,0,0,4.3,4.3,329.4,1007,0,15,0,,0,30,Clear,clear-night,remote
"37.94,118.97",2022-07-02T05:00:00,77.6,77.6,69.5,76.17,0,0,,0,0,5.4,5.4,331.8,1008,4.7,15,1,0,0,10,Clear,clear-day,remote
"37.94,118.97",2022-07-02T06:00:00,78.3,78.3,69.7,74.84,0,0,,0,0,4.3,3.8,333.9,1008,72.9,15,64,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
"37.94,118.97",2022-07-02T07:00:00,79.8,79.8,69.5,70.95,0,0,,0,0,3.4,3.1,321.5,1008,99.3,15,209,0.8,2,10,Overcast,cloudy,remote
"37.94,118.97",2022-07-02T08:00:00,80.9,84.2,69.7,68.91,0,0,,0,0,3.1,3.1,348.8,1008,27.7,15,329,1.2,3,30,Partially cloudy,partly-cloudy-day,remote
"37.94,118.97",2022-07-02T09:00:00,81.8,85.6,70.1,67.75,0,0,,0,0,3.1,4.3,35.9,1008,5,15,586,2.1,6,30,Clear,clear-day,remote
"37.94,118.97",2022-07-02T10:00:00,82.5,86.7,70.4,67,0,0,,0,0,4.3,5.1,46.3,1008,0.1,15,748,2.7,7,30,Clear,clear-day,remote
"37.94,118.97",2022-07-02T11:00:00,83.7,88.4,70.6,64.73,0,0,,0,0,4.5,5.1,65.9,1008,0,15,860,3.1,9,30,Clear,clear-day,remote
"37.94,118.97",2022-07-02T12:00:00,84.5,89.2,70.4,62.86,0,0,,0,0,6.3,7.2,71,1008,0,15,922,3.3,9,30,Clear,clear-day,remote
"37.94,118.97",2022-07-02T13:00:00,84.3,89.5,71.3,65.19,0,0,,0,0,6.5,9.4,71.5,1007,0.1,15,929,3.3,9,30,Clear,clear-day,remote
"37.94,118.97",2022-07-02T14:00:00,83.4,88.8,72.1,68.76,0,0,,0,0,7.8,9.8,58.8,1007,1.9,15,879,3.2,9,30,Clear,clear-day,remote
"37.94,118.97",2022-07-02T15:00:00,83.7,89.2,71.9,67.55,0,0,,0,0,6.5,7.8,57.8,1007,3,15,773,2.8,8,30,Clear,clear-day,remote
"37.94,118.97",2022-07-02T16:00:00,83.6,89.1,72.1,68.36,0,0,,0,0,6.7,8.5,46.6,1006,1.8,15,636,2.3,6,30,Clear,clear-day,remote
