name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.33,118.9",2022-07-01T00:00:00,73.5,73.5,65,74.87,0,0,,0,0,8.7,7.2,193.9,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.33,118.9",2022-07-01T01:00:00,73.8,73.8,65.6,75.37,0,0,,0,0,9.6,8.1,165.3,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.33,118.9",2022-07-01T02:00:00,71.9,71.9,70.4,95.23,0,0,,0,0,33.6,2.2,110,1007.2,83,3.7,0,,0,3,Partially cloudy,partly-cloudy-night,54843099999
"37.33,118.9",2022-07-01T03:00:00,73.7,73.7,68.3,83.24,0,0,,0,0,11.2,6.3,188,1007,23.8,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.33,118.9",2022-07-01T04:00:00,73.3,73.3,68.3,84.25,0,0,,0,0,11.9,7.6,180.8,1007,5,15,0,,0,3,Clear,clear-night,remote
"37.33,118.9",2022-07-01T05:00:00,71.3,71.3,71,98.79,0,0,,0,0,17.9,2.2,140,1007.4,1.9,1.9,0,,0,3,Clear,clear-day,54843099999
"37.33,118.9",2022-07-01T06:00:00,73.7,73.7,68.3,83.24,0,0,,0,0,7.8,7.2,184,1007,0.6,15,58,0.2,1,3,Clear,clear-day,remote
"37.33,118.9",2022-07-01T07:00:00,75.5,75.5,68.3,78.38,0,0,,0,0,6,6.3,183.7,1008,4.7,15,220,0.8,2,3,Clear,clear-day,remote
"37.33,118.9",2022-07-01T08:00:00,78,78,72.8,84.02,0,0,,0,0,13.4,6.7,180,1008.4,100,4.3,409,1.5,4,10,Overcast,cloudy,54843099999
"37.33,118.9",2022-07-01T09:00:00,80.1,83,69,68.83,0,0,,0,0,4.9,4.3,190.3,1008,3.5,15,564,2,6,10,Clear,clear-day,remote
"37.33,118.9",2022-07-01T10:00:00,82.1,85.6,69.2,64.94,0,0,,0,0,5.1,4,169.1,1008,0,15,741,2.7,7,10,Clear,clear-day,remote
"37.33,118.9",2022-07-01T11:00:00,86.3,93.1,72.6,63.85,0,0,,0,0,11.2,4.5,160,1008.6,5,9.9,854,3.1,9,30,Clear,clear-day,54843099999
"37.33,118.9",2022-07-01T12:00:00,85,89.4,69.7,60.28,0,0,,0,0,7.2,4.7,122.2,1007,35.4,15,913,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"37.33,118.9",2022-07-01T13:00:00,85.6,90.2,70.1,59.98,0,0,rain,0,0,7.6,4.3,120.6,1007,66.8,15,874,3.1,9,30,Partially cloudy,partly-cloudy-day,remote
"37.33,118.9",2022-07-01T14:00:00,89.9,96.2,71,53.93,0,0,,0,0,11.2,4.5,200,1006.9,75.6,18,650,2.3,7,30,Partially cloudy,partly-cloudy-day,54843099999
"37.33,118.9",2022-07-01T15:00:00,87.3,92.5,70.2,56.98,0,0,,0,0,8.3,5.6,188.4,1006,93.3,15,353,1.3,4,30,Overcast,cloudy,remote
"37.33,118.9",2022-07-01T16:00:00,87.2,92.2,70.1,56.96,0,0,,0,0,5.4,2.9,194.1,1006,67.3,15,196,0.7,2,30,Partially cloudy,partly-cloudy-day,remote
"37.33,118.9",2022-07-01T17:00:00,91.1,97.2,70.4,50.9,0,0,,0,0,11.2,4.5,260,1005.9,100,18.6,321,1.2,3,30,Overcast,cloudy,54843099999
"37.33,118.9",2022-07-01T18:00:00,85.6,90.9,71,61.85,0,0,,0,0,4.5,5.8,37.9,1006,24.5,15,28,0.1,0,30,Partially cloudy,partly-cloudy-day,remote
"37.33,118.9",2022-07-01T19:00:00,84.1,89.9,72.2,67.59,0,0,,0,0,8.3,7.8,83.5,1006,13.3,15,80,0.3,1,60,Clear,clear-day,remote
"37.33,118.9",2022-07-01T20:00:00,71.9,71.9,69,90.66,1.929,100,rain,0,0,29.1,4.5,60,1009,6.8,18.6,5,0,0,30,Rain,rain,54843099999
"37.33,118.9",2022-07-01T21:00:00,82.5,88,72.8,72.53,0,0,,0,0,9.4,6.9,139.8,1007,0,15,0,,0,60,Clear,clear-night,remote
"37.33,118.9",2022-07-01T22:00:00,80.7,85.2,72.8,76.9,0,0,,0,0,9.8,7.2,172.5,1007,0,15,0,,0,60,Clear,clear-night,remote
"37.33,118.9",2022-07-01T23:00:00,75.8,75.8,73.7,93.03,0.591,100,rain,0,0,29.1,2.2,90,1008.1,3.8,5.6,0,,0,60,Rain,rain,54843099999
"37.33,118.9",2022-07-02T00:00:00,80,80,72.6,78.26,0.114,100,rain,0,0,13.4,9.6,187.2,1008,5.3,11.1,0,,0,30,Rain,rain,remote
"37.33,118.9",2022-07-02T01:00:00,78.9,78.9,73.5,83.57,0.024,100,rain,0,0,13.4,9.4,180.7,1008,26.7,15,0,,0,60,"Rain, Partially cloudy",rain,remote
"37.33,118.9",2022-07-02T02:00:00,76.4,76.4,72.2,87.05,0,0,,0,0,29.1,4.5,150,1008.5,0,12.4,0,,0,60,Clear,clear-night,54843099999
"37.33,118.9",2022-07-02T03:00:00,77.4,77.4,73.3,87.1,0,0,,0,0,9.8,8.1,181.5,1007,1,15,0,,0,60,Clear,clear-night,remote
"37.33,118.9",2022-07-02T04:00:00,77.3,77.3,72.4,85.01,0.067,100,rain,0,0,7.6,6.5,207.4,1007,5,15,0,,0,30,Rain,rain,remote
"37.33,118.9",2022-07-02T05:00:00,74,74,71,90.19,0,0,,0,0,29.1,2.2,170,1008.6,8.8,9.9,0,,0,30,Clear,clear-day,54843099999
"37.33,118.9",2022-07-02T06:00:00,79.1,79.1,72.4,80.11,0,0,,0,0,2,1.3,211.1,1008,36.1,15,56,0.2,1,30,Partially cloudy,partly-cloudy-day,remote
"37.33,118.9",2022-07-02T07:00:00,80.5,84.6,72.1,75.5,0,0,,0,0,1.3,0.4,64.2,1008,1.4,15,214,0.8,2,30,Clear,clear-day,remote
"37.33,118.9",2022-07-02T08:00:00,79.4,79.4,72.8,80.14,0,0,,0,0,15.7,4.5,170,1009.1,0,14.9,404,1.5,4,30,Clear,clear-day,54843099999
"37.33,118.9",2022-07-02T09:00:00,82.8,88.2,72.2,70.4,0,0,,0,0,2.7,2.7,92.8,1008,0,15,585,2.1,6,60,Clear,clear-day,remote
"37.33,118.9",2022-07-02T10:00:00,84.1,89.8,72.1,67.18,0.012,100,rain,0,0,3.1,3.1,89.8,1008,0,11.7,740,2.7,7,60,Rain,rain,remote
"37.33,118.9",2022-07-02T11:00:00,86.6,93,71.9,61.6,0,0,,0,0,13.4,4.5,160,1009.1,0,18.6,853,3.1,9,60,Clear,clear-day,54843099999
"37.33,118.9",2022-07-02T12:00:00,86.8,92.7,71.3,60.14,0,0,,0,0,6,3.6,97.2,1008,0,15,916,3.3,9,30,Clear,clear-day,remote
"37.33,118.9",2022-07-02T13:00:00,88.1,94.3,71.3,57.78,0,0,,0,0,7.8,5.4,108,1007,13.8,15,922,3.3,9,30,Clear,clear-day,remote
