name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.33,118.9",2022-11-28T00:00:00,54.2,54.2,52.6,94.24,0,0,,0,0,2,1.3,83.3,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.33,118.9",2022-11-28T01:00:00,53.7,53.7,52.1,94.23,0.004,100,rain,0,0,6.3,6,312.5,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.33,118.9",2022-11-28T02:00:00,53.1,53.1,51.7,94.84,0,0,,0,0,8.1,7.4,339.2,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.33,118.9",2022-11-28T03:00:00,53.1,53.1,51.5,94.21,0,0,,0,0,5.8,5.4,316.9,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.33,118.9",2022-11-28T04:00:00,52.6,52.6,51.3,95.46,0.012,100,rain,0,0,10.5,8.3,302.6,1011,100,9.3,0,,0,10,"Rain, Overcast",rain,remote
"37.33,118.9",2022-11-28T05:00:00,52.2,52.2,51.2,96.09,0.075,100,rain,0,0,10.5,8.3,293.5,1011,100,3.5,0,,0,10,"Rain, Overcast",rain,remote
"37.33,118.9",2022-11-28T06:00:00,52.1,52.1,51.2,96.73,0.091,100,rain,0,0,6.7,5.8,298.7,1011,100,12.4,0,,0,10,"Rain, Overcast",rain,remote
"37.33,118.9",2022-11-28T07:00:00,52.1,52.1,51,96.09,0.008,100,rain,0,0,11.2,9.4,288.8,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.33,118.9",2022-11-28T08:00:00,52.1,52.1,50.8,95.45,0.02,100,rain,0,0,12.8,9.8,299.8,1012,100,10.1,2,0,0,10,"Rain, Overcast",rain,remote
"37.33,118.9",2022-11-28T09:00:00,51.9,51.9,50.8,96.09,0.039,85.7,rain,0,0,14.5,10.7,308.7,1013,100,7,5,0,0,10,"Rain, Overcast",rain,
"37.33,118.9",2022-11-28T10:00:00,51.7,51.7,50.4,95.45,0.024,85.7,rain,0,0,14.8,10.7,333.9,1013,100,14,6,0,0,10,"Rain, Overcast",rain,
"37.33,118.9",2022-11-28T11:00:00,51.9,51.9,49.5,91.7,0.004,85.7,rain,0,0,18.3,16.1,359,1013,100,15,30,0.1,0,10,"Rain, Overcast",rain,
"37.33,118.9",2022-11-28T12:00:00,51.5,51.5,48.5,89.25,0,85.7,rain,0,0,19.7,17,4.6,1014,100,15,27,0.1,0,10,"Rain, Overcast",rain,
"37.33,118.9",2022-11-28T13:00:00,50.4,50.4,46.8,87.41,0.004,85.7,rain,0,0,21.3,20.6,11.7,1014,100,15,41,0.1,0,10,"Rain, Overcast",rain,
"37.33,118.9",2022-11-28T14:00:00,49.5,43,44.9,83.85,0,85.7,rain,0,0,22.4,19.9,9.9,1014,100,15,54,0.2,1,10,"Rain, Overcast",rain,
"37.33,118.9",2022-11-28T15:00:00,49.5,43,44.1,81.59,0,19,,0,0,21.9,19.9,8.1,1015,100,15,89,0.3,1,10,Overcast,cloudy,
"37.33,118.9",2022-11-28T16:00:00,49,42.5,43.6,81.55,0,19,,0,0,22.8,18.8,0.5,1017,100,15,22,0.1,0,10,Overcast,cloudy,
"37.33,118.9",2022-11-28T17:00:00,48.5,42.2,43.1,81.51,0,19,,0,0,22.4,17,7.1,1017,100,15,2,0,0,10,Overcast,cloudy,
"37.33,118.9",2022-11-28T18:00:00,48.6,42.6,42.9,80.4,0,19,,0,0,24.4,16.3,1.6,1019,100,15,0,,0,10,Overcast,cloudy,
"37.33,118.9",2022-11-28T19:00:00,48.8,43.5,43.2,80.97,0.004,19,rain,0,0,21.3,13.6,351.3,1019,100,15,0,,0,10,Overcast,cloudy,
"37.33,118.9",2022-11-28T20:00:00,48.5,43.2,42.5,79.83,0,19,,0,0,18.8,13.2,351,1018,36.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"37.33,118.9",2022-11-28T21:00:00,47.7,42.6,41.8,79.78,0,0,,0,0,18.1,12.1,344.3,1020,97.4,15,0,,0,10,Overcast,cloudy,
"37.33,118.9",2022-11-28T22:00:00,47.4,42.1,41.6,80.3,0,0,,0,0,19.5,12.1,336.3,1020,100,15,0,,0,10,Overcast,cloudy,
