name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.8,118.5",2022-07-01T00:00:00,74.9,74.9,65.6,72.69,0,0,,0,0,11.6,5.8,228.6,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.8,118.5",2022-07-01T01:00:00,75.3,75.3,65.7,72.27,0,0,,0,0,6.5,3.4,203.5,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.8,118.5",2022-07-01T02:00:00,74.6,74.6,66.3,75.43,0,0,,0,0,13.2,6,172,1006,55,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.8,118.5",2022-07-01T03:00:00,73.8,73.8,66.8,78.73,0,0,,0,0,8.9,5.4,158.2,1007,100,15,0,,0,3,Overcast,cloudy,remote
"37.8,118.5",2022-07-01T04:00:00,73.8,73.8,67.7,81.22,0,0,,0,0,9.6,4.7,190.3,1007,29.4,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.8,118.5",2022-07-01T05:00:00,72.9,72.9,67.9,84.23,0,0,,0,0,5.4,4,219.1,1007,12.3,15,0,,0,3,Clear,clear-day,remote
"37.8,118.5",2022-07-01T06:00:00,74.2,74.2,67.7,80.24,0,0,,0,0,6.9,4.3,214.4,1007,10.4,15,59,0.2,1,3,Clear,clear-day,remote
"37.8,118.5",2022-07-01T07:00:00,76.7,76.7,66.8,71.52,0,0,,0,0,5.6,4.3,198.7,1007,11.8,15,223,0.8,2,3,Clear,clear-day,remote
"37.8,118.5",2022-07-01T08:00:00,79.2,79.2,66.8,65.82,0,0,,0,0,5.8,4.9,178.5,1008,5,15,410,1.5,4,10,Clear,clear-day,remote
"37.8,118.5",2022-07-01T09:00:00,81.4,83.9,67,61.71,0,0,,0,0,5.6,5.1,189.3,1008,5,15,590,2.1,6,10,Clear,clear-day,remote
"37.8,118.5",2022-07-01T10:00:00,83.4,85.9,66.6,57.16,0,0,,0,0,5.4,4.9,190.2,1008,5,15,743,2.7,7,10,Clear,clear-day,remote
"37.8,118.5",2022-07-01T11:00:00,85.6,88.2,66.6,53.33,0,0,,0,0,6.5,5.6,203.1,1007,5.4,15,857,3.1,9,10,Clear,clear-day,remote
"37.8,118.5",2022-07-01T12:00:00,87.3,90.2,66.8,50.67,0,0,,0,0,7.8,6.5,215.6,1007,43.8,15,920,3.3,9,10,Partially cloudy,partly-cloudy-day,remote
"37.8,118.5",2022-07-01T13:00:00,89,91.9,66.6,47.84,0,0,,0,0,8.9,7.2,222.8,1006,27.5,15,891,3.2,9,30,Partially cloudy,partly-cloudy-day,remote
"37.8,118.5",2022-07-01T14:00:00,90.1,93.3,67,46.82,0,0,,0,0,10.1,8.9,240.8,1006,31,15,872,3.1,9,30,Partially cloudy,partly-cloudy-day,remote
"37.8,118.5",2022-07-01T15:00:00,90.6,93.2,65.9,44.35,0,0,,0,0,10.5,8.9,250.3,1006,38.8,15,773,2.8,8,10,Partially cloudy,partly-cloudy-day,remote
"37.8,118.5",2022-07-01T16:00:00,90.4,92.6,65.2,43.5,0,0,,0,0,9.6,8.7,268.7,1006,88.6,15,593,2.1,6,10,Partially cloudy,partly-cloudy-day,remote
"37.8,118.5",2022-07-01T17:00:00,87.7,90.3,66.3,49.17,0,0,,0,0,9.2,8.7,287,1005,58.2,15,167,0.6,2,30,Partially cloudy,partly-cloudy-day,remote
"37.8,118.5",2022-07-01T18:00:00,87.2,89.9,66.6,50.65,0,0,,0,0,7.4,6,296.3,1006,19,15,199,0.7,2,30,Clear,clear-day,remote
"37.8,118.5",2022-07-01T19:00:00,85.4,89,68.4,57.07,0,0,,0,0,5.4,4.3,324.1,1006,14.4,15,104,0.4,1,30,Clear,clear-day,remote
"37.8,118.5",2022-07-01T20:00:00,83.4,86.5,68.1,60.08,0,0,,0,0,3.4,3.4,315,1007,0.8,15,6,0,0,30,Clear,clear-night,remote
"37.8,118.5",2022-07-01T21:00:00,82.7,85.7,68.1,61.49,0,0,,0,0,2,2,19.2,1007,0.1,15,0,,0,30,Clear,clear-night,remote
"37.8,118.5",2022-07-01T22:00:00,81.8,84.8,68.3,63.7,0,0,,0,0,3.6,3.4,100.8,1007,2.5,15,0,,0,30,Clear,clear-night,remote
"37.8,118.5",2022-07-01T23:00:00,80.9,83.9,68.8,66.82,0,0,,0,0,4.3,4,116.1,1008,14,15,0,,0,30,Clear,clear-night,remote
"37.8,118.5",2022-07-02T00:00:00,80.5,83.6,69.2,68.45,0,0,,0,0,2.7,2.2,129,1008,4.9,15,0,,0,30,Clear,clear-night,remote
"37.8,118.5",2022-07-02T01:00:00,80.3,83.3,69.2,68.85,0,0,,0,0,1.1,0.9,190.4,1007,5,15,0,,0,30,Clear,clear-night,remote
"37.8,118.5",2022-07-02T02:00:00,79.2,79.2,69,70.89,0,0,,0,0,1.3,1.3,334.6,1007,5,15,0,,0,30,Clear,clear-night,remote
"37.8,118.5",2022-07-02T03:00:00,78.9,78.9,68.6,70.86,0,0,,0,0,3.4,3.1,347.7,1007,0.3,15,0,,0,30,Clear,clear-night,remote
"37.8,118.5",2022-07-02T04:00:00,78.3,78.3,68.4,71.68,0,0,,0,0,2.5,2.2,331.4,1007,35.1,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.8,118.5",2022-07-02T05:00:00,77.8,77.8,68.3,72.52,0,0,,0,0,2.5,2.2,324.2,1008,28.2,15,0,,0,10,Partially cloudy,partly-cloudy-day,remote
"37.8,118.5",2022-07-02T06:00:00,79.2,79.2,68.6,70.02,0,0,,0,0,3.1,2.7,342.2,1008,88.7,15,57,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
"37.8,118.5",2022-07-02T07:00:00,81.4,84.3,68.1,64.05,0,0,,0,0,2.7,3.1,349.3,1008,67.3,15,205,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
"37.8,118.5",2022-07-02T08:00:00,83.7,87,68.1,59.38,0,0,,0,0,2,2.7,343.1,1008,4.3,15,388,1.4,4,30,Clear,clear-day,remote
"37.8,118.5",2022-07-02T09:00:00,86.1,89.4,67.7,54.41,0,0,,0,0,1.1,1.8,45.5,1008,0,15,593,2.1,6,10,Clear,clear-day,remote
"37.8,118.5",2022-07-02T10:00:00,88.2,91.6,67.6,50.49,0,0,,0,0,2.2,0.9,317.2,1008,0,15,749,2.7,7,10,Clear,clear-day,remote
"37.8,118.5",2022-07-02T11:00:00,90.4,94.1,67.6,47.17,0,0,,0,0,2.7,1.3,209.8,1008,0,15,863,3.1,9,30,Clear,clear-day,remote
"37.8,118.5",2022-07-02T12:00:00,91.8,95.2,66.8,43.99,0,0,,0,0,4.5,3.8,203.8,1007,0,15,928,3.3,9,30,Clear,clear-day,remote
"37.8,118.5",2022-07-02T13:00:00,93.1,96.3,66.3,41.51,0,0,,0,0,4.9,4.5,226.9,1006,0.3,15,937,3.4,9,30,Clear,clear-day,remote
"37.8,118.5",2022-07-02T14:00:00,93.6,97.1,66.5,41.08,0,0,,0,0,5.4,3.6,306.2,1006,19.3,15,890,3.2,9,30,Clear,clear-day,remote
"37.8,118.5",2022-07-02T15:00:00,94.4,97.5,65.9,39.43,0,0,,0,0,6.3,4.5,341.3,1006,18.1,15,781,2.8,8,10,Clear,clear-day,remote
"37.8,118.5",2022-07-02T16:00:00,94,98.6,67.9,42.69,0,0,,0,0,8.1,8.9,52.6,1005,33.4,15,615,2.2,6,30,Partially cloudy,partly-cloudy-day,remote
"37.8,118.5",2022-07-02T17:00:00,91.1,97.7,71,51.84,0,0,,0,0,8.3,11.6,75.3,1005,17.1,15,448,1.6,4,60,Clear,clear-day,remote
"37.8,118.5",2022-07-02T18:00:00,89.1,95.6,71.3,55.84,0,0,,0,0,10.7,11.6,83.2,1005,28,15,260,0.9,3,30,Partially cloudy,partly-cloudy-day,remote
"37.8,118.5",2022-07-02T19:00:00,86.8,93.3,72.1,61.62,0,0,,0,0,14.1,12.1,86.6,1005,100,15,97,0.3,1,30,Overcast,cloudy,remote
"37.8,118.5",2022-07-02T20:00:00,84.3,89.8,71.7,65.99,0,0,,0,0,15,10.5,89,1006,100,15,7,0,0,30,Overcast,cloudy,remote
"37.8,118.5",2022-07-02T21:00:00,83.4,88.9,72.2,69.18,0,0,,0,0,14.5,8.5,89,1006,67,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.8,118.5",2022-07-02T22:00:00,83.4,90.1,73.8,73.06,0.004,100,rain,0,0,16.3,8.9,134.2,1007,100,7.5,0,,0,60,"Rain, Overcast",rain,remote
