name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.8,118.5",2022-11-28T00:00:00,51,51,49.5,94.79,0,0,,0,0,14.1,7.8,18.8,1012,100,15,0,,0,10,Overcast,cloudy,remote
"37.8,118.5",2022-11-28T01:00:00,50.6,50.6,49.5,96.07,0.004,100,rain,0,0,11.4,6.5,354.4,1012,100,11.9,0,,0,10,"Rain, Overcast",rain,remote
"37.8,118.5",2022-11-28T02:00:00,50.8,50.8,49.7,96.07,0.008,100,rain,0,0,13.2,7.4,353.9,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.8,118.5",2022-11-28T03:00:00,51.2,51.2,50.1,96.08,0,0,,0,0,13.4,6.9,341.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.8,118.5",2022-11-28T04:00:00,51.3,51.3,50.4,96.72,0.024,100,rain,0,0,12.8,6.3,351.5,1011,100,6.4,0,,0,10,"Rain, Overcast",rain,remote
"37.8,118.5",2022-11-28T05:00:00,50.4,50.4,49,94.78,0.055,100,rain,0,0,14.5,8.7,9.4,1011,100,14.3,0,,0,10,"Rain, Overcast",rain,remote
"37.8,118.5",2022-11-28T06:00:00,50.4,50.4,49,94.78,0.008,100,rain,0,0,10.7,5.8,356.3,1011,100,11.1,0,,0,10,"Rain, Overcast",rain,remote
"37.8,118.5",2022-11-28T07:00:00,50.8,50.8,49.5,95.43,0.035,100,rain,0,0,12.3,7.6,347.8,1012,100,7.2,0,,0,10,"Rain, Overcast",rain,remote
"37.8,118.5",2022-11-28T08:00:00,50.6,50.6,49,94.15,0.031,100,rain,0,0,16.1,9.4,357.7,1012,100,10.3,1,0,0,10,"Rain, Overcast",rain,remote
"37.8,118.5",2022-11-28T09:00:00,50.8,50.8,48.3,91.04,0.012,52.4,rain,0,0,16.1,10.7,9.8,1014,100,15,4,0,0,10,"Rain, Overcast",rain,
"37.8,118.5",2022-11-28T10:00:00,50.4,50.4,46.7,86.82,0,52.4,rain,0,0,18.3,13,17.3,1014,100,15,13,0,0,10,"Rain, Overcast",rain,
