name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"34.97,117.9",2022-07-01T00:00:00,70.1,70.1,68.3,94.03,0.087,100,rain,0,0,2.2,0.7,80.7,1007,3.7,2.3,0,,0,10,Rain,rain,remote
"34.97,117.9",2022-07-01T01:00:00,70.4,70.4,68.8,94.62,0.094,100,rain,0,0,8.3,2.7,102,1007,12.1,14.8,0,,0,10,Rain,rain,remote
"34.97,117.9",2022-07-01T02:00:00,70.6,70.6,69.2,95.21,0.016,100,rain,0,0,5.6,1.8,94.7,1007,13.4,2.7,0,,0,5,Rain,rain,remote
"34.97,117.9",2022-07-01T03:00:00,70.8,70.8,69.5,95.8,0,0,,0,0,9.4,3.6,98.9,1006,8.9,15,0,,0,5,Clear,clear-night,remote
"34.97,117.9",2022-07-01T04:00:00,70.8,70.8,69.9,96.98,0.008,100,rain,0,0,6.7,3.8,79.1,1006,55.5,14.2,0,,0,5,"Rain, Partially cloudy",rain,remote
"34.97,117.9",2022-07-01T05:00:00,71.9,71.9,70.8,96.4,0,0,rain,0,0,33.6,2.2,160,1007.5,51.1,1.2,0,,0,5,Partially cloudy,partly-cloudy-day,54929099999
"34.97,117.9",2022-07-01T06:00:00,71.5,71.5,70.1,95.22,0.035,100,rain,0,0,4.9,4,49.5,1007,70,11.7,36,0.1,0,3,"Rain, Partially cloudy",rain,remote
"34.97,117.9",2022-07-01T07:00:00,73.1,73.1,71,92.96,0.024,100,rain,0,0,4,4.3,64.4,1008,79.1,15,145,0.5,1,3,"Rain, Partially cloudy",rain,remote
"34.97,117.9",2022-07-01T08:00:00,76.2,76.2,73.1,90.27,0,0,,0,0,17.9,4.5,120,1008.7,63.1,1.2,256,0.9,3,30,Partially cloudy,partly-cloudy-day,54929099999
"34.97,117.9",2022-07-01T09:00:00,78.7,78.7,72.6,81.56,0,0,,0,0,4.3,4.5,112.9,1008,49.3,15,503,1.8,5,30,Partially cloudy,partly-cloudy-day,remote
