name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"34.93,118.65",2022-11-28T00:00:00,56.6,56.6,53,87.72,0,0,,0,0,2.2,2.2,104,1011,100,15,0,,0,10,Overcast,cloudy,remote
"34.93,118.65",2022-11-28T01:00:00,56.2,56.2,52.6,87.7,0,0,,0,0,3.1,3.4,105.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"34.93,118.65",2022-11-28T02:00:00,56.6,56.6,52.8,87.14,0,0,,0,0,3.4,3.4,147,1011,100,15,0,,0,10,Overcast,cloudy,remote
"34.93,118.65",2022-11-28T03:00:00,56.7,56.7,52.8,86.58,0,0,,0,0,2,1.8,159.7,1011,100,15,0,,0,10,Overcast,cloudy,remote
"34.93,118.65",2022-11-28T04:00:00,56.9,56.9,53,86.59,0,0,,0,0,4.3,4,151.8,1010,100,15,0,,0,10,Overcast,cloudy,remote
"34.93,118.65",2022-11-28T05:00:00,56.9,56.9,53.3,87.74,0,0,,0,0,8.5,4.7,161.6,1010,80.9,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"34.93,118.65",2022-11-28T06:00:00,56.7,56.7,53.7,89.48,0.004,100,rain,0,0,1.1,0.4,157,1010,100,14.5,0,,0,10,"Rain, Overcast",rain,remote
"34.93,118.65",2022-11-28T07:00:00,56.9,56.9,54.6,91.87,0.008,100,rain,0,0,0.7,0.4,162.7,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"34.93,118.65",2022-11-28T08:00:00,57.3,57.3,54.8,91.28,0.004,100,rain,0,0,1.8,1.8,55.8,1010,100,15,7,0,0,10,"Rain, Overcast",rain,remote
"34.93,118.65",2022-11-28T09:00:00,57.5,57.5,54.9,91.29,0,100,rain,0,0,2.7,2.7,12.4,1011,100,10.4,11,0,0,10,"Rain, Overcast",rain,
"34.93,118.65",2022-11-28T10:00:00,57.5,57.5,55.8,94.32,0.024,100,rain,0,0,4.3,3.6,321.7,1011,100,5,10,0,0,10,"Rain, Overcast",rain,
"34.93,118.65",2022-11-28T11:00:00,56.7,56.7,55.8,96.8,0.094,100,rain,0,0,9.6,5.4,333.4,1012,100,5.7,6,0,0,10,"Rain, Overcast",rain,
"34.93,118.65",2022-11-28T12:00:00,56.7,56.7,55.3,94.92,0.047,100,rain,0,0,12.8,6.3,351.7,1011,100,14.8,22,0.1,0,10,"Rain, Overcast",rain,
"34.93,118.65",2022-11-28T13:00:00,57.3,57.3,54.8,91.28,0,100,rain,0,0,14.3,7.4,3,1011,100,15,43,0.2,0,10,"Rain, Overcast",rain,
"34.93,118.65",2022-11-28T14:00:00,57.3,57.3,54.4,90.09,0,100,rain,0,0,17.9,10.3,4.3,1011,100,15,39,0.1,0,10,"Rain, Overcast",rain,
"34.93,118.65",2022-11-28T15:00:00,55.3,55.3,52.1,88.83,0.004,52.4,rain,0,0,20.6,11.9,8.2,1012,100,15,15,0.1,0,10,"Rain, Overcast",rain,
"34.93,118.65",2022-11-28T16:00:00,53.1,53.1,48.3,83.52,0.004,52.4,rain,0,0,25.1,13.6,12.9,1013,93.4,15,8,0,0,10,"Rain, Overcast",rain,
"34.93,118.65",2022-11-28T17:00:00,52.4,52.4,48.1,85.18,0.004,52.4,rain,0,0,29.3,17.7,3.7,1014,100,10.3,6,0,0,10,"Rain, Overcast",rain,
"34.93,118.65",2022-11-28T18:00:00,51,51,47.4,87.43,0.012,52.4,rain,0,0,30.6,17.2,2.7,1016,100,15,0,,0,10,"Rain, Overcast",rain,
"34.93,118.65",2022-11-28T19:00:00,50.3,50.3,46.1,85.63,0.008,52.4,rain,0,0,31.1,16.6,7.1,1016,100,15,0,,0,10,"Rain, Overcast",rain,
"34.93,118.65",2022-11-28T20:00:00,49.4,43.5,44.5,83.27,0.012,52.4,rain,0,0,33.3,16.3,7.5,1017,100,15,0,,0,10,"Rain, Overcast",rain,
"34.93,118.65",2022-11-28T21:00:00,48.6,42.6,43.6,82.65,0.004,19,rain,0,0,34,16.3,15.2,1017,100,15,0,,0,10,Overcast,cloudy,
"34.93,118.65",2022-11-28T22:00:00,48.6,43,42.5,79.3,0,19,,0,0,30.4,14.8,358.9,1018,100,15,0,,0,10,Overcast,cloudy,
"34.93,118.65",2022-11-28T23:00:00,47.9,41.4,41.3,77.61,0,19,,0,0,36,17.7,9.5,1018,85.9,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"34.93,118.65",2022-11-29T00:00:00,47.9,42.3,40.2,74.43,0,19,,0,0,30,13.6,350.9,1021,100,15,0,,0,10,Overcast,cloudy,
"34.93,118.65",2022-11-29T01:00:00,48.1,42.6,39.3,71.38,0,19,,0,0,30.4,13.4,351.9,1020,100,15,0,,0,10,Overcast,cloudy,
