name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.017982,118.85675",2022-11-28T00:00:00,53.9,53.9,52.8,96.12,0,0,,0,0,2,2.2,88.3,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.017982,118.85675",2022-11-28T01:00:00,54.1,54.1,52.6,94.86,0,0,,0,0,3.8,3.8,156.4,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.017982,118.85675",2022-11-28T02:00:00,53.9,53.9,52.6,95.49,0,0,,0,0,3.8,3.6,169.6,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.017982,118.85675",2022-11-28T03:00:00,53.1,53.1,51.7,94.84,0,0,,0,0,2.2,2,200.7,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.017982,118.85675",2022-11-28T04:00:00,53.1,53.1,51.9,95.47,0,0,,0,0,3.8,4,257.7,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.017982,118.85675",2022-11-28T05:00:00,53,53,51.3,94.21,0,0,,0,0,2.2,2.2,308.6,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.017982,118.85675",2022-11-28T06:00:00,52.8,52.8,51.2,94.21,0,0,,0,0,2.5,2.2,336.5,1010,72.3,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.017982,118.85675",2022-11-28T07:00:00,52.1,52.1,50.4,94.19,0,0,,0,0,2.7,2.9,37.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.017982,118.85675",2022-11-28T08:00:00,53.3,53.3,51.5,93.6,0.008,100,rain,0,0,2.9,2.7,57.9,1011,100,12.8,30,0.1,0,10,"Rain, Overcast",rain,remote
"36.017982,118.85675",2022-11-28T09:00:00,52.4,52.4,51.3,96.1,0.051,90.5,rain,0,0,10.1,6.7,8.7,1012,100,4.3,9,0,0,10,"Rain, Overcast",rain,
"36.017982,118.85675",2022-11-28T10:00:00,51.2,51.2,49.5,94.17,0.063,90.5,rain,0,0,11.4,7.4,27.2,1012,100,6.7,20,0.1,0,10,"Rain, Overcast",rain,
"36.017982,118.85675",2022-11-28T11:00:00,49.9,46.7,47.7,92.25,0.035,90.5,rain,0,0,11.4,7.8,4.8,1013,100,6.6,22,0.1,0,10,"Rain, Overcast",rain,
"36.017982,118.85675",2022-11-28T12:00:00,50.1,50.1,47.6,91.02,0.028,90.5,rain,0,0,14.1,8.5,4.5,1012,100,15,13,0,0,10,"Rain, Overcast",rain,
"36.017982,118.85675",2022-11-28T13:00:00,50.3,50.3,46.7,87.4,0.004,90.5,rain,0,0,16.6,9.6,355.8,1012,98.9,15,30,0.1,0,10,"Rain, Overcast",rain,
"36.017982,118.85675",2022-11-28T14:00:00,49.9,45.8,46.3,87.38,0,90.5,rain,0,0,23.5,10.5,355.4,1013,98.9,15,32,0.1,0,10,"Rain, Overcast",rain,
