name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.2,117.7",2022-07-01T00:00:00,69.9,69.9,66.5,88.91,0.004,100,rain,0,0,6.5,4,140.6,1007,0.1,15,0,,0,10,Rain,rain,remote
"35.2,117.7",2022-07-01T01:00:00,69.5,69.5,66.6,90.57,0.035,100,rain,0,0,7.6,4,152.8,1007,10.1,15,0,,0,10,Rain,rain,remote
"35.2,117.7",2022-07-01T02:00:00,69.3,69.3,67,92.27,0.031,100,rain,0,0,8.9,3.4,161.5,1007,85.1,15,0,,0,10,"Rain, Partially cloudy",rain,remote
"35.2,117.7",2022-07-01T03:00:00,69.2,69.2,67.6,94.59,0,0,rain,0,0,4,2.7,144,1007,61.4,4.2,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"35.2,117.7",2022-07-01T04:00:00,69,69,67.7,95.77,0.051,100,rain,0,0,2.2,1.8,72.8,1007,44.2,9.1,0,,0,5,"Rain, Partially cloudy",rain,remote
"35.2,117.7",2022-07-01T05:00:00,71.9,71.9,70.8,96.4,0,0,,0,0,33.6,2.2,160,1007.5,63.4,1.2,0,,0,5,Partially cloudy,partly-cloudy-day,54929099999
"35.2,117.7",2022-07-01T06:00:00,70.2,70.2,68.6,94.61,0.016,100,rain,0,0,2.2,2.5,32.1,1008,55.5,9.4,32,0.1,0,3,"Rain, Partially cloudy",rain,remote
"35.2,117.7",2022-07-01T07:00:00,72.1,72.1,69.5,91.79,0.028,100,rain,0,0,2.5,3.1,96.1,1008,55.9,15,169,0.6,2,3,"Rain, Partially cloudy",rain,remote
"35.2,117.7",2022-07-01T08:00:00,76.2,76.2,73.1,90.27,0,0,,0,0,17.9,4.5,120,1008.7,29.1,1.2,347,1.2,3,30,Partially cloudy,partly-cloudy-day,54929099999
"35.2,117.7",2022-07-01T09:00:00,78.5,78.5,71.1,78.14,0,0,,0,0,3.4,4.5,120.1,1008,17.1,15,564,2,6,30,Clear,clear-day,remote
"35.2,117.7",2022-07-01T10:00:00,81.4,85.7,71.5,71.99,0,0,,0,0,5.1,5.8,141,1008,25.5,15,737,2.7,7,30,Partially cloudy,partly-cloudy-day,remote
"35.2,117.7",2022-07-01T11:00:00,83.9,91.3,74.4,73.11,0,0,,0,0,8.9,4.5,110,1008.8,18.6,3.7,853,3.1,9,60,Clear,clear-day,54929099999
"35.2,117.7",2022-07-01T12:00:00,85.9,91.3,71,61.14,0,0,,0,0,6,6.5,149.1,1008,30.4,15,927,3.3,9,60,Partially cloudy,partly-cloudy-day,remote
"35.2,117.7",2022-07-01T13:00:00,87.7,93.1,70.4,56.68,0,0,,0,0,6.3,6.7,155.8,1007,45.5,15,923,3.3,9,60,Partially cloudy,partly-cloudy-day,remote
"35.2,117.7",2022-07-01T14:00:00,88.2,93.6,70.2,55.38,0.02,100,rain,0,0,6.7,6.9,180.8,1007,80.3,15,849,3.1,8,60,"Rain, Partially cloudy",rain,remote
"35.2,117.7",2022-07-01T15:00:00,88.2,93.1,69.5,54.04,0,0,,0,0,6.3,5.6,170.3,1007,92.6,15,510,1.8,5,60,Overcast,cloudy,remote
"35.2,117.7",2022-07-01T16:00:00,87.9,92.6,69.5,54.66,0.004,100,rain,0,0,6.5,5.4,147.4,1006,99.4,15,314,1.1,3,60,"Rain, Overcast",rain,remote
"35.2,117.7",2022-07-01T17:00:00,86.4,92.4,71.5,61.2,0,0,,0,0,7.2,5.1,131.9,1006,72.3,15,160,0.6,2,60,Partially cloudy,partly-cloudy-day,remote
"35.2,117.7",2022-07-01T18:00:00,86.1,92.4,72.1,63.05,0,0,,0,0,6.9,4.7,135.7,1006,28.1,15,172,0.6,2,60,Partially cloudy,partly-cloudy-day,remote
"35.2,117.7",2022-07-01T19:00:00,83.4,88.5,71.5,67.51,0,0,,0,0,3.8,3.8,137.4,1006,6.7,15,88,0.3,1,60,Clear,clear-day,remote
"35.2,117.7",2022-07-01T20:00:00,85.2,92.9,74,69.37,0,0,,0,0,11.2,6.7,150,1006.7,0,6.8,5,0,0,30,Clear,clear-night,54929099999
"35.2,117.7",2022-07-01T21:00:00,80.3,83.6,69.9,70.57,0,0,,0,0,4.5,4.5,111.9,1008,0,15,0,,0,30,Clear,clear-night,remote
"35.2,117.7",2022-07-01T22:00:00,78.5,78.5,70.1,75.32,0,0,,0,0,4.9,4.5,124.8,1008,0,15,0,,0,30,Clear,clear-night,remote
"35.2,117.7",2022-07-01T23:00:00,76.4,76.4,70.8,82.9,0,0,,0,0,26.8,6.7,20,1009.4,0,8.1,0,,0,30,Clear,clear-night,54929099999
"35.2,117.7",2022-07-02T00:00:00,77.3,77.3,70.2,79,0,0,,0,0,3.4,3.6,129.1,1009,3.2,15,0,,0,30,Clear,clear-night,remote
"35.2,117.7",2022-07-02T01:00:00,76.7,76.7,70.2,80.43,0,0,,0,0,3.1,3.4,127.2,1008,4.6,15,0,,0,30,Clear,clear-night,remote
"35.2,117.7",2022-07-02T02:00:00,75.3,75.3,70.4,84.89,0,0,,0,0,26.8,2.2,220,1007.8,4.8,9.3,0,,0,30,Clear,clear-night,54929099999
"35.2,117.7",2022-07-02T03:00:00,75.6,75.6,70.1,82.86,0,0,,0,0,3.1,3.1,108.5,1008,60.5,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"35.2,117.7",2022-07-02T04:00:00,74.9,74.9,69.9,84.35,0,0,,0,0,2.9,2.9,104.6,1008,82.5,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"35.2,117.7",2022-07-02T05:00:00,74,74,69.5,85.87,0,0,,0,0,26.8,4.5,130,1008.8,100,6.2,0,,0,3,Overcast,cloudy,54929099999
"35.2,117.7",2022-07-02T06:00:00,75.1,75.1,70.8,86.46,0.004,100,rain,0,0,4.9,3.6,105.6,1008,100,15,37,0.1,0,3,"Rain, Overcast",rain,remote
"35.2,117.7",2022-07-02T07:00:00,77.3,77.3,72.2,84.49,0.004,100,rain,0,0,7.4,4.3,128.2,1009,12.9,13.4,172,0.6,2,30,Rain,rain,remote
