name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.2,117.7",2022-11-28T00:00:00,54.6,54.6,52.4,92.4,0,0,,0,0,3.4,3.4,90.8,1011,99.6,15,0,,0,10,Overcast,cloudy,remote
"35.2,117.7",2022-11-28T01:00:00,53.5,53.5,51.5,92.98,0,0,,0,0,3.6,3.6,150.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.2,117.7",2022-11-28T02:00:00,53.1,53.1,51,92.35,0,0,,0,0,1.6,1.6,139.3,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.2,117.7",2022-11-28T03:00:00,54.2,54.2,51.5,90.57,0,0,,0,0,4,4,148.9,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.2,117.7",2022-11-28T04:00:00,53.9,53.9,51.3,91.16,0,0,,0,0,3.4,3.6,294.9,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.2,117.7",2022-11-28T05:00:00,53.7,53.7,51.5,92.37,0.008,100,rain,0,0,2.7,2.7,316.7,1010,100,10.2,0,,0,10,"Rain, Overcast",rain,remote
"35.2,117.7",2022-11-28T06:00:00,53.3,53.3,52.1,95.48,0.016,100,rain,0,0,3.4,3.4,348.6,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.2,117.7",2022-11-28T07:00:00,53.3,53.3,52.1,95.48,0.004,100,rain,0,0,2.9,2.9,357.1,1010,100,14.7,0,,0,10,"Rain, Overcast",rain,remote
"35.2,117.7",2022-11-28T08:00:00,53.7,53.7,52.2,94.85,0.004,100,rain,0,0,4.7,4,318.5,1011,100,15,6,0,0,10,"Rain, Overcast",rain,remote
"35.2,117.7",2022-11-28T09:00:00,53.7,53.7,51.9,93.6,0,47.6,rain,0,0,8.5,5.1,341.7,1011,100,15,17,0.1,0,10,"Rain, Overcast",rain,
"35.2,117.7",2022-11-28T10:00:00,55.1,55.1,51,85.91,0,47.6,rain,0,0,10.1,6.7,323.6,1012,100,15,147,0.5,1,10,"Rain, Overcast",rain,
"35.2,117.7",2022-11-28T11:00:00,54.4,54.4,50.1,85.3,0,47.6,rain,0,0,7.4,4.7,329.2,1012,100,15,47,0.2,0,10,"Rain, Overcast",rain,
"35.2,117.7",2022-11-28T12:00:00,53.9,53.9,49.7,85.84,0,47.6,rain,0,0,13.6,6.7,332.6,1012,100,15,36,0.1,0,10,"Rain, Overcast",rain,
"35.2,117.7",2022-11-28T13:00:00,53.3,53.3,49,85.24,0,47.6,rain,0,0,15.4,8.1,338.3,1011,100,15,80,0.3,1,10,"Rain, Overcast",rain,
"35.2,117.7",2022-11-28T14:00:00,53,53,47.7,82.39,0,47.6,rain,0,0,16.8,10.7,325.6,1012,100,15,82,0.3,1,10,"Rain, Overcast",rain,
"35.2,117.7",2022-11-28T15:00:00,51.9,51.9,46.1,80.65,0.004,9.5,rain,0,0,20.6,12.5,338.3,1013,100,15,25,0.1,0,10,Overcast,cloudy,
"35.2,117.7",2022-11-28T16:00:00,51.9,51.9,45.6,79.02,0,9.5,,0,0,23,15.2,345.8,1014,100,15,27,0.1,0,10,Overcast,cloudy,
"35.2,117.7",2022-11-28T17:00:00,49.9,43.9,45.2,83.88,0,9.5,,0,0,28.9,17.9,354.1,1015,100,15,5,0,0,10,Overcast,cloudy,
"35.2,117.7",2022-11-28T18:00:00,48.5,42.5,44.5,86.12,0,9.5,,0,0,28.2,15.9,0.1,1017,100,15,0,,0,10,Overcast,cloudy,
"35.2,117.7",2022-11-28T19:00:00,47.9,42.2,44,86.08,0,9.5,,0,0,27.7,14.1,10.2,1017,100,15,0,,0,10,Overcast,cloudy,
"35.2,117.7",2022-11-28T20:00:00,48.3,42.9,42.9,81.49,0,9.5,,0,0,25.1,13.2,7.3,1018,100,15,0,,0,10,Overcast,cloudy,
"35.2,117.7",2022-11-28T21:00:00,48.3,43.8,41.6,77.64,0,0,,0,0,20.8,10.3,353.6,1019,100,15,0,,0,10,Overcast,cloudy,
"35.2,117.7",2022-11-28T22:00:00,47.9,43.2,39.6,72.88,0,0,,0,0,23.9,10.7,3.5,1019,100,15,0,,0,10,Overcast,cloudy,
"35.2,117.7",2022-11-28T23:00:00,46.8,41.5,38.6,72.77,0,0,,0,0,28.9,11.9,350,1019,100,15,0,,0,10,Overcast,cloudy,
