name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.84,118.8",2022-11-28T00:00:00,54.9,54.9,53.5,94.88,0,0,,0,0,2.2,2.5,79.4,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.84,118.8",2022-11-28T01:00:00,55.1,55.1,53.3,93.64,0,0,,0,0,3.4,3.4,125.6,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.84,118.8",2022-11-28T02:00:00,55.1,55.1,53.1,93.03,0,0,,0,0,4.9,4.5,159.4,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.84,118.8",2022-11-28T03:00:00,54.1,54.1,52.2,93.61,0,0,,0,0,4.3,4.3,206.6,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.84,118.8",2022-11-28T04:00:00,54.4,54.4,52.6,93.62,0,0,,0,0,2.9,2.9,244.5,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.84,118.8",2022-11-28T05:00:00,54.2,54.2,52.4,93.62,0,0,,0,0,1.8,1.8,261.3,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.84,118.8",2022-11-28T06:00:00,53.9,53.9,52.1,93.61,0,0,,0,0,2.2,2.2,269.4,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.84,118.8",2022-11-28T07:00:00,54.2,54.2,52.4,93.62,0.004,100,rain,0,0,2,2,91.9,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.84,118.8",2022-11-28T08:00:00,54.2,54.2,52.6,94.24,0.012,100,rain,0,0,2.2,2.2,35.1,1011,100,9.9,4,0,0,10,"Rain, Overcast",rain,remote
"35.84,118.8",2022-11-28T09:00:00,54.4,54.4,53,94.87,0.028,90.5,rain,0,0,5.6,4.5,9.6,1011,100,14.2,8,0,0,10,"Rain, Overcast",rain,
"35.84,118.8",2022-11-28T10:00:00,54.4,54.4,53,94.87,0.012,90.5,rain,0,0,10.7,5.4,17.1,1012,100,15,18,0.1,0,10,"Rain, Overcast",rain,
"35.84,118.8",2022-11-28T11:00:00,53.5,53.5,51.9,94.22,0.02,90.5,rain,0,0,10.7,6.3,18.9,1012,100,10.3,8,0,0,10,"Rain, Overcast",rain,
"35.84,118.8",2022-11-28T12:00:00,52.1,52.1,49.9,92.32,0.008,90.5,rain,0,0,12.8,8.7,25.7,1012,100,15,8,0,0,10,"Rain, Overcast",rain,
"35.84,118.8",2022-11-28T13:00:00,51.7,51.7,48.5,88.66,0.008,90.5,rain,0,0,14.5,9.2,27.6,1012,98.1,15,22,0.1,0,10,"Rain, Overcast",rain,
"35.84,118.8",2022-11-28T14:00:00,52.4,52.4,47.6,83.47,0,90.5,rain,0,0,15.7,9.6,17,1012,100,15,63,0.2,1,10,"Rain, Overcast",rain,
"35.84,118.8",2022-11-28T15:00:00,51.9,51.9,47.2,84.01,0,28.6,rain,0,0,23.5,12.1,5.6,1013,100,15,27,0.1,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-28T16:00:00,50.1,50.1,46.8,88.58,0,28.6,,0,0,26.8,14.5,10.7,1014,100,15,8,0,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-28T17:00:00,49.4,43.6,46.3,89.15,0,28.6,,0,0,29.3,16.1,5.3,1015,100,15,5,0,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-28T18:00:00,48.3,42.1,44,84.93,0,28.6,,0,0,30.2,16.6,13.2,1016,100,15,0,,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-28T19:00:00,48.1,42.1,43.4,83.76,0,28.6,,0,0,31.5,15.7,14.6,1017,100,15,0,,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-28T20:00:00,47.7,41.4,41.4,78.68,0,28.6,,0,0,28.9,16.6,11.6,1018,100,15,0,,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-28T21:00:00,47.2,40.8,40.4,77,0,0,,0,0,30.6,16.1,13,1018,100,15,0,,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-28T22:00:00,46.8,41.1,39.8,76.44,0,0,,0,0,31.1,13.2,11.2,1019,100,15,0,,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-28T23:00:00,47.2,41.4,38.4,71.29,0,0,,0,0,30,13.6,3.1,1021,100,15,0,,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-29T00:00:00,46.7,40.2,37.1,69.24,0,0,,0,0,33.3,15.9,2.1,1020,100,15,0,,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-29T01:00:00,46.1,39.4,37.1,70.67,0,0,,0,0,30.6,16.1,2.5,1020,100,15,0,,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-29T02:00:00,44.3,36.2,28.1,52.71,0,0,,0,0,33.1,19.9,355.6,1021,100,15,0,,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-29T03:00:00,41.3,32,24.3,50.69,0,4.8,,0,0,37.4,20.8,5,1022,100,15,0,,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-29T04:00:00,40,30.6,23.8,52.04,0,4.8,,0,0,34.9,19.7,8.5,1023,100,15,0,,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-29T05:00:00,37.5,27.1,18.6,46.03,0,4.8,,0,0,35.3,20.4,4.7,1025,100,15,0,,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-29T06:00:00,35.7,24.5,17.1,46.45,0,4.8,,0,0,34.9,21.3,8.6,1026,100,15,0,,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-29T07:00:00,34.1,22.4,15.7,46.55,0,4.8,,0,0,35.1,21,10.3,1027,100,15,0,,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-29T08:00:00,33.2,21.4,15,46.76,0,4.8,,0,0,34.9,20.6,12.5,1028,100,15,32,0.1,0,10,Overcast,cloudy,
"35.84,118.8",2022-11-29T09:00:00,33.2,21.3,14.4,45.67,0,0,,0,0,34.4,20.8,8.4,1030,100,15,99,0.4,1,10,Overcast,cloudy,
"35.84,118.8",2022-11-29T10:00:00,33.9,21.8,13.5,42.66,0,0,,0,0,33.6,22.4,6.8,1030,88.2,15,218,0.8,2,10,Partially cloudy,partly-cloudy-day,
"35.84,118.8",2022-11-29T11:00:00,35.1,23.5,10.5,35.44,0,0,,0,0,29.1,22.6,5.4,1031,88.1,15,448,1.6,4,10,Partially cloudy,partly-cloudy-day,
"35.84,118.8",2022-11-29T12:00:00,36,24.8,9.9,33.38,0,0,,0,0,27.5,22.1,3.1,1031,97.5,15,497,1.8,5,10,Overcast,cloudy,
