name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.06,118.67",2022-07-01T00:00:00,69.9,69.9,67.7,92.86,0,0,,0,0,3.6,3.4,141.2,1007,5,15,0,,0,3,Clear,clear-night,remote
"36.06,118.67",2022-07-01T01:00:00,69.3,69.3,67.4,93.43,0,0,,0,0,2.9,2.7,188.3,1007,40.7,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.06,118.67",2022-07-01T02:00:00,70.4,70.4,70.4,100,0.004,100,rain,0,0,15.7,0,185.5,1007.8,5.3,1.2,0,,0,10,Rain,rain,54836099999
"36.06,118.67",2022-07-01T03:00:00,68.8,68.8,66.6,92.83,0,0,,0,0,2.5,2.2,205.6,1007,5,13.5,0,,0,10,Clear,clear-night,remote
"36.06,118.67",2022-07-01T04:00:00,68.4,68.4,66.6,93.99,0,0,,0,0,1.8,1.8,244.3,1007,56.9,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.06,118.67",2022-07-01T05:00:00,70.1,70.1,70.1,100,0,0,rain,0,0,13.4,0,264.5,1007.8,11.3,1.2,0,,0,10,Clear,clear-day,54836099999
"36.06,118.67",2022-07-01T06:00:00,69.9,69.9,67.2,91.15,0,0,,0,0,1.3,0.9,263.9,1008,31.4,11,50,0.2,1,5,Partially cloudy,partly-cloudy-day,remote
"36.06,118.67",2022-07-01T07:00:00,71.7,71.7,67.7,87.35,0,0,,0,0,4.3,3.1,168.4,1009,99.3,15,207,0.7,2,3,Overcast,cloudy,remote
"36.06,118.67",2022-07-01T08:00:00,71.7,71.7,70.1,94.64,0.004,100,rain,0,0,6.7,4.5,130,1009.5,29.5,0.6,366,1.3,4,10,"Rain, Partially cloudy",rain,54836099999
"36.06,118.67",2022-07-01T09:00:00,77.3,77.3,69.9,78.04,0,0,,0,0,4.9,4.9,172.9,1009,27.4,15,582,2.1,6,10,Partially cloudy,partly-cloudy-day,remote
"36.06,118.67",2022-07-01T10:00:00,80,80,70.6,73.18,0,0,,0,0,5.8,5.6,177.6,1009,4.3,15,744,2.7,7,30,Clear,clear-day,remote
"36.06,118.67",2022-07-01T11:00:00,82.7,87.1,70.8,67.43,0,0,,0,0,6.7,2.2,30,1008.9,0,3.7,863,3.1,9,30,Clear,clear-day,54836099999
"36.06,118.67",2022-07-01T12:00:00,85,90.1,70.8,62.54,0,0,,0,0,8.9,7.6,197.7,1008,0.1,15,929,3.3,9,30,Clear,clear-day,remote
"36.06,118.67",2022-07-01T13:00:00,86.6,91.7,70.2,58.3,0,0,,0,0,10.1,7.8,198.2,1007,0.5,15,937,3.4,9,30,Clear,clear-day,remote
"36.06,118.67",2022-07-01T14:00:00,85.7,91.7,71.7,63.01,0,0,,0,0,11.2,4.5,180,1007.7,32.2,11.2,887,3.2,9,60,Partially cloudy,partly-cloudy-day,54836099999
"36.06,118.67",2022-07-01T15:00:00,88.4,93.7,70.1,54.73,0,0,,0,0,11.6,9.6,204.9,1007,16.3,15,779,2.8,8,60,Clear,clear-day,remote
"36.06,118.67",2022-07-01T16:00:00,88.6,93.5,69.5,53.43,0,0,,0,0,11.2,9.6,210.6,1006,46.1,15,627,2.3,6,60,Partially cloudy,partly-cloudy-day,remote
"36.06,118.67",2022-07-01T17:00:00,88.4,92.6,68.6,52.1,0,0,,0,0,13.4,4.5,230,1006.4,96.4,15.5,398,1.4,4,60,Overcast,cloudy,54836099999
"36.06,118.67",2022-07-01T18:00:00,84.1,89,70.8,64.37,0,0,,0,0,6.3,4.9,244.1,1006,98.5,15,94,0.3,1,60,Overcast,cloudy,remote
"36.06,118.67",2022-07-01T19:00:00,82.7,86.6,69.9,65.4,0,0,,0,0,4,3.6,189.7,1007,74.3,15,30,0.1,0,30,Partially cloudy,partly-cloudy-day,remote
"36.06,118.67",2022-07-01T20:00:00,83,87.9,71.3,67.89,0,0,,0,0,13.4,2.2,250,1007.8,65.4,8.7,2,0,0,30,Partially cloudy,partly-cloudy-night,54836099999
"36.06,118.67",2022-07-01T21:00:00,78.9,78.9,71.1,77.22,0,0,,0,0,4.7,4.5,154.1,1008,9.4,15,0,,0,60,Clear,clear-night,remote
"36.06,118.67",2022-07-01T22:00:00,77.6,77.6,70.8,79.52,0,0,,0,0,4.5,4.3,159.8,1008,0,15,0,,0,30,Clear,clear-night,remote
