name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.302328,118.89306",2022-07-01T00:00:00,71.1,71.1,66.8,86.25,0,0,,0,0,8.9,4.7,145.8,1007,63.4,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"35.302328,118.89306",2022-07-01T01:00:00,70.2,70.2,66.6,88.37,0,0,,0,0,7.6,4,134,1008,17.1,15,0,,0,10,Clear,clear-night,remote
"35.302328,118.89306",2022-07-01T02:00:00,73.2,73.2,72.8,98.63,0,0,,0,0,17.7,2.2,335,1006.8,2.2,4.4,0,,0,10,Clear,clear-night,"54945099999,58040099999"
"35.302328,118.89306",2022-07-01T03:00:00,69.7,69.7,66.8,90.58,0,0,rain,0,0,4.5,3.1,98,1007,3.1,11.1,0,,0,10,Clear,clear-night,remote
"35.302328,118.89306",2022-07-01T04:00:00,69.7,69.7,67,91.14,0,0,,0,0,4.9,3.8,90.9,1007,96.8,15,0,,0,10,Overcast,cloudy,remote
"35.302328,118.89306",2022-07-01T05:00:00,74.2,74.2,74.2,100,0,0,,0,0,14.4,1,60,1007.8,60,1.8,0,,0,10,Partially cloudy,partly-cloudy-day,"54945099999,58040099999"
"35.302328,118.89306",2022-07-01T06:00:00,71.3,71.3,68.4,90.64,0,0,,0,0,3.4,2.2,105,1008,84.1,15,48,0.2,0,3,Partially cloudy,partly-cloudy-day,remote
"35.302328,118.89306",2022-07-01T07:00:00,73.7,73.7,70.4,89.62,0,0,,0,0,4,2.5,135.3,1008,100,11.5,186,0.7,2,3,Overcast,cloudy,remote
"35.302328,118.89306",2022-07-01T08:00:00,80.2,86.1,76.8,89.55,0,0,,0,0,13.4,5.7,183,1008.8,67.9,6.6,361,1.3,4,30,Partially cloudy,partly-cloudy-day,"54945099999,58040099999"
"35.302328,118.89306",2022-07-01T09:00:00,78.5,78.5,73.5,84.57,0,0,,0,0,5.1,3.8,172.1,1009,68.8,15,480,1.7,5,30,Partially cloudy,partly-cloudy-day,remote
"35.302328,118.89306",2022-07-01T10:00:00,81.1,86.4,74,79.29,0,0,,0,0,5.8,4.5,188.3,1009,26.9,15,614,2.2,6,60,Partially cloudy,partly-cloudy-day,remote
"35.302328,118.89306",2022-07-01T11:00:00,85.2,95.3,76.5,75.43,0,0,,0,0,15.7,6.5,213,1008.6,51.7,7.2,852,3.1,9,60,Partially cloudy,partly-cloudy-day,"54945099999,58040099999"
"35.302328,118.89306",2022-07-01T12:00:00,87,95.1,73.7,64.71,0,0,,0,0,8.1,6.5,182.6,1008,1.3,15,919,3.3,9,60,Clear,clear-day,remote
"35.302328,118.89306",2022-07-01T13:00:00,88.8,96.9,73.1,60.02,0,0,,0,0,8.9,7.8,167.4,1007,4.6,15,936,3.4,9,60,Clear,clear-day,remote
"35.302328,118.89306",2022-07-01T14:00:00,85.7,97.2,77.5,76.68,0,0,,0,0,15.7,8.9,93,1007.8,15.4,6,884,3.2,9,60,Clear,clear-day,"54945099999,58040099999"
"35.302328,118.89306",2022-07-01T15:00:00,88.2,96.7,73.7,62.18,0,0,,0,0,8.3,6.7,156.2,1007,15.2,15,775,2.8,8,60,Clear,clear-day,remote
"35.302328,118.89306",2022-07-01T16:00:00,86.8,94.8,73.7,65.08,0,0,,0,0,7.8,7.6,149.5,1007,1.4,11.2,623,2.2,6,60,Clear,clear-day,remote
"35.302328,118.89306",2022-07-01T17:00:00,83.4,94.6,78.9,86.25,0,0,,0,0,16.7,8.9,117,1006.7,0.1,7.6,449,1.6,4,60,Clear,clear-day,"54945099999,58040099999"
"35.302328,118.89306",2022-07-01T18:00:00,82.7,90.2,75.5,78.94,0,0,,0,0,9.6,6.9,116.4,1006,0.2,15,258,0.9,3,75,Clear,clear-day,remote
"35.302328,118.89306",2022-07-01T19:00:00,78.9,78.9,74,85.1,0,0,,0,0,7.6,5.4,89.1,1007,0,15,84,0.3,1,60,Clear,clear-day,remote
"35.302328,118.89306",2022-07-01T20:00:00,81.1,89.6,79.3,94.44,0,0,,0,0,16.7,3.3,80,1007.7,25.8,7.9,3,0,0,30,Partially cloudy,partly-cloudy-night,"54945099999,58040099999"
"35.302328,118.89306",2022-07-01T21:00:00,77.4,77.4,72.1,83.48,0,0,,0,0,2.7,2.7,120,1008,0,15,0,,0,30,Clear,clear-night,remote
"35.302328,118.89306",2022-07-01T22:00:00,76.4,76.4,72.2,87.05,0,0,,0,0,4.3,4.5,82.1,1008,0,15,0,,0,30,Clear,clear-night,remote
"35.302328,118.89306",2022-07-01T23:00:00,80.4,87.4,78.4,93.88,0.1,100,rain,0,0,17.9,1.2,120,1008.5,0.2,6,0,,0,30,Rain,rain,"54945099999,58040099999"
"35.302328,118.89306",2022-07-02T00:00:00,74.2,74.2,72.2,93.55,0,0,,0,0,4.7,3.8,101,1009,1.1,15,0,,0,30,Clear,clear-night,remote
"35.302328,118.89306",2022-07-02T01:00:00,74,74,72.4,94.69,0,0,,0,0,4.9,4.3,104.8,1009,3.5,15,0,,0,8,Clear,clear-night,remote
"35.302328,118.89306",2022-07-02T02:00:00,77,77,76.9,99.46,0.377,100,rain,0,0,19.9,4.1,330,1008,4,1.9,0,,0,30,Rain,rain,"54945099999,58040099999"
"35.302328,118.89306",2022-07-02T03:00:00,73.7,73.7,72.1,94.69,0,0,,0,0,2.5,2.2,140.6,1008,2.6,15,0,,0,30,Clear,clear-night,remote
"35.302328,118.89306",2022-07-02T04:00:00,73.7,73.7,72.2,95.26,0,0,,0,0,2.7,2.5,134.7,1008,21.8,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"35.302328,118.89306",2022-07-02T05:00:00,74.3,74.3,71.8,92.07,0.074,100,rain,0,0,26.1,6.9,103,1010,8.4,10.5,0,,0,30,Rain,rain,"54945099999,58040099999"
"35.302328,118.89306",2022-07-02T06:00:00,75.3,75.3,73.3,93.58,0,0,,0,0,8.3,2.9,137,1009,79.8,15,47,0.2,0,30,Partially cloudy,partly-cloudy-day,remote
"35.302328,118.89306",2022-07-02T07:00:00,77.6,77.6,74.2,89.24,0,0,,0,0,10.3,5.8,164.2,1009,80.4,15,197,0.7,2,30,Partially cloudy,partly-cloudy-day,remote
