name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"34.982601,118.761589",2022-07-01T00:00:00,70.6,70.6,68.3,92.31,0,0,,0,0,17,6.9,126.5,1007,0.1,15,0,,0,10,Clear,clear-night,remote
"34.982601,118.761589",2022-07-01T01:00:00,70.2,70.2,67.9,92.3,0,0,,0,0,17.9,7.2,112.5,1007,4.6,15,0,,0,10,Clear,clear-night,remote
"34.982601,118.761589",2022-07-01T02:00:00,73.7,73.7,73.7,100,0,0,,0,0,15.7,2.2,30,1006.6,1.5,1.2,0,,0,10,Clear,clear-night,58040099999
"34.982601,118.761589",2022-07-01T03:00:00,70.2,70.2,68.3,93.45,0,0,,0,0,12.8,5.4,110.5,1007,27,13.9,0,,0,5,Partially cloudy,partly-cloudy-night,remote
"34.982601,118.761589",2022-07-01T04:00:00,70.1,70.1,68.6,95.19,0,0,,0,0,11,4,122.1,1007,75,13.9,0,,0,5,Partially cloudy,partly-cloudy-night,remote
"34.982601,118.761589",2022-07-01T05:00:00,74.1,74.1,73.9,99.36,0,0,,0,0,17,0.4,160,1007.5,13.8,1.2,0,,0,5,Clear,clear-day,"58040099999,54929099999"
"34.982601,118.761589",2022-07-01T06:00:00,71.5,71.5,70.1,95.22,0,0,,0,0,11.2,3.1,121.5,1008,91.6,11.7,45,0.2,0,3,Overcast,cloudy,remote
"34.982601,118.761589",2022-07-01T07:00:00,74.4,74.4,72.6,94.13,0,0,,0,0,10.1,4.7,155,1008,66.8,12,184,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
"34.982601,118.761589",2022-07-01T08:00:00,80.6,87.3,77.1,89.12,0,0,,0,0,14.2,6.3,153,1008.6,74.9,3.8,335,1.2,3,30,Partially cloudy,partly-cloudy-day,"58040099999,54929099999"
"34.982601,118.761589",2022-07-01T09:00:00,79.8,79.8,74.6,84.13,0,0,,0,0,6.3,4.7,167.1,1008,62,15,430,1.5,4,60,Partially cloudy,partly-cloudy-day,remote
"34.982601,118.761589",2022-07-01T10:00:00,82.7,89.6,74.7,77.07,0,0,,0,0,6.3,4.5,169.9,1008,46.4,15,629,2.3,6,60,Partially cloudy,partly-cloudy-day,remote
"34.982601,118.761589",2022-07-01T11:00:00,86.4,96.7,76,71.21,0,0,,0,0,14.5,4.5,225,1008.6,28.1,6.8,845,3,8,60,Partially cloudy,partly-cloudy-day,"58040099999,54929099999"
"34.982601,118.761589",2022-07-01T12:00:00,88.1,96.5,73.7,62.53,0,0,,0,0,7.6,6.3,171.3,1008,1.2,15,923,3.3,9,60,Clear,clear-day,remote
