name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.13,118.81",2022-07-01T00:00:00,71,71,67.6,88.96,0,0,,0,0,15,5.8,151.2,1007,32.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"35.13,118.81",2022-07-01T01:00:00,70.2,70.2,67.4,90.6,0,0,,0,0,17,6,143.3,1007,66.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"35.13,118.81",2022-07-01T02:00:00,73.4,73.4,73.2,99.24,0,0,,0,0,16.8,2.2,360,1006.7,11.9,3,0,,0,10,Clear,clear-night,"54945099999,58040099999"
"35.13,118.81",2022-07-01T03:00:00,69.7,69.7,67.7,93.44,0,0,,0,0,10.5,4,131,1007,42.5,7.2,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"35.13,118.81",2022-07-01T04:00:00,69.9,69.9,67.7,92.86,0,0,,0,0,5.8,3.1,107.8,1007,98.2,12.3,0,,0,10,Overcast,cloudy,remote
"35.13,118.81",2022-07-01T05:00:00,73.9,73.9,73.7,99.35,0,0,,0,0,17.5,0.9,106,1007.6,8.9,1.5,0,,0,10,Clear,clear-day,"54945099999,58040099999,54929099999"
"35.13,118.81",2022-07-01T06:00:00,71.1,71.1,68.6,91.76,0,0,,0,0,6,3.1,122.9,1008,100,15,46,0.2,0,3,Overcast,cloudy,remote
"35.13,118.81",2022-07-01T07:00:00,73.7,73.7,70.8,90.73,0,0,,0,0,6.9,4,140.1,1008,46.3,15,166,0.6,2,3,Partially cloudy,partly-cloudy-day,remote
"35.13,118.81",2022-07-01T08:00:00,80,80,76.6,89.43,0,0,,0,0,14.2,5.8,163,1008.7,64.9,4.8,385,1.4,4,30,Partially cloudy,partly-cloudy-day,"54945099999,58040099999,54929099999"
"35.13,118.81",2022-07-01T09:00:00,79.1,79.1,73.7,83.58,0,0,,0,0,5.8,4.9,161,1008,62.4,15,483,1.7,5,30,Partially cloudy,partly-cloudy-day,remote
"35.13,118.81",2022-07-01T10:00:00,81.6,87.4,74.2,78.38,0,0,,0,0,6.3,5.4,169.5,1008,36.5,15,625,2.3,6,60,Partially cloudy,partly-cloudy-day,remote
"35.13,118.81",2022-07-01T11:00:00,85.6,95.6,76.1,73.29,0,0,,0,0,14.5,5.4,208,1008.7,4.2,6.7,825,3,8,60,Clear,clear-day,"54945099999,58040099999,54929099999"
"35.13,118.81",2022-07-01T12:00:00,87.2,95.1,73.5,63.95,0,0,,0,0,8.1,6.5,178.9,1008,0,15,926,3.3,9,60,Clear,clear-day,remote
"35.13,118.81",2022-07-01T13:00:00,89.3,97.4,72.9,58.65,0,0,,0,0,8.5,7.2,175.9,1007,0.3,15,936,3.4,9,60,Clear,clear-day,remote
"35.13,118.81",2022-07-01T14:00:00,87.2,100,77.8,73.88,0,0,,0,0,15.7,8.9,83,1007.7,27.2,6.4,886,3.2,9,60,Partially cloudy,partly-cloudy-day,"54945099999,58040099999"
"35.13,118.81",2022-07-01T15:00:00,90.6,98.3,72.2,55.02,0,0,,0,0,8.1,6.3,177.8,1006,28,15,776,2.8,8,60,Partially cloudy,partly-cloudy-day,remote
"35.13,118.81",2022-07-01T16:00:00,90.4,97.9,72.1,55,0,0,,0,0,8.7,7.2,161.2,1006,39.4,15,627,2.3,6,60,Partially cloudy,partly-cloudy-day,remote
"35.13,118.81",2022-07-01T17:00:00,84.7,97.9,79.5,84.57,0,0,,0,0,16.2,8.9,100,1006.5,30.6,7,420,1.5,4,75,Partially cloudy,partly-cloudy-day,"54945099999,58040099999"
"35.13,118.81",2022-07-01T18:00:00,83.2,91.4,75.8,78.51,0,0,,0,0,14.5,9.6,118.9,1006,13.7,15,231,0.8,2,75,Clear,clear-day,remote
"35.13,118.81",2022-07-01T19:00:00,80,80,74.7,84.14,0,0,,0,0,12.5,6.9,118.1,1006,0,15,82,0.3,1,60,Clear,clear-day,remote
"35.13,118.81",2022-07-01T20:00:00,82.9,93.8,79.3,88.97,0,0,,0,0,15.3,3.5,74,1007.3,0,7.1,3,0,0,30,Clear,clear-night,"54945099999,58040099999,54929099999"
"35.13,118.81",2022-07-01T21:00:00,77.6,77.6,72.6,84.51,0,0,,0,0,9.2,6.3,135.7,1008,0,15,0,,0,30,Clear,clear-night,remote
"35.13,118.81",2022-07-01T22:00:00,77.4,77.4,72.1,83.48,0,0,,0,0,5.6,5.6,110.5,1008,0,15,0,,0,30,Clear,clear-night,remote
"35.13,118.81",2022-07-01T23:00:00,80.5,87.1,77.4,90.42,0.089,100,rain,0,0,19.5,2.6,97,1008.5,0,6.7,0,,0,30,Rain,rain,"54945099999,58040099999,54929099999"
"35.13,118.81",2022-07-02T00:00:00,75.8,75.8,71.9,87.56,0,0,,0,0,8.1,5.8,126.2,1009,0.2,15,0,,0,30,Clear,clear-night,remote
"35.13,118.81",2022-07-02T01:00:00,74.6,74.6,72.4,93,0,0,,0,0,9.4,6,119.9,1008,1.2,15,0,,0,8,Clear,clear-night,remote
"35.13,118.81",2022-07-02T02:00:00,77.9,77.9,77,96.92,0.171,100,rain,0,0,20.4,2.3,279,1007.9,0.4,3.5,0,,0,8,Rain,rain,"54945099999,58040099999,54929099999"
"35.13,118.81",2022-07-02T03:00:00,74,74,72.2,94.12,0,0,,0,0,11,5.4,131.1,1008,18.8,15,0,,0,30,Clear,clear-night,remote
"35.13,118.81",2022-07-02T04:00:00,74,74,72.6,95.27,0,0,,0,0,11.9,5.1,134,1008,18.7,15,0,,0,30,Clear,clear-night,remote
"35.13,118.81",2022-07-02T05:00:00,75.1,75.1,72.2,90.69,0.035,100,rain,0,0,23.2,7.2,99,1009.6,15.1,8.4,0,,0,30,Rain,rain,"54945099999,58040099999,54929099999"
"35.13,118.81",2022-07-02T06:00:00,75.1,75.1,73.3,94.15,0,0,,0,0,9.8,3.8,138.1,1008,93.9,15,44,0.2,0,30,Overcast,cloudy,remote
"35.13,118.81",2022-07-02T07:00:00,77.8,77.8,74.4,89.25,0,0,,0,0,11.6,7.4,158.8,1009,77.5,15,186,0.7,2,30,Partially cloudy,partly-cloudy-day,remote
"35.13,118.81",2022-07-02T08:00:00,79,79,76,90.5,0,0,,0,0,24.1,9.5,85,1009.9,84,13.5,381,1.4,4,60,Partially cloudy,partly-cloudy-day,"54945099999,58040099999"
"35.13,118.81",2022-07-02T09:00:00,82.3,89.3,75.1,78.91,0,0,,0,0,8.5,7.4,161.9,1009,100,15,545,2,5,60,Overcast,cloudy,remote
"35.13,118.81",2022-07-02T10:00:00,84.3,92.4,74.9,73.58,0,0,,0,0,8.7,8.3,158,1009,32.2,15,671,2.4,7,60,Partially cloudy,partly-cloudy-day,remote
"35.13,118.81",2022-07-02T11:00:00,84.7,95.7,77.6,79.17,0.001,100,rain,0,0,22.2,5.8,119,1009.3,78.4,8,844,3,8,60,"Rain, Partially cloudy",rain,"54945099999,58040099999,54929099999"
"35.13,118.81",2022-07-02T12:00:00,87.7,96.6,74.2,64.4,0,0,,0,0,9.2,8.7,157.4,1008,100,15,894,3.2,9,60,Overcast,cloudy,remote
"35.13,118.81",2022-07-02T13:00:00,88.6,97.6,74,62.22,0,0,,0,0,8.3,7.6,154.8,1008,100,15,818,2.9,8,60,Overcast,cloudy,remote
"35.13,118.81",2022-07-02T14:00:00,85.6,97.6,77.9,77.82,0,0,,0,0,22.6,9.9,98,1008.2,95.1,9.5,783,2.8,8,60,Overcast,cloudy,"54945099999,58040099999,54929099999"
"35.13,118.81",2022-07-02T15:00:00,89.3,98.2,73.7,60.09,0,0,,0,0,8.9,8.9,140.3,1007,39.2,15,694,2.5,7,60,Partially cloudy,partly-cloudy-day,remote
"35.13,118.81",2022-07-02T16:00:00,88.2,97.1,74,62.93,0,0,rain,0,0,9.2,10.3,125.8,1007,42,15,596,2.1,6,60,Partially cloudy,partly-cloudy-day,remote
"35.13,118.81",2022-07-02T17:00:00,83.2,93.8,78.4,85.47,0,0,,0,0,19.7,11.1,94,1006.5,99.8,10.1,399,1.4,4,60,Overcast,cloudy,"54945099999,58040099999,54929099999"
"35.13,118.81",2022-07-02T18:00:00,81.6,87.8,74.7,79.81,0,0,,0,0,17,11.6,105.9,1006,44.6,15,230,0.8,2,60,Partially cloudy,partly-cloudy-day,remote
"35.13,118.81",2022-07-02T19:00:00,78.3,78.3,73.8,86.1,0,0,,0,0,21.5,11.6,103.2,1006,7,15,84,0.3,1,30,Clear,clear-day,remote
"35.13,118.81",2022-07-02T20:00:00,80.7,87.9,78.1,91.77,0,0,,0,0,19.7,6.5,98,1007,100,7.8,3,0,0,3,Overcast,cloudy,"54945099999,58040099999,54929099999"
