name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.13,118.81",2022-11-28T00:00:00,56,56,53.9,92.44,0,0,,0,0,3.1,3.4,97.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.13,118.81",2022-11-28T01:00:00,55.8,55.8,53.5,91.83,0,0,,0,0,5.4,4.9,119,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.13,118.81",2022-11-28T02:00:00,55.8,55.8,53.5,91.83,0,0,,0,0,6.3,4.9,140.6,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.13,118.81",2022-11-28T03:00:00,55.1,55.1,52.8,91.81,0,0,,0,0,2.7,2.5,153.4,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.13,118.81",2022-11-28T04:00:00,56,56,53.1,90.04,0.004,100,rain,0,0,8.9,5.4,151.1,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.13,118.81",2022-11-28T05:00:00,55.1,55.1,52.8,91.81,0,0,,0,0,3.1,2.9,112.5,1010,98.3,15,0,,0,10,Overcast,cloudy,remote
"35.13,118.81",2022-11-28T06:00:00,55.3,55.3,52.8,91.21,0,0,rain,0,0,1.3,1.1,274.4,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.13,118.81",2022-11-28T07:00:00,55.8,55.8,53.3,91.23,0.004,100,rain,0,0,1.3,1.3,98,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.13,118.81",2022-11-28T08:00:00,56.7,56.7,53.9,90.07,0,0,rain,0,0,1.8,2,77.8,1010,100,14.4,11,0,0,10,Overcast,cloudy,remote
"35.13,118.81",2022-11-28T09:00:00,57.5,57.5,54.6,90.1,0.008,100,rain,0,0,2.5,2,18.9,1011,100,15,24,0.1,0,10,"Rain, Overcast",rain,
"35.13,118.81",2022-11-28T10:00:00,57.1,57.1,54.8,91.87,0.008,100,rain,0,0,8.1,5.8,328.6,1011,100,10,16,0.1,0,10,"Rain, Overcast",rain,
"35.13,118.81",2022-11-28T11:00:00,56.4,56.4,54.4,93.06,0.043,100,rain,0,0,12.1,6.9,344.4,1012,100,13.7,13,0,0,10,"Rain, Overcast",rain,
"35.13,118.81",2022-11-28T12:00:00,56.4,56.4,54.2,92.46,0.012,100,rain,0,0,13,6.7,4.5,1011,100,15,32,0.1,0,10,"Rain, Overcast",rain,
"35.13,118.81",2022-11-28T13:00:00,56.7,56.7,53.9,90.07,0,100,rain,0,0,15,9.2,9.1,1011,100,15,56,0.2,1,10,"Rain, Overcast",rain,
"35.13,118.81",2022-11-28T14:00:00,54.4,54.4,51.3,89.38,0,100,rain,0,0,19.2,12.1,19.4,1011,100,15,20,0.1,0,10,"Rain, Overcast",rain,
"35.13,118.81",2022-11-28T15:00:00,52.8,52.8,48.3,84.63,0,71.4,rain,0,0,23.9,13.9,18,1012,100,15,18,0.1,0,10,"Rain, Overcast",rain,
"35.13,118.81",2022-11-28T16:00:00,52.4,52.4,47.7,84.04,0,71.4,rain,0,0,27.1,15.4,5.1,1013,88.8,15,16,0.1,0,10,"Rain, Partially cloudy",rain,
"35.13,118.81",2022-11-28T17:00:00,51.3,51.3,47.4,86.28,0.004,71.4,rain,0,0,28.4,16.1,1.1,1015,100,12.6,8,0,0,10,"Rain, Overcast",rain,
"35.13,118.81",2022-11-28T18:00:00,50.4,50.4,46.8,87.41,0.012,71.4,rain,0,0,30,17.2,7,1016,100,15,0,,0,10,"Rain, Overcast",rain,
