name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.2,118.0",2022-07-01T00:00:00,70.1,70.1,67.6,91.72,0.035,100,rain,0,0,6,3.6,157.1,1007,3.9,8.1,0,,0,10,Rain,rain,remote
"35.2,118.0",2022-07-01T01:00:00,70.1,70.1,67.9,92.87,0.031,100,rain,0,0,10.1,4,152.2,1007,6,3.3,0,,0,10,Rain,rain,remote
"35.2,118.0",2022-07-01T02:00:00,69.9,69.9,68.3,94.6,0.031,100,rain,0,0,10.1,2.9,145.7,1007,93.5,7.4,0,,0,3,"Rain, Overcast",rain,remote
"35.2,118.0",2022-07-01T03:00:00,69.9,69.9,68.6,95.78,0,0,rain,0,0,8.9,2.9,116.5,1007,53.5,2.7,0,,0,5,Partially cloudy,partly-cloudy-night,remote
"35.2,118.0",2022-07-01T04:00:00,69.5,69.5,68.8,97.57,0.039,100,rain,0,0,5.8,2.9,80,1007,67.2,9.9,0,,0,5,"Rain, Partially cloudy",rain,remote
"35.2,118.0",2022-07-01T05:00:00,71.9,71.9,70.8,96.4,0,0,,0,0,33.6,2.2,160,1007.5,88.4,1.2,0,,0,5,Partially cloudy,partly-cloudy-day,54929099999
"35.2,118.0",2022-07-01T06:00:00,71.5,71.5,69.7,94.06,0.008,100,rain,0,0,2.5,3.1,59.2,1008,98,14.4,25,0.1,0,3,"Rain, Overcast",rain,remote
"35.2,118.0",2022-07-01T07:00:00,72.1,72.1,69.3,91.23,0.028,100,rain,0,0,3.6,3.4,109.5,1008,99.9,15,102,0.4,1,3,"Rain, Overcast",rain,remote
"35.2,118.0",2022-07-01T08:00:00,76.2,76.2,73.1,90.27,0,0,,0,0,17.9,4.5,120,1008.7,79.8,1.2,162,0.6,2,3,Partially cloudy,partly-cloudy-day,54929099999
"35.2,118.0",2022-07-01T09:00:00,77.6,77.6,71.5,81.48,0,0,,0,0,4.3,4.9,127.2,1008,40.8,15,447,1.6,4,30,Partially cloudy,partly-cloudy-day,remote
"35.2,118.0",2022-07-01T10:00:00,81.2,85.6,71.7,72.85,0,0,,0,0,5.1,5.8,144.4,1008,17,15,715,2.6,7,30,Clear,clear-day,remote
"35.2,118.0",2022-07-01T11:00:00,83.9,91.3,74.4,73.11,0,0,,0,0,8.9,4.5,110,1008.8,0.8,3.7,857,3.1,9,30,Clear,clear-day,54929099999
"35.2,118.0",2022-07-01T12:00:00,86.4,92.4,71.5,61.2,0,0,,0,0,6.3,6,153.2,1008,5.6,15,927,3.3,9,60,Clear,clear-day,remote
"35.2,118.0",2022-07-01T13:00:00,88.8,94.9,71,55.8,0,0,rain,0,0,6.5,5.8,162.8,1007,24.7,15,937,3.4,9,60,Partially cloudy,partly-cloudy-day,remote
"35.2,118.0",2022-07-01T14:00:00,89.9,96.2,71,53.93,0.004,100,rain,0,0,7.2,6.5,182.1,1007,62.2,15,887,3.2,9,60,"Rain, Partially cloudy",rain,remote
"35.2,118.0",2022-07-01T15:00:00,90.1,95.8,70.2,52.33,0,0,,0,0,6.5,6,196,1006,92.2,15,642,2.3,6,60,Overcast,cloudy,remote
"35.2,118.0",2022-07-01T16:00:00,89,94.9,70.8,55.14,0,0,,0,0,5.6,3.8,216.3,1006,49.1,15,273,1,3,60,Partially cloudy,partly-cloudy-day,remote
"35.2,118.0",2022-07-01T17:00:00,89,94.9,70.8,55.14,0,0,,0,0,4.7,2.5,192.8,1006,40.5,15,315,1.1,3,60,Partially cloudy,partly-cloudy-day,remote
"35.2,118.0",2022-07-01T18:00:00,88.6,95.4,71.9,57.85,0,0,,0,0,3.4,2.2,142.9,1006,43.8,15,216,0.8,2,60,Partially cloudy,partly-cloudy-day,remote
"35.2,118.0",2022-07-01T19:00:00,85.4,90.9,71.3,62.97,0,0,,0,0,1.8,1.8,123.3,1006,41,15,76,0.3,1,60,Partially cloudy,partly-cloudy-day,remote
"35.2,118.0",2022-07-01T20:00:00,85.2,92.9,74,69.37,0,0,,0,0,11.2,6.7,150,1006.7,0,6.8,3,0,0,30,Clear,clear-night,54929099999
