name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"34.854578,117.826183",2022-07-01T00:00:00,72.9,72.9,69.2,87.95,0.004,100,rain,0,0,13,5.8,60.7,1007,5.7,15,0,,0,5,Rain,rain,remote
"34.854578,117.826183",2022-07-01T01:00:00,73.1,73.1,69.7,89.05,0,0,,0,0,15.2,5.6,76.2,1006,14.1,15,0,,0,5,Clear,clear-night,remote
"34.854578,117.826183",2022-07-01T02:00:00,73.1,73.1,70.2,90.71,0,0,,0,0,12.5,5.6,74.3,1006,2.1,15,0,,0,5,Clear,clear-night,remote
"34.854578,117.826183",2022-07-01T03:00:00,72.9,72.9,70.8,92.95,0,0,,0,0,11,5.8,76,1006,5,15,0,,0,3,Clear,clear-night,remote
"34.854578,117.826183",2022-07-01T04:00:00,72.8,72.8,71.1,94.67,0,0,,0,0,9.2,5.6,81.5,1006,91.6,15,0,,0,3,Overcast,cloudy,remote
"34.854578,117.826183",2022-07-01T05:00:00,71.9,71.9,70.8,96.4,0,0,,0,0,33.6,2.2,160,1007.5,5,1.2,0,,0,3,Clear,clear-day,54929099999
"34.854578,117.826183",2022-07-01T06:00:00,72.9,72.9,71,93.52,0.059,100,rain,0,0,5.1,2.9,65.9,1007,28.1,11.3,37,0.1,0,3,"Rain, Partially cloudy",rain,remote
"34.854578,117.826183",2022-07-01T07:00:00,75.5,75.5,72.6,90.79,0.043,100,rain,0,0,5.6,5.4,73.3,1008,61.6,15,190,0.7,2,30,"Rain, Partially cloudy",rain,remote
"34.854578,117.826183",2022-07-01T08:00:00,76.2,76.2,73.1,90.27,0,0,,0,0,17.9,4.5,120,1008.7,49.2,1.2,329,1.2,3,30,Partially cloudy,partly-cloudy-day,54929099999
"34.854578,117.826183",2022-07-01T09:00:00,81.4,86.5,73.1,76.04,0,0,,0,0,4.7,5.1,103.7,1008,36.3,15,547,2,5,30,Partially cloudy,partly-cloudy-day,remote
"34.854578,117.826183",2022-07-01T10:00:00,84.5,91,72.9,68.46,0,0,,0,0,4.5,5.1,107.5,1008,14.2,15,725,2.6,7,60,Clear,clear-day,remote
"34.854578,117.826183",2022-07-01T11:00:00,83.9,91.3,74.4,73.11,0,0,,0,0,8.9,4.5,110,1008.8,4.3,3.7,853,3.1,9,60,Clear,clear-day,54929099999
"34.854578,117.826183",2022-07-01T12:00:00,89.9,97.2,72.1,55.94,0,0,,0,0,5.4,5.8,129.8,1007,7.6,15,923,3.3,9,60,Clear,clear-day,remote
