name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"34.57,118.42",2022-11-28T00:00:00,57.3,57.3,53.3,86.61,0,0,,0,0,4,4,128.9,1011,100,15,0,,0,10,Overcast,cloudy,remote
"34.57,118.42",2022-11-28T01:00:00,58.4,58.4,53.7,84.41,0,0,,0,0,3.4,3.4,139,1011,100,15,0,,0,10,Overcast,cloudy,remote
"34.57,118.42",2022-11-28T02:00:00,58.9,58.9,54.1,83.9,0,0,,0,0,4.9,4.5,129.7,1010,100,15,0,,0,10,Overcast,cloudy,remote
"34.57,118.42",2022-11-28T03:00:00,58.7,58.7,54.2,84.99,0,0,,0,0,3.8,3.6,161.2,1011,100,15,0,,0,10,Overcast,cloudy,remote
"34.57,118.42",2022-11-28T04:00:00,59.1,59.1,54.6,85.02,0,0,,0,0,4.3,4.3,146.1,1010,100,15,0,,0,10,Overcast,cloudy,remote
"34.57,118.42",2022-11-28T05:00:00,59.1,59.1,55.1,86.7,0,0,,0,0,7.2,4.9,142.5,1010,100,15,0,,0,10,Overcast,cloudy,remote
"34.57,118.42",2022-11-28T06:00:00,59.1,59.1,55.8,89,0,0,,0,0,3.8,3.8,131.8,1009,100,15,0,,0,10,Overcast,cloudy,remote
"34.57,118.42",2022-11-28T07:00:00,59.3,59.3,56.7,91.35,0.004,100,rain,0,0,5.1,4,149,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"34.57,118.42",2022-11-28T08:00:00,59.4,59.4,57.3,92.55,0.008,100,rain,0,0,4.7,4.3,112.9,1009,100,14.6,4,0,0,10,"Rain, Overcast",rain,remote
"34.57,118.42",2022-11-28T09:00:00,59.8,59.8,57.6,92.56,0,100,rain,0,0,2,2.2,97.5,1010,100,8.6,15,0.1,0,10,"Rain, Overcast",rain,
"34.57,118.42",2022-11-28T10:00:00,59.6,59.6,58.2,94.98,0.043,100,rain,0,0,3.4,2.9,274.4,1011,100,3.6,18,0.1,0,10,"Rain, Overcast",rain,
"34.57,118.42",2022-11-28T11:00:00,58.4,58.4,57.8,98.08,0.126,100,rain,0,0,8.3,6,338.9,1011,100,3.9,4,0,0,10,"Rain, Overcast",rain,
"34.57,118.42",2022-11-28T12:00:00,57.6,57.6,56.7,96.81,0.138,100,rain,0,0,14.3,8.7,350.5,1011,100,3.5,4,0,0,10,"Rain, Overcast",rain,
"34.57,118.42",2022-11-28T13:00:00,57.1,57.1,55.7,94.93,0.02,100,rain,0,0,15.7,9.2,6.5,1010,100,15,9,0,0,10,"Rain, Overcast",rain,
