name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.4,122.31",2022-07-01T00:00:00,73.8,73.8,71.7,92.98,0,0,rain,0,,19,11,229.8,1007,100,12.9,0,,0,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-01T01:00:00,74.2,74.2,71.1,90.19,0,0,,0,,16.1,9.8,193.1,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-01T02:00:00,69.2,69.2,68.6,98.17,0,0,,,,22.4,8.9,210,1009.3,100,2.5,0,,0,3,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-01T03:00:00,73.1,73.1,70.8,92.39,0,0,rain,0,,26.8,16.3,186.7,1007,100,10.9,0,,0,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-01T04:00:00,72.2,72.2,69.9,92.36,0,0,,0,,26.8,16.3,185.8,1008,80.5,13.9,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.4,122.31",2022-07-01T05:00:00,65.9,65.9,65.4,98.14,0.118,100,rain,0,,22.4,11.2,190,1009.5,100,0,3,0,0,10,"Rain, Overcast",rain,54776099999
"37.4,122.31",2022-07-01T06:00:00,72.6,72.6,70.8,94.09,0,0,,0,,19.2,11.6,205.6,1009,71.4,9.8,30,0.1,0,10,Partially cloudy,partly-cloudy-day,remote
"37.4,122.31",2022-07-01T07:00:00,72.9,72.9,70.8,92.95,0,0,,0,,13,9.8,212.2,1009,43.1,15,231,0.8,2,10,Partially cloudy,partly-cloudy-day,remote
"37.4,122.31",2022-07-01T08:00:00,68.3,68.3,67.7,98.16,0,0,,,,22.4,15.7,200,1010.9,100,0,387,1.4,4,10,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-01T09:00:00,74.4,74.4,71.5,90.75,0,0,,0,,10.1,8.1,190.6,1009,100,12.6,376,1.4,4,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-01T10:00:00,74.2,74.2,71.7,91.86,0,0,rain,0,,12.5,10.1,193.6,1010,100,7.3,453,1.6,5,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-01T11:00:00,67.2,67.2,66.5,97.54,0.008,100,rain,0,,22.4,15.7,170,1011.1,78.6,0,611,2.2,6,30,"Rain, Partially cloudy",rain,54776099999
"37.4,122.31",2022-07-01T12:00:00,78.5,78.5,72.4,81.54,0,0,,0,,17.2,13,195.6,1009,5.6,13.4,819,2.9,8,30,Clear,clear-day,remote
"37.4,122.31",2022-07-01T13:00:00,81.1,85.3,71.7,73.28,0,0,,0,,20.6,16.6,194.3,1009,0,15,917,3.3,9,30,Clear,clear-day,remote
"37.4,122.31",2022-07-01T14:00:00,67.2,67.2,66.5,97.54,0.11,100,rain,,,24.6,17.9,190,1010.5,5,0,854,3.1,9,30,Rain,rain,54776099999
"37.4,122.31",2022-07-01T15:00:00,80.3,84.4,72.2,76.41,0,0,,0,,26.4,19.9,193.9,1009,5,15,742,2.7,7,30,Clear,clear-day,remote
"37.4,122.31",2022-07-01T16:00:00,79.6,79.6,72.2,78.23,0,0,,0,,27.7,20.8,192.5,1009,3.4,15,591,2.1,6,30,Clear,clear-day,remote
"37.4,122.31",2022-07-01T17:00:00,67.2,67.2,66.5,97.54,0,0,,0,,24.6,11.2,200,1010.7,28.9,0,411,1.5,4,30,Partially cloudy,partly-cloudy-day,54776099999
"37.4,122.31",2022-07-01T18:00:00,76.7,76.7,72.4,86.54,0,0,,0,,27.3,17.4,190.2,1009,11.2,15,223,0.8,2,30,Clear,clear-day,remote
"37.4,122.31",2022-07-01T19:00:00,75.1,75.1,72.2,90.78,0,0,,0,,27.5,16.3,186.2,1009,75.3,15,63,0.2,1,30,Partially cloudy,partly-cloudy-day,remote
"37.4,122.31",2022-07-01T20:00:00,68.1,68.1,67.4,97.55,0,0,,,,24.6,17.9,190,1011,99.7,0,1,0,0,30,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-01T21:00:00,74.9,74.9,71.3,88.59,0,0,,0,,31.1,17.9,189,1010,48.9,15,0,,0,8,Partially cloudy,partly-cloudy-night,remote
"37.4,122.31",2022-07-01T22:00:00,74.6,74.6,71.1,89.11,0,0,,0,,33.3,19,191.3,1010,59.6,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.4,122.31",2022-07-01T23:00:00,67.2,67.2,66.5,97.54,0,0,,0,,26.8,20.1,190,1010.4,11.9,0,0,,0,3,Clear,clear-night,54776099999
"37.4,122.31",2022-07-02T00:00:00,73.8,73.8,71,90.73,0,0,,0,,30.2,17,192.6,1010,16.1,15,0,,0,3,Clear,clear-night,remote
"37.4,122.31",2022-07-02T01:00:00,73.7,73.7,71,91.28,0,0,,0,,28.9,16.3,190.7,1010,84.8,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.4,122.31",2022-07-02T02:00:00,67.7,67.7,67.2,98.16,0,0,,,,29.1,13.4,200,1011.2,13.8,0,0,,0,3,Clear,clear-night,54776099999
"37.4,122.31",2022-07-02T03:00:00,72.4,72.4,70.2,92.94,0,0,rain,0,,28,15.9,186.7,1010,100,2.2,0,,0,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-02T04:00:00,72.4,72.4,70.2,92.94,0,0,rain,0,,28,15.4,181.3,1009,100,1.7,0,,0,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-02T05:00:00,65.6,65.6,65,98.14,0.004,100,rain,0,,29.1,11.2,180,1011.6,100,0,1,0,0,3,"Rain, Overcast",rain,54776099999
"37.4,122.31",2022-07-02T06:00:00,72.6,72.6,70.6,93.51,0,0,rain,0,,26.8,16.1,182.3,1010,100,4.7,13,0,0,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-02T07:00:00,73.7,73.7,71.1,91.84,0,0,,0,,24.8,14.8,184.3,1010,100,15,60,0.2,1,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-02T08:00:00,65.9,65.9,65.6,98.76,0,0,,,,29.1,8.9,110,1013.1,74.1,0,250,0.9,3,10,Partially cloudy,partly-cloudy-day,54776099999
"37.4,122.31",2022-07-02T09:00:00,76.4,76.4,71,83.41,0,0,,0,,26.6,19.5,187.8,1010,0,15,580,2.1,6,30,Clear,clear-day,remote
"37.4,122.31",2022-07-02T10:00:00,78.2,78.2,70.8,78.11,0,0,,0,,29.3,21.5,192,1009,0,15,769,2.8,8,30,Clear,clear-day,remote
"37.4,122.31",2022-07-02T11:00:00,66.8,66.8,66.3,98.15,0.004,100,rain,0,,29.1,15.7,180,1012.3,3.8,0,873,3.1,9,30,Rain,rain,54776099999
"37.4,122.31",2022-07-02T12:00:00,80,80,71.1,74.53,0,0,,0,,27.3,20.8,195.3,1009,3.5,15,922,3.3,9,30,Clear,clear-day,remote
"37.4,122.31",2022-07-02T13:00:00,80.3,83.9,70.8,72.77,0,0,,0,,26.2,20.4,196.5,1009,45.6,15,918,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"37.4,122.31",2022-07-02T14:00:00,67.4,67.4,66.8,98.15,0,0,,,,24.6,17.9,180,1010.8,77.6,0,847,3,8,30,Partially cloudy,partly-cloudy-day,54776099999
"37.4,122.31",2022-07-02T15:00:00,79.4,79.4,71.3,76.33,0,0,,0,,27.1,20.8,197.4,1008,67.5,15,630,2.3,6,30,Partially cloudy,partly-cloudy-day,remote
"37.4,122.31",2022-07-02T16:00:00,78.9,78.9,71.9,79.13,0,0,,0,,26.2,19.2,195.1,1008,2.1,15,500,1.8,5,30,Clear,clear-day,remote
"37.4,122.31",2022-07-02T17:00:00,67.4,67.4,66.8,98.15,0,0,,0,,24.6,11.2,200,1010.3,3,0,417,1.5,4,30,Clear,clear-day,54776099999
"37.4,122.31",2022-07-02T18:00:00,76.2,76.2,72.2,87.57,0,0,,0,,24.8,17,193.6,1008,5,15,229,0.8,2,30,Clear,clear-day,remote
"37.4,122.31",2022-07-02T19:00:00,74.7,74.7,71.9,90.77,0,0,,0,,23.7,15.2,193.5,1009,8.5,15,65,0.2,1,10,Clear,clear-day,remote
"37.4,122.31",2022-07-02T20:00:00,65.9,65.9,65.6,98.76,0,0,,,,24.6,13.4,200,1010.2,11,0,1,0,0,3,Clear,clear-night,54776099999
"37.4,122.31",2022-07-02T21:00:00,72.6,72.6,71,94.66,0,0,,0,,18.1,11,180.6,1010,13.4,15,0,,0,3,Clear,clear-night,remote
"37.4,122.31",2022-07-02T22:00:00,72.4,72.4,70.8,94.66,0,0,,0,,18.8,11.4,178.2,1010,14.4,15,0,,0,3,Clear,clear-night,remote
"37.4,122.31",2022-07-02T23:00:00,66.3,66.3,65.6,97.53,0,0,,0,,24.6,11.2,190,1011.1,65.1,0,0,,0,3,Partially cloudy,partly-cloudy-night,54776099999
"37.4,122.31",2022-07-03T00:00:00,71.9,71.9,70.2,94.65,0,0,,0,,17.4,10.1,182.1,1010,96.6,15,0,,0,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-03T01:00:00,71.5,71.5,70.1,95.22,0,0,,0,,17.4,10.1,181.4,1010,72.5,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.4,122.31",2022-07-03T02:00:00,66.5,66.5,65.9,98.15,0,0,,,,24.6,11.2,200,1010.6,100,0,0,,0,3,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-03T03:00:00,71.7,71.7,69.7,93.49,0,0,,0,,13.2,8.1,173.2,1009,100,15,0,,0,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-03T04:00:00,71.1,71.1,69.7,95.22,0,0,,0,,11.9,7.6,168,1009,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-03T05:00:00,65.4,65.4,64.7,97.52,0,0,,0,,22.4,8.9,180,1009.9,100,0,4,0,0,3,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-03T06:00:00,71.9,71.9,70.1,94.07,0,0,,0,,11,6.7,169.1,1009,100,15,73,0.3,1,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-03T07:00:00,73.3,73.3,70.1,89.61,0,0,,0,,11.4,9.2,169.1,1009,100,15,223,0.8,2,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-03T08:00:00,65,65,64.7,98.75,0,0,,,,20.1,8.9,170,1009.9,100,0,396,1.4,4,10,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-03T09:00:00,76.2,76.2,69.9,80.88,0,0,,0,,10.7,8.9,166.5,1009,100,15,559,2,6,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-03T10:00:00,77.4,77.4,69.3,76.16,0,0,,0,,10.7,8.9,170.4,1009,100,15,676,2.4,7,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-03T11:00:00,67.2,67.2,66.3,96.94,0,0,,0,,20.1,11.2,170,1009.7,100,4.3,800,2.9,8,10,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-03T12:00:00,79.4,79.4,69,70.48,0,0,,0,,11.4,10.1,169.5,1008,100,15,810,2.9,8,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-03T13:00:00,80,80,69,69.24,0,0,,0,,12.1,10.7,175.5,1008,100,15,828,3,8,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-03T14:00:00,69.5,69.5,67.4,92.85,0,0,,,,20.1,11.2,190,1009.4,100,4.3,753,2.7,8,3,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-03T15:00:00,79.1,79.1,69.2,71.76,0,0,,0,,12.3,10.7,165.4,1006,100,15,470,1.7,5,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-03T16:00:00,78.3,78.3,69.9,75.31,0,0,,0,,11.9,9.8,167,1006,100,15,333,1.2,3,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-03T17:00:00,69.5,69.5,68.3,95.77,0,0,,0,,20.1,8.9,120,1008.2,100,0.6,205,0.7,2,3,Overcast,fog,54776099999
"37.4,122.31",2022-07-03T18:00:00,76.6,76.6,70.1,80.41,0,0,,0,,8.7,6.7,191.5,1007,100,15,181,0.7,2,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-03T19:00:00,75.3,75.3,69.7,82.83,0,0,,0,,4.7,4.7,186.7,1007,99.2,15,52,0.2,1,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-03T20:00:00,68.3,68.3,67.7,98.16,0,0,,,,17.9,6.7,160,1007.6,100,0,1,0,0,10,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-03T21:00:00,73.1,73.1,69.2,87.42,0,0,,0,,7.6,6.5,159.3,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-03T22:00:00,72.8,72.8,69,87.95,0,0,,0,,5.6,5.6,145.3,1007,68.3,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.4,122.31",2022-07-03T23:00:00,67.7,67.7,67.2,98.16,0,0,,0,,17.9,6.7,160,1007.8,100,0,0,,0,10,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-04T00:00:00,72.1,72.1,68.4,88.46,0,0,,0,,5.8,5.6,153.7,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-04T01:00:00,72.1,72.1,68.4,88.46,0,0,,0,,5.1,4.9,166.7,1006,99.9,15,0,,0,5,Overcast,cloudy,remote
"37.4,122.31",2022-07-04T02:00:00,69.2,69.2,68.6,98.17,0,0,,,,13.4,6.7,140,1006.8,97.5,0,0,,0,10,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-04T03:00:00,72.1,72.1,68.8,89.56,0,0,,0,,5.1,5.1,152.2,1005,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-04T04:00:00,72.2,72.2,68.8,89.01,0,0,,0,,6.3,6,150.5,1005,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-04T05:00:00,69,69,68.3,97.56,0,0,,0,,13.4,8.9,140,1006.1,100,0,1,0,0,10,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-04T06:00:00,72.4,72.4,69.2,89.57,0,0,,0,,8.1,5.4,157,1005,54.7,15,13,0,0,10,Partially cloudy,partly-cloudy-day,remote
"37.4,122.31",2022-07-04T07:00:00,73.7,73.7,69.7,87.45,0,0,,0,,8.9,7.2,160.3,1005,100,15,207,0.7,2,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-04T08:00:00,69.9,69.9,69.2,97.57,0,0,,,,13.4,6.7,180,1006.5,89.5,0,384,1.4,4,3,Partially cloudy,partly-cloudy-day,54776099999
"37.4,122.31",2022-07-04T09:00:00,76.9,76.9,71,81.93,0,0,,0,,10.5,8.9,153.5,1005,100,15,442,1.6,4,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-04T10:00:00,78.3,78.3,71,78.13,0,0,,0,,10.7,9.4,155.2,1005,100,15,700,2.5,7,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-04T11:00:00,71.3,71.3,70.4,96.99,0,0,,0,,13.4,6.7,150,1006.7,100,2.5,782,2.8,8,10,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-04T12:00:00,80.7,84.5,71.1,72.8,0,0,,0,,13.4,11.9,180.9,1004,74.7,15,852,3.1,9,10,Partially cloudy,partly-cloudy-day,remote
"37.4,122.31",2022-07-04T13:00:00,81.1,85.1,71.1,71.95,0,0,,0,,12.3,11.2,189.5,1004,91.2,15,884,3.2,9,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-04T14:00:00,75.5,75.5,71.9,88.61,0,0,,,,13.4,4.5,170,1006.2,100,8.1,807,2.9,8,10,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-04T15:00:00,80.7,84.2,70.2,70.61,0,0,,0,,13,11.6,160.4,1003,100,15,609,2.2,6,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-04T16:00:00,79.6,79.6,70.4,73.59,0,0,,0,,13.4,11.9,171.2,1004,76.8,15,437,1.6,4,10,Partially cloudy,partly-cloudy-day,remote
"37.4,122.31",2022-07-04T17:00:00,72.2,72.2,70.4,94.08,0,0,,0,,13.4,8.9,130,1005.1,46.9,4.3,388,1.4,4,3,Partially cloudy,partly-cloudy-day,54776099999
"37.4,122.31",2022-07-04T18:00:00,78,78,71.1,79.54,0,0,,0,,10.5,9.2,176.4,1004,98.7,15,225,0.8,2,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-04T19:00:00,76.6,76.6,71.1,83.42,0,0,,0,,9.6,8.1,178.4,1004,100,15,55,0.2,1,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-04T20:00:00,71.9,71.9,70.4,95.23,0,0,,,,15.7,11.2,170,1005,100,5,0,,0,3,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-04T21:00:00,75.3,75.3,71.3,87.53,0,0,,0,,6,5.8,150,1005,57.3,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.4,122.31",2022-07-04T22:00:00,74.9,74.9,71.1,88.05,0,0,,0,,5.6,5.4,149.7,1005,5,15,0,,0,3,Clear,clear-night,remote
"37.4,122.31",2022-07-04T23:00:00,72.2,72.2,71.3,97,0,0,,0,,15.7,4.5,160,1006.6,2.1,3.1,0,,0,3,Clear,clear-night,54776099999
"37.4,122.31",2022-07-05T00:00:00,73.5,73.5,70.6,90.72,0,0,,0,,4.5,4.5,179,1005,5,15,0,,0,3,Clear,clear-night,remote
"37.4,122.31",2022-07-05T01:00:00,73.3,73.3,70.4,90.71,0,0,,0,,5.6,5.4,188.5,1005,31.9,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.4,122.31",2022-07-05T02:00:00,72.2,72.2,71.7,98.19,0,0,,,,15.7,6.7,210,1006.2,99.7,0,0,,0,3,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-05T03:00:00,73.8,73.8,70.6,89.63,0,0,,0,,4.9,4.5,171.1,1005,100,15,0,,0,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-05T04:00:00,73.7,73.7,70.8,90.73,0,0,,0,,3.1,3.1,171.5,1005,100,15,0,,0,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-05T05:00:00,72.8,72.8,72.2,98.19,0,0,,0,,15.7,6.7,210,1005.6,99.8,0,1,0,0,3,Overcast,cloudy,54776099999
"37.4,122.31",2022-07-05T06:00:00,74,74,71,90.19,0,0,,0,,4.9,4.7,152.1,1005,94.3,15,19,0.1,0,3,Overcast,cloudy,remote
"37.4,122.31",2022-07-05T07:00:00,75.1,75.1,71.1,87.52,0,0,,0,,5.6,4.9,162.4,1005,74.6,15,134,0.5,1,3,Partially cloudy,partly-cloudy-day,remote
"37.4,122.31",2022-07-05T08:00:00,70.1,70.1,69.5,98.17,0,0,,,,15.7,4.5,180,1006.1,42.9,0,286,1,3,3,Partially cloudy,partly-cloudy-day,54776099999
"37.4,122.31",2022-07-05T09:00:00,77.6,77.6,71,80,0,0,,0,,4.9,4.3,94.5,1005,16.7,15,566,2,6,10,Clear,clear-day,remote
"37.4,122.31",2022-07-05T10:00:00,77.4,77.4,71,80.48,0,0,,0,,7.2,7.6,76.1,1005,70.1,15,767,2.8,8,3,Partially cloudy,partly-cloudy-day,remote
"37.4,122.31",2022-07-05T11:00:00,73.7,73.7,71.9,94.11,0,0,,0,,11.2,6.7,140,1006.2,29.5,0,857,3.1,9,10,Partially cloudy,partly-cloudy-day,54776099999
"37.4,122.31",2022-07-05T12:00:00,78,78,71,79.06,0,0,,0,,14.1,12.5,88.1,1005,72.6,6.2,918,3.3,9,10,Partially cloudy,partly-cloudy-day,remote
"37.4,122.31",2022-07-05T13:00:00,78.5,78.5,70.8,77.19,0,0,,0,,17.4,14.1,96.2,1004,31.5,6.3,871,3.1,9,10,Partially cloudy,partly-cloudy-day,remote
"37.4,122.31",2022-07-05T14:00:00,76.4,76.4,73.1,89.73,0,0,,,,11.2,8.9,140,1005.3,55.9,6.8,839,3,8,10,Partially cloudy,partly-cloudy-day,54776099999
"37.4,122.31",2022-07-05T15:00:00,80.3,84,71.1,73.66,0,0,,0,,17.2,14.3,132.3,1004,70,15,731,2.6,7,10,Partially cloudy,partly-cloudy-day,remote
"37.4,122.31",2022-07-05T16:00:00,81.1,85,71,71.51,0,0,,0,,14.5,12.8,143.7,1004,99.9,15,452,1.6,5,10,Overcast,cloudy,remote
"37.4,122.31",2022-07-05T17:00:00,74,74,71,90.19,0,0,,0,,13.4,8.9,180,1004.9,74.2,6.2,369,1.3,4,10,Partially cloudy,partly-cloudy-day,54776099999
"37.4,122.31",2022-07-05T18:00:00,79.1,79.1,71.3,77.24,0,0,,0,,12.5,10.3,156.3,1004,100,15,195,0.7,2,10,Overcast,cloudy,remote
