name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.4,122.31",2022-11-28T00:00:00,55.5,55.5,51.9,87.66,0,0,,0,,26.2,12.3,164,1014,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.31",2022-11-28T01:00:00,55.8,55.8,52.4,88.26,0,0,,0,,27.7,14.8,156.7,1014,38.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.4,122.31",2022-11-28T02:00:00,56,56,53.7,91.84,0,0,,,,30,15.9,156.7,1013,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.31",2022-11-28T03:00:00,56.9,56.9,55.1,93.69,0.012,100,rain,0,,25.5,13.9,161.6,1012,100,12,0,,0,10,"Rain, Overcast",rain,remote
"37.4,122.31",2022-11-28T04:00:00,57.8,57.8,56,93.72,0.004,100,rain,0,,27.5,15,166,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.4,122.31",2022-11-28T05:00:00,58.7,58.7,57.1,94.35,0,0,,0,,28,16.1,179,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.31",2022-11-28T06:00:00,59.3,59.3,57.6,94.36,0,0,,0,,23.3,13.2,186.3,1010,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.31",2022-11-28T07:00:00,59.4,59.4,58,94.98,0.012,100,rain,0,,20.6,11.4,200.3,1011,100,12.7,0,,0,10,"Rain, Overcast",rain,remote
"37.4,122.31",2022-11-28T08:00:00,59.3,59.3,58.2,96.21,0.024,100,rain,,,18.3,10.1,204.3,1010,100,9.4,4,0,0,10,"Rain, Overcast",rain,remote
"37.4,122.31",2022-11-28T09:00:00,58.9,58.9,58,96.83,0.039,100,rain,0,,17.2,10.3,227.8,1011,100,6.6,7,0,0,10,"Rain, Overcast",rain,
"37.4,122.31",2022-11-28T10:00:00,58.2,58.2,57.6,98.08,0.098,100,rain,0,,9.8,6.5,250.3,1011,100,7.5,5,0,0,10,"Rain, Overcast",rain,
"37.4,122.31",2022-11-28T11:00:00,58,58,57.5,98.08,0.055,100,rain,0,,12.3,7.8,268.8,1011,100,3.9,12,0,0,10,"Rain, Overcast",rain,
"37.4,122.31",2022-11-28T12:00:00,57.8,57.8,57.5,98.71,0.063,100,rain,0,,7.6,6,247.4,1010,100,9.6,7,0,0,10,"Rain, Overcast",rain,
"37.4,122.31",2022-11-28T13:00:00,57.8,57.8,57.3,98.08,0.079,100,rain,0,,15.9,10.3,283.9,1010,100,7.3,43,0.2,0,10,"Rain, Overcast",rain,
"37.4,122.31",2022-11-28T14:00:00,56.6,56.6,55.8,97.43,0.047,100,rain,,,19.5,14.3,297.7,1010,100,4.2,30,0.1,0,10,"Rain, Overcast",rain,
"37.4,122.31",2022-11-28T15:00:00,55.3,55.3,54.2,96.15,0.02,90.5,rain,0,,22.1,15.4,316.7,1011,100,15,23,0.1,0,10,"Rain, Overcast",rain,
"37.4,122.31",2022-11-28T16:00:00,52.4,52.4,51,94.83,0.028,90.5,rain,0,,21,19.2,348.6,1012,100,12.1,11,0,0,10,"Rain, Overcast",rain,
"37.4,122.31",2022-11-28T17:00:00,51.7,51.7,49.2,91.08,0.004,90.5,rain,0,,21.9,19.9,330.9,1013,100,15,3,0,0,10,"Rain, Overcast",rain,
"37.4,122.31",2022-11-28T18:00:00,50.1,50.1,47.2,89.79,0.004,90.5,rain,0,,25.9,23.9,333.6,1014,100,14.8,0,,0,10,"Rain, Overcast",rain,
"37.4,122.31",2022-11-28T19:00:00,49.2,41.5,45,85.57,0.004,90.5,rain,0,,30.6,26.4,336.8,1015,100,15,0,,0,10,"Rain, Overcast",rain,
"37.4,122.31",2022-11-28T20:00:00,48.8,40.9,44.3,84.38,0,90.5,rain,,,31.5,26.8,337.2,1016,100,15,0,,0,10,"Rain, Overcast",rain,
"37.4,122.31",2022-11-28T21:00:00,48.6,40.8,43.6,82.65,0,0,,0,,32,25.7,345,1015,100,15,0,,0,10,Overcast,cloudy,
"37.4,122.31",2022-11-28T22:00:00,48.6,41.3,42.9,80.4,0,0,,0,,29.3,22.8,341.7,1016,100,15,0,,0,10,Overcast,cloudy,
"37.4,122.31",2022-11-28T23:00:00,49,41,41.6,75.58,0,0,,0,,33.6,28,343.1,1016,100,15,0,,0,10,Overcast,cloudy,
"37.4,122.31",2022-11-29T00:00:00,48.6,40.1,38.4,67.54,0,0,,0,,36.7,30.6,342.2,1018,100,15,0,,0,10,Overcast,wind,
"37.4,122.31",2022-11-29T01:00:00,47.4,38.4,36.6,65.97,0,0,,0,,34.9,30.4,348.5,1018,100,15,0,,0,10,Overcast,wind,
"37.4,122.31",2022-11-29T02:00:00,46.3,37,35,64.44,0,0,,,,34.4,30.4,348.5,1020,100,15,0,,0,10,Overcast,wind,
"37.4,122.31",2022-11-29T03:00:00,44.3,34.1,34.4,67.99,0,14.3,,0,,34.4,31.5,352.7,1020,100,15,0,,0,10,Overcast,wind,
"37.4,122.31",2022-11-29T04:00:00,43.1,32.3,33.3,68.33,0,14.3,,0,,35.1,32.4,354,1021,100,15,0,,0,10,Overcast,wind,
"37.4,122.31",2022-11-29T05:00:00,41.6,30.4,29.6,62,0,14.3,,0,,34.9,31.5,350.6,1022,100,15,0,,0,10,Overcast,wind,
"37.4,122.31",2022-11-29T06:00:00,40.4,28.8,27.4,59.58,0,14.3,,0,,34,30.9,349.2,1024,100,15,0,,0,10,Overcast,wind,
"37.4,122.31",2022-11-29T07:00:00,38.2,25.3,27.9,66.27,0,14.3,,0,,36,34.2,353.5,1024,100,15,1,0,0,10,Overcast,wind,
"37.4,122.31",2022-11-29T08:00:00,35.9,22.3,26.3,67.98,0,14.3,,,,35.3,33.1,350.9,1026,73.1,15,57,0.2,1,10,Partially cloudy,wind,
"37.4,122.31",2022-11-29T09:00:00,35,21.1,25.6,68.38,0,4.8,,0,,35.3,33.1,348.7,1027,100,15,207,0.7,2,10,Overcast,wind,
"37.4,122.31",2022-11-29T10:00:00,34.2,20.2,24.9,68.29,0,4.8,,0,,35.3,32.2,347.7,1028,100,15,225,0.8,2,10,Overcast,wind,
"37.4,122.31",2022-11-29T11:00:00,34.2,20.4,24.2,66.27,0,4.8,,0,,34.4,31.3,347.5,1028,100,15,343,1.2,3,10,Overcast,wind,
"37.4,122.31",2022-11-29T12:00:00,34.4,20.9,23.8,64.82,0,4.8,,0,,34,30,346.4,1028,100,15,410,1.5,4,10,Overcast,cloudy,
"37.4,122.31",2022-11-29T13:00:00,34.8,21,24.2,64.86,0,4.8,,0,,35.8,32.2,344.8,1028,100,15,425,1.5,4,10,Overcast,wind,
"37.4,122.31",2022-11-29T14:00:00,34.6,20.8,24,64.84,0,4.8,,,,36,31.8,344.1,1028,100,15,319,1.1,3,10,Overcast,wind,
"37.4,122.31",2022-11-29T15:00:00,35,21.4,23.6,62.96,0,38.1,,0,,36,31.3,340.9,1029,100,15,172,0.6,2,10,Overcast,wind,
"37.4,122.31",2022-11-29T16:00:00,35,21.6,23.1,61.55,0,38.1,snow,0,,34.4,30,340.8,1029,100,3.5,37,0.1,0,10,Overcast,cloudy,
"37.4,122.31",2022-11-29T17:00:00,35.7,23.1,22.7,58.92,0,38.1,,0,,33.8,27.5,337.3,1030,100,15,7,0,0,10,Overcast,cloudy,
"37.4,122.31",2022-11-29T18:00:00,35.5,23.3,27.9,73.71,0,38.1,snow,0,,31.1,25.3,330.7,1031,100,10.5,0,,0,10,Overcast,cloudy,
"37.4,122.31",2022-11-29T19:00:00,37.7,25.3,24,57.45,0.004,38.1,rain,0,,34.2,29.8,325.2,1031,100,12.7,0,,0,10,Overcast,cloudy,
"37.4,122.31",2022-11-29T20:00:00,36.2,22.7,21.6,55.11,0,38.1,,,,37.8,33.8,316.8,1032,100,15,0,,0,10,Overcast,wind,
"37.4,122.31",2022-11-29T21:00:00,35.5,21.6,22,57.57,0,85.7,"rain,snow",0,,36.2,34,320.3,1033,100,15,0,,0,10,"Snow, Rain, Overcast",rain,
"37.4,122.31",2022-11-29T22:00:00,33.7,19.1,20.4,57.75,0,85.7,"rain,snow",0,,37.4,34.7,317.8,1033,100,15,0,,0,10,"Snow, Rain, Overcast",rain,
"37.4,122.31",2022-11-29T23:00:00,33,18.9,20.6,59.89,0,85.7,"rain,snow",0,,34.4,30.2,321.5,1034,100,13.4,0,,0,10,"Snow, Rain, Overcast",rain,
"37.4,122.31",2022-11-30T00:00:00,32.3,18.3,24.7,73.38,0.008,85.7,snow,0,,31.1,28.2,334.1,1034,100,2.5,0,,0,10,"Snow, Overcast",rain,
"37.4,122.31",2022-11-30T01:00:00,31.2,16.6,25.6,79.57,0.016,85.7,snow,0,,31.1,29.5,338.2,1034,100,1.6,0,,0,10,"Snow, Overcast",snow,
"37.4,122.31",2022-11-30T02:00:00,30.6,15.9,23.4,74.32,0.008,85.7,snow,,,31.8,29.3,338.3,1035,100,8.9,0,,0,10,"Snow, Overcast",snow,
"37.4,122.31",2022-11-30T03:00:00,31,16.5,21.3,66.88,0.004,90.5,"rain,snow",0,,31.3,28.6,336,1035,100,8.4,0,,0,10,"Snow, Rain, Overcast",snow,
"37.4,122.31",2022-11-30T04:00:00,30.6,16.2,20.9,66.83,0,90.5,snow,0,,30.4,28,335.8,1035,100,7.7,0,,0,10,"Snow, Overcast",snow,
"37.4,122.31",2022-11-30T05:00:00,30.6,16.3,21.1,67.34,0,90.5,"rain,snow",0,,29.8,27.5,334.4,1035,100,11.7,0,,0,10,"Snow, Rain, Overcast",snow,
"37.4,122.31",2022-11-30T06:00:00,30.6,16.2,20.7,66.32,0,90.5,"rain,snow",0,,30.6,28.2,332.7,1035,100,12.3,0,,0,10,"Snow, Rain, Overcast",snow,
"37.4,122.31",2022-11-30T07:00:00,30.6,16.3,20.4,65.32,0.004,90.5,"rain,snow",0,,29.5,27.5,330.5,1036,100,12.2,1,0,0,10,"Snow, Rain, Overcast",snow,
"37.4,122.31",2022-11-30T08:00:00,30.8,16.4,20,63.86,0,90.5,"rain,snow",,,29.3,28.2,331.6,1037,100,13,32,0.1,0,10,"Snow, Rain, Overcast",snow,
"37.4,122.31",2022-11-30T09:00:00,30.6,16.2,19.8,63.83,0,76.2,"rain,snow",0,,29.3,28,334.8,1037,100,15,94,0.3,1,10,"Snow, Rain, Overcast",snow,
