name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.09,121.29",2022-07-01T00:00:00,73.3,73.3,70.8,91.83,0,0,,0,0,18.3,8.5,137,1007,100,15,0,,0,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-01T01:00:00,72.6,72.6,70.4,92.94,0,0,,0,0,27.3,7.6,149.8,1007,100,15,0,,0,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-01T02:00:00,72.6,72.6,72.2,98.79,0,0,rain,0,0,22.4,2.2,140,1008.5,100,7.5,0,,0,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-01T03:00:00,72.1,72.1,70.1,93.5,0,0,,0,0,15.4,6.7,179.3,1008,99.9,15,0,,0,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-01T04:00:00,71.7,71.7,70.2,95.23,0,0,,0,0,20.6,8.3,178,1008,94.5,12.1,0,,0,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-01T05:00:00,74.9,74.9,74.6,98.8,0.004,100,rain,0,0,22.4,4.5,170,1008.8,51.6,6.2,1,0,0,10,"Rain, Partially cloudy",rain,54863099999
"37.09,121.29",2022-07-01T06:00:00,72.9,72.9,70.6,92.38,0,0,,0,0,8.1,4.5,177.7,1009,86.4,15,64,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
"37.09,121.29",2022-07-01T07:00:00,74.4,74.4,70.8,88.56,0,0,,0,0,7.6,4.9,176.3,1009,99.7,15,199,0.7,2,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-01T08:00:00,76.2,76.2,75.8,98.81,0,0,,0,0,22.4,4.5,170,1009.8,98.8,8.1,301,1.1,3,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-01T09:00:00,76.7,76.7,72.6,87.07,0,0,,0,0,12.5,7.2,183.3,1009,91.2,9.3,344,1.2,3,30,Overcast,cloudy,remote
"37.09,121.29",2022-07-01T10:00:00,78.9,78.9,72.8,81.57,0,0,,0,0,11.6,8.1,179.9,1009,23,13.6,526,1.9,5,30,Partially cloudy,partly-cloudy-day,remote
"37.09,121.29",2022-07-01T11:00:00,77.1,77.1,76.7,98.81,0,0,rain,0,0,17.9,6.7,170,1010.4,5,3.1,860,3.1,9,30,Clear,clear-day,54863099999
"37.09,121.29",2022-07-01T12:00:00,83.7,89.7,72.6,69.22,0,0,,0,0,17.4,13.6,181.1,1009,2.6,12.2,927,3.3,9,30,Clear,clear-day,remote
"37.09,121.29",2022-07-01T13:00:00,83.4,89.3,72.8,70.45,0,0,,0,0,20.6,15.7,178.5,1009,2.4,10.9,924,3.3,9,30,Clear,clear-day,remote
"37.09,121.29",2022-07-01T14:00:00,77.1,77.1,76.7,98.81,0,0,,0,0,17.9,8.9,180,1009.6,1.2,3.1,863,3.1,9,30,Clear,clear-day,54863099999
"37.09,121.29",2022-07-01T15:00:00,82.3,88.2,73.5,74.75,0,0,,0,0,21.9,15.7,178.3,1009,5.3,15,752,2.7,8,60,Clear,clear-day,remote
"37.09,121.29",2022-07-01T16:00:00,81.2,86.3,73.3,76.95,0,0,,0,0,22.6,15.4,179.3,1008,4,15,599,2.2,6,30,Clear,clear-day,remote
"37.09,121.29",2022-07-01T17:00:00,76.4,76.4,75.8,98.22,0,0,,0,0,17.9,11.2,180,1009.3,57.6,3.7,421,1.5,4,30,Partially cloudy,partly-cloudy-day,54863099999
"37.09,121.29",2022-07-01T18:00:00,77.6,77.6,72.9,85.55,0,0,,0,0,24.4,13,176,1009,8.1,15,225,0.8,2,30,Clear,clear-day,remote
"37.09,121.29",2022-07-01T19:00:00,75.1,75.1,73.1,93.58,0,0,,0,0,23,8.9,166.5,1009,61.3,15,68,0.2,1,30,Partially cloudy,partly-cloudy-day,remote
"37.09,121.29",2022-07-01T20:00:00,75.8,75.8,75.5,98.81,0,0,,0,0,17.9,4.5,190,1010.5,93.9,3.7,1,0,0,30,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-01T21:00:00,74.2,74.2,72.4,94.13,0,0,,0,0,23.5,7.4,169.7,1010,100,5.6,0,,0,30,Overcast,cloudy,remote
"37.09,121.29",2022-07-01T22:00:00,74,74,72.4,94.69,0,0,,0,0,24.2,8.3,170.9,1010,100,4.3,0,,0,30,Overcast,cloudy,remote
"37.09,121.29",2022-07-01T23:00:00,75.5,75.5,74.9,98.21,0,0,,0,0,17.9,6.7,160,1010.4,99.9,7.5,0,,0,30,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-02T00:00:00,73.7,73.7,71.9,94.11,0,0,,0,0,27.1,8.5,176.5,1010,79.7,6.8,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.09,121.29",2022-07-02T01:00:00,73.8,73.8,71.9,93.55,0,0,,0,0,27.3,10.1,173.5,1010,89.1,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.09,121.29",2022-07-02T02:00:00,74.9,74.9,74.6,98.8,0.028,100,rain,0,0,17.9,6.7,200,1009.8,100,5,0,,0,8,"Rain, Overcast",rain,54863099999
"37.09,121.29",2022-07-02T03:00:00,72.2,72.2,71.3,97,0,0,rain,0,0,18.3,6.5,180.7,1009,100,0.4,0,,0,3,Overcast,fog,remote
"37.09,121.29",2022-07-02T04:00:00,72.1,72.1,71.3,97.59,0,0,,0,0,16.3,5.4,183,1009,100,0.2,0,,0,3,Overcast,fog,remote
"37.09,121.29",2022-07-02T05:00:00,72.2,72.2,70.8,95.24,0.287,100,rain,0,0,22.4,6.7,270,1010.7,100,11.8,0,,0,8,"Rain, Overcast",rain,54863099999
"37.09,121.29",2022-07-02T06:00:00,72.6,72.6,71.3,95.83,0,0,,0,0,13.4,4.9,187.1,1010,100,5.7,16,0.1,0,30,Overcast,cloudy,remote
"37.09,121.29",2022-07-02T07:00:00,73.3,73.3,71.7,94.68,0,0,,0,0,11,4.9,157.8,1010,100,11.4,57,0.2,1,30,Overcast,cloudy,remote
"37.09,121.29",2022-07-02T08:00:00,76.7,76.7,71.9,84.98,0,0,,0,0,22.4,4.5,220,1010.9,100,18.6,112,0.4,1,30,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-02T09:00:00,74.6,74.6,72.2,92.43,0,0,,0,0,17.4,8.1,168.9,1010,100,15,183,0.7,2,30,Overcast,cloudy,remote
"37.09,121.29",2022-07-02T10:00:00,77.3,77.3,72.8,86.05,0,0,,0,0,19.2,13.6,184.5,1010,73.5,15,343,1.2,3,30,Partially cloudy,partly-cloudy-day,remote
"37.09,121.29",2022-07-02T11:00:00,77.3,77.3,74.6,91.41,0.004,100,rain,0,0,22.4,8.9,180,1011.7,13,17.4,679,2.4,7,60,Rain,rain,54863099999
"37.09,121.29",2022-07-02T12:00:00,82.5,88,72.8,72.53,0,0,,0,0,19.5,15.7,183.7,1009,4.7,15,920,3.3,9,60,Clear,clear-day,remote
"37.09,121.29",2022-07-02T13:00:00,82.7,88.2,72.6,71.67,0,0,,0,0,20.6,16.8,188.3,1009,3.4,15,922,3.3,9,30,Clear,clear-day,remote
"37.09,121.29",2022-07-02T14:00:00,76.7,76.7,74.9,94.18,0,0,,0,0,22.4,11.2,180,1010.6,2.5,14.3,863,3.1,9,30,Clear,clear-day,54863099999
"37.09,121.29",2022-07-02T15:00:00,81.2,86,72.6,75.1,0,0,,0,0,21.9,17,188.7,1009,0.4,15,755,2.7,8,30,Clear,clear-day,remote
"37.09,121.29",2022-07-02T16:00:00,80.1,84.2,72.4,77.32,0,0,,0,0,22.8,17,186.2,1009,0.6,15,606,2.2,6,30,Clear,clear-day,remote
"37.09,121.29",2022-07-02T17:00:00,76.7,76.7,74.6,93.06,0,0,,0,0,20.1,8.9,170,1009.7,6.3,14.9,427,1.5,4,30,Clear,clear-day,54863099999
"37.09,121.29",2022-07-02T18:00:00,76.9,76.9,72.8,87.08,0,0,,0,0,22.4,13,183.2,1009,27.8,15,237,0.9,2,30,Partially cloudy,partly-cloudy-day,remote
"37.09,121.29",2022-07-02T19:00:00,74.4,74.4,72.2,92.99,0,0,,0,0,22.8,10.5,175.3,1009,33.9,15,69,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
"37.09,121.29",2022-07-02T20:00:00,75.8,75.8,74,94.16,0,0,,0,0,20.1,4.5,170,1009.9,51.4,9.3,1,0,0,10,Partially cloudy,partly-cloudy-night,54863099999
"37.09,121.29",2022-07-02T21:00:00,72.8,72.8,71.5,95.83,0,0,,0,0,18.1,7.2,171.9,1010,99.9,15,0,,0,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-02T22:00:00,72.8,72.8,71.1,94.67,0,0,,0,0,17.4,6.7,166.6,1010,100,13.6,0,,0,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-02T23:00:00,75.5,75.5,74,95.3,0,0,,0,0,20.1,4.5,160,1010.4,100,5.6,0,,0,3,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-03T00:00:00,72.4,72.4,70.6,94.08,0,0,,0,0,18.3,7.6,175.1,1010,77.9,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.09,121.29",2022-07-03T01:00:00,71.9,71.9,70.4,95.23,0,0,,0,0,13,6,177.6,1010,100,14.5,0,,0,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-03T02:00:00,74.9,74.9,74,97.03,0,0,,0,0,17.9,2.2,190,1010,100,7.5,0,,0,3,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-03T03:00:00,71.7,71.7,70.6,96.4,0,0,,0,0,9.8,4.5,160.7,1009,100,12.6,0,,0,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-03T04:00:00,71.1,71.1,70.6,98.18,0,0,,0,0,5.8,3.6,152.3,1009,72.1,5.7,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.09,121.29",2022-07-03T05:00:00,74.6,74.6,73.5,96.44,0,0,,0,0,17.9,4.5,140,1009.2,98.4,6.8,2,0,0,3,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-03T06:00:00,72.4,72.4,71.3,96.41,0,0,,0,0,10.3,4.7,150.9,1008,95.4,12.4,61,0.2,1,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-03T07:00:00,75.1,75.1,71.7,89.14,0,0,,0,0,13.9,6.7,166.2,1009,99.5,15,194,0.7,2,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-03T08:00:00,76.4,76.4,74.6,94.18,0,0,,0,0,11.2,4.5,150,1009.3,98.8,8.7,351,1.3,4,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-03T09:00:00,79.4,79.4,69.7,72.23,0,0,,0,0,15,11.2,174.2,1008,90.8,15,551,2,6,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-03T10:00:00,80.9,84,69.2,67.65,0,0,,0,0,13.6,11,172.7,1008,100,15,719,2.6,7,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-03T11:00:00,76.7,76.7,74.4,92.5,0,0,,0,0,13.4,8.9,150,1009.1,99.6,8.1,759,2.7,8,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-03T12:00:00,81.9,85.9,70.2,67.77,0,0,,0,0,13.4,11.6,171,1008,100,15,834,3,8,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-03T13:00:00,82.3,86.4,70.4,67.4,0,0,,0,0,13.4,11.4,171.3,1008,100,15,799,2.9,8,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-03T14:00:00,76.7,76.7,73.5,89.75,0,0,,0,0,13.4,6.7,150,1008.6,100,13,661,2.4,7,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-03T15:00:00,77.6,77.6,70.6,79.03,0,0,,0,0,15.9,11,161.7,1007,100,15,206,0.7,2,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-03T16:00:00,76.6,76.6,69.9,79.92,0,0,,0,0,17.7,10.3,162.8,1007,99,15,146,0.5,1,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-03T17:00:00,75.8,75.8,73.5,92.47,0,0,,0,0,13.4,6.7,130,1007.2,100,6.8,352,1.3,4,3,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-03T18:00:00,76.9,76.9,69.9,78.97,0,0,,0,0,11.6,6.3,169,1006,100,15,192,0.7,2,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-03T19:00:00,74.7,74.7,70.1,85.38,0,0,,0,0,5.8,4.5,132.5,1006,99.7,15,15,0.1,0,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-03T20:00:00,74.6,74.6,73.5,96.44,0,0,,0,0,13.4,4.5,110,1006.8,100,3.7,1,0,0,3,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-03T21:00:00,72.8,72.8,70.2,91.81,0,0,,0,0,6.9,4.5,129,1007,66.4,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.09,121.29",2022-07-03T22:00:00,72.1,72.1,70.2,94.07,0,0,,0,0,6.5,4.3,114.2,1006,83.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.09,121.29",2022-07-03T23:00:00,74.6,74.6,73.7,97.03,0,0,,0,0,13.4,4.5,110,1006.9,100,4.3,0,,0,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-04T00:00:00,70.8,70.8,70.1,97.58,0,0,,0,0,3.8,3.4,111.6,1006,89.1,15,0,,0,5,Partially cloudy,partly-cloudy-night,remote
"37.09,121.29",2022-07-04T01:00:00,70.8,70.8,70.1,97.58,0,0,,0,0,4.9,3.8,107,1006,88.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.09,121.29",2022-07-04T02:00:00,74.9,74.9,74.6,98.8,0,0,,0,0,11.2,4.5,120,1005.9,99.4,3.1,0,,0,3,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-04T03:00:00,71.1,71.1,70.8,98.78,0,0,,0,0,6.5,3.6,121.6,1005,100,4.7,0,,0,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-04T04:00:00,71.5,71.5,71.1,98.79,0,0,,0,0,7.8,3.6,127,1005,70.4,5,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.09,121.29",2022-07-04T05:00:00,74.9,74.9,74.6,98.8,0,0,,0,0,11.2,4.5,100,1005.2,89.9,2.5,1,0,0,3,Partially cloudy,partly-cloudy-day,54863099999
"37.09,121.29",2022-07-04T06:00:00,73.1,73.1,71.9,95.84,0,0,,0,0,7.4,4,136.8,1005,95.1,15,50,0.2,1,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-04T07:00:00,75.3,75.3,71.7,88.6,0,0,,0,0,9.8,5.4,148.4,1005,99.8,15,176,0.6,2,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-04T08:00:00,76.7,76.7,75.5,95.9,0,0,,0,0,11.2,4.5,150,1005.7,100,5,336,1.2,3,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-04T09:00:00,79.6,79.6,71.9,77.28,0,0,,0,0,13,10.1,164.8,1005,100,15,458,1.6,5,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-04T10:00:00,80.9,85.3,72.2,75.07,0,0,,0,0,15,12.3,166.9,1005,100,15,621,2.2,6,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-04T11:00:00,78,78,75.8,93.09,0,0,,0,0,13.4,6.7,180,1005.7,99.1,8.1,679,2.4,7,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-04T12:00:00,82.7,88.4,72.9,72.55,0.004,100,rain,0,0,14.5,12.8,179.6,1004,84.8,15,788,2.8,8,10,"Rain, Partially cloudy",rain,remote
"37.09,121.29",2022-07-04T13:00:00,83.4,89.3,72.8,70.45,0,0,,0,0,13.9,12.5,180.5,1004,100,15,835,3,8,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-04T14:00:00,78,78,75.8,93.09,0,0,,0,0,13.4,4.5,180,1005.3,99.9,8.1,193,0.7,2,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-04T15:00:00,81.8,86.8,72.6,73.8,0,0,,0,0,15.2,11.4,174,1003,100,15,597,2.1,6,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-04T16:00:00,79.8,79.8,72.8,79.2,0,0,,0,0,15,12.1,186.5,1004,100,15,369,1.3,4,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-04T17:00:00,79.4,79.4,75.3,87.2,0,0,,0,0,13.4,4.5,170,1004.4,100,13.7,59,0.2,1,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-04T18:00:00,76,76,72.9,90.26,0,0,,0,0,11,4.5,180.9,1004,100,15,23,0.1,0,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-04T19:00:00,75.1,75.1,72.8,92.45,0,0,,0,0,13.2,4.9,167.6,1004,100,15,10,0,0,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-04T20:00:00,76.4,76.4,75.3,96.47,0,0,,0,0,13.4,2.2,130,1004.5,100,4.3,0,,0,3,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-04T21:00:00,73.3,73.3,72.1,95.84,0,0,,0,0,2.7,2.5,145.5,1005,36.7,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.09,121.29",2022-07-04T22:00:00,72.4,72.4,71.3,96.41,0,0,,0,0,2,2,112.9,1005,99.1,15,0,,0,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-04T23:00:00,75.8,75.8,75.5,98.81,0,0,,0,0,13.4,2.2,150,1006,79,3.1,0,,0,3,Partially cloudy,partly-cloudy-night,54863099999
"37.09,121.29",2022-07-05T00:00:00,72.8,72.8,71.1,94.67,0,0,,0,0,3.1,2.9,137.5,1006,98.3,15,0,,0,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-05T01:00:00,73.3,73.3,71.1,92.96,0,0,,0,0,2.7,2.5,145.6,1005,91.9,15,0,,0,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-05T02:00:00,75.8,75.8,75.5,98.81,0,0,,0,0,11.2,0,149.4,1005.8,54,1.9,0,,0,10,Partially cloudy,partly-cloudy-night,54863099999
"37.09,121.29",2022-07-05T03:00:00,72.2,72.2,70.8,95.24,0,0,,0,0,2.2,2.2,135.2,1005,47.9,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.09,121.29",2022-07-05T04:00:00,71.9,71.9,70.8,96.4,0,0,,0,0,2.2,2.2,126.2,1005,91.9,15,0,,0,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-05T05:00:00,75.5,75.5,75.5,100,0,0,,0,0,8.9,0,148.5,1005.4,93.8,2.5,1,0,0,3,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-05T06:00:00,74,74,71.3,91.3,0,0,,0,0,3.1,2.2,148.1,1005,64.3,15,43,0.2,0,3,Partially cloudy,partly-cloudy-day,remote
"37.09,121.29",2022-07-05T07:00:00,76.6,76.6,71.7,84.97,0,0,,0,0,4,3.4,153.5,1005,96.7,15,216,0.8,2,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-05T08:00:00,80.3,86.1,76.2,87.25,0,0,,0,0,4.5,2.2,150,1005.2,91.7,8.7,384,1.4,4,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-05T09:00:00,81.9,86.1,70.8,69.03,0,0,,0,0,6.3,5.4,165.2,1005,89.6,15,569,2,6,10,Partially cloudy,partly-cloudy-day,remote
"37.09,121.29",2022-07-05T10:00:00,84.3,89.1,70.6,63.61,0,0,,0,0,7.2,6.7,169.6,1005,97.4,15,720,2.6,7,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-05T11:00:00,81.8,88.8,75.8,82.26,0,0,,0,0,11.2,6.7,150,1005,87.5,14.9,831,3,8,10,Partially cloudy,partly-cloudy-day,54863099999
"37.09,121.29",2022-07-05T12:00:00,86.6,91.8,70.4,58.66,0,0,,0,0,8.5,9.2,158.8,1004,89.9,15,896,3.2,9,10,Partially cloudy,partly-cloudy-day,remote
"37.09,121.29",2022-07-05T13:00:00,86.4,91.7,70.6,59.36,0,0,,0,0,9.4,10.3,156.4,1004,64.8,15,875,3.2,9,10,Partially cloudy,partly-cloudy-day,remote
"37.09,121.29",2022-07-05T14:00:00,80,80,75.8,87.23,0,0,,0,0,13.4,6.7,140,1005,98.7,11.8,825,3,8,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-05T15:00:00,84.5,88.8,69.9,61.71,0,0,,0,0,10.5,10.5,163.1,1004,100,15,624,2.2,6,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-05T16:00:00,83.2,87.3,69.9,64.27,0,0,,0,0,11.2,10.3,165.9,1004,100,15,489,1.8,5,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-05T17:00:00,79.4,79.4,76.4,90.39,0,0,,0,0,13.4,6.7,140,1003.9,100,11.2,132,0.5,1,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-05T18:00:00,78.3,78.3,71.1,78.6,0,0,,0,0,11,5.6,164.3,1004,98.7,15,75,0.3,1,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-05T19:00:00,77.1,77.1,71.3,82.45,0,0,,0,0,8.3,4.5,154,1004,100,15,43,0.2,0,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-05T20:00:00,77.6,77.6,76.4,95.91,0,0,,0,0,13.4,4.5,110,1004.4,100,4.3,0,,0,5,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-05T21:00:00,75.1,75.1,72.1,90.23,0,0,,0,0,8.9,4.3,117.5,1004,98.3,15,0,,0,5,Overcast,cloudy,remote
"37.09,121.29",2022-07-05T22:00:00,74.9,74.9,72.1,90.77,0,0,,0,0,15,4,131.8,1005,97.5,15,0,,0,5,Overcast,cloudy,remote
"37.09,121.29",2022-07-05T23:00:00,77.1,77.1,76.2,97.06,0,0,,0,0,13.4,4.5,100,1004.8,95.1,5,0,,0,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-06T00:00:00,74,74,71.7,92.42,0,0,,0,0,16.3,4.9,107.7,1004,100,15,0,,0,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T01:00:00,74.4,74.4,71.5,90.75,0,0,,0,0,16.8,4,128,1004,100,15,0,,0,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T02:00:00,77.1,77.1,75.8,95.9,0,0,,0,0,13.4,6.7,110,1003.4,100,11.2,0,,0,3,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-06T03:00:00,74.2,74.2,71.5,91.3,0,0,,0,0,13.9,4.3,82.1,1003,100,15,0,,0,3,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T04:00:00,73.8,73.8,71.1,91.29,0,0,,0,0,18.6,6.5,88.4,1003,100,15,0,,0,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T05:00:00,76.7,76.7,76.4,98.81,0,0,,0,0,17.9,8.9,100,1002.7,100,3.7,0,,0,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-06T06:00:00,74.6,74.6,71,88.57,0,0,rain,0,0,25.1,9.6,89.6,1002,100,15,28,0.1,0,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T07:00:00,75.5,75.5,72.1,89.15,0,0,rain,0,0,26.6,11,93,1002,100,15,52,0.2,1,5,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T08:00:00,77.3,77.3,77.3,100,0,0,rain,0,0,17.9,8.9,110,1002.1,100,1.9,73,0.3,1,3,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-06T09:00:00,76.7,76.7,74.9,94.18,0,0,rain,0,0,25.7,13,119.7,1001,100,5.4,116,0.4,1,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T10:00:00,77.8,77.8,75.6,93.09,0,0,rain,0,0,25.7,15.2,131.5,1001,100,4.1,160,0.6,2,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T11:00:00,78.5,78.5,78.2,98.82,0,0,rain,0,0,17.9,8.9,120,1001,100,1.9,209,0.8,2,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-06T12:00:00,78.7,78.7,75.1,88.75,0,0,rain,0,0,21.7,15,145.8,1001,100,9.6,228,0.8,2,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T13:00:00,78.7,78.7,75.1,88.75,0,0,rain,0,0,21.7,14.5,146.2,1000,100,13.4,279,1,3,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T14:00:00,77.6,77.6,77.6,100,0,0,rain,0,0,17.9,6.7,110,999.2,100,0.6,273,1,3,10,Overcast,fog,54863099999
"37.09,121.29",2022-07-06T15:00:00,77.4,77.4,75.5,93.64,0,0,,0,0,23.3,14.3,147.1,999,100,12.2,159,0.6,2,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T16:00:00,76.6,76.6,75.1,95.32,0,0,,0,0,24.8,13.6,145.6,998,100,5.6,82,0.3,1,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T17:00:00,77.3,77.3,77.3,100,0,0,rain,0,0,17.9,6.7,110,998.9,100,1.2,61,0.2,1,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-06T18:00:00,75.5,75.5,74.4,96.46,0,0,,0,0,25.3,10.3,140.8,998,100,3.6,10,0,0,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T19:00:00,75.5,75.5,74.6,97.04,0,0,rain,0,0,27.3,8.9,153.8,999,100,2.5,15,0.1,0,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T20:00:00,78.2,78.2,77.6,98.23,0.035,100,rain,0,0,20.1,8.9,170,998.8,100,3.1,0,,0,10,"Rain, Overcast",rain,54863099999
"37.09,121.29",2022-07-06T21:00:00,75.5,75.5,74.6,97.04,0,0,,0,0,26.4,9.8,150.4,999,100,2.2,0,,0,10,Overcast,cloudy,remote
"37.09,121.29",2022-07-06T22:00:00,75.3,75.3,74.7,98.21,0,0,,0,0,30.9,10.3,157.3,999,100,0.3,0,,0,10,Overcast,fog,remote
"37.09,121.29",2022-07-06T23:00:00,78,78,77.6,98.82,0,0,rain,0,0,22.4,4.5,170,999.3,100,5,0,,0,10,Overcast,cloudy,54863099999
"37.09,121.29",2022-07-07T00:00:00,75.3,75.3,74.6,97.62,0,0,,0,0,28.6,10.3,172.8,998,100,0.2,0,,0,10,Overcast,fog,remote
"37.09,121.29",2022-07-07T01:00:00,75.8,75.8,74.9,97.04,0,0,,0,0,27.3,9.2,179.2,998,100,0.4,0,,0,10,Overcast,fog,remote
"37.09,121.29",2022-07-07T02:00:00,77.6,77.6,77.3,98.82,0.016,100,rain,0,0,22.4,6.7,230,998.5,100,3.1,0,,0,3,"Rain, Overcast",rain,54863099999
