name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.29,120.08",2022-11-28T00:00:00,56.7,56.7,54.8,93.08,0.004,100,rain,0,0,17.4,7.6,153,1012,100,13.4,0,,0,10,"Rain, Overcast",rain,remote
"37.29,120.08",2022-11-28T01:00:00,56.7,56.7,54.9,93.69,0,0,,0,0,21.7,9.4,142.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.29,120.08",2022-11-28T02:00:00,55.8,55.8,54.4,94.9,0,0,,0,0,18.1,8.1,146.1,1010,100,15,0,,0,10,Overcast,cloudy,remote
"37.29,120.08",2022-11-28T03:00:00,56,56,54.8,95.53,0,0,,0,0,6.7,4.7,166.6,1010,100,9.8,0,,0,10,Overcast,cloudy,remote
"37.29,120.08",2022-11-28T04:00:00,55.1,55.1,54.2,96.78,0,0,,0,0,4.3,3.6,225.4,1010,100,15,0,,0,10,Overcast,cloudy,remote
"37.29,120.08",2022-11-28T05:00:00,54.9,54.9,54.2,97.41,0.004,100,rain,0,0,6.7,4.7,276.1,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.29,120.08",2022-11-28T06:00:00,54.6,54.6,54.2,98.7,0.043,100,rain,0,0,11,5.4,270.2,1011,100,1,0,,0,10,"Rain, Overcast",rain,remote
"37.29,120.08",2022-11-28T07:00:00,54.6,54.6,54.1,98.05,0.051,100,rain,0,0,3.6,3.1,167.9,1010,100,1.9,0,,0,10,"Rain, Overcast",rain,remote
"37.29,120.08",2022-11-28T08:00:00,54.8,54.8,54.2,98.05,0.055,100,rain,0,0,5.8,4,238,1011,100,6.1,3,0,0,10,"Rain, Overcast",rain,remote
"37.29,120.08",2022-11-28T09:00:00,54.1,54.1,53.1,96.76,0.02,100,rain,0,0,13.4,8.9,263.3,1012,100,0.3,47,0.2,0,10,"Rain, Overcast",rain,
"37.29,120.08",2022-11-28T10:00:00,52.6,52.6,51.7,96.74,0.02,100,rain,0,0,16.6,8.9,269.1,1012,100,0.4,16,0.1,0,10,"Rain, Overcast",rain,
"37.29,120.08",2022-11-28T11:00:00,53,53,52.1,96.75,0.012,100,rain,0,0,13.2,6.7,287.8,1012,100,0.7,19,0.1,0,10,"Rain, Overcast",rain,
"37.29,120.08",2022-11-28T12:00:00,52.6,52.6,51.2,94.83,0,100,rain,0,0,17.4,13.2,350.7,1012,100,4.4,58,0.2,1,10,"Rain, Overcast",rain,
"37.29,120.08",2022-11-28T13:00:00,50.6,50.6,48.5,92.27,0.008,100,rain,0,0,19.7,14.5,6.2,1012,100,7.6,17,0.1,0,10,"Rain, Overcast",rain,
"37.29,120.08",2022-11-28T14:00:00,49.5,44,46.5,89.16,0,100,rain,0,0,20.4,15.4,4.3,1013,100,11.6,22,0.1,0,10,"Rain, Overcast",rain,
"37.29,120.08",2022-11-28T15:00:00,48.5,42.7,44.7,86.71,0,4.8,,0,0,21.3,14.8,5.7,1014,100,15,17,0.1,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-28T16:00:00,47.7,41.2,43.6,85.48,0,4.8,,0,0,23.9,17.2,5.2,1015,100,15,35,0.1,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-28T17:00:00,46.8,40,42.9,86.02,0,4.8,rain,0,0,27.3,17.7,358.5,1017,100,15,5,0,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-28T18:00:00,46.7,40,42.2,84.25,0,4.8,,0,0,26.6,16.3,0.5,1017,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-28T19:00:00,46.7,39.9,40.5,79.14,0.004,4.8,rain,0,0,24.8,17,356.7,1018,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-28T20:00:00,46.1,39.4,40.9,81.9,0,4.8,,0,0,24.8,16.1,3.7,1018,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-28T21:00:00,46.3,40.8,39.6,77.46,0,0,,0,0,22.1,12.1,353.9,1019,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-28T22:00:00,45.6,39.7,38.9,77.4,0,0,,0,0,22.4,12.5,1.6,1019,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-28T23:00:00,45,39.3,38.7,78.45,0,0,,0,0,21.5,11.6,355.9,1020,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T00:00:00,45.9,40.4,38.7,75.82,0,0,,0,0,20.4,11.6,0.2,1020,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T01:00:00,45.2,39.3,38.9,78.46,0,0,,0,0,22.4,12.3,355.4,1021,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T02:00:00,47,39.8,36.4,66.4,0,0,,0,0,25.7,19.5,346.3,1021,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T03:00:00,42.2,32,27.9,56.83,0,28.6,,0,0,32.4,26.4,346.5,1023,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T04:00:00,39.8,29.2,20.6,45.71,0,28.6,,0,0,31.3,24.6,345.9,1024,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T05:00:00,38.6,27.5,20.4,47.65,0,28.6,,0,0,32.4,24.8,339.7,1025,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T06:00:00,37.7,26.8,20,48.61,0,28.6,,0,0,29.8,22.6,344.1,1025,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T07:00:00,37.5,27.6,19.1,47.11,0,28.6,,0,0,26.8,18.6,347,1026,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T08:00:00,37.7,27.4,19.7,47.87,0,28.6,,0,0,24.8,20.1,345.4,1028,95.1,15,44,0.2,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T09:00:00,37.5,27.4,20.4,49.71,0,19,,0,0,23.5,19.2,338.5,1029,100,15,185,0.7,2,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T10:00:00,38.4,28.7,20.6,48.36,0,19,,0,0,22.6,18.6,342.6,1029,80,15,313,1.1,3,10,Partially cloudy,partly-cloudy-day,
"37.29,120.08",2022-11-29T11:00:00,39.5,30.4,23.1,51.56,0,19,,0,0,21.7,17.7,356.4,1030,100,10.9,430,1.5,4,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T12:00:00,37.7,27.1,25.4,61,0,19,snow,0,0,24.2,21.5,339.6,1030,100,3.9,380,1.4,4,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T13:00:00,36.6,25.4,20.4,51.5,0.004,19,rain,0,0,24.2,22.6,330.9,1030,97.2,15,257,0.9,3,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T14:00:00,35.5,23.5,16.2,45,0,19,snow,0,0,27.7,24.4,335.3,1031,100,9.5,301,1.1,3,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T15:00:00,33.3,20.9,15.2,46.79,0.004,0,snow,0,0,28.6,23.5,338.7,1032,91.8,7.5,143,0.5,1,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T16:00:00,31.9,19,13.7,46.56,0,0,,0,0,29.8,23,336.7,1033,87.4,15,117,0.4,1,10,Partially cloudy,partly-cloudy-day,
"37.29,120.08",2022-11-29T17:00:00,31.2,19.1,12.1,44.63,0,0,,0,0,29.1,19.5,335,1034,100,15,16,0.1,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T18:00:00,31.9,18.9,11.7,42.66,0,0,,0,0,30.9,23.7,325.3,1034,78.3,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"37.29,120.08",2022-11-29T19:00:00,30.5,16.6,10.3,42.42,0,0,,0,0,33.6,25.1,321.9,1035,97.6,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T20:00:00,30.1,16.6,9.9,42.36,0,0,,0,0,32.4,23.3,328.2,1036,79,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"37.29,120.08",2022-11-29T21:00:00,29,15.6,9.4,43.21,0,4.8,,0,0,28.4,21.7,330.7,1037,99.6,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T22:00:00,27.9,14.2,9,44.44,0,4.8,,0,0,28.4,21.7,334.5,1038,92.4,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-29T23:00:00,27,13,9,46.11,0,4.8,,0,0,27.5,21.7,344.5,1038,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-30T00:00:00,25.8,10.7,7.6,45.53,0,4.8,,0,0,29.8,23.7,344.8,1039,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-30T01:00:00,25.1,10.2,7.2,46.15,0,4.8,,0,0,29.5,22.1,346.9,1039,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-30T02:00:00,25.4,11.1,8,46.97,0,4.8,,0,0,27.5,20.8,344.9,1039,100,15,0,,0,10,Overcast,cloudy,
"37.29,120.08",2022-11-30T03:00:00,24.9,9.9,7.6,47.26,0,52.4,snow,0,0,27.3,22.4,346.7,1039,100,15,0,,0,10,"Snow, Overcast",snow,
"37.29,120.08",2022-11-30T04:00:00,24.3,8.9,6.7,46.41,0,52.4,snow,0,0,28.9,23.3,349.4,1039,100,15,0,,0,10,"Snow, Overcast",snow,
"37.29,120.08",2022-11-30T05:00:00,24.2,8.6,6.5,46.38,0,52.4,snow,0,0,30.2,23.7,347.7,1039,100,15,0,,0,10,"Snow, Overcast",snow,
"37.29,120.08",2022-11-30T06:00:00,24,8.4,6.7,47.11,0,52.4,snow,0,0,30.4,23.5,346.7,1040,100,15,0,,0,10,"Snow, Overcast",snow,
"37.29,120.08",2022-11-30T07:00:00,24.3,10.1,7.1,47.17,0,52.4,snow,0,0,25.9,19.5,346.9,1041,100,15,0,,0,10,"Snow, Overcast",snow,
"37.29,120.08",2022-11-30T08:00:00,26,14.1,8.1,46.3,0,52.4,snow,0,0,20.4,14.3,347.6,1040,100,15,42,0.2,0,10,"Snow, Overcast",snow,
