name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.4,121.8",2022-07-01T00:00:00,74.2,74.2,71.9,92.42,0,0,rain,0,,21.3,14.8,151.7,1006,100,14.2,0,,0,10,Overcast,cloudy,remote
"37.4,121.8",2022-07-01T01:00:00,73.8,73.8,71.5,92.41,0,0,rain,0,,19.7,12.1,148.6,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,121.8",2022-07-01T02:00:00,69.2,69.2,68.6,98.17,0,0,,,,22.4,8.9,210,1009.3,100,2.5,0,,0,3,Overcast,cloudy,54776099999
"37.4,121.8",2022-07-01T03:00:00,73.8,73.8,70.6,89.63,0,0,,0,,20.1,12.3,188,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,121.8",2022-07-01T04:00:00,72.8,72.8,69.9,90.69,0,0,rain,0,,24.8,15.2,184.5,1007,97.7,3.5,0,,0,3,Overcast,cloudy,remote
"37.4,121.8",2022-07-01T05:00:00,65.9,65.9,65.4,98.14,0.118,100,rain,0,,22.4,11.2,190,1009.5,87.4,0,2,0,0,10,"Rain, Partially cloudy",rain,54776099999
"37.4,121.8",2022-07-01T06:00:00,72.4,72.4,70.1,92.37,0,0,,0,,9.8,6.7,215.9,1009,99,15,68,0.2,1,10,Overcast,cloudy,remote
"37.4,121.8",2022-07-01T07:00:00,73.1,73.1,70.2,90.71,0,0,,0,,8.1,6.3,206,1009,93.8,15,227,0.8,2,10,Overcast,cloudy,remote
"37.4,121.8",2022-07-01T08:00:00,68.3,68.3,67.7,98.16,0,0,rain,,,22.4,15.7,200,1010.9,99.3,0,407,1.5,4,10,Overcast,cloudy,54776099999
"37.4,121.8",2022-07-01T09:00:00,75.3,75.3,71.1,87,0,0,,0,,5.4,3.8,174.2,1009,93.3,14.7,550,2,6,10,Overcast,cloudy,remote
"37.4,121.8",2022-07-01T10:00:00,76.6,76.6,71.7,84.97,0,0,,0,,6,3.8,128.4,1009,21.8,15,729,2.6,7,10,Partially cloudy,partly-cloudy-day,remote
"37.4,121.8",2022-07-01T11:00:00,67.2,67.2,66.5,97.54,0.008,100,rain,0,,22.4,15.7,170,1011.1,2.6,0,865,3.1,9,30,Rain,rain,54776099999
"37.4,121.8",2022-07-01T12:00:00,78.3,78.3,72.1,81.04,0,0,,0,,9.4,7.4,179.5,1008,0,9.9,919,3.3,9,30,Clear,clear-day,remote
"37.4,121.8",2022-07-01T13:00:00,81.1,85.4,71.9,73.73,0,0,,0,,11,8.9,178.3,1008,5.1,15,919,3.3,9,30,Clear,clear-day,remote
"37.4,121.8",2022-07-01T14:00:00,67.2,67.2,66.5,97.54,0.11,100,rain,,,24.6,17.9,190,1010.5,2.8,0,860,3.1,9,30,Rain,rain,54776099999
"37.4,121.8",2022-07-01T15:00:00,81.4,86.3,72.6,74.66,0,0,,0,,19.9,15.7,182.1,1008,0,15,747,2.7,7,30,Clear,clear-day,remote
"37.4,121.8",2022-07-01T16:00:00,80.9,85.4,72.6,75.99,0,0,,0,,19.7,14.8,186.9,1008,5,15,596,2.1,6,30,Clear,clear-day,remote
"37.4,121.8",2022-07-01T17:00:00,67.2,67.2,66.5,97.54,0,0,,0,,24.6,11.2,200,1010.7,3.7,0,418,1.5,4,30,Clear,clear-day,54776099999
"37.4,121.8",2022-07-01T18:00:00,78.5,78.5,72.9,83.04,0,0,,0,,20.8,14.3,183.5,1008,10.1,15,232,0.8,2,30,Clear,clear-day,remote
"37.4,121.8",2022-07-01T19:00:00,76.9,76.9,72.8,87.08,0,0,,0,,18.8,12.8,175.1,1008,13.9,15,68,0.2,1,30,Clear,clear-day,remote
"37.4,121.8",2022-07-01T20:00:00,68.1,68.1,67.4,97.55,0,0,,,,24.6,17.9,190,1011,5.4,0,1,0,0,30,Clear,clear-night,54776099999
"37.4,121.8",2022-07-01T21:00:00,75.6,75.6,72.1,88.62,0,0,,0,,18.3,12.3,181.3,1009,38,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.4,121.8",2022-07-01T22:00:00,75.6,75.6,71.7,87.55,0,0,,0,,21.3,15.2,191.6,1010,72.3,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.4,121.8",2022-07-01T23:00:00,67.2,67.2,66.5,97.54,0,0,,0,,26.8,20.1,190,1010.4,49.8,0,0,,0,30,Partially cloudy,partly-cloudy-night,54776099999
"37.4,121.8",2022-07-02T00:00:00,74.7,74.7,71.1,88.58,0,0,,0,,17.4,11.4,187.3,1010,21,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.4,121.8",2022-07-02T01:00:00,74.4,74.4,71,89.11,0,0,,0,,17.7,11.6,180.9,1010,2.5,15,0,,0,8,Clear,clear-night,remote
"37.4,121.8",2022-07-02T02:00:00,67.7,67.7,67.2,98.16,0,0,,,,29.1,13.4,200,1011.2,6.9,0,0,,0,8,Clear,clear-night,54776099999
"37.4,121.8",2022-07-02T03:00:00,74.4,74.4,71,89.11,0,0,,0,,17.4,11.4,187,1009,46,15,0,,0,8,Partially cloudy,partly-cloudy-night,remote
"37.4,121.8",2022-07-02T04:00:00,72.8,72.8,70.6,92.95,0,0,rain,0,,14.5,10.1,185.9,1008,100,2,0,,0,3,Overcast,cloudy,remote
"37.4,121.8",2022-07-02T05:00:00,65.6,65.6,65,98.14,0.004,100,rain,0,,29.1,11.2,180,1011.6,100,0,2,0,0,3,"Rain, Overcast",rain,54776099999
