name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.4,121.8",2022-11-28T00:00:00,55.8,55.8,52.4,88.26,0,0,,0,,21,11.6,158.9,1014,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,121.8",2022-11-28T01:00:00,55.7,55.7,52.8,90.03,0,0,,0,,25.9,15.2,152.5,1013,67,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.4,121.8",2022-11-28T02:00:00,55.7,55.7,53.1,91.22,0,0,rain,,,27.5,15,154.3,1012,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,121.8",2022-11-28T03:00:00,56.2,56.2,54.2,93.06,0,0,,0,,22.8,14.5,146.9,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,121.8",2022-11-28T04:00:00,56.9,56.9,55.5,94.92,0.004,100,rain,0,,19.7,11.6,158.9,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.4,121.8",2022-11-28T05:00:00,57.6,57.6,56.4,95.56,0,0,,0,,8.1,6,210.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,121.8",2022-11-28T06:00:00,57.6,57.6,56.4,95.56,0,0,rain,0,,5.4,5.1,280.7,1011,100,9.9,0,,0,10,Overcast,cloudy,remote
"37.4,121.8",2022-11-28T07:00:00,57.6,57.6,56.7,96.81,0.024,100,rain,0,,5.8,5.6,271.1,1010,100,4.3,0,,0,10,"Rain, Overcast",rain,remote
"37.4,121.8",2022-11-28T08:00:00,57.6,57.6,56.9,97.44,0.059,100,rain,,,6.5,6.5,245.8,1011,100,13.7,1,0,0,10,"Rain, Overcast",rain,remote
"37.4,121.8",2022-11-28T09:00:00,57.8,57.8,56.9,96.81,0.008,95.2,rain,0,,5.1,5.1,243.1,1011,100,10.2,11,0,0,10,"Rain, Overcast",rain,
"37.4,121.8",2022-11-28T10:00:00,58.2,58.2,56.9,95.57,0.024,95.2,rain,0,,6.9,6.7,246.8,1011,100,6.4,14,0.1,0,10,"Rain, Overcast",rain,
"37.4,121.8",2022-11-28T11:00:00,57.6,57.6,56.9,97.44,0.102,95.2,rain,0,,10.1,7.8,244.4,1011,100,3.1,11,0,0,10,"Rain, Overcast",rain,
"37.4,121.8",2022-11-28T12:00:00,57.8,57.8,56.9,96.81,0.047,95.2,rain,0,,15.2,10.5,271.3,1010,100,14.4,51,0.2,1,10,"Rain, Overcast",rain,
"37.4,121.8",2022-11-28T13:00:00,56.4,56.4,55.7,97.43,0.02,95.2,rain,0,,18.6,14.3,301.9,1010,100,11,37,0.1,0,10,"Rain, Overcast",rain,
"37.4,121.8",2022-11-28T14:00:00,54.2,54.2,53.1,96.13,0.02,95.2,rain,,,21.7,19.5,322.9,1011,100,9.8,15,0.1,0,10,"Rain, Overcast",rain,
"37.4,121.8",2022-11-28T15:00:00,53,53,51.2,93.59,0.016,71.4,rain,0,,20.8,17.7,332.1,1012,100,5.6,18,0.1,0,10,"Rain, Overcast",rain,
"37.4,121.8",2022-11-28T16:00:00,51.9,51.9,49.4,91.08,0.028,71.4,rain,0,,20.4,20.4,326.9,1013,100,15,3,0,0,10,"Rain, Overcast",rain,
"37.4,121.8",2022-11-28T17:00:00,49.7,42.7,46.5,88.57,0.008,71.4,rain,0,,23.7,23.3,337.7,1014,100,15,1,0,0,10,"Rain, Overcast",rain,
"37.4,121.8",2022-11-28T18:00:00,48.8,41,44.9,86.14,0.004,71.4,rain,0,,29.3,25.9,341,1015,100,15,0,,0,10,"Rain, Overcast",rain,
"37.4,121.8",2022-11-28T19:00:00,48.8,41.2,44,83.23,0,71.4,rain,0,,28,24.8,341,1016,100,15,0,,0,10,"Rain, Overcast",rain,
"37.4,121.8",2022-11-28T20:00:00,48.6,40.8,43.2,81.52,0,71.4,rain,,,29.1,25.9,343.5,1017,100,15,0,,0,10,"Rain, Overcast",rain,
"37.4,121.8",2022-11-28T21:00:00,48.5,41,42.5,79.83,0,0,,0,,27.7,23.3,346.9,1017,100,15,0,,0,10,Overcast,cloudy,
"37.4,121.8",2022-11-28T22:00:00,48.5,41.2,42,78.19,0,0,,0,,26.8,22.1,345.3,1017,100,15,0,,0,10,Overcast,cloudy,
"37.4,121.8",2022-11-28T23:00:00,48.5,40.4,40.4,73.45,0,0,,0,,31.5,26.8,347.6,1017,100,15,0,,0,10,Overcast,cloudy,
"37.4,121.8",2022-11-29T00:00:00,48.5,40.4,38.6,68.48,0,0,,0,,32,27.1,348.8,1018,100,15,0,,0,10,Overcast,cloudy,
"37.4,121.8",2022-11-29T01:00:00,47.4,38.6,37.8,69.32,0,0,,0,,31.8,29.5,354.9,1018,100,15,0,,0,10,Overcast,cloudy,
"37.4,121.8",2022-11-29T02:00:00,46.7,37.4,35.9,65.88,0,0,,,,33.1,30.9,351.5,1020,100,15,0,,0,10,Overcast,wind,
"37.4,121.8",2022-11-29T03:00:00,45.8,36.2,34.2,63.91,0,19,,0,,33.1,30.9,354.1,1021,100,15,0,,0,10,Overcast,wind,
"37.4,121.8",2022-11-29T04:00:00,44.3,34,33,64.19,0,19,,0,,33.3,32,0.4,1021,100,15,0,,0,10,Overcast,wind,
"37.4,121.8",2022-11-29T05:00:00,42.7,32,29.6,59.47,0,19,,0,,32.7,31.1,357.2,1022,100,15,0,,0,10,Overcast,wind,
"37.4,121.8",2022-11-29T06:00:00,41.1,29.6,27.9,59.25,0,19,,0,,33.3,32,351.6,1025,99.1,15,0,,0,10,Overcast,wind,
"37.4,121.8",2022-11-29T07:00:00,39.3,27,27.9,63.53,0,19,,0,,33.6,32.9,0.4,1025,100,15,1,0,0,10,Overcast,wind,
"37.4,121.8",2022-11-29T08:00:00,37.1,24.2,26.9,66.14,0,19,,,,33.3,32.2,0.4,1026,100,15,55,0.2,1,10,Overcast,wind,
"37.4,121.8",2022-11-29T09:00:00,36.4,23.3,26,65.56,0,9.5,,0,,33.1,31.5,358.1,1028,100,15,140,0.5,1,10,Overcast,wind,
"37.4,121.8",2022-11-29T10:00:00,36.2,23.1,25.4,64.56,0,9.5,,0,,33.3,31.1,357.1,1028,100,15,230,0.8,2,10,Overcast,wind,
"37.4,121.8",2022-11-29T11:00:00,36.2,23.3,25.2,64.08,0,9.5,,0,,33.1,30.4,353,1029,100,15,345,1.2,3,10,Overcast,wind,
"37.4,121.8",2022-11-29T12:00:00,36,23,24.9,63.58,0,9.5,,0,,34,30.6,349.8,1028,100,15,313,1.1,3,10,Overcast,wind,
"37.4,121.8",2022-11-29T13:00:00,35.9,22.7,24.3,62.61,0,9.5,,0,,34.2,30.6,348,1028,100,15,323,1.2,3,10,Overcast,wind,
