name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"น่าน, ประเทศไทย",2022-11-28T00:00:00,70.6,70.6,69.7,96.98,0,0,,0,0,0.4,0.4,281,1011,58.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"น่าน, ประเทศไทย",2022-11-28T01:00:00,70.2,70.2,69.3,96.97,0,0,,0,0,0.2,0.2,273.3,1010,97.4,15,0,,0,10,Overcast,cloudy,remote
"น่าน, ประเทศไทย",2022-11-28T02:00:00,69.9,69.9,69.3,98.17,0,0,,0,0,0.7,0.4,68.8,1010,66.6,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"น่าน, ประเทศไทย",2022-11-28T03:00:00,69.5,69.5,69,98.17,0,0,,0,0,1.1,1.1,10.2,1009,34.8,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"น่าน, ประเทศไทย",2022-11-28T04:00:00,69.2,69.2,68.6,98.17,0,0,,0,0,0.9,0.9,49.3,1009,25.3,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"น่าน, ประเทศไทย",2022-11-28T05:00:00,71.5,71.5,71.5,100,0,0,,0,0,0.7,0,0,1010,88,6.2,0,,0,10,Partially cloudy,partly-cloudy-night,VTCN
"น่าน, ประเทศไทย",2022-11-28T06:00:00,71.5,71.5,71.5,100,0,0,,0,0,0.2,0,0,1010,100,6.2,0,,0,10,Overcast,cloudy,VTCN
"น่าน, ประเทศไทย",2022-11-28T07:00:00,73.3,73.3,71.5,94.1,0,0,,0,0,0.4,0,0,1011,100,1.2,8,0,0,10,Overcast,cloudy,VTCN
"น่าน, ประเทศไทย",2022-11-28T08:00:00,72.4,72.4,70.4,93.51,0,61.9,rain,0,0,0.4,0.2,63.5,1012,45.9,15,142,0.5,1,10,"Rain, Partially cloudy",rain,
"น่าน, ประเทศไทย",2022-11-28T09:00:00,75.6,75.6,71.5,87.01,0,61.9,rain,0,0,1.8,0.9,162.3,1012,46.3,15,333,1.2,3,10,"Rain, Partially cloudy",rain,
"น่าน, ประเทศไทย",2022-11-28T10:00:00,79.2,79.2,71.9,78.2,0,61.9,rain,0,0,2.5,1.3,191,1012,28.4,15,493,1.8,5,10,"Rain, Partially cloudy",rain,
"น่าน, ประเทศไทย",2022-11-28T11:00:00,82.3,87.3,72.1,71.2,0.004,61.9,rain,0,0,3.6,2.5,196.9,1011,11.8,15,669,2.4,7,30,Rain,rain,
"น่าน, ประเทศไทย",2022-11-28T12:00:00,84.3,89.9,71.9,66.39,0.008,61.9,rain,0,0,3.6,2.7,208.3,1010,11.5,13.3,745,2.7,7,30,Rain,rain,
"น่าน, ประเทศไทย",2022-11-28T13:00:00,85,90.7,71.7,64.48,0.012,61.9,rain,0,0,3.8,2.7,241.3,1009,15.6,15,753,2.7,8,30,Rain,rain,
"น่าน, ประเทศไทย",2022-11-28T14:00:00,85.4,91.2,71.7,63.74,0.024,85.7,rain,0,0,4,3.6,258.3,1008,47.6,13.5,687,2.5,7,30,"Rain, Partially cloudy",rain,
"น่าน, ประเทศไทย",2022-11-28T15:00:00,84.8,90.8,72.1,65.65,0.016,85.7,rain,0,0,3.4,3.4,268.2,1007,86.2,13,530,1.9,5,60,"Rain, Partially cloudy",rain,
"น่าน, ประเทศไทย",2022-11-28T16:00:00,83,89.4,73.7,73.47,0.012,85.7,rain,0,0,3.1,2.9,288.6,1007,84,13.4,331,1.2,3,60,"Rain, Partially cloudy",rain,
"น่าน, ประเทศไทย",2022-11-28T17:00:00,78.7,78.7,73.7,84.58,0.02,85.7,rain,0,0,2.9,2.9,318.4,1008,39.1,15,148,0.5,1,60,"Rain, Partially cloudy",rain,
"น่าน, ประเทศไทย",2022-11-28T18:00:00,75.3,75.3,71.5,88.06,0,85.7,rain,0,0,2.7,2.9,323.6,1008,14.2,15,17,0.1,0,30,Rain,rain,
"น่าน, ประเทศไทย",2022-11-28T19:00:00,74,74,70.8,89.64,0,85.7,rain,0,0,2,2,315.5,1009,5,15,0,,0,10,Rain,rain,
"น่าน, ประเทศไทย",2022-11-28T20:00:00,73.1,73.1,70.6,91.83,0,38.1,,0,0,0.7,0.9,287.7,1010,19.4,15,0,,0,10,Clear,clear-night,
"น่าน, ประเทศไทย",2022-11-28T21:00:00,72.6,72.6,70.4,92.94,0.004,38.1,rain,0,0,0.9,0.9,283.1,1011,85.2,15,0,,0,3,Partially cloudy,partly-cloudy-night,
"น่าน, ประเทศไทย",2022-11-28T22:00:00,72.2,72.2,70.4,94.08,0,38.1,,0,0,0.9,0.9,296.7,1011,97,15,0,,0,3,Overcast,cloudy,
"น่าน, ประเทศไทย",2022-11-28T23:00:00,71.5,71.5,70.2,95.81,0.024,38.1,rain,0,0,0.4,0.2,56.8,1011,95.7,11.4,0,,0,3,Overcast,cloudy,
"น่าน, ประเทศไทย",2022-11-29T00:00:00,70.8,70.8,70.1,97.58,0.091,38.1,rain,0,0,1.1,1.1,296.1,1011,100,13.5,0,,0,3,Overcast,cloudy,
"น่าน, ประเทศไทย",2022-11-29T01:00:00,70.8,70.8,69.9,96.98,0.035,38.1,rain,0,0,1.6,1.6,327.7,1011,100,15,0,,0,3,Overcast,cloudy,
