name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.25,122.37",2022-11-28T00:00:00,54.2,54.2,51.3,89.97,0.004,100,rain,0,0,29.3,13.2,150.8,1014,96.4,15,0,,0,10,"Rain, Overcast",rain,remote
"37.25,122.37",2022-11-28T01:00:00,54.4,54.4,52.2,92.39,0.004,100,rain,0,0,29.1,11.6,152.4,1014,99.2,15,0,,0,10,"Rain, Overcast",rain,remote
"37.25,122.37",2022-11-28T02:00:00,55.3,55.3,54.2,96.15,0.004,100,rain,0,0,28.2,11.6,153.4,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.25,122.37",2022-11-28T03:00:00,56.4,56.4,55.7,97.43,0.008,100,rain,0,0,27.5,12.3,167.8,1012,100,12,0,,0,10,"Rain, Overcast",rain,remote
"37.25,122.37",2022-11-28T04:00:00,57.5,57.5,56.7,97.44,0.004,100,rain,0,0,31.8,16.1,169.8,1011,100,1.7,0,,0,10,"Rain, Overcast",rain,remote
"37.25,122.37",2022-11-28T05:00:00,58.4,58.4,57.6,97.45,0,0,,0,0,32.2,17.7,180,1010,100,0.9,0,,0,10,Overcast,fog,remote
"37.25,122.37",2022-11-28T06:00:00,58.9,58.9,58.2,97.45,0,0,rain,0,0,32,17.9,181.1,1010,100,0.7,0,,0,10,Overcast,fog,remote
"37.25,122.37",2022-11-28T07:00:00,59.3,59.3,58.6,97.46,0.004,100,rain,0,0,27.7,14.3,196.6,1011,100,1.1,0,,0,10,"Rain, Overcast",rain,remote
"37.25,122.37",2022-11-28T08:00:00,59.1,59.1,58.6,98.09,0.008,100,rain,0,0,25.9,11.9,199.2,1011,100,0.6,5,0,0,10,"Rain, Overcast",rain,remote
"37.25,122.37",2022-11-28T09:00:00,59.3,59.3,58.7,98.09,0.039,100,rain,0,0,26.6,12.5,208.5,1011,100,0.2,5,0,0,10,"Rain, Overcast",rain,
"37.25,122.37",2022-11-28T10:00:00,59.3,59.3,58.4,96.83,0.039,100,rain,0,0,25.3,11.6,228,1011,100,15,4,0,0,10,"Rain, Overcast",rain,
"37.25,122.37",2022-11-28T11:00:00,59.3,59.3,58,95.59,0.028,100,rain,0,0,23.9,11.4,239.7,1011,100,3.9,24,0.1,0,10,"Rain, Overcast",rain,
"37.25,122.37",2022-11-28T12:00:00,58.4,58.4,57.6,97.45,0.047,100,rain,0,0,17,8.1,236,1010,100,4.1,11,0,0,10,"Rain, Overcast",rain,
"37.25,122.37",2022-11-28T13:00:00,57.8,57.8,57.5,98.71,0.11,100,rain,0,0,12.5,5.4,260.3,1010,100,5.6,14,0.1,0,10,"Rain, Overcast",rain,
"37.25,122.37",2022-11-28T14:00:00,58,58,57.5,98.08,0.094,100,rain,0,0,16.1,7.2,297.6,1010,100,2.2,38,0.1,0,10,"Rain, Overcast",rain,
"37.25,122.37",2022-11-28T15:00:00,55.5,55.5,54.1,94.89,0.043,100,rain,0,0,20.8,13.6,317.4,1011,100,4.2,50,0.2,1,10,"Rain, Overcast",rain,
"37.25,122.37",2022-11-28T16:00:00,54.1,54.1,52.4,94.24,0.024,100,rain,0,0,21.9,11.2,321.6,1011,100,13.8,4,0,0,10,"Rain, Overcast",rain,
"37.25,122.37",2022-11-28T17:00:00,51.7,51.7,49.9,93.55,0.004,100,rain,0,0,21.7,13.4,337.9,1012,100,14.3,1,0,0,10,"Rain, Overcast",rain,
"37.25,122.37",2022-11-28T18:00:00,49.4,43,46.7,90.37,0.004,100,rain,0,0,27.3,19,338.8,1013,100,14.7,0,,0,10,"Rain, Overcast",rain,
"37.25,122.37",2022-11-28T19:00:00,47.7,40.8,44.5,88.47,0.004,100,rain,0,0,31.8,19.5,338.4,1015,100,15,0,,0,10,"Rain, Overcast",rain,
"37.25,122.37",2022-11-28T20:00:00,47.4,40.4,43.1,84.88,0,100,rain,0,0,31.8,18.8,338.3,1016,100,15,0,,0,10,"Rain, Overcast",rain,
"37.25,122.37",2022-11-28T21:00:00,46.8,39.9,42.3,84.26,0,9.5,,0,0,33.1,18.1,345.3,1015,100,15,0,,0,10,Overcast,cloudy,
"37.25,122.37",2022-11-28T22:00:00,46.3,39.4,41.6,83.64,0,9.5,,0,0,31.1,17,341.4,1016,100,15,0,,0,10,Overcast,cloudy,
"37.25,122.37",2022-11-28T23:00:00,46.3,39.2,40.7,80.78,0,9.5,,0,0,34.2,18.1,345.4,1016,100,15,0,,0,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T00:00:00,46.1,38.4,37.7,72.18,0,9.5,,0,0,35.1,20.6,344.2,1018,100,15,0,,0,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T01:00:00,45.4,37.6,34.6,65.73,0,9.5,,0,0,34.2,20.1,350.1,1017,100,15,0,,0,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T02:00:00,44,35.9,32.6,64.14,0,9.5,,0,0,32.4,19.2,350.5,1019,100,15,0,,0,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T03:00:00,42.5,33.2,31.7,65.37,0,4.8,,0,0,32.4,23,354.5,1019,100,15,0,,0,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T04:00:00,40.7,30.7,30.5,66.58,0,4.8,,0,0,32.4,23.5,355.2,1020,100,15,0,,0,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T05:00:00,39.3,29,28.5,64.96,0,4.8,,0,0,30.9,22.4,356.1,1022,100,15,0,,0,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T06:00:00,37.5,26.4,23.8,57.42,0,4.8,,0,0,32.9,23.3,351.8,1023,100,15,0,,0,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T07:00:00,36,24.4,23.1,58.97,0,4.8,,0,0,32.7,23.5,355,1024,100,15,1,0,0,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T08:00:00,33.9,21.3,22.2,61.87,0,4.8,,0,0,32.4,24.6,355.9,1025,100,15,54,0.2,1,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T09:00:00,33.5,21.3,21.3,60.43,0,0,,0,0,32.7,22.6,352.1,1026,100,15,181,0.7,2,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T10:00:00,33,20.7,20.2,58.98,0,0,,0,0,32.2,22.4,352.3,1027,100,15,215,0.8,2,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T11:00:00,32.8,20.3,19.1,56.73,0,0,,0,0,31.8,22.8,350.4,1027,57.4,15,285,1,3,10,Partially cloudy,partly-cloudy-day,
"37.25,122.37",2022-11-29T12:00:00,33.7,21.1,18.4,53.06,0,0,,0,0,32.9,24.4,349.7,1027,79.9,15,492,1.8,5,10,Partially cloudy,partly-cloudy-day,
"37.25,122.37",2022-11-29T13:00:00,33.9,21.2,18.4,52.68,0,0,,0,0,33.1,25.1,347.4,1027,95.5,15,467,1.7,5,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T14:00:00,33.7,21.2,18.9,54.31,0,0,,0,0,34,23.9,345.2,1028,93.3,15,364,1.3,4,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T15:00:00,33.2,20.9,18.8,55.07,0,19,,0,0,33.8,22.4,344.4,1029,99.4,15,228,0.8,2,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T16:00:00,32.1,19.8,18.2,56.19,0.004,19,"rain,snow",0,0,32,21.3,344.3,1029,100,11.4,81,0.3,1,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T17:00:00,32.3,20.6,17.1,53.25,0,19,,0,0,31.8,19,341.7,1030,37.4,15,8,0,0,10,Partially cloudy,partly-cloudy-night,
"37.25,122.37",2022-11-29T18:00:00,31.7,20.8,22.7,69.03,0,19,snow,0,0,28.4,16.3,331.4,1031,98.8,13,0,,0,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T19:00:00,33.9,22.9,19.3,54.75,0,19,,0,0,29.8,18.6,326.9,1031,94.3,13.2,0,,0,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T20:00:00,32.3,19.1,15.2,48.87,0,19,,0,0,32.4,24.6,319.3,1032,98.7,15,0,,0,10,Overcast,cloudy,
"37.25,122.37",2022-11-29T21:00:00,31.2,18.4,13.5,47.55,0,71.4,"rain,snow",0,0,32.7,21.9,318.6,1033,75.9,15,0,,0,10,"Snow, Rain, Partially cloudy",snow,
"37.25,122.37",2022-11-29T22:00:00,29.7,16.2,13,49.23,0,71.4,"rain,snow",0,0,31.1,22.8,321.7,1033,68.7,15,0,,0,10,"Snow, Rain, Partially cloudy",snow,
"37.25,122.37",2022-11-29T23:00:00,28.7,15.2,11.7,48.66,0,71.4,"rain,snow",0,0,32,21.5,319.4,1034,93.7,15,0,,0,10,"Snow, Rain, Overcast",snow,
"37.25,122.37",2022-11-30T00:00:00,28.7,15.6,12.3,49.84,0,71.4,"rain,snow",0,0,30.2,20.1,319.9,1034,100,15,0,,0,10,"Snow, Rain, Overcast",snow,
"37.25,122.37",2022-11-30T01:00:00,28.7,15.9,16.2,59.27,0.008,71.4,"rain,snow",0,0,27.5,19,328.7,1034,88.8,10.5,0,,0,10,"Snow, Rain, Partially cloudy",snow,
"37.25,122.37",2022-11-30T02:00:00,27.6,14.4,18,66.96,0.004,71.4,snow,0.04,0.04,28,19.5,335.6,1035,99.7,8.6,0,,0,10,"Snow, Overcast",snow,
"37.25,122.37",2022-11-30T03:00:00,27.8,15,16.1,61.02,0,95.2,snow,0,0.04,28,18.3,337.1,1035,98.5,10.6,0,,0,10,"Snow, Overcast",snow,
"37.25,122.37",2022-11-30T04:00:00,27.6,14.6,14.8,58.19,0.004,95.2,snow,0.04,0.08,27.5,18.8,335.7,1035,92.8,11.5,0,,0,10,"Snow, Overcast",snow,
"37.25,122.37",2022-11-30T05:00:00,26.9,14,16.1,63.32,0,95.2,snow,0,0.08,26.6,17.7,334.7,1035,87.6,11.1,0,,0,10,"Snow, Partially cloudy",snow,
"37.25,122.37",2022-11-30T06:00:00,26.9,13.9,16.6,64.82,0.004,95.2,snow,0,0.08,25.9,18.1,333.2,1035,94.7,9.6,0,,0,10,"Snow, Overcast",snow,
"37.25,122.37",2022-11-30T07:00:00,26.7,13.9,17.3,67.37,0,95.2,snow,0,0.08,25.3,17.2,331.1,1036,90.5,7.6,1,0,0,10,"Snow, Overcast",snow,
"37.25,122.37",2022-11-30T08:00:00,27.6,15.1,16.2,61.96,0,95.2,snow,0,0.12,24.8,17.2,331.5,1037,92.4,6.9,52,0.2,1,10,"Snow, Overcast",snow,
"37.25,122.37",2022-11-30T09:00:00,28.5,15.5,14.1,54.35,0.004,71.4,"rain,snow",0,0.12,25.5,19.7,337.6,1037,93.9,12,161,0.6,2,10,"Snow, Rain, Overcast",snow,
"37.25,122.37",2022-11-30T10:00:00,28.7,15.7,13.7,53.1,0.004,71.4,snow,0,0.12,25.3,19.7,336.9,1037,100,6.6,282,1,3,10,"Snow, Overcast",snow,
"37.25,122.37",2022-11-30T11:00:00,29.2,17,15.2,55.32,0,71.4,snow,0,0.08,23.7,17.9,333.8,1037,100,4.1,325,1.2,3,10,"Snow, Overcast",snow,
"37.25,122.37",2022-11-30T12:00:00,29.2,16.9,18,62.66,0.004,71.4,snow,0,0.08,23.7,18.1,328.7,1036,100,2.7,338,1.2,3,10,"Snow, Overcast",snow,
"37.25,122.37",2022-11-30T13:00:00,29.6,17.5,17,58.94,0,71.4,snow,0,0.08,23.7,17.9,323.2,1036,100,3.3,305,1.1,3,10,"Snow, Overcast",snow,
"37.25,122.37",2022-11-30T14:00:00,29.4,17.2,17.5,60.77,0.008,71.4,snow,0,0.08,23.9,17.9,319.8,1036,100,3.7,264,1,3,10,"Snow, Overcast",snow,
"37.25,122.37",2022-11-30T15:00:00,29.2,17.3,16.4,58.43,0,61.9,snow,0,0.08,23.5,17,318.2,1036,97.1,5.5,182,0.7,2,10,"Snow, Overcast",snow,
"37.25,122.37",2022-11-30T16:00:00,29,17.9,16.8,59.79,0.004,61.9,snow,0,0.08,23.3,14.8,313.8,1036,98.6,6.8,91,0.3,1,10,"Snow, Overcast",snow,
"37.25,122.37",2022-11-30T17:00:00,28.7,17.2,16.1,58.81,0,61.9,"rain,snow",0,0.08,23,15.2,313.6,1036,94.4,9.7,8,0,0,10,"Snow, Rain, Overcast",snow,
"37.25,122.37",2022-11-30T18:00:00,28.8,17.9,16.2,58.84,0.004,61.9,"rain,snow",0,0.08,22.4,14.1,311.5,1036,97.8,12.8,0,,0,10,"Snow, Rain, Overcast",snow,
"37.25,122.37",2022-11-30T19:00:00,29.2,19.3,16.4,58.43,0,61.9,"rain,snow",0,0.08,20.4,11.9,312.9,1037,93.7,12.9,0,,0,10,"Snow, Rain, Overcast",snow,
"37.25,122.37",2022-11-30T20:00:00,29.6,20,16.4,57.58,0,61.9,"rain,snow",0,0.08,19.5,11.4,313.4,1037,95,10.7,0,,0,10,"Snow, Rain, Overcast",snow,
