name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.4,122.6",2022-07-01T00:00:00,72.9,72.9,71.3,94.67,0,0,rain,0,,18.1,13.2,247.1,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.6",2022-07-01T01:00:00,72.6,72.6,70.6,93.51,0,0,,0,,11.4,10.1,185.2,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.6",2022-07-01T02:00:00,69.2,69.2,68.6,98.17,0,0,,,,22.4,8.9,210,1009.3,100,2.5,0,,0,10,Overcast,cloudy,54776099999
"37.4,122.6",2022-07-01T03:00:00,71.7,71.7,70.4,95.81,0,0,rain,0,,23.9,16.8,175.5,1008,84.8,1.1,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.4,122.6",2022-07-01T04:00:00,71.1,71.1,69.5,94.63,0,0,,0,,23,15.9,189,1008,100,8.8,0,,0,10,Overcast,cloudy,remote
"37.4,122.6",2022-07-01T05:00:00,65.9,65.9,65.4,98.14,0.118,100,rain,0,,22.4,11.2,190,1009.5,100,0,3,0,0,3,"Rain, Overcast",rain,54776099999
"37.4,122.6",2022-07-01T06:00:00,71.5,71.5,70.4,96.4,0,0,rain,0,,23.5,15.9,197.1,1009,92.8,8.8,20,0.1,0,3,Overcast,cloudy,remote
"37.4,122.6",2022-07-01T07:00:00,71.5,71.5,70.2,95.81,0,0,rain,0,,15.4,11.9,201.5,1010,50.3,10.7,186,0.7,2,3,Partially cloudy,partly-cloudy-day,remote
"37.4,122.6",2022-07-01T08:00:00,68.3,68.3,67.7,98.16,0,0,,,,22.4,15.7,200,1010.9,100,0,425,1.5,4,10,Overcast,cloudy,54776099999
"37.4,122.6",2022-07-01T09:00:00,71.5,71.5,70.4,96.4,0,0,rain,0,,14.8,11.4,200.2,1010,100,7.5,236,0.8,2,10,Overcast,cloudy,remote
"37.4,122.6",2022-07-01T10:00:00,71.7,71.7,70.8,96.99,0,0,rain,0,,15,11.6,193.4,1010,100,10.2,299,1.1,3,10,Overcast,cloudy,remote
"37.4,122.6",2022-07-01T11:00:00,67.2,67.2,66.5,97.54,0.008,100,rain,0,,22.4,15.7,170,1011.1,98.6,0,397,1.4,4,10,"Rain, Overcast",rain,54776099999
"37.4,122.6",2022-07-01T12:00:00,74.7,74.7,71.3,89.12,0,0,,0,,15.4,13,187.9,1009,72.1,12.4,673,2.4,7,30,Partially cloudy,partly-cloudy-day,remote
"37.4,122.6",2022-07-01T13:00:00,76.4,76.4,70.8,82.9,0,0,,0,,21.3,16.8,181.5,1009,2.3,15,895,3.2,9,10,Clear,clear-day,remote
"37.4,122.6",2022-07-01T14:00:00,67.2,67.2,66.5,97.54,0.11,100,rain,,,24.6,17.9,190,1010.5,1.7,0,851,3.1,9,10,Rain,rain,54776099999
