name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.4,122.6",2022-11-28T00:00:00,56.7,56.7,53.1,87.73,0.004,100,rain,0,,28.9,19.9,160,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.4,122.6",2022-11-28T01:00:00,56.7,56.7,53.7,89.48,0.012,100,rain,0,,31.1,20.1,158.2,1014,94.7,13.7,0,,0,10,"Rain, Overcast",rain,remote
"37.4,122.6",2022-11-28T02:00:00,57.3,57.3,55.1,92.48,0,0,,,,33.1,21.5,153.5,1013,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.6",2022-11-28T03:00:00,57.8,57.8,56,93.72,0.008,100,rain,0,,32.4,21.3,161.5,1012,100,11.5,0,,0,10,"Rain, Overcast",rain,remote
"37.4,122.6",2022-11-28T04:00:00,58.4,58.4,56.6,93.73,0.012,100,rain,0,,35.6,22.6,167.6,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.4,122.6",2022-11-28T05:00:00,58.7,58.7,57.3,94.96,0,0,,0,,36,22.4,172.5,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.6",2022-11-28T06:00:00,59.3,59.3,57.6,94.36,0,0,,0,,30.6,20.1,176.5,1010,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,122.6",2022-11-28T07:00:00,59.4,59.4,58,94.98,0.016,100,rain,0,,26.6,17,194.4,1011,100,9.4,0,,0,10,"Rain, Overcast",rain,remote
"37.4,122.6",2022-11-28T08:00:00,59.6,59.6,58.2,94.98,0.02,100,rain,,,22.8,15.2,203.8,1011,100,11.4,6,0,0,10,"Rain, Overcast",rain,remote
"37.4,122.6",2022-11-28T09:00:00,59.3,59.3,58.2,96.21,0.051,100,rain,0,,24.2,15.7,203.8,1010,100,4.3,13,0,0,10,"Rain, Overcast",rain,
"37.4,122.6",2022-11-28T10:00:00,59.1,59.1,58.2,96.83,0.118,100,rain,0,,17.9,12.3,232.6,1010,100,4.4,6,0,0,10,"Rain, Overcast",rain,
"37.4,122.6",2022-11-28T11:00:00,58.7,58.7,57.6,96.2,0.059,100,rain,0,,14.5,10.5,257.8,1011,100,5.1,12,0,0,10,"Rain, Overcast",rain,
"37.4,122.6",2022-11-28T12:00:00,58.2,58.2,57.6,98.08,0.13,100,rain,0,,8.3,6.9,258.3,1010,100,13.6,10,0,0,10,"Rain, Overcast",rain,
"37.4,122.6",2022-11-28T13:00:00,58,58,57.6,98.72,0.094,100,rain,0,,10.5,8.5,291.1,1009,100,3.3,89,0.3,1,10,"Rain, Overcast",rain,
"37.4,122.6",2022-11-28T14:00:00,57.5,57.5,56.9,98.07,0.079,100,rain,,,21.5,15.9,295.7,1010,100,6.3,34,0.1,0,10,"Rain, Overcast",rain,
"37.4,122.6",2022-11-28T15:00:00,56.2,56.2,55.3,96.79,0.039,90.5,rain,0,,21.3,16.6,311.3,1010,100,13.9,28,0.1,0,10,"Rain, Overcast",rain,
"37.4,122.6",2022-11-28T16:00:00,53.3,53.3,52.2,96.11,0.024,90.5,rain,0,,20.8,21.5,354.2,1011,100,10.7,14,0.1,0,10,"Rain, Overcast",rain,
"37.4,122.6",2022-11-28T17:00:00,52.2,52.2,49.5,90.49,0,90.5,rain,0,,23.5,21.7,339.9,1012,100,15,3,0,0,10,"Rain, Overcast",rain,
"37.4,122.6",2022-11-28T18:00:00,52.1,52.1,48.8,88.68,0.004,90.5,rain,0,,25.5,24.4,333.1,1014,100,14.2,0,,0,10,"Rain, Overcast",rain,
"37.4,122.6",2022-11-28T19:00:00,50.6,50.6,47,87.42,0.004,90.5,rain,0,,28.2,27.1,335.9,1015,100,15,0,,0,10,"Rain, Overcast",rain,
"37.4,122.6",2022-11-28T20:00:00,50.1,50.1,45.2,83.32,0,90.5,rain,,,31.3,28.4,339.2,1015,100,15,0,,0,10,"Rain, Overcast",rain,
"37.4,122.6",2022-11-28T21:00:00,49.7,41.7,44.9,83.29,0,0,,0,,32.9,29.5,348,1014,100,15,0,,0,10,Overcast,cloudy,
"37.4,122.6",2022-11-28T22:00:00,49.9,42.3,44.5,81.61,0,0,,0,,31.3,27.1,345.7,1016,100,15,0,,0,10,Overcast,cloudy,
"37.4,122.6",2022-11-28T23:00:00,50.3,50.3,43.4,77.28,0,0,,0,,34.4,30,345.4,1016,100,15,0,,0,10,Overcast,cloudy,
"37.4,122.6",2022-11-29T00:00:00,50.1,50.1,40.4,69.14,0,0,,0,,38.3,33.8,343.5,1017,100,15,0,,0,10,Overcast,wind,
"37.4,122.6",2022-11-29T01:00:00,49,39.9,37.8,65.24,0,0,,0,,38.3,36.2,349.7,1017,100,15,0,,0,10,Overcast,wind,
"37.4,122.6",2022-11-29T02:00:00,47.6,37.9,36.9,66.46,0,0,,,,38.3,36.2,348.3,1019,100,15,0,,0,10,Overcast,wind,
"37.4,122.6",2022-11-29T03:00:00,45.8,35.5,35.3,66.72,0,14.3,,0,,37.8,35.8,352.4,1020,100,15,0,,0,10,Overcast,wind,
"37.4,122.6",2022-11-29T04:00:00,44.3,33.4,34.8,68.97,0,14.3,,0,,38.3,36.9,351.4,1020,100,15,0,,0,10,Overcast,wind,
"37.4,122.6",2022-11-29T05:00:00,42.9,31.7,31.2,63.08,0,14.3,,0,,36.7,34.2,350.1,1022,100,15,0,,0,10,Overcast,wind,
"37.4,122.6",2022-11-29T06:00:00,42,30.4,29.6,61.14,0,14.3,,0,,36.5,34.9,348.4,1023,100,15,0,,0,10,Overcast,wind,
"37.4,122.6",2022-11-29T07:00:00,39.8,27.1,30.1,67.95,0,14.3,,0,,38.3,37.4,352.2,1024,100,15,1,0,0,10,Overcast,wind,
"37.4,122.6",2022-11-29T08:00:00,37.3,23.8,28.5,70.19,0,14.3,,,,37.6,36.2,349.7,1025,100,15,61,0.2,1,10,Overcast,wind,
"37.4,122.6",2022-11-29T09:00:00,36,21.8,27.8,71.62,0,4.8,,0,,39.1,37.6,346.1,1027,100,15,202,0.7,2,10,Overcast,wind,
"37.4,122.6",2022-11-29T10:00:00,35.3,20.9,27.2,72.08,0,4.8,,0,,38.9,37.1,345.6,1027,100,15,258,0.9,3,10,Overcast,wind,
"37.4,122.6",2022-11-29T11:00:00,34.6,20,26.7,72.54,0,4.8,,0,,38.3,36.7,344.8,1027,100,15,298,1.1,3,10,Overcast,wind,
"37.4,122.6",2022-11-29T12:00:00,34.6,20.2,26.1,70.93,0,4.8,,0,,37.4,35.1,343.7,1027,99.9,15,462,1.7,5,10,Overcast,wind,
"37.4,122.6",2022-11-29T13:00:00,34.8,20.4,25.8,69.39,0,4.8,,0,,38.3,35.6,342.9,1028,100,15,446,1.6,4,10,Overcast,wind,
"37.4,122.6",2022-11-29T14:00:00,34.6,20.2,25.4,68.85,0,4.8,,,,38,35.1,344.2,1028,100,15,351,1.3,4,10,Overcast,wind,
"37.4,122.6",2022-11-29T15:00:00,35.3,21.3,25.4,66.91,0,38.1,,0,,38.5,34.7,341.3,1029,100,15,221,0.8,2,10,Overcast,wind,
"37.4,122.6",2022-11-29T16:00:00,35.7,21.9,25.8,66.95,0.004,38.1,snow,0,,37.1,34,341.7,1029,100,3,57,0.2,1,10,Overcast,wind,
"37.4,122.6",2022-11-29T17:00:00,36.6,23.4,24.9,62.24,0.004,38.1,rain,0,,36.9,32.7,340.3,1030,100,15,4,0,0,10,Overcast,wind,
"37.4,122.6",2022-11-29T18:00:00,37.1,24.7,26,63.72,0,38.1,,0,,35.1,29.3,334.2,1030,100,15,0,,0,10,Overcast,cloudy,
"37.4,122.6",2022-11-29T19:00:00,37.7,25.5,27.2,65.72,0,38.1,,0,,34.4,29.1,330.2,1031,100,11.7,0,,0,10,Overcast,cloudy,
"37.4,122.6",2022-11-29T20:00:00,38.4,25.1,24.9,57.99,0,38.1,,,,38.5,37.1,318.8,1031,100,15,0,,0,10,Overcast,wind,
"37.4,122.6",2022-11-29T21:00:00,37.5,24.2,25.1,60.52,0,85.7,rain,0,,36.7,35.1,320.7,1032,100,15,0,,0,10,"Rain, Overcast",rain,
"37.4,122.6",2022-11-29T22:00:00,35.9,21.7,24.3,62.61,0,85.7,rain,0,,37.6,36.5,321.1,1033,100,15,0,,0,10,"Rain, Overcast",rain,
"37.4,122.6",2022-11-29T23:00:00,33.7,19.4,27.9,79.19,0.004,85.7,snow,0,,35.3,32.7,334.4,1034,100,4.7,0,,0,10,"Snow, Overcast",rain,
"37.4,122.6",2022-11-30T00:00:00,32.4,17.7,29.4,88.35,0.02,85.7,snow,0,,33.3,32.4,345.7,1034,100,0.7,0,,0,10,"Snow, Overcast",rain,
"37.4,122.6",2022-11-30T01:00:00,31.9,16.8,27.9,85.12,0.02,85.7,snow,0,,33.8,33.6,345,1034,100,5.2,0,,0,10,"Snow, Overcast",snow,
"37.4,122.6",2022-11-30T02:00:00,31.7,16.6,24.5,74.43,0.008,85.7,snow,,,34,33.3,341.2,1034,100,12.6,0,,0,10,"Snow, Overcast",snow,
"37.4,122.6",2022-11-30T03:00:00,31.7,16.8,23.6,71.68,0,90.5,snow,0,,33.8,32,337.3,1035,100,7.5,0,,0,10,"Snow, Overcast",snow,
"37.4,122.6",2022-11-30T04:00:00,31.7,16.9,23.4,71.15,0,90.5,"rain,snow",0,,33.1,31.8,337.8,1035,100,12.1,0,,0,10,"Snow, Rain, Overcast",snow,
"37.4,122.6",2022-11-30T05:00:00,31.5,16.9,23.1,70.59,0,90.5,"rain,snow",0,,31.8,30.2,336.9,1035,100,15,0,,0,10,"Snow, Rain, Overcast",snow,
"37.4,122.6",2022-11-30T06:00:00,31.7,17.1,23.4,71.15,0.004,90.5,"rain,snow",0,,32.4,30.9,335.6,1035,100,15,0,,0,10,"Snow, Rain, Overcast",snow,
"37.4,122.6",2022-11-30T07:00:00,31.9,17.4,23.1,69.57,0,90.5,"rain,snow",0,,31.3,30.4,332.9,1036,100,13.4,1,0,0,10,"Snow, Rain, Overcast",snow,
"37.4,122.6",2022-11-30T08:00:00,32.1,17.7,23.1,69.07,0,90.5,"rain,snow",,,30.6,30.2,332.5,1036,100,13.7,28,0.1,0,10,"Snow, Rain, Overcast",rain,
"37.4,122.6",2022-11-30T09:00:00,31.7,17,23.3,70.61,0.004,76.2,"rain,snow",0,,30.9,31.1,335.3,1036,100,15,74,0.3,1,10,"Snow, Rain, Overcast",snow,
"37.4,122.6",2022-11-30T10:00:00,31.5,16.9,22.7,69.53,0,76.2,"rain,snow",0,,30.6,30.2,335.1,1037,100,15,154,0.6,2,10,"Snow, Rain, Overcast",snow,
"37.4,122.6",2022-11-30T11:00:00,31.7,17.5,23.1,70.08,0,76.2,"rain,snow",0,,29.3,28.6,332.9,1037,100,15,185,0.7,2,10,"Snow, Rain, Overcast",snow,
"37.4,122.6",2022-11-30T12:00:00,32.3,18.5,22.7,67.54,0,76.2,"rain,snow",0,,28.6,27.5,328.8,1036,100,15,202,0.7,2,10,"Snow, Rain, Overcast",rain,
"37.4,122.6",2022-11-30T13:00:00,32.4,18.8,23.6,69.64,0,76.2,"rain,snow",0,,28,27.1,324.5,1035,100,15,201,0.7,2,10,"Snow, Rain, Overcast",rain,
"37.4,122.6",2022-11-30T14:00:00,33,19.7,24.2,69.7,0,76.2,"rain,snow",,,27.3,26.2,320.9,1035,100,15,208,0.7,2,10,"Snow, Rain, Overcast",rain,
"37.4,122.6",2022-11-30T15:00:00,33,19.9,24.7,71.29,0,71.4,snow,0,,26.4,25.5,318.5,1035,100,7.7,108,0.4,1,10,"Snow, Overcast",rain,
"37.4,122.6",2022-11-30T16:00:00,33.2,20.2,25.4,72.92,0.004,71.4,snow,0,,26.8,25.1,320.9,1035,100,9.3,59,0.2,1,10,"Snow, Overcast",rain,
"37.4,122.6",2022-11-30T17:00:00,33.7,20.8,25.6,71.9,0,71.4,snow,0,,27.1,25.7,323.8,1035,100,9.1,5,0,0,10,"Snow, Overcast",rain,
"37.4,122.6",2022-11-30T18:00:00,34.2,21.5,25.1,68.81,0.004,71.4,snow,0,,26.8,25.7,323.8,1036,100,5.3,0,,0,10,"Snow, Overcast",rain,
"37.4,122.6",2022-11-30T19:00:00,34.6,22.2,24.3,65.82,0.004,71.4,"rain,snow",0,,25.7,24.8,322.1,1036,100,10.9,0,,0,10,"Snow, Rain, Overcast",rain,
"37.4,122.6",2022-11-30T20:00:00,35,22.6,24.7,65.87,0,71.4,snow,,,25.7,25.1,320.8,1036,100,13.3,0,,0,10,"Snow, Overcast",rain,
"37.4,122.6",2022-11-30T21:00:00,35.1,22.8,25.4,67.39,0,76.2,snow,0,,25.7,25.3,324.5,1036,100,11.6,0,,0,10,"Snow, Overcast",rain,
"37.4,122.6",2022-11-30T22:00:00,35.3,23.4,25.2,66.41,0,76.2,"rain,snow",0,,24.4,23.9,325.9,1036,100,14.4,0,,0,10,"Snow, Rain, Overcast",rain,
"37.4,122.6",2022-11-30T23:00:00,35.5,24.1,25.1,65.44,0.004,76.2,"rain,snow",0,,22.8,21.9,326.9,1035,100,13.2,0,,0,10,"Snow, Rain, Overcast",rain,
