name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.0,122.6",2022-07-01T00:00:00,72.8,72.8,71.7,96.42,0,0,,0,,26.8,14.5,213,1008,100,4.7,0,,0,10,Overcast,cloudy,remote
"37.0,122.6",2022-07-01T01:00:00,72.6,72.6,71.3,95.83,0,0,,0,,19.9,10.5,212.9,1008,100,4,0,,0,10,Overcast,cloudy,remote
"37.0,122.6",2022-07-01T02:00:00,69.2,69.2,68.6,98.17,0,0,,,,22.4,8.9,210,1009.3,100,2.5,0,,0,3,Overcast,cloudy,54776099999
"37.0,122.6",2022-07-01T03:00:00,70.6,70.6,69.9,97.58,0,0,rain,0,,25.9,15,177.3,1008,97.8,6.6,0,,0,3,Overcast,cloudy,remote
"37.0,122.6",2022-07-01T04:00:00,71,71,70.4,98.18,0,0,rain,0,,30,15.7,187.3,1009,100,2.3,0,,0,10,Overcast,cloudy,remote
"37.0,122.6",2022-07-01T05:00:00,65.9,65.9,65.4,98.14,0.118,100,rain,0,,22.4,11.2,190,1009.5,100,0,1,0,0,10,"Rain, Overcast",rain,54776099999
"37.0,122.6",2022-07-01T06:00:00,71.5,71.5,70.8,97.59,0,0,,0,,20.8,10.7,205.2,1010,100,12.1,18,0.1,0,10,Overcast,cloudy,remote
"37.0,122.6",2022-07-01T07:00:00,71.9,71.9,71,96.99,0,0,,0,,19.9,11.4,198.9,1010,100,6.7,101,0.4,1,10,Overcast,cloudy,remote
"37.0,122.6",2022-07-01T08:00:00,68.3,68.3,67.7,98.16,0,0,,,,22.4,15.7,200,1010.9,100,0,196,0.7,2,10,Overcast,cloudy,54776099999
"37.0,122.6",2022-07-01T09:00:00,72.2,72.2,71.3,97,0,0,,0,,24.4,13.2,194.3,1010,100,1.8,146,0.5,1,10,Overcast,cloudy,remote
"37.0,122.6",2022-07-01T10:00:00,73.1,73.1,71.7,95.25,0,0,,0,,24.4,14.5,192.2,1010,100,6.5,231,0.8,2,10,Overcast,cloudy,remote
"37.0,122.6",2022-07-01T11:00:00,67.2,67.2,66.5,97.54,0.008,100,rain,0,,22.4,15.7,170,1011.1,100,0,570,2.1,6,10,"Rain, Overcast",rain,54776099999
"37.0,122.6",2022-07-01T12:00:00,75.3,75.3,72.1,89.69,0,0,,0,,24.6,15.2,197.1,1010,56.5,3.9,763,2.7,8,10,Partially cloudy,partly-cloudy-day,remote
"37.0,122.6",2022-07-01T13:00:00,76,76,72.1,87.56,0,0,,0,,28.9,17.4,189.8,1010,9.8,13.7,860,3.1,9,10,Clear,clear-day,remote
