name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.0,122.6",2022-11-28T00:00:00,56.7,56.7,53.7,89.48,0.008,100,rain,0,,32,20.8,147.9,1014,100,13.7,0,,0,10,"Rain, Overcast",rain,remote
"37.0,122.6",2022-11-28T01:00:00,57.6,57.6,55.3,91.89,0.016,100,rain,0,,30.9,18.3,153.9,1014,100,10.1,0,,0,10,"Rain, Overcast",rain,remote
"37.0,122.6",2022-11-28T02:00:00,58.2,58.2,56.4,93.72,0.02,100,rain,,,33.6,20.4,161.7,1013,100,13.8,0,,0,10,"Rain, Overcast",rain,remote
"37.0,122.6",2022-11-28T03:00:00,58.7,58.7,57.1,94.35,0.008,100,rain,0,,34.2,21.7,172.2,1013,100,12.9,0,,0,10,"Rain, Overcast",rain,remote
"37.0,122.6",2022-11-28T04:00:00,58.9,58.9,57.6,95.58,0.008,100,rain,0,,35.1,20.4,175.9,1012,100,9.6,0,,0,10,"Rain, Overcast",rain,remote
"37.0,122.6",2022-11-28T05:00:00,59.4,59.4,58.2,95.59,0.012,100,rain,0,,36.9,23,175.6,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.0,122.6",2022-11-28T06:00:00,59.8,59.8,58.7,96.22,0.004,100,rain,0,,37.8,23.7,180.2,1011,100,14.2,0,,0,10,"Rain, Overcast",rain,remote
"37.0,122.6",2022-11-28T07:00:00,60,60,58.9,96.22,0,0,rain,0,,36.2,22.4,185.6,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.0,122.6",2022-11-28T08:00:00,59.6,59.6,58.7,96.84,0.028,100,rain,,,34.2,20.6,190.9,1011,100,2.7,9,0,0,10,"Rain, Overcast",rain,remote
"37.0,122.6",2022-11-28T09:00:00,60,60,59.3,97.47,0.028,100,rain,0,,34.4,19,203.6,1011,100,3,6,0,0,10,"Rain, Overcast",rain,
"37.0,122.6",2022-11-28T10:00:00,60.3,60.3,59.1,95.61,0.008,100,rain,0,,30,16.8,218.6,1011,100,12.2,29,0.1,0,10,"Rain, Overcast",rain,
"37.0,122.6",2022-11-28T11:00:00,60,60,59.1,96.84,0.031,100,rain,0,,27.1,15,226.7,1011,100,3.5,30,0.1,0,10,"Rain, Overcast",rain,
"37.0,122.6",2022-11-28T12:00:00,59.6,59.6,58.9,97.46,0.063,100,rain,0,,21.5,11.9,252.6,1010,100,2.5,13,0,0,10,"Rain, Overcast",rain,
"37.0,122.6",2022-11-28T13:00:00,59.3,59.3,58.2,96.21,0.142,100,rain,0,,20.1,10.5,262.4,1010,100,2.5,7,0,0,10,"Rain, Overcast",rain,
"37.0,122.6",2022-11-28T14:00:00,58.9,58.9,58,96.83,0.161,100,rain,,,17.2,8.7,272.9,1010,100,2.7,12,0,0,10,"Rain, Overcast",rain,
"37.0,122.6",2022-11-28T15:00:00,58.7,58.7,57.5,95.58,0.083,100,rain,0,,10.1,6.3,275.4,1010,100,8.6,14,0.1,0,10,"Rain, Overcast",rain,
"37.0,122.6",2022-11-28T16:00:00,57.3,57.3,55.5,93.7,0.039,100,rain,0,,17.7,12.5,321,1011,100,11.3,10,0,0,10,"Rain, Overcast",rain,
"37.0,122.6",2022-11-28T17:00:00,55.5,55.5,53,91.22,0.008,100,rain,0,,24.8,17.9,331.1,1012,100,15,0,,0,10,"Rain, Overcast",rain,
"37.0,122.6",2022-11-28T18:00:00,53,53,50.1,89.91,0.012,100,rain,0,,27.7,21.7,346.1,1012,100,15,0,,0,10,"Rain, Overcast",rain,
"37.0,122.6",2022-11-28T19:00:00,51.5,51.5,48.1,88.05,0.004,100,rain,0,,27.1,20.6,339,1014,100,14.7,0,,0,10,"Rain, Overcast",rain,
"37.0,122.6",2022-11-28T20:00:00,49.9,43.1,46.1,86.79,0.008,100,rain,,,29.5,21.9,345.7,1014,100,9.6,0,,0,10,"Rain, Overcast",rain,
"37.0,122.6",2022-11-28T21:00:00,49.7,42.6,45,83.87,0.008,9.5,rain,0,,32.4,23.9,351.5,1014,100,15,0,,0,10,Overcast,cloudy,
"37.0,122.6",2022-11-28T22:00:00,49.7,42.4,44.3,81.6,0,9.5,,0,,32.9,24.8,344,1016,100,15,0,,0,10,Overcast,cloudy,
"37.0,122.6",2022-11-28T23:00:00,49.5,42.3,44,81.03,0,9.5,,0,,34,24.2,351.9,1015,100,15,0,,0,10,Overcast,cloudy,
"37.0,122.6",2022-11-29T00:00:00,49.5,41.8,42.2,75.63,0,9.5,,0,,35.8,27.3,344.9,1017,100,15,0,,0,10,Overcast,cloudy,
"37.0,122.6",2022-11-29T01:00:00,49,40.7,38.4,66.64,0,9.5,,0,,38.7,29.8,351.9,1016,100,15,0,,0,10,Overcast,cloudy,
"37.0,122.6",2022-11-29T02:00:00,47.9,39.3,36.6,64.65,0,9.5,,,,36.5,29.5,348.7,1019,100,15,0,,0,10,Overcast,cloudy,
"37.0,122.6",2022-11-29T03:00:00,46.5,37.1,35.7,65.86,0,4.8,,0,,37.1,31.3,353.4,1019,100,15,0,,0,10,Overcast,wind,
"37.0,122.6",2022-11-29T04:00:00,45,35.1,34.4,66.15,0,4.8,,0,,36.9,31.3,354.1,1019,100,15,0,,0,10,Overcast,wind,
"37.0,122.6",2022-11-29T05:00:00,43.4,32.8,33.9,68.87,0,4.8,,0,,36.2,31.8,353.5,1020,100,15,0,,0,10,Overcast,wind,
"37.0,122.6",2022-11-29T06:00:00,42.2,31.4,29.7,61.17,0,4.8,,0,,35.6,30.2,351.7,1022,100,15,0,,0,10,Overcast,wind,
"37.0,122.6",2022-11-29T07:00:00,40.7,29.3,28.1,60.52,0,4.8,,0,,36.2,30.9,352.1,1023,100,15,2,0,0,10,Overcast,wind,
