name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.3,122.0",2022-07-01T00:00:00,74,74,72.8,95.85,0,0,rain,0,0,22.4,7.8,211.7,1007,100,14.3,0,,0,10,Overcast,cloudy,remote
"37.3,122.0",2022-07-01T01:00:00,74.2,74.2,72.1,92.99,0,0,rain,0,0,26.4,8.3,192.1,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.3,122.0",2022-07-01T02:00:00,69.2,69.2,68.6,98.17,0,0,,0,0,22.4,8.9,210,1009.3,100,2.5,0,,0,10,Overcast,cloudy,54776099999
"37.3,122.0",2022-07-01T03:00:00,72.4,72.4,70.8,94.66,0,0,,0,0,27.1,11.9,191.5,1008,100,15,0,,0,10,Overcast,cloudy,remote
"37.3,122.0",2022-07-01T04:00:00,71.3,71.3,70.4,96.99,0,0,,0,0,23.3,10.5,184.7,1008,99.9,7.1,0,,0,10,Overcast,cloudy,remote
"37.3,122.0",2022-07-01T05:00:00,65.9,65.9,65.4,98.14,0.118,100,rain,0,0,22.4,11.2,190,1009.5,100,0,2,0,0,10,"Rain, Overcast",rain,54776099999
"37.3,122.0",2022-07-01T06:00:00,72.6,72.6,71.3,95.83,0,0,,0,0,19.9,10.3,195.9,1009,100,0.7,29,0.1,0,10,Overcast,fog,remote
"37.3,122.0",2022-07-01T07:00:00,73.3,73.3,71,92.4,0,0,,0,0,16.8,10.7,196.1,1010,100,15,103,0.4,1,10,Overcast,cloudy,remote
"37.3,122.0",2022-07-01T08:00:00,68.3,68.3,67.7,98.16,0,0,,0,0,22.4,15.7,200,1010.9,100,0,183,0.7,2,10,Overcast,cloudy,54776099999
"37.3,122.0",2022-07-01T09:00:00,75.6,75.6,72.6,90.25,0,0,,0,0,17.2,11.2,190.2,1010,100,8.5,271,1,3,10,Overcast,cloudy,remote
"37.3,122.0",2022-07-01T10:00:00,76.7,76.7,73.5,89.75,0,0,rain,0,0,17,11.6,188.5,1010,100,7.6,300,1.1,3,30,Overcast,cloudy,remote
"37.3,122.0",2022-07-01T11:00:00,67.2,67.2,66.5,97.54,0.008,100,rain,0,0,22.4,15.7,170,1011.1,68.3,0,311,1.1,3,30,"Rain, Partially cloudy",rain,54776099999
"37.3,122.0",2022-07-01T12:00:00,82.7,88.4,72.9,72.55,0,0,,0,0,20.6,15.4,193.7,1009,0.9,15,741,2.7,7,30,Clear,clear-day,remote
"37.3,122.0",2022-07-01T13:00:00,83.9,90.2,72.9,69.66,0,0,,0,0,22.6,17.4,186.5,1009,5,15,916,3.3,9,30,Clear,clear-day,remote
"37.3,122.0",2022-07-01T14:00:00,67.2,67.2,66.5,97.54,0.11,100,rain,0,0,24.6,17.9,190,1010.5,6.1,0,852,3.1,9,30,Rain,rain,54776099999
"37.3,122.0",2022-07-01T15:00:00,82.1,88,73.7,75.64,0,0,,0,0,27.1,19.7,189.9,1009,9.3,15,743,2.7,7,30,Clear,clear-day,remote
"37.3,122.0",2022-07-01T16:00:00,80.7,85.5,73.5,78.79,0,0,,0,0,28,19.7,189.3,1009,26.3,15,590,2.1,6,30,Partially cloudy,partly-cloudy-day,remote
"37.3,122.0",2022-07-01T17:00:00,67.2,67.2,66.5,97.54,0,0,,0,0,24.6,11.2,200,1010.7,46.2,0,404,1.5,4,30,Partially cloudy,partly-cloudy-day,54776099999
"37.3,122.0",2022-07-01T18:00:00,76.9,76.9,73.1,88.14,0,0,,0,0,30.2,16.1,187.7,1009,50.2,15,213,0.8,2,30,Partially cloudy,partly-cloudy-day,remote
"37.3,122.0",2022-07-01T19:00:00,74.7,74.7,72.8,93.57,0,0,,0,0,31.8,14.8,182.4,1009,100,15,53,0.2,1,30,Overcast,cloudy,remote
"37.3,122.0",2022-07-01T20:00:00,68.1,68.1,67.4,97.55,0,0,,0,0,24.6,17.9,190,1011,95.4,0,1,0,0,30,Overcast,cloudy,54776099999
"37.3,122.0",2022-07-01T21:00:00,74.4,74.4,72.1,92.43,0,0,,0,0,34.2,15.7,185.6,1011,74.1,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.3,122.0",2022-07-01T22:00:00,73.8,73.8,71.9,93.55,0,0,,0,0,34.7,15.7,186.3,1011,64,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.3,122.0",2022-07-01T23:00:00,67.2,67.2,66.5,97.54,0,0,,0,0,26.8,20.1,190,1010.4,70.4,0,0,,0,10,Partially cloudy,partly-cloudy-night,54776099999
"37.3,122.0",2022-07-02T00:00:00,73.7,73.7,71.5,92.97,0,0,,0,0,32,12.3,188.9,1011,68.4,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.3,122.0",2022-07-02T01:00:00,73.5,73.5,71.5,93.54,0,0,,0,0,32.7,12.8,187.4,1011,58.5,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.3,122.0",2022-07-02T02:00:00,67.7,67.7,67.2,98.16,0,0,,0,0,29.1,13.4,200,1011.2,62.8,0,0,,0,8,Partially cloudy,partly-cloudy-night,54776099999
"37.3,122.0",2022-07-02T03:00:00,73.3,73.3,71.1,92.96,0,0,,0,0,31.5,14.8,185.4,1010,100,14.1,0,,0,3,Overcast,cloudy,remote
"37.3,122.0",2022-07-02T04:00:00,72.4,72.4,70.6,94.08,0,0,,0,0,29.5,14.1,183.9,1009,100,14.6,0,,0,3,Overcast,cloudy,remote
"37.3,122.0",2022-07-02T05:00:00,65.6,65.6,65,98.14,0.004,100,rain,0,0,29.1,11.2,180,1011.6,100,0,1,0,0,3,"Rain, Overcast",rain,54776099999
"37.3,122.0",2022-07-02T06:00:00,72.4,72.4,71.3,96.41,0,0,,0,0,25.7,12.8,182.5,1010,100,9.2,22,0.1,0,3,Overcast,cloudy,remote
"37.3,122.0",2022-07-02T07:00:00,74.6,74.6,72.2,92.43,0,0,rain,0,0,27.7,15.9,185.2,1011,90.4,15,124,0.4,1,30,Overcast,cloudy,remote
"37.3,122.0",2022-07-02T08:00:00,65.9,65.9,65.6,98.76,0,0,,0,0,29.1,8.9,110,1013.1,38.8,0,293,1.1,3,30,Partially cloudy,partly-cloudy-day,54776099999
"37.3,122.0",2022-07-02T09:00:00,78.3,78.3,72.1,81.04,0,0,,0,0,24.8,17.7,188,1010,17.6,15,589,2.1,6,30,Clear,clear-day,remote
"37.3,122.0",2022-07-02T10:00:00,80.5,85.1,73.1,78.3,0,0,,0,0,25.5,19.7,188.5,1010,19.2,15,761,2.7,8,30,Clear,clear-day,remote
"37.3,122.0",2022-07-02T11:00:00,66.8,66.8,66.3,98.15,0.004,100,rain,0,0,29.1,15.7,180,1012.3,13.2,0,857,3.1,9,60,Rain,rain,54776099999
