name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.3,122.0",2022-11-28T00:00:00,54.2,54.2,51.5,90.57,0,0,rain,0,0,27.1,11.6,153.7,1014,88.1,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.3,122.0",2022-11-28T01:00:00,54.1,54.1,52.1,93,0.004,100,rain,0,0,28.2,11.4,152.6,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.3,122.0",2022-11-28T02:00:00,54.8,54.8,53.7,96.14,0.004,100,rain,0,0,27.5,11.6,154.5,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.3,122.0",2022-11-28T03:00:00,56,56,55.5,98.06,0,0,,0,0,28.4,11.9,162.8,1012,100,3.3,0,,0,10,Overcast,cloudy,remote
"37.3,122.0",2022-11-28T04:00:00,57.5,57.5,56.9,98.07,0.004,100,rain,0,0,31.3,17,168.8,1011,100,0.4,0,,0,10,"Rain, Overcast",rain,remote
"37.3,122.0",2022-11-28T05:00:00,58.6,58.6,57.8,97.45,0,0,,0,0,31.8,16.6,181.2,1010,100,0.8,0,,0,10,Overcast,fog,remote
"37.3,122.0",2022-11-28T06:00:00,59.1,59.1,58.2,96.83,0,0,rain,0,0,28.9,14.3,191.3,1011,100,0.9,0,,0,10,Overcast,fog,remote
"37.3,122.0",2022-11-28T07:00:00,58.9,58.9,58.4,98.09,0.012,100,rain,0,0,24.6,11.4,197.3,1011,100,0.5,0,,0,10,"Rain, Overcast",rain,remote
"37.3,122.0",2022-11-28T08:00:00,58.9,58.9,58.4,98.09,0.012,100,rain,0,0,21,9.4,208.2,1011,100,1.3,3,0,0,10,"Rain, Overcast",rain,remote
"37.3,122.0",2022-11-28T09:00:00,58.7,58.7,58.2,98.08,0.035,95.2,rain,0,0,19.9,8.5,215.2,1011,100,1.6,3,0,0,10,"Rain, Overcast",rain,
"37.3,122.0",2022-11-28T10:00:00,58.7,58.7,57.8,96.82,0.024,95.2,rain,0,0,17.9,8.1,219.3,1011,100,15,5,0,0,10,"Rain, Overcast",rain,
"37.3,122.0",2022-11-28T11:00:00,58.9,58.9,57.6,95.58,0.012,95.2,rain,0,0,15.7,7.2,247.2,1011,100,14.8,23,0.1,0,10,"Rain, Overcast",rain,
"37.3,122.0",2022-11-28T12:00:00,58.7,58.7,57.8,96.82,0.051,95.2,rain,0,0,9.2,5.1,221.4,1010,100,4.8,38,0.1,0,10,"Rain, Overcast",rain,
"37.3,122.0",2022-11-28T13:00:00,57.8,57.8,57.3,98.08,0.11,95.2,rain,0,0,12.5,6,272.7,1010,100,3.5,13,0,0,10,"Rain, Overcast",rain,
"37.3,122.0",2022-11-28T14:00:00,57.3,57.3,56.6,97.44,0.083,95.2,rain,0,0,11.6,6.9,321.9,1010,100,2.4,22,0.1,0,10,"Rain, Overcast",rain,
"37.3,122.0",2022-11-28T15:00:00,54.2,54.2,52.6,94.24,0.016,71.4,rain,0,0,21.5,15.4,320.6,1011,100,8.7,51,0.2,1,10,"Rain, Overcast",rain,
"37.3,122.0",2022-11-28T16:00:00,52.6,52.6,50.6,92.95,0.02,71.4,rain,0,0,23,13.4,325.8,1012,100,15,4,0,0,10,"Rain, Overcast",rain,
"37.3,122.0",2022-11-28T17:00:00,51,51,48.6,91.66,0.008,71.4,rain,0,0,22.8,16.6,329.4,1013,100,15,1,0,0,10,"Rain, Overcast",rain,
"37.3,122.0",2022-11-28T18:00:00,47.9,40.6,44.9,89.09,0.008,71.4,rain,0,0,30.6,21.5,338.8,1014,100,15,0,,0,10,"Rain, Overcast",rain,
"37.3,122.0",2022-11-28T19:00:00,47.2,39.6,43.8,87.84,0,71.4,rain,0,0,33.8,21.7,338.7,1015,100,15,0,,0,10,"Rain, Overcast",rain,
"37.3,122.0",2022-11-28T20:00:00,47.2,39.7,42.3,83.12,0,71.4,rain,0,0,32.7,21.5,339,1016,100,15,0,,0,10,"Rain, Overcast",rain,
"37.3,122.0",2022-11-28T21:00:00,46.7,39,41.8,83.09,0,0,,0,0,33.8,21,342.2,1016,100,15,0,,0,10,Overcast,cloudy,
"37.3,122.0",2022-11-28T22:00:00,45.9,38.4,41.1,83.04,0,0,,0,0,32.2,19.5,343.2,1017,100,15,0,,0,10,Overcast,cloudy,
"37.3,122.0",2022-11-28T23:00:00,46.1,38.1,40,79.09,0,0,,0,0,34.2,21.9,344.4,1016,100,15,0,,0,10,Overcast,cloudy,
"37.3,122.0",2022-11-29T00:00:00,45.8,37.6,37.1,71.64,0,0,,0,0,35.6,22.4,346.6,1018,100,15,0,,0,10,Overcast,cloudy,
"37.3,122.0",2022-11-29T01:00:00,45.2,36.9,35.1,67.61,0,0,,0,0,33.6,22.4,349,1017,100,15,0,,0,10,Overcast,cloudy,
"37.3,122.0",2022-11-29T02:00:00,44,35.2,33.5,66.5,0,0,,0,0,32.4,22.1,354.2,1019,100,15,0,,0,10,Overcast,cloudy,
"37.3,122.0",2022-11-29T03:00:00,42.9,33.6,31.9,64.94,0,19,,0,0,32.2,23,355.2,1020,100,15,0,,0,10,Overcast,cloudy,
"37.3,122.0",2022-11-29T04:00:00,41.1,31.2,31,67.12,0,19,,0,0,32.2,23.3,1.2,1020,100,15,0,,0,10,Overcast,cloudy,
"37.3,122.0",2022-11-29T05:00:00,39.6,29.4,27.4,61.28,0,19,,0,0,31.3,22.6,359.2,1022,100,15,0,,0,10,Overcast,cloudy,
