name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.002664,122.086851",2022-07-01T00:00:00,73.3,73.3,72.4,97.01,0,0,rain,0,,22.4,10.5,221.4,1008,100,5.2,0,,0,10,Overcast,cloudy,remote
"37.002664,122.086851",2022-07-01T01:00:00,72.9,72.9,72.1,97.01,0,0,,0,,24.2,10.3,198.3,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.002664,122.086851",2022-07-01T02:00:00,69.2,69.2,68.6,98.17,0,0,,,,22.4,8.9,210,1009.3,99.3,2.5,0,,0,3,Overcast,cloudy,54776099999
"37.002664,122.086851",2022-07-01T03:00:00,71.9,71.9,70.4,95.23,0,0,,0,,23.9,12.5,183.4,1008,100,15,0,,0,3,Overcast,cloudy,remote
"37.002664,122.086851",2022-07-01T04:00:00,71.5,71.5,71.1,98.79,0,0,,0,,23,11.9,198.2,1009,100,0.2,0,,0,10,Overcast,fog,remote
"37.002664,122.086851",2022-07-01T05:00:00,65.9,65.9,65.4,98.14,0.118,100,rain,0,,22.4,11.2,190,1009.5,100,0,1,0,0,10,"Rain, Overcast",rain,54776099999
"37.002664,122.086851",2022-07-01T06:00:00,72.2,72.2,71.1,96.41,0,0,,0,,16.8,10.1,196.6,1009,100,11.2,28,0.1,0,10,Overcast,cloudy,remote
"37.002664,122.086851",2022-07-01T07:00:00,72.4,72.4,71.3,96.41,0,0,,0,,14.8,9.6,197,1010,100,6,91,0.3,1,10,Overcast,cloudy,remote
"37.002664,122.086851",2022-07-01T08:00:00,68.3,68.3,67.7,98.16,0,0,rain,,,22.4,15.7,200,1010.9,100,0,157,0.6,2,10,Overcast,cloudy,54776099999
"37.002664,122.086851",2022-07-01T09:00:00,73.5,73.5,72.6,97.01,0,0,rain,0,,17.2,10.5,191.4,1010,100,0.2,166,0.6,2,10,Overcast,fog,remote
"37.002664,122.086851",2022-07-01T10:00:00,73.8,73.8,72.8,96.43,0,0,rain,0,,17,11,183.9,1010,99.5,0.4,186,0.7,2,10,Overcast,fog,remote
"37.002664,122.086851",2022-07-01T11:00:00,67.2,67.2,66.5,97.54,0.008,100,rain,0,,22.4,15.7,170,1011.1,55.7,0,397,1.4,4,10,"Rain, Partially cloudy",rain,54776099999
"37.002664,122.086851",2022-07-01T12:00:00,77.3,77.3,73.1,87.1,0,0,,0,,18.8,13.6,188.1,1010,44.7,5.1,776,2.8,8,10,Partially cloudy,partly-cloudy-day,remote
"37.002664,122.086851",2022-07-01T13:00:00,76.9,76.9,73.1,88.14,0,0,,0,,23.9,15,182.8,1010,43.8,5.1,737,2.7,7,10,Partially cloudy,partly-cloudy-day,remote
"37.002664,122.086851",2022-07-01T14:00:00,67.2,67.2,66.5,97.54,0.11,100,rain,,,24.6,17.9,190,1010.5,42.1,0,756,2.7,8,10,"Rain, Partially cloudy",rain,54776099999
"37.002664,122.086851",2022-07-01T15:00:00,76.7,76.7,73.3,89.21,0,0,,0,,30.2,18.6,184.1,1009,43.9,5.1,655,2.4,7,10,Partially cloudy,partly-cloudy-day,remote
"37.002664,122.086851",2022-07-01T16:00:00,76.2,76.2,73.1,90.27,0,0,,0,,31.3,18.1,182.4,1009,42.1,5.2,500,1.8,5,10,Partially cloudy,partly-cloudy-day,remote
"37.002664,122.086851",2022-07-01T17:00:00,67.2,67.2,66.5,97.54,0,0,,0,,24.6,11.2,200,1010.7,89.5,0,355,1.3,4,10,Partially cloudy,partly-cloudy-day,54776099999
"37.002664,122.086851",2022-07-01T18:00:00,74.4,74.4,72.8,94.7,0,0,,0,,29.8,14.1,182.8,1009,63.8,15,177,0.6,2,10,Partially cloudy,partly-cloudy-day,remote
"37.002664,122.086851",2022-07-01T19:00:00,73.8,73.8,72.6,95.85,0,0,,0,,30.6,12.5,177.9,1010,100,15,48,0.2,0,10,Overcast,cloudy,remote
"37.002664,122.086851",2022-07-01T20:00:00,68.1,68.1,67.4,97.55,0,0,,,,24.6,17.9,190,1011,54.8,0,1,0,0,10,Partially cloudy,partly-cloudy-night,54776099999
"37.002664,122.086851",2022-07-01T21:00:00,73.1,73.1,71.7,95.25,0,0,,0,,32.7,13,178.6,1011,66.8,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.002664,122.086851",2022-07-01T22:00:00,72.9,72.9,71.5,95.25,0,0,,0,,32.7,12.8,182.6,1011,33.6,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.002664,122.086851",2022-07-01T23:00:00,67.2,67.2,66.5,97.54,0,0,,0,,26.8,20.1,190,1010.4,44.4,0,0,,0,3,Partially cloudy,partly-cloudy-night,54776099999
"37.002664,122.086851",2022-07-02T00:00:00,72.8,72.8,71.5,95.83,0,0,,0,,29.1,10.7,188,1011,92,15,0,,0,10,Overcast,cloudy,remote
