name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.002664,122.086851",2022-11-28T00:00:00,56.4,56.4,53.7,90.65,0.004,100,rain,0,,31.5,17.4,142.9,1014,34.6,12.8,0,,0,10,"Rain, Partially cloudy",rain,remote
"37.002664,122.086851",2022-11-28T01:00:00,56.4,56.4,54.6,93.68,0.012,100,rain,0,,28.9,15,148.9,1013,99.9,10.4,0,,0,10,"Rain, Overcast",rain,remote
"37.002664,122.086851",2022-11-28T02:00:00,57.6,57.6,56.2,94.94,0.008,100,rain,,,28.6,15.2,155.9,1013,100,10.2,0,,0,10,"Rain, Overcast",rain,remote
"37.002664,122.086851",2022-11-28T03:00:00,58.4,58.4,57.3,96.19,0.008,100,rain,0,,28.9,15.9,161.2,1012,100,14.9,0,,0,10,"Rain, Overcast",rain,remote
"37.002664,122.086851",2022-11-28T04:00:00,58.9,58.9,57.8,96.2,0.008,100,rain,0,,29.3,17.2,164.7,1011,100,12.9,0,,0,10,"Rain, Overcast",rain,remote
"37.002664,122.086851",2022-11-28T05:00:00,59.4,59.4,58.4,96.21,0,0,rain,0,,31.8,18.8,174.7,1011,100,10.7,0,,0,10,Overcast,cloudy,remote
"37.002664,122.086851",2022-11-28T06:00:00,59.4,59.4,58.9,98.09,0.008,100,rain,0,,30.4,18.6,177.2,1010,100,2.8,0,,0,10,"Rain, Overcast",rain,remote
"37.002664,122.086851",2022-11-28T07:00:00,59.8,59.8,58.9,96.84,0.004,100,rain,0,,26.8,14.8,194.7,1011,100,8.5,0,,0,10,"Rain, Overcast",rain,remote
"37.002664,122.086851",2022-11-28T08:00:00,59.6,59.6,58.9,97.46,0.02,100,rain,,,25.7,13,200.3,1011,100,5.4,4,0,0,10,"Rain, Overcast",rain,remote
"37.002664,122.086851",2022-11-28T09:00:00,59.6,59.6,58.9,97.46,0.035,100,rain,0,,26.8,14.5,212.6,1011,100,9.8,8,0,0,10,"Rain, Overcast",rain,
