name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.3,122.4",2022-07-01T00:00:00,74.4,74.4,72.2,92.99,0,0,,0,0,25.1,11,228.9,1008,100,15,0,,0,10,Overcast,cloudy,remote
"37.3,122.4",2022-07-01T01:00:00,73.7,73.7,71.9,94.11,0,0,,0,0,22.4,9.6,209.8,1007,100,14.2,0,,0,10,Overcast,cloudy,remote
"37.3,122.4",2022-07-01T02:00:00,69.2,69.2,68.6,98.17,0,0,,0,0,22.4,8.9,210,1009.3,100,2.5,0,,0,10,Overcast,cloudy,54776099999
"37.3,122.4",2022-07-01T03:00:00,71.7,71.7,70.2,95.23,0,0,rain,0,0,26.4,13.9,184.2,1008,99.5,8.9,0,,0,3,Overcast,cloudy,remote
"37.3,122.4",2022-07-01T04:00:00,70.8,70.8,70.2,98.18,0,0,,0,0,26.4,10.7,188.9,1009,100,3.4,0,,0,3,Overcast,cloudy,remote
"37.3,122.4",2022-07-01T05:00:00,65.9,65.9,65.4,98.14,0.118,100,rain,0,0,22.4,11.2,190,1009.5,100,0,1,0,0,10,"Rain, Overcast",rain,54776099999
"37.3,122.4",2022-07-01T06:00:00,72.1,72.1,71.1,97,0,0,,0,0,22.6,11.2,196.6,1009,93,1.7,13,0,0,10,Overcast,cloudy,remote
"37.3,122.4",2022-07-01T07:00:00,73.1,73.1,71.1,93.53,0,0,,0,0,20.4,12.1,201.4,1010,97,13,131,0.5,1,10,Overcast,cloudy,remote
"37.3,122.4",2022-07-01T08:00:00,68.3,68.3,67.7,98.16,0,0,,0,0,22.4,15.7,200,1010.9,100,0,212,0.8,2,10,Overcast,cloudy,54776099999
"37.3,122.4",2022-07-01T09:00:00,73.3,73.3,72.1,95.84,0,0,,0,0,23.5,14.1,196.4,1010,100,0.3,140,0.5,1,10,Overcast,fog,remote
"37.3,122.4",2022-07-01T10:00:00,74.4,74.4,72.8,94.7,0,0,,0,0,22.8,14.1,195.3,1010,100,5.5,193,0.7,2,10,Overcast,cloudy,remote
"37.3,122.4",2022-07-01T11:00:00,67.2,67.2,66.5,97.54,0.008,100,rain,0,0,22.4,15.7,170,1011.1,92,0,336,1.2,3,30,"Rain, Overcast",rain,54776099999
"37.3,122.4",2022-07-01T12:00:00,80.5,84.8,72.6,76.89,0,0,,0,0,24.4,17.7,193.3,1010,37.1,10.5,828,3,8,30,Partially cloudy,partly-cloudy-day,remote
"37.3,122.4",2022-07-01T13:00:00,81.1,85.7,72.6,75.54,0,0,,0,0,25.5,18.6,191,1010,10.9,10.4,896,3.2,9,30,Clear,clear-day,remote
"37.3,122.4",2022-07-01T14:00:00,67.2,67.2,66.5,97.54,0.11,100,rain,0,0,24.6,17.9,190,1010.5,11.4,0,843,3,8,30,Rain,rain,54776099999
"37.3,122.4",2022-07-01T15:00:00,80,80,72.6,78.26,0,0,,0,0,30.4,20.8,187,1009,12.1,10.3,726,2.6,7,30,Clear,clear-day,remote
"37.3,122.4",2022-07-01T16:00:00,79.1,79.1,72.8,81.09,0,0,,0,0,31.8,21,189.3,1009,11.4,10.6,573,2.1,6,30,Clear,clear-day,remote
