name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.19,116.87",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,5.1,2.2,145.1,1006,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"37.19,116.87",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,5.6,0,187.4,1006,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"37.19,116.87",2022-07-01T02:00:00,71.2,71.2,70.3,97.04,0.001,100,rain,0,0,19.7,1.5,241,1006.7,0,1.2,0,,0,3,Rain,rain,"57993199999,54715099999,54725099999,54823099999"
"37.19,116.87",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,,0,0,5.8,2.2,240.2,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.19,116.87",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.6,0,246.7,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.19,116.87",2022-07-01T05:00:00,70.5,70.5,69.9,98.14,0.003,100,rain,0,0,16.4,1.9,330,1007,0,0.9,0,,0,10,"Rain, Fog",rain,"57993199999,54715099999,54725099999"
"37.19,116.87",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,5.4,4.5,10,1007,0,1.2,41,0.1,0,10,Clear,clear-day,57993199999
"37.19,116.87",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,2.9,2.2,279.4,1007,0,1.2,200,0.7,2,10,Clear,clear-day,57993199999
"37.19,116.87",2022-07-01T08:00:00,75.9,75.9,72.5,89.23,0,0,,0,0,5.6,2.2,204,1008.3,50,2.2,389,1.4,4,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999"
"37.19,116.87",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,2.7,2.2,352.9,1008,50,1.9,572,2.1,6,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-01T10:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,2.9,2.2,19.5,1008,30,2.5,730,2.6,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-01T11:00:00,83.3,88.3,71.3,67.05,0,0,,0,0,9.3,2.2,40,1008.4,50,8.2,851,3.1,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999"
"37.19,116.87",2022-07-01T12:00:00,86.1,93.7,73.5,66.19,0,0,,0,0,4.3,4.5,51.9,1007,30,6.2,922,3.3,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-01T13:00:00,87.9,98,75.3,66.39,0,0,,0,0,4.7,2.2,62.9,1006,30,6.2,882,3.2,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-01T14:00:00,89.2,96,71.7,56.33,0,0,,0,0,8.9,3.7,239,1007.1,30,13.7,589,2.1,6,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999"
"37.19,116.87",2022-07-01T15:00:00,89.7,96.6,71.7,55.58,0,0,,0,0,3.8,4.5,101.1,1006,50,6.2,278,1,3,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-01T16:00:00,93.3,103.1,73.5,52.78,0,0,,0,0,4.3,2.2,50.7,1005,50,6.2,428,1.5,4,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-01T17:00:00,91.1,95.5,68.4,47.64,0,0,,0,0,9.4,2.8,251,1005.6,30,14.1,484,1.7,5,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54823099999"
"37.19,116.87",2022-07-01T18:00:00,89.7,100.5,75.3,62.73,0,0,,0,0,4.3,2.2,45.4,1005,30,6.2,307,1.1,3,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-01T19:00:00,86.1,97.4,77.1,74.64,0,0,,0,0,6.7,2.2,60,1005,30,6.2,125,0.5,1,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-01T20:00:00,83.7,89.8,72.9,69.92,0,0,,0,0,9.4,2.3,68,1006.5,2.2,9.7,10,0,0,10,Clear,clear-night,"57993199999,54715099999,54725099999,54823099999"
"37.19,116.87",2022-07-01T21:00:00,82.5,89.7,75.3,78.93,0,0,,0,0,9.2,4.5,110,1007,2.3,6.2,0,,0,10,Clear,clear-night,57993199999
"37.19,116.87",2022-07-01T22:00:00,78.9,78.9,73.5,83.57,0,0,,0,0,11,4.5,100,1007,0,6.2,0,,0,10,Clear,clear-night,57993199999
"37.19,116.87",2022-07-01T23:00:00,79.5,79.5,72.5,79.34,0,0,,0,0,11.2,4.5,102,1008.3,0,9,0,,0,10,Clear,clear-night,"57993199999,54823099999"
"37.19,116.87",2022-07-02T00:00:00,77.1,77.1,75.3,94.19,0,0,,0,0,6.3,2.2,90,1007,0,6.2,0,,0,10,Clear,clear-night,57993199999
"37.19,116.87",2022-07-02T01:00:00,75.3,75.3,75.3,100,0,0,,0,0,9.4,2.2,109.8,1007,0,5,0,,0,3,Clear,clear-night,57993199999
"37.19,116.87",2022-07-02T02:00:00,75.2,75.2,73.4,94.25,0,0,,0,0,9.7,1.4,40,1007.4,0,2.9,0,,0,3,Clear,clear-night,"57993199999,54715099999,54725099999"
"37.19,116.87",2022-07-02T03:00:00,73.5,73.5,73.5,100,0,0,,0,0,3.6,2.2,111.9,1007,0,2.5,0,,0,3,Clear,clear-night,57993199999
"37.19,116.87",2022-07-02T04:00:00,73.5,73.5,73.5,100,0,0,,0,0,3.8,2.2,110,1007,0,2.5,0,,0,3,Clear,clear-night,57993199999
"37.19,116.87",2022-07-02T05:00:00,74.4,74.4,73.3,96.36,0,0,,0,0,7.9,2.2,141,1007.9,0,1.6,0,,0,3,Clear,clear-day,"57993199999,54715099999,54725099999"
"37.19,116.87",2022-07-02T06:00:00,75.3,75.3,75.3,100,0,0,,0,0,7.2,4.5,80,1008,0,2.5,42,0.2,0,3,Clear,clear-day,57993199999
"37.19,116.87",2022-07-02T07:00:00,80.7,87.4,77.1,88.84,0,0,,0,0,6,2.2,71.9,1008,0,2.5,203,0.7,2,3,Clear,clear-day,57993199999
"37.19,116.87",2022-07-02T08:00:00,83.5,90.8,74.5,74.53,0,0,,0,0,11.1,3.9,131,1008.2,0,4,393,1.4,4,10,Clear,clear-day,"57993199999,54715099999,54725099999,54823099999"
"37.19,116.87",2022-07-02T09:00:00,89.7,108.4,80.7,74.96,0,0,,0,0,4,2.2,91.4,1008,0,6.2,577,2.1,6,30,Clear,clear-day,57993199999
"37.19,116.87",2022-07-02T10:00:00,91.5,108.1,78.9,66.79,0,0,,0,0,3.8,4.5,160,1007,30,6.2,736,2.6,7,30,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-02T11:00:00,91.9,99.1,71.4,51.28,0,0,,0,0,10.9,3.6,174,1007.9,50,10.7,856,3.1,9,30,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54823099999"
"37.19,116.87",2022-07-02T12:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,3.8,2.2,72.5,1007,50,6.2,927,3.3,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-02T13:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,5.4,4.5,70.7,1006,50,6.2,941,3.4,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-02T14:00:00,94.6,103,71.9,48.04,0,0,,0,0,10.9,2.4,82,1005.9,50,9.8,896,3.2,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54823099999"
"37.19,116.87",2022-07-02T15:00:00,96.9,110,75.3,50.18,0,0,,0,0,5.6,6.7,90,1005,90,6.2,768,2.8,8,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-02T16:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,6.9,4.5,70,1005,90,6.2,630,2.3,6,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-02T17:00:00,93.1,101.8,72.6,51.59,0.001,100,rain,0,0,12.4,6.2,92,1004.1,90,9.6,440,1.6,4,10,"Rain, Partially cloudy",rain,"57993199999,54715099999,54725099999,54823099999"
"37.19,116.87",2022-07-02T18:00:00,89.7,105.4,78.9,70.67,0,0,,0,0,7.2,4.5,270,1004,90,6.2,195,0.7,2,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-02T19:00:00,87.9,105.5,80.7,79.34,0,0,,0,0,6,0,87.1,1004,90,6.2,66,0.2,1,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,116.87",2022-07-02T20:00:00,82.4,89.5,75.1,78.72,0,0,,0,0,20,10.8,206,1006,100,5.9,7,0,0,10,Overcast,cloudy,"57993199999,54715099999,54725099999"
"37.19,116.87",2022-07-02T21:00:00,87.9,102.7,78.9,74.8,0,0,,0,0,2.9,4.5,160,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
