name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.71,117.09",2022-07-01T00:00:00,74.7,74.7,70.1,85.38,0,0,,0,0,10.3,5.8,192.6,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.71,117.09",2022-07-01T01:00:00,74.7,74.7,70.1,85.38,0,0,,0,0,8.7,4.7,181.4,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.71,117.09",2022-07-01T02:00:00,71.6,71.6,70.9,97.69,0.002,100,rain,0,0,20.7,0.6,280,1006.8,99.8,2,0,,0,10,"Rain, Overcast",rain,"54725099999,54618099999,54715099999"
"37.71,117.09",2022-07-01T03:00:00,74.6,74.6,69.2,83.3,0,0,,0,0,9.2,4.5,244.8,1006,95.1,15,0,,0,10,Overcast,cloudy,remote
"37.71,117.09",2022-07-01T04:00:00,74,74,68.8,83.78,0,0,,0,0,6.9,4.3,230.1,1006,78.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.71,117.09",2022-07-01T05:00:00,71.5,71.5,70.9,98.14,0.001,100,rain,0,0,16.1,0.6,330,1007.1,34.3,1.4,0,,0,10,"Rain, Partially cloudy",rain,"54725099999,54618099999,54715099999"
"37.71,117.09",2022-07-01T06:00:00,75.1,75.1,68.1,78.83,0,0,,0,0,2.5,2,221.9,1007,82.9,15,45,0.2,0,10,Partially cloudy,partly-cloudy-day,remote
"37.71,117.09",2022-07-01T07:00:00,76.9,76.9,67.7,73.34,0,0,,0,0,1.8,2,203.8,1007,40.6,15,189,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
"37.71,117.09",2022-07-01T08:00:00,77,77,73.1,87.56,0,0,,0,0,8.3,2.8,282,1008.3,5,3.2,386,1.4,4,10,Clear,clear-day,"54725099999,54618099999,54715099999"
"37.71,117.09",2022-07-01T09:00:00,81.8,84.6,67.7,62.53,0,0,,0,0,1.1,1.6,189.9,1008,5,15,573,2.1,6,10,Clear,clear-day,remote
"37.71,117.09",2022-07-01T10:00:00,84.3,87.1,67.2,56.58,0,0,,0,0,2,2.7,175.3,1008,5,15,730,2.6,7,10,Clear,clear-day,remote
"37.71,117.09",2022-07-01T11:00:00,84.2,89.5,71.5,65.87,0,0,,0,0,10,2.8,6,1008.4,5,10.7,850,3.1,9,10,Clear,clear-day,"54725099999,54618099999,54715099999"
"37.71,117.09",2022-07-01T12:00:00,88.8,91,65.6,46.35,0,0,,0,0,2.2,3.1,170,1007,12.9,15,921,3.3,9,10,Clear,clear-day,remote
"37.71,117.09",2022-07-01T13:00:00,89.9,91.7,64.7,43.42,0,0,,0,0,3.1,4.3,174.5,1006,66.1,15,935,3.4,9,10,Partially cloudy,partly-cloudy-day,remote
"37.71,117.09",2022-07-01T14:00:00,88.1,94.2,71.1,57.4,0,0,,0,0,8.9,3.9,173,1007.3,95.7,16.3,714,2.6,7,10,Overcast,cloudy,"54725099999,54618099999,54715099999"
"37.71,117.09",2022-07-01T15:00:00,88.4,89.6,63.6,43.75,0,0,,0,0,2.7,3.4,225.3,1006,98.9,15,215,0.8,2,10,Overcast,cloudy,remote
"37.71,117.09",2022-07-01T16:00:00,87.7,88.9,63.8,45.04,0,0,,0,0,1.8,2,310,1006,91.2,15,141,0.5,1,10,Overcast,cloudy,remote
"37.71,117.09",2022-07-01T17:00:00,90.1,95,69.3,50.68,0,0,,0,0,8.9,1.7,309,1005.9,10.5,16.1,191,0.7,2,10,Clear,clear-day,"54725099999,54618099999,54715099999"
"37.71,117.09",2022-07-01T18:00:00,87.9,89.3,64.1,45.35,0,0,,0,0,3.8,5.1,52.3,1005,0.5,15,302,1.1,3,10,Clear,clear-day,remote
"37.71,117.09",2022-07-01T19:00:00,85.9,88.1,65.7,51.1,0,0,,0,0,6.7,4.9,65,1006,0.4,15,125,0.5,1,10,Clear,clear-day,remote
"37.71,117.09",2022-07-01T20:00:00,82.3,88.1,73.5,74.98,0,0,,0,0,10.1,1.7,55,1006.9,0,11,11,0,0,10,Clear,clear-night,"54725099999,54618099999,54715099999"
"37.71,117.09",2022-07-01T21:00:00,81.9,84.3,66.6,59.89,0,0,,0,0,7.4,5.6,75,1007,0,15,0,,0,10,Clear,clear-night,remote
"37.71,117.09",2022-07-01T22:00:00,80.3,82.9,67.9,65.94,0,0,,0,0,7.8,5.6,76.9,1007,3.9,15,0,,0,10,Clear,clear-night,remote
"37.71,117.09",2022-07-01T23:00:00,78.2,78.2,72.8,83.53,0,0,,0,0,13.4,4.5,100,1008.8,4.4,3.7,0,,0,10,Clear,clear-night,54618099999
"37.71,117.09",2022-07-02T00:00:00,79.4,79.4,68.3,68.76,0,0,,0,0,4.9,4.5,116.4,1008,9.1,15,0,,0,10,Clear,clear-night,remote
"37.71,117.09",2022-07-02T01:00:00,78.9,78.9,68.1,69.56,0,0,,0,0,4.9,4.7,122.6,1007,66.3,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.71,117.09",2022-07-02T02:00:00,74.7,74.7,73.2,94.87,0,0,,0,0,12.3,1.1,50,1007.7,3.1,2.2,0,,0,3,Clear,clear-night,"54725099999,54618099999,54715099999"
"37.71,117.09",2022-07-02T03:00:00,77.6,77.6,67.2,70.29,0,0,,0,0,1.6,1.6,84.6,1007,0,15,0,,0,3,Clear,clear-night,remote
"37.71,117.09",2022-07-02T04:00:00,77.3,77.3,67.2,71.13,0,0,,0,0,2.5,2.5,83.4,1007,0,15,0,,0,3,Clear,clear-night,remote
"37.71,117.09",2022-07-02T05:00:00,74.3,74.3,73.2,96.35,0,0,,0,0,11.7,2.2,116,1008.2,0,1.2,0,,0,3,Clear,clear-day,"54725099999,54618099999,54715099999"
"37.71,117.09",2022-07-02T06:00:00,77.8,77.8,67.9,71.63,0,0,,0,0,4.7,3.6,78.6,1008,0,15,46,0.2,0,3,Clear,clear-day,remote
"37.71,117.09",2022-07-02T07:00:00,80.7,83.3,67.6,64.37,0,0,,0,0,4.5,3.8,72.9,1008,0,15,208,0.7,2,3,Clear,clear-day,remote
"37.71,117.09",2022-07-02T08:00:00,82.8,89.8,74.8,77.08,0,0,,0,0,11.7,2.8,157,1008.4,4.4,3.1,399,1.4,4,10,Clear,clear-day,"54725099999,54618099999,54715099999"
"37.71,117.09",2022-07-02T09:00:00,86.3,89.1,67,52.77,0,0,,0,0,2.5,3.4,95.6,1008,0.1,15,583,2.1,6,10,Clear,clear-day,remote
"37.71,117.09",2022-07-02T10:00:00,89.1,92.1,66.6,47.57,0,0,,0,0,2,2.9,104.9,1008,0,15,741,2.7,7,10,Clear,clear-day,remote
"37.71,117.09",2022-07-02T11:00:00,91.3,98.1,71.1,51.87,0,0,,0,0,9.5,3.9,170,1008.1,0.3,11.2,860,3.1,9,10,Clear,clear-day,"54725099999,54618099999,54715099999"
