name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.68,117.31",2022-07-01T00:00:00,74.9,74.9,70.4,85.92,0,0,,0,0,8.5,4.9,179.7,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.68,117.31",2022-07-01T01:00:00,74.9,74.9,70.4,85.92,0,0,,0,0,7.6,4.5,198.4,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.68,117.31",2022-07-01T02:00:00,71.4,71.4,71.1,99.08,0.003,100,rain,0,0,20.3,0.2,280,1006.8,100,2.3,0,,0,10,"Rain, Overcast",rain,"54725099999,54715099999,54618099999"
"37.68,117.31",2022-07-01T03:00:00,74.6,74.6,69.5,84.33,0,0,,0,0,8.3,4,261.5,1006,67,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.68,117.31",2022-07-01T04:00:00,74,74,69,84.3,0,0,,0,0,4.5,3.4,238.9,1006,89.6,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.68,117.31",2022-07-01T05:00:00,71.6,71.6,71.4,99.26,0,0,,0,0,18.6,0.2,330,1007.2,97.3,1.7,0,,0,10,Overcast,cloudy,"54725099999,54715099999,54618099999"
"37.68,117.31",2022-07-01T06:00:00,75.1,75.1,68.1,78.83,0,0,,0,0,2,1.6,194.5,1007,79.8,15,44,0.2,0,10,Partially cloudy,partly-cloudy-day,remote
"37.68,117.31",2022-07-01T07:00:00,76.9,76.9,67.4,72.43,0,0,,0,0,2.5,2.9,195.5,1007,69.4,15,195,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
"37.68,117.31",2022-07-01T08:00:00,76.9,76.9,73.3,88.86,0,0,,0,0,10,2.5,274,1008.2,5,3.9,383,1.4,4,10,Clear,clear-day,"54725099999,54715099999,54618099999"
"37.68,117.31",2022-07-01T09:00:00,81.8,84,66.1,59.13,0,0,,0,0,2.5,3.1,186.6,1008,5,15,577,2.1,6,10,Clear,clear-day,remote
"37.68,117.31",2022-07-01T10:00:00,84.3,86.5,65.9,54.16,0,0,,0,0,2.5,2.9,181,1008,5,15,734,2.6,7,10,Clear,clear-day,remote
"37.68,117.31",2022-07-01T11:00:00,84,90,72.5,68.37,0,0,,0,0,10.7,2.5,356,1008.5,5,10.2,853,3.1,9,10,Clear,clear-day,"54725099999,54715099999,54618099999"
"37.68,117.31",2022-07-01T12:00:00,88.6,90.6,65.2,46.03,0,0,,0,0,2.2,2.7,154.9,1007,5,15,923,3.3,9,10,Clear,clear-day,remote
"37.68,117.31",2022-07-01T13:00:00,89.9,91.7,64.7,43.42,0,0,,0,0,2.9,4,172.5,1006,35.9,15,936,3.4,9,10,Partially cloudy,partly-cloudy-day,remote
"37.68,117.31",2022-07-01T14:00:00,88,94.1,71.3,57.81,0,0,,0,0,8.9,4.2,160,1007.3,64.8,16.6,887,3.2,9,10,Partially cloudy,partly-cloudy-day,"54725099999,54715099999,54618099999"
"37.68,117.31",2022-07-01T15:00:00,90.9,92.2,63.4,40.16,0,0,,0,0,2.7,3.1,212.8,1006,88.7,15,664,2.4,7,10,Partially cloudy,partly-cloudy-day,remote
"37.68,117.31",2022-07-01T16:00:00,89.5,90.5,63.1,41.49,0,0,,0,0,2.9,2.7,323.1,1006,91.7,15,292,1.1,3,10,Overcast,cloudy,remote
"37.68,117.31",2022-07-01T17:00:00,90,95.2,69.8,51.61,0,0,,0,0,8.9,0.7,306,1005.9,76.7,16.5,142,0.5,1,10,Partially cloudy,partly-cloudy-day,"54725099999,54715099999,54618099999"
"37.68,117.31",2022-07-01T18:00:00,87.2,89,65,47.88,0,0,,0,0,5.6,6.3,34.5,1005,2.1,15,156,0.6,2,10,Clear,clear-day,remote
"37.68,117.31",2022-07-01T19:00:00,85.9,88.4,66.3,52.07,0,0,,0,0,8.3,5.6,49,1006,0.5,15,121,0.4,1,10,Clear,clear-day,remote
"37.68,117.31",2022-07-01T20:00:00,81.6,88,74.9,80.11,0,0,,0,0,9.4,0.7,54,1006.9,0,10.4,10,0,0,10,Clear,clear-night,"54725099999,54715099999,54618099999"
"37.68,117.31",2022-07-01T21:00:00,81.2,84.2,68.4,65.23,0,0,,0,0,8.9,5.8,69.8,1007,0,15,0,,0,30,Clear,clear-night,remote
"37.68,117.31",2022-07-01T22:00:00,80.1,82.9,68.6,67.99,0,0,,0,0,7.4,5.1,76,1007,0.2,15,0,,0,30,Clear,clear-night,remote
"37.68,117.31",2022-07-01T23:00:00,78.2,78.2,72.8,83.53,0,0,,0,0,13.4,4.5,100,1008.8,4.3,3.7,0,,0,30,Clear,clear-night,54618099999
"37.68,117.31",2022-07-02T00:00:00,79.6,79.6,68.8,69.63,0,0,,0,0,4,3.8,109.6,1008,5.9,15,0,,0,30,Clear,clear-night,remote
"37.68,117.31",2022-07-02T01:00:00,79.2,79.2,68.4,69.59,0,0,,0,0,4,4,133.9,1007,15.9,15,0,,0,10,Clear,clear-night,remote
"37.68,117.31",2022-07-02T02:00:00,74,74,73.4,97.92,0,0,,0,0,12.9,0.5,49,1007.8,5,2,0,,0,3,Clear,clear-night,"54725099999,54715099999,54618099999"
"37.68,117.31",2022-07-02T03:00:00,78.2,78.2,67.9,70.78,0,0,,0,0,1.8,1.8,56.4,1007,0,15,0,,0,3,Clear,clear-night,remote
"37.68,117.31",2022-07-02T04:00:00,77.6,77.6,67.7,71.61,0,0,,0,0,2.5,2.5,88.2,1007,0,15,0,,0,10,Clear,clear-night,remote
"37.68,117.31",2022-07-02T05:00:00,74.2,74.2,73.7,98.54,0,0,,0,0,12.7,2.2,106,1008.3,0,1.2,0,,0,3,Clear,clear-day,"54725099999,54715099999,54618099999"
"37.68,117.31",2022-07-02T06:00:00,78,78,68.3,72.09,0,0,,0,0,4.3,3.4,68.4,1008,0,15,48,0.2,0,3,Clear,clear-day,remote
"37.68,117.31",2022-07-02T07:00:00,80.7,83.3,67.7,64.77,0,0,,0,0,3.6,3.6,68.7,1008,0,15,211,0.8,2,10,Clear,clear-day,remote
"37.68,117.31",2022-07-02T08:00:00,82.7,90.4,75.8,79.61,0,0,,0,0,12.7,2.5,177,1008.5,0.7,3.1,401,1.4,4,10,Clear,clear-day,"54725099999,54715099999,54618099999"
"37.68,117.31",2022-07-02T09:00:00,86.3,89.3,67.4,53.43,0,0,,0,0,2.5,3.1,93.5,1008,0.2,15,586,2.1,6,10,Clear,clear-day,remote
"37.68,117.31",2022-07-02T10:00:00,89,92,66.8,48.14,0,0,,0,0,1.6,2.5,119.7,1008,0,15,744,2.7,7,10,Clear,clear-day,remote
"37.68,117.31",2022-07-02T11:00:00,91,98.1,71.6,53.15,0,0,,0,0,9.2,4.3,176,1008.2,0,10.5,862,3.1,9,10,Clear,clear-day,"54725099999,54715099999,54618099999"
"37.68,117.31",2022-07-02T12:00:00,93.1,95.8,65.6,40.49,0,0,,0,0,2.7,3.8,133.4,1007,5,15,932,3.4,9,10,Clear,clear-day,remote
"37.68,117.31",2022-07-02T13:00:00,94.6,97,64.8,37.77,0,0,,0,0,2.9,4,144.9,1006,6.4,15,946,3.4,9,10,Clear,clear-day,remote
"37.68,117.31",2022-07-02T14:00:00,93.5,100.9,71.3,48.74,0,0,,0,0,9.2,2.5,85,1006.4,8.8,10.8,901,3.2,9,10,Clear,clear-day,"54725099999,54715099999,54618099999"
"37.68,117.31",2022-07-02T15:00:00,95.8,98.1,64.1,35.43,0,0,,0,0,2.9,3.4,135.2,1005,5.6,15,806,2.9,8,10,Clear,clear-day,remote
"37.68,117.31",2022-07-02T16:00:00,95.4,97.3,63.6,35.15,0,0,,0,0,4.3,4.7,165.2,1005,99.3,15,667,2.4,7,10,Overcast,cloudy,remote
"37.68,117.31",2022-07-02T17:00:00,93.8,100.4,70.3,46.61,0,0,,0,0,9.4,3.2,110,1004.7,98.8,11.4,483,1.7,5,10,Overcast,cloudy,"54725099999,54715099999,54618099999"
"37.68,117.31",2022-07-02T18:00:00,94.2,95.5,62.9,35.63,0,0,,0,0,5.1,5.1,171.4,1004,100,15,276,1,3,10,Overcast,cloudy,remote
"37.68,117.31",2022-07-02T19:00:00,92.2,94.3,64.7,40.35,0,0,,0,0,6.3,4.7,176.2,1004,100,15,98,0.4,1,10,Overcast,cloudy,remote
"37.68,117.31",2022-07-02T20:00:00,86.7,96.4,75.3,69.09,0,0,,0,0,10.6,5.7,104,1005.6,100,6.6,9,0,0,10,Overcast,cloudy,"54725099999,54715099999,54618099999"
"37.68,117.31",2022-07-02T21:00:00,85.6,90.9,71,61.85,0,0,,0,0,19.5,10.5,70.1,1005,100,15,0,,0,30,Overcast,cloudy,remote
