name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.45,116.77",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,6.5,2.2,179.3,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"37.45,116.77",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,7.4,0,187.7,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"37.45,116.77",2022-07-01T02:00:00,70.8,70.8,69.9,97.21,0,0,,0,0,20.3,1.7,280,1006.7,0,1,0,,0,10,Clear,clear-night,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,,0,0,6.3,2.2,225.4,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.45,116.77",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,4.3,0,227.5,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.45,116.77",2022-07-01T05:00:00,70.6,70.6,69.8,97.34,0.003,100,rain,0,0,15.5,1.9,330,1007,0,0.8,0,,0,10,"Rain, Fog",rain,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.6,4.5,10,1007,0,1.2,40,0.1,0,10,Clear,clear-day,57993199999
"37.45,116.77",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,2.7,2.2,340.3,1007,0,1.2,192,0.7,2,10,Clear,clear-day,57993199999
"37.45,116.77",2022-07-01T08:00:00,76.6,76.6,72.2,86.35,0,0,,0,0,5.2,2.4,213,1008.3,50,2.1,389,1.4,4,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,3.4,2.2,0.6,1008,50,1.9,571,2.1,6,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-01T10:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,2.9,2.2,21.2,1008,30,2.5,729,2.6,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-01T11:00:00,83.6,87.9,70,63.64,0,0,,0,0,9.1,2.4,40,1008.4,50,9.7,850,3.1,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-01T12:00:00,86.1,93.7,73.5,66.19,0,0,,0,0,2.9,4.5,41.4,1007,30,6.2,921,3.3,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-01T13:00:00,87.9,98,75.3,66.39,0,0,,0,0,3.8,2.2,61,1006,30,6.2,935,3.4,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-01T14:00:00,89.1,95.4,71.2,55.65,0,0,,0,0,8.9,2.9,229,1007.1,30,15.5,787,2.8,8,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-01T15:00:00,89.7,96.6,71.7,55.58,0,0,,0,0,3.4,4.5,149.3,1006,50,6.2,412,1.5,4,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-01T16:00:00,93.3,103.1,73.5,52.78,0,0,,0,0,3.6,2.2,145.5,1005,50,6.2,185,0.7,2,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-01T17:00:00,90.9,94.9,67.8,46.81,0,0,,0,0,8.9,2.4,247,1005.7,30,15,245,0.9,2,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-01T18:00:00,89.7,100.5,75.3,62.73,0,0,,0,0,2.9,2.2,70.1,1005,30,6.2,263,0.9,3,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-01T19:00:00,86.1,97.4,77.1,74.64,0,0,,0,0,4,2.2,60,1006,30,6.2,126,0.5,1,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-01T20:00:00,83.6,89.4,72.5,69.2,0,0,,0,0,9.3,2.2,40,1006.5,0,9.6,11,0,0,10,Clear,clear-night,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-01T21:00:00,82.5,89.7,75.3,78.93,0,0,,0,0,8.3,4.5,110,1007,0,6.2,0,,0,10,Clear,clear-night,57993199999
"37.45,116.77",2022-07-01T22:00:00,78.9,78.9,73.5,83.57,0,0,,0,0,7.2,4.5,100,1007,0,6.2,0,,0,10,Clear,clear-night,57993199999
"37.45,116.77",2022-07-01T23:00:00,78.5,78.5,74,85.98,0,0,,0,0,13.4,4.5,95,1008.8,2.2,4.9,0,,0,10,Clear,clear-night,"57993199999,54618099999"
"37.45,116.77",2022-07-02T00:00:00,77.1,77.1,75.3,94.19,0,0,,0,0,4.3,2.2,90,1008,0.4,6.2,0,,0,10,Clear,clear-night,57993199999
"37.45,116.77",2022-07-02T01:00:00,75.3,75.3,75.3,100,0,0,,0,0,6.9,2.2,116.6,1007,0,5,0,,0,3,Clear,clear-night,57993199999
"37.45,116.77",2022-07-02T02:00:00,75.4,75.4,72.9,92.03,0,0,,0,0,9.7,1.9,42,1007.4,0,2.9,0,,0,3,Clear,clear-night,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-02T03:00:00,73.5,73.5,73.5,100,0,0,,0,0,1.3,2.2,115,1007,0,2.5,0,,0,3,Clear,clear-night,57993199999
"37.45,116.77",2022-07-02T04:00:00,73.5,73.5,73.5,100,0,0,,0,0,2.7,2.2,110,1007,0,2.5,0,,0,3,Clear,clear-night,57993199999
"37.45,116.77",2022-07-02T05:00:00,74.2,74.2,72.6,94.81,0,0,,0,0,7.8,2.2,142,1007.9,0,1.3,0,,0,5,Clear,clear-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-02T06:00:00,75.3,75.3,75.3,100,0,0,,0,0,3.8,4.5,80,1008,0,2.5,43,0.2,0,5,Clear,clear-day,57993199999
"37.45,116.77",2022-07-02T07:00:00,80.7,87.4,77.1,88.84,0,0,,0,0,4,2.2,69.3,1008,0,2.5,204,0.7,2,3,Clear,clear-day,57993199999
"37.45,116.77",2022-07-02T08:00:00,82.8,89.2,73.8,74.37,0,0,,0,0,11.2,4.1,127,1008.3,0,3.1,395,1.4,4,10,Clear,clear-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-02T09:00:00,89.7,108.4,80.7,74.96,0,0,,0,0,2.9,2.2,99.6,1008,2.2,6.2,579,2.1,6,10,Clear,clear-day,57993199999
"37.45,116.77",2022-07-02T10:00:00,91.5,108.1,78.9,66.79,0,0,,0,0,2.9,4.5,160,1008,30,6.2,739,2.7,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-02T11:00:00,92.1,98.5,70.5,49.46,0,0,,0,0,10.8,4.2,177,1007.9,50,11.8,858,3.1,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-02T12:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,3.1,2.2,110.1,1007,50,6.2,929,3.3,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-02T13:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,3.4,4.5,103.4,1006,50,6.2,943,3.4,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-02T14:00:00,94.5,102.4,71.6,47.7,0,0,,0,0,10.8,2.5,79,1005.8,50,10,902,3.2,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-02T15:00:00,96.9,110,75.3,50.18,0,0,,0,0,3.4,6.7,90,1005,90,6.2,806,2.9,8,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-02T16:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,4.7,4.5,70,1005,90,6.2,657,2.4,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-02T17:00:00,94.2,101.4,70.9,47.14,0,0,,0,0,12.7,7.8,104,1004,90,11,493,1.8,5,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-02T18:00:00,89.7,105.4,78.9,70.67,0,0,,0,0,5.4,4.5,270,1004,90,6.2,259,0.9,3,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-02T19:00:00,87.9,105.5,80.7,79.34,0,0,,0,0,6.5,0,78.7,1004,90,6.2,101,0.4,1,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.77",2022-07-02T20:00:00,81.4,87.1,74.2,78.87,0,0,,0,0,20.3,13.1,206,1006,100,5.7,11,0,0,10,Overcast,cloudy,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-02T21:00:00,87.9,102.7,78.9,74.8,0,0,,0,0,5.4,4.5,160,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"37.45,116.77",2022-07-02T22:00:00,84.3,96.4,78.9,83.9,0,0,,0,0,5.6,2.2,70,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"37.45,116.77",2022-07-02T23:00:00,84.6,93.9,76.1,75.69,0,0,,0,0,11.2,4.5,188,1006.9,92.7,5.9,0,,0,10,Overcast,cloudy,"57993199999,54618099999"
"37.45,116.77",2022-07-03T00:00:00,82.5,92.7,78.9,88.92,0,0,,0,0,7.4,4.5,110,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"37.45,116.77",2022-07-03T01:00:00,82.5,92.7,78.9,88.92,0,0,,0,0,7.4,2.2,207.3,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"37.45,116.77",2022-07-03T02:00:00,78.8,78.8,75.6,89.7,0.007,100,rain,0,0,20.7,4.3,135,1005.4,100,3.3,0,,0,10,"Rain, Overcast",rain,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-03T03:00:00,80.7,88.4,78.9,94.28,0,0,,0,0,21,4.5,140,1005,0,3.7,0,,0,10,Clear,clear-night,57993199999
"37.45,116.77",2022-07-03T04:00:00,80.7,89.6,80.7,100,0,0,,0,0,18.1,2.2,235,1005,0,3.7,0,,0,10,Clear,clear-night,57993199999
"37.45,116.77",2022-07-03T05:00:00,76.8,76.8,73.8,90.32,0.036,100,rain,0,0,23.2,10.2,298,1005.8,0,3.2,0,,0,3,Rain,rain,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-03T06:00:00,78.9,78.9,78.9,100,0,0,,0,0,14.3,4.5,250,1005,0,3.7,9,0,0,10,Clear,clear-day,57993199999
"37.45,116.77",2022-07-03T07:00:00,78.9,78.9,78.9,100,0,0,,0,0,5.8,4.5,300,1005,0,3.7,27,0.1,0,10,Clear,clear-day,57993199999
"37.45,116.77",2022-07-03T08:00:00,77.9,77.9,74,87.61,0.084,100,rain,0,0,23.2,2.6,15,1005.3,100,7.2,40,0.1,0,10,"Rain, Overcast",rain,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-03T09:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,3.4,0,147,1005,100,6.2,66,0.2,1,10,Overcast,cloudy,57993199999
"37.45,116.77",2022-07-03T10:00:00,80.7,87.4,77.1,88.84,0,0,,0,0,4.3,2.2,184.4,1006,100,6.2,74,0.3,1,10,Overcast,cloudy,57993199999
"37.45,116.77",2022-07-03T11:00:00,79.9,79.9,74.3,83.04,0,0,,0,0,23.2,6,77,1005.9,100,7.2,134,0.5,1,10,Overcast,cloudy,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.77",2022-07-03T12:00:00,82.5,92.7,78.9,88.92,0,0,,0,0,5.6,4.5,50,1005,100,6.2,216,0.8,2,10,Overcast,cloudy,57993199999
"37.45,116.77",2022-07-03T13:00:00,84.3,96.4,78.9,83.9,0,0,,0,0,2.7,4.5,60,1005,100,6.2,83,0.3,1,10,Overcast,cloudy,57993199999
