name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.082323,116.775086",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,3.4,2.2,138.8,1006,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"37.082323,116.775086",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,7.6,0,243.9,1006,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"37.082323,116.775086",2022-07-01T02:00:00,71.3,71.3,70.2,96.32,0,0,,0,0,19.4,1.7,225,1006.7,0,1.2,0,,0,3,Clear,clear-night,"57993199999,54715099999,54823099999"
"37.082323,116.775086",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,,0,0,9.2,2.2,260.5,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.082323,116.775086",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,4,0,249.9,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.082323,116.775086",2022-07-01T05:00:00,70.2,70.2,69.7,98,0.004,100,rain,0,0,15.7,2.2,330,1006.9,0,0.8,0,,0,10,"Rain, Fog",rain,"57993199999,54715099999"
"37.082323,116.775086",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,4.9,4.5,10,1007,0,1.2,41,0.1,0,10,Clear,clear-day,57993199999
"37.082323,116.775086",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,1.8,2.2,210.7,1007,0,1.2,198,0.7,2,10,Clear,clear-day,57993199999
"37.082323,116.775086",2022-07-01T08:00:00,75.6,75.6,72.4,89.81,0,0,,0,0,4.5,2.2,190,1008.3,50,1.9,387,1.4,4,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999"
"37.082323,116.775086",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,2.2,2.2,16,1008,50,1.9,571,2.1,6,10,Partially cloudy,partly-cloudy-day,57993199999
"37.082323,116.775086",2022-07-01T10:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,2.9,2.2,29.5,1008,30,2.5,731,2.6,7,10,Partially cloudy,partly-cloudy-day,57993199999
