name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.09,116.41",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,2.9,2.2,162.2,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"37.09,116.41",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,6.3,0,205.1,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"37.09,116.41",2022-07-01T02:00:00,70.9,70.9,69.9,96.46,0,0,,0,0,19.8,2,252,1006.7,0,1,0,,0,10,Clear,clear-night,"57993199999,54715099999,54823099999"
"37.09,116.41",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,,0,0,4.7,2.2,241.1,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.09,116.41",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.1,0,231.9,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.09,116.41",2022-07-01T05:00:00,70.4,70.4,69.6,97.39,0.004,100,rain,0,0,15.7,2.2,330,1006.9,0,0.7,0,,0,10,"Rain, Fog",rain,"57993199999,54715099999"
"37.09,116.41",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.8,4.5,10,1007,0,1.2,39,0.1,0,10,Clear,clear-day,57993199999
"37.09,116.41",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,1.8,2.2,263.5,1007,0,1.2,197,0.7,2,10,Clear,clear-day,57993199999
"37.09,116.41",2022-07-01T08:00:00,76.3,76.3,72.1,86.9,0,0,,0,0,4.5,2.2,190,1008.3,50,1.9,387,1.4,4,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999"
"37.09,116.41",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,3.8,2.2,23.8,1008,50,1.9,569,2,6,10,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-01T10:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,4,2.2,36.3,1007,30,2.5,730,2.6,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-01T11:00:00,83.4,87.6,70,64.1,0,0,,0,0,8.9,2.2,50,1008.4,50,9,853,3.1,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999"
"37.09,116.41",2022-07-01T12:00:00,86.1,93.7,73.5,66.19,0,0,,0,0,4.5,4.5,80.6,1006,30,6.2,924,3.3,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-01T13:00:00,87.9,98,75.3,66.39,0,0,,0,0,4.9,2.2,138.4,1006,30,6.2,921,3.3,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-01T14:00:00,89.4,95.9,71.3,55.42,0,0,,0,0,8.9,2.9,246,1007.1,30,14.8,744,2.7,7,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999"
"37.09,116.41",2022-07-01T15:00:00,89.7,96.6,71.7,55.58,0,0,,0,0,6,4.5,20.4,1005,50,6.2,500,1.8,5,10,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-01T16:00:00,93.3,103.1,73.5,52.78,0,0,,0,0,6.9,2.2,32.9,1005,50,6.2,505,1.8,5,10,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-01T17:00:00,91.2,94.9,67.4,45.86,0,0,,0,0,9.3,2.8,241,1005.6,30,14.9,410,1.5,4,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54823099999"
"37.09,116.41",2022-07-01T18:00:00,89.7,100.5,75.3,62.73,0,0,,0,0,6,2.2,43.4,1005,30,6.2,276,1,3,10,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-01T19:00:00,86.1,97.4,77.1,74.64,0,0,,0,0,8.1,2.2,60,1005,30,6.2,127,0.5,1,10,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-01T20:00:00,84,89.5,71.9,67.2,0,0,,0,0,9.3,2.6,54,1006.5,0.9,9.9,11,0,0,10,Clear,clear-night,"57993199999,54715099999,54823099999"
"37.09,116.41",2022-07-01T21:00:00,82.5,89.7,75.3,78.93,0,0,,0,0,11,4.5,110,1007,0,6.2,0,,0,10,Clear,clear-night,57993199999
"37.09,116.41",2022-07-01T22:00:00,78.9,78.9,73.5,83.57,0,0,,0,0,11.6,4.5,100,1007,0,6.2,0,,0,3,Clear,clear-night,57993199999
"37.09,116.41",2022-07-01T23:00:00,79.7,79.7,71.6,76.35,0,0,,0,0,11.2,4.5,107,1008.3,0,10,0,,0,10,Clear,clear-night,"57993199999,54823099999"
"37.09,116.41",2022-07-02T00:00:00,77.1,77.1,75.3,94.19,0,0,,0,0,9.2,2.2,90,1007,0,6.2,0,,0,10,Clear,clear-night,57993199999
"37.09,116.41",2022-07-02T01:00:00,75.3,75.3,75.3,100,0,0,,0,0,9.6,2.2,98.9,1007,0,5,0,,0,3,Clear,clear-night,57993199999
"37.09,116.41",2022-07-02T02:00:00,75.4,75.4,73,92.01,0,0,,0,0,8.9,1.9,40,1007.3,0,3.1,0,,0,3,Clear,clear-night,"57993199999,54715099999"
"37.09,116.41",2022-07-02T03:00:00,73.5,73.5,73.5,100,0,0,,0,0,6.7,2.2,101.7,1007,0,2.5,0,,0,3,Clear,clear-night,57993199999
"37.09,116.41",2022-07-02T04:00:00,73.5,73.5,73.5,100,0,0,,0,0,5.8,2.2,110,1007,0,2.5,0,,0,3,Clear,clear-night,57993199999
"37.09,116.41",2022-07-02T05:00:00,74.2,74.2,72.7,94.91,0,0,,0,0,6.7,2.2,150,1007.8,0,1.4,0,,0,3,Clear,clear-day,"57993199999,54715099999"
"37.09,116.41",2022-07-02T06:00:00,75.3,75.3,75.3,100,0,0,,0,0,7.4,4.5,80,1007,0,2.5,40,0.1,0,3,Clear,clear-day,57993199999
"37.09,116.41",2022-07-02T07:00:00,80.7,87.4,77.1,88.84,0,0,,0,0,6.5,2.2,63.6,1008,0,2.5,199,0.7,2,10,Clear,clear-day,57993199999
"37.09,116.41",2022-07-02T08:00:00,83.3,89.8,73.6,72.69,0,0,,0,0,10.8,4.1,123,1008.2,0,4,388,1.4,4,30,Clear,clear-day,"57993199999,54715099999,54823099999"
"37.09,116.41",2022-07-02T09:00:00,89.7,108.4,80.7,74.96,0,0,,0,0,4.7,2.2,91.8,1007,70.9,6.2,572,2.1,6,30,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-02T10:00:00,91.5,108.1,78.9,66.79,0,0,,0,0,4.7,4.5,160,1007,30,6.2,722,2.6,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-02T11:00:00,92.2,98.7,70.6,49.55,0,0,,0,0,11.2,3.9,175,1007.8,50,11.6,843,3,8,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54823099999"
"37.09,116.41",2022-07-02T12:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,4.9,2.2,76.4,1006,50,6.2,923,3.3,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-02T13:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,5.4,4.5,73.3,1005,50,6.2,706,2.5,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-02T14:00:00,94.7,102.7,71.5,47.27,0,0,,0,0,11.2,2.2,80,1005.7,50,10.1,242,0.9,2,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54823099999"
"37.09,116.41",2022-07-02T15:00:00,96.9,110,75.3,50.18,0,0,,0,0,6,6.7,90,1005,90,6.2,497,1.8,5,10,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-02T16:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,4.5,4.5,70,1004,90,6.2,114,0.4,1,10,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-02T17:00:00,93.3,101.4,72,50.11,0.001,100,rain,0,0,13,7.4,93,1004,90,10.1,98,0.4,1,30,"Rain, Partially cloudy",rain,"57993199999,54715099999,54823099999"
"37.09,116.41",2022-07-02T18:00:00,89.7,105.4,78.9,70.67,0,0,,0,0,8.3,4.5,270,1004,90,6.2,174,0.6,2,10,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-02T19:00:00,87.9,105.5,80.7,79.34,0,0,,0,0,5.4,0,258.8,1004,90,6.2,105,0.4,1,30,Partially cloudy,partly-cloudy-day,57993199999
"37.09,116.41",2022-07-02T20:00:00,80.7,85.8,74.2,80.86,0,0,,0,0,22.4,13.8,230,1006.1,100,5.7,10,0,0,10,Overcast,cloudy,"57993199999,54715099999"
"37.09,116.41",2022-07-02T21:00:00,87.9,102.7,78.9,74.8,0,0,,0,0,2.5,4.5,160,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
