name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.93,116.64",2022-11-28T00:00:00,43.4,38,41.3,92.03,0.028,100,rain,0,0,13.6,9.6,344.3,1013,100,12.9,0,,0,10,"Rain, Overcast",rain,remote
"36.93,116.64",2022-11-28T01:00:00,43.4,38.7,41.3,92.03,0.008,100,rain,0,0,11.9,8.1,1.7,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.93,116.64",2022-11-28T02:00:00,43.2,38.4,41.1,92.02,0.028,100,rain,0,0,11.4,8.3,343.6,1013,100,4.5,0,,0,10,"Rain, Overcast",rain,remote
"36.93,116.64",2022-11-28T03:00:00,42.7,38.2,40.7,92.65,0.055,100,rain,0,0,10.5,7.4,346.1,1013,100,6.4,0,,0,10,"Rain, Overcast",rain,remote
"36.93,116.64",2022-11-28T04:00:00,43.1,38.9,40.7,91.38,0.016,100,rain,0,0,9.8,6.9,353.9,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.93,116.64",2022-11-28T05:00:00,43.1,38.5,40.7,91.38,0.004,100,rain,0,0,11.4,7.6,9.1,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.93,116.64",2022-11-28T06:00:00,42.9,38,40.4,90.74,0.016,100,rain,0,0,11.4,8.3,342.3,1013,100,8.1,0,,0,10,"Rain, Overcast",rain,remote
"36.93,116.64",2022-11-28T07:00:00,42.5,37.4,39.6,89.46,0.016,100,rain,0,0,12.3,8.5,354.5,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.93,116.64",2022-11-28T08:00:00,42.9,39.3,39.3,87.01,0,0,,0,0,8.9,5.8,1.6,1015,100,15,2,0,0,10,Overcast,cloudy,remote
"36.93,116.64",2022-11-28T09:00:00,44.3,40,39.6,83.51,0,0,,0,0,10.7,7.6,350.2,1015,96.9,15,42,0.2,0,10,Overcast,cloudy,
"36.93,116.64",2022-11-28T10:00:00,45.2,40.5,39.5,80.13,0,0,,0,0,12.3,9.2,359.9,1016,100,15,86,0.3,1,10,Overcast,cloudy,
"36.93,116.64",2022-11-28T11:00:00,46.3,42,39.6,77.46,0,0,,0,0,11.4,8.7,356,1016,100,15,110,0.4,1,10,Overcast,cloudy,
"36.93,116.64",2022-11-28T12:00:00,46.7,42.2,40.2,78.04,0,0,,0,0,11.9,9.2,353.6,1016,100,15,94,0.3,1,10,Overcast,cloudy,
"36.93,116.64",2022-11-28T13:00:00,47,42.5,40.5,78.07,0,0,,0,0,13.6,9.6,2.6,1016,100,15,75,0.3,1,10,Overcast,cloudy,
"36.93,116.64",2022-11-28T14:00:00,48.3,44.1,40.9,75.51,0,0,,0,0,13,9.6,357.5,1017,100,15,115,0.4,1,10,Overcast,cloudy,
"36.93,116.64",2022-11-28T15:00:00,49.4,45.3,40.7,72.02,0,0,,0,0,17,9.8,357.9,1018,100,15,73,0.3,1,10,Overcast,cloudy,
"36.93,116.64",2022-11-28T16:00:00,50.1,50.1,40.9,70.6,0,0,,0,0,15.4,8.5,25.5,1018,100,15,120,0.4,1,10,Overcast,cloudy,
"36.93,116.64",2022-11-28T17:00:00,47.2,44.7,40.7,78.09,0,0,,0,0,6.3,5.4,19.4,1019,100,15,32,0.1,0,10,Overcast,cloudy,
"36.93,116.64",2022-11-28T18:00:00,46.5,43.5,40.4,79.12,0,0,,0,0,8.1,6,16.3,1019,100,15,0,,0,10,Overcast,cloudy,
"36.93,116.64",2022-11-28T19:00:00,46.7,44.2,40.4,78.59,0,0,,0,0,9.8,5.1,24.1,1019,100,15,0,,0,10,Overcast,cloudy,
"36.93,116.64",2022-11-28T20:00:00,46.7,45.2,39.6,76.42,0,0,,0,0,4.3,3.8,350.3,1021,100,15,0,,0,10,Overcast,cloudy,
"36.93,116.64",2022-11-28T21:00:00,45.9,42.8,38.2,74.23,0,0,,0,0,12.3,6,349.4,1021,99.3,15,0,,0,10,Overcast,cloudy,
"36.93,116.64",2022-11-28T22:00:00,46.1,40.1,22.4,38.74,0,0,,0,0,26.2,13.6,349.7,1023,100,15,0,,0,10,Overcast,cloudy,
"36.93,116.64",2022-11-28T23:00:00,43.1,36,16.2,33.51,0,0,,0,0,26.4,14.3,10.2,1023,55.8,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.93,116.64",2022-11-29T00:00:00,39.3,30.1,5.4,23.99,0,0,,0,0,31.5,17.7,2.6,1025,100,15,0,,0,10,Overcast,cloudy,
"36.93,116.64",2022-11-29T01:00:00,37.1,27.7,3.6,24.04,0,0,,0,0,29.8,16.6,11.5,1026,0.3,15,0,,0,10,Clear,clear-night,
