name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.08,116.4",2022-11-28T00:00:00,41.6,35.6,39.5,91.97,0.031,100,rain,0,0,14.8,10.1,354,1013,100,13.5,0,,0,10,"Rain, Overcast",rain,remote
"37.08,116.4",2022-11-28T01:00:00,42,36.8,39.5,90.7,0.008,100,rain,0,0,11.9,8.5,348.7,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.08,116.4",2022-11-28T02:00:00,41.6,36.7,39.3,91.33,0.035,100,rain,0,0,11,7.8,342.1,1013,100,6.2,0,,0,10,"Rain, Overcast",rain,remote
"37.08,116.4",2022-11-28T03:00:00,41.6,37.4,39.5,91.97,0.039,100,rain,0,0,9.4,6.5,359.1,1013,100,10.7,0,,0,10,"Rain, Overcast",rain,remote
"37.08,116.4",2022-11-28T04:00:00,42.2,37.3,39.6,90.71,0.004,100,rain,0,0,11,7.8,346.8,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.08,116.4",2022-11-28T05:00:00,42.2,37,39.6,90.71,0.008,100,rain,0,0,12.3,8.5,2.1,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.08,116.4",2022-11-28T06:00:00,42,36.6,39.1,89.44,0.008,100,rain,0,0,12.5,8.9,339.9,1014,100,14.5,0,,0,10,"Rain, Overcast",rain,remote
"37.08,116.4",2022-11-28T07:00:00,41.6,36.5,38.2,87.55,0.004,100,rain,0,0,12.3,8.1,12.9,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.08,116.4",2022-11-28T08:00:00,42.5,38.6,38.2,84.57,0,0,,0,0,9.8,6.3,15.8,1015,100,15,7,0,0,10,Overcast,cloudy,remote
"37.08,116.4",2022-11-28T09:00:00,44.1,38.8,38.6,80.61,0,0,,0,0,13.2,9.8,341.5,1016,99.9,15,98,0.4,1,10,Overcast,cloudy,
"37.08,116.4",2022-11-28T10:00:00,44.3,39.6,38.2,78.94,0,0,,0,0,12.3,8.5,7.3,1016,100,15,64,0.2,1,10,Overcast,cloudy,
"37.08,116.4",2022-11-28T11:00:00,47.2,43,39.1,73.32,0,0,,0,0,11.9,8.9,359.7,1016,78.5,15,244,0.9,2,10,Partially cloudy,partly-cloudy-day,
"37.08,116.4",2022-11-28T12:00:00,49.4,45.6,40,70.03,0,0,,0,0,11.6,8.9,359.3,1016,100,15,307,1.1,3,10,Overcast,cloudy,
