name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.95,116.0",2022-07-01T00:00:00,75.5,75.5,68.1,77.89,0,0,,0,0,1.3,1.3,95.2,1006,74.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.95,116.0",2022-07-01T01:00:00,75.1,75.1,68.1,78.83,0,0,,0,0,2.2,2,180.7,1006,72.4,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.95,116.0",2022-07-01T02:00:00,70.4,70.4,69.5,96.98,0,0,,0,0,20.1,2.2,280,1006.7,67.3,0.6,0,,0,10,Partially cloudy,fog,54715099999
"36.95,116.0",2022-07-01T03:00:00,74,74,68.1,81.73,0,0,,0,0,1.3,1.3,217.2,1006,5,15,0,,0,10,Clear,clear-night,remote
"36.95,116.0",2022-07-01T04:00:00,73.7,73.7,67.7,81.71,0,0,,0,0,2.2,2.2,313.9,1006,5,15,0,,0,10,Clear,clear-night,remote
"36.95,116.0",2022-07-01T05:00:00,70.4,70.4,69.5,96.98,0.004,100,rain,0,0,15.7,2.2,330,1006.9,5,0.6,0,,0,10,"Rain, Fog",rain,54715099999
"36.95,116.0",2022-07-01T06:00:00,74.7,74.7,67.6,78.32,0,0,,0,0,2,1.8,24.3,1007,5,15,37,0.1,0,10,Clear,clear-day,remote
"36.95,116.0",2022-07-01T07:00:00,77.6,77.6,67.2,70.29,0,0,,0,0,3.8,3.4,357.1,1007,4.8,15,192,0.7,2,10,Clear,clear-day,remote
"36.95,116.0",2022-07-01T08:00:00,76.7,76.7,71.9,84.98,0,0,,0,0,4.5,2.2,190,1008.3,0,1.9,383,1.4,4,10,Clear,clear-day,54715099999
"36.95,116.0",2022-07-01T09:00:00,83.9,85.5,64.5,52.12,0,0,,0,0,5.6,4.9,4,1008,0,15,567,2,6,10,Clear,clear-day,remote
"36.95,116.0",2022-07-01T10:00:00,86.4,87.9,64.3,47.77,0,0,,0,0,5.1,5.6,15.4,1007,0,15,730,2.6,7,10,Clear,clear-day,remote
"36.95,116.0",2022-07-01T11:00:00,83.6,87.3,69.2,61.98,0,0,,0,0,8.9,2.2,50,1008.4,0,9.9,854,3.1,9,10,Clear,clear-day,54715099999
"36.95,116.0",2022-07-01T12:00:00,91.5,92.8,63.6,39.74,0,0,,0,0,4.7,4,2.7,1006,1.8,15,927,3.3,9,10,Clear,clear-day,remote
"36.95,116.0",2022-07-01T13:00:00,93.8,95.4,63.4,36.72,0,0,,0,0,4.3,3.1,359.1,1006,6.7,15,944,3.4,9,10,Clear,clear-day,remote
"36.95,116.0",2022-07-01T14:00:00,89.3,95.5,71,54.85,0,0,,0,0,8.9,2.2,240,1007.1,7.9,16.2,907,3.3,9,10,Clear,clear-day,54715099999
"36.95,116.0",2022-07-01T15:00:00,94,94.9,62.1,34.93,0,0,,0,0,5.6,5.6,313.1,1005,2.2,15,816,2.9,8,10,Clear,clear-day,remote
"36.95,116.0",2022-07-01T16:00:00,94,94.6,61.6,34.27,0,0,,0,0,5.6,6.3,317.6,1005,7.6,15,679,2.4,7,10,Clear,clear-day,remote
"36.95,116.0",2022-07-01T17:00:00,91.1,94.4,66.8,44.99,0,0,,0,0,8.9,2.2,230,1005.6,13.3,15.5,508,1.8,5,10,Clear,clear-day,54715099999
"36.95,116.0",2022-07-01T18:00:00,92.6,92.8,61.1,35.16,0,0,,0,0,4.9,5.6,319.4,1005,18.7,15,318,1.1,3,10,Clear,clear-day,remote
"36.95,116.0",2022-07-01T19:00:00,90.2,90.9,62.3,39.55,0,0,,0,0,5.4,4.7,334.9,1005,0,15,133,0.5,1,10,Clear,clear-day,remote
"36.95,116.0",2022-07-01T20:00:00,83.9,89.4,71.9,67.16,0,0,,0,0,8.9,2.2,30,1006.4,0,9.3,12,0,0,10,Clear,clear-night,54715099999
"36.95,116.0",2022-07-01T21:00:00,84.6,85.4,62.3,47.21,0,0,,0,0,5.4,5.1,27.7,1006,0,15,0,,0,10,Clear,clear-night,remote
"36.95,116.0",2022-07-01T22:00:00,82.8,84.1,63.4,51.96,0,0,,0,0,6.5,5.4,54.1,1007,0,15,0,,0,3,Clear,clear-night,remote
"36.95,116.0",2022-07-01T23:00:00,81.6,83.4,64.8,56.92,0,0,,0,0,7.6,5.8,93.4,1008,0,15,0,,0,10,Clear,clear-night,remote
"36.95,116.0",2022-07-02T00:00:00,81.2,83.1,65,57.96,0,0,,0,0,9.2,5.8,106.4,1007,0,15,0,,0,3,Clear,clear-night,remote
"36.95,116.0",2022-07-02T01:00:00,80.5,82.4,65.2,59.71,0,0,,0,0,7.8,5.6,108.8,1007,0,15,0,,0,3,Clear,clear-night,remote
"36.95,116.0",2022-07-02T02:00:00,75.5,75.5,72.6,90.79,0,0,,0,0,8.9,2.2,40,1007.3,0,3.1,0,,0,3,Clear,clear-night,54715099999
"36.95,116.0",2022-07-02T03:00:00,78.7,78.7,65,62.94,0,0,,0,0,4.7,4.5,116.6,1007,0,15,0,,0,3,Clear,clear-night,remote
"36.95,116.0",2022-07-02T04:00:00,78,78,65.4,65.26,0,0,,0,0,5.8,5.1,92.2,1007,0,15,0,,0,5,Clear,clear-night,remote
"36.95,116.0",2022-07-02T05:00:00,74,74,72.2,94.12,0,0,,0,0,6.7,2.2,150,1007.8,0,1.2,0,,0,5,Clear,clear-night,54715099999
"36.95,116.0",2022-07-02T06:00:00,78.7,78.7,66.5,66.17,0,0,,0,0,6,3.8,75.8,1007,0,15,37,0.1,0,5,Clear,clear-day,remote
"36.95,116.0",2022-07-02T07:00:00,82.5,84.8,66.5,58.49,0,0,,0,0,7.2,5.6,76.1,1008,1.2,15,193,0.7,2,3,Clear,clear-day,remote
"36.95,116.0",2022-07-02T08:00:00,82.7,88.5,73.1,72.99,0,0,,0,0,11.2,4.5,120,1008.2,74.1,3.1,383,1.4,4,10,Partially cloudy,partly-cloudy-day,54715099999
