name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.04,115.87",2022-07-01T00:00:00,75.3,75.3,65.9,72.73,0,0,,0,0,2.9,2.9,124.6,1006,82.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.04,115.87",2022-07-01T01:00:00,74.9,74.9,66.3,74.53,0,0,,0,0,2,1.8,184.8,1006,81.9,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.04,115.87",2022-07-01T02:00:00,70.4,70.4,69.5,96.98,0,0,,0,0,20.1,2.2,280,1006.7,79.9,0.6,0,,0,3,Partially cloudy,fog,54715099999
"37.04,115.87",2022-07-01T03:00:00,74,74,66.6,77.77,0,0,,0,0,0.9,0.9,222.8,1006,5,15,0,,0,10,Clear,clear-night,remote
"37.04,115.87",2022-07-01T04:00:00,73.7,73.7,66.5,78.23,0,0,,0,0,1.8,1.8,298.8,1006,4.8,15,0,,0,3,Clear,clear-night,remote
"37.04,115.87",2022-07-01T05:00:00,70.4,70.4,69.5,96.98,0.004,100,rain,0,0,15.7,2.2,330,1006.9,5,0.6,0,,0,3,"Rain, Fog",rain,54715099999
"37.04,115.87",2022-07-01T06:00:00,74.9,74.9,65.9,73.61,0,0,,0,0,1.6,1.3,352.2,1007,2.1,15,35,0.1,0,3,Clear,clear-day,remote
"37.04,115.87",2022-07-01T07:00:00,77.8,77.8,65.6,66.06,0,0,,0,0,3.1,2.7,359.2,1007,0,15,190,0.7,2,3,Clear,clear-day,remote
"37.04,115.87",2022-07-01T08:00:00,76.7,76.7,71.9,84.98,0,0,,0,0,4.5,2.2,190,1008.3,0,1.9,380,1.4,4,3,Clear,clear-day,54715099999
"37.04,115.87",2022-07-01T09:00:00,83.7,85.1,63.9,51.44,0,0,,0,0,6.3,5.4,7.4,1008,0,15,565,2,6,10,Clear,clear-day,remote
"37.04,115.87",2022-07-01T10:00:00,86.4,87.7,63.8,46.88,0,0,,0,0,5.6,6,13.8,1007,0,15,729,2.6,7,10,Clear,clear-day,remote
"37.04,115.87",2022-07-01T11:00:00,83.6,87.3,69.2,61.98,0,0,,0,0,8.9,2.2,50,1008.4,0,9.9,852,3.1,9,10,Clear,clear-day,54715099999
"37.04,115.87",2022-07-01T12:00:00,91.5,92.5,62.9,38.75,0,0,,0,0,4.9,4.9,359.1,1006,0.1,15,927,3.3,9,10,Clear,clear-day,remote
"37.04,115.87",2022-07-01T13:00:00,93.5,94.6,62.7,36.2,0,0,,0,0,4.7,4.3,353.9,1006,0,15,946,3.4,9,10,Clear,clear-day,remote
"37.04,115.87",2022-07-01T14:00:00,89.3,95.5,71,54.85,0,0,,0,0,8.9,2.2,240,1007.1,1.7,16.2,909,3.3,9,10,Clear,clear-day,54715099999
"37.04,115.87",2022-07-01T15:00:00,93.8,94.6,62,34.91,0,0,,0,0,5.6,5.1,327.2,1005,5.4,15,818,2.9,8,10,Clear,clear-day,remote
"37.04,115.87",2022-07-01T16:00:00,93.6,94.1,61.4,34.44,0,0,,0,0,5.4,5.4,337.5,1005,5.1,15,682,2.5,7,10,Clear,clear-day,remote
"37.04,115.87",2022-07-01T17:00:00,91.1,94.4,66.8,44.99,0,0,,0,0,8.9,2.2,230,1005.6,7,15.5,511,1.8,5,10,Clear,clear-day,54715099999
"37.04,115.87",2022-07-01T18:00:00,92.6,92.9,61.2,35.38,0,0,,0,0,4.3,4.3,341.1,1005,35.1,15,321,1.2,3,10,Partially cloudy,partly-cloudy-day,remote
"37.04,115.87",2022-07-01T19:00:00,90.6,91.4,62.7,39.6,0,0,,0,0,3.8,3.6,356.2,1005,0,15,134,0.5,1,10,Clear,clear-day,remote
"37.04,115.87",2022-07-01T20:00:00,83.9,89.4,71.9,67.16,0,0,,0,0,8.9,2.2,30,1006.4,0,9.3,13,0,0,10,Clear,clear-night,54715099999
"37.04,115.87",2022-07-01T21:00:00,85.4,86,62.3,46.13,0,0,,0,0,5.1,4.9,20.8,1006,0,15,0,,0,10,Clear,clear-night,remote
"37.04,115.87",2022-07-01T22:00:00,83.9,84.8,62.7,48.93,0,0,,0,0,4,4,41.3,1007,0,15,0,,0,10,Clear,clear-night,remote
"37.04,115.87",2022-07-01T23:00:00,82.8,84,63.2,51.64,0,0,,0,0,6.5,5.6,83.8,1007,0,15,0,,0,10,Clear,clear-night,remote
"37.04,115.87",2022-07-02T00:00:00,81.4,83,64.1,55.84,0,0,,0,0,8.9,6,105,1007,0,15,0,,0,3,Clear,clear-night,remote
"37.04,115.87",2022-07-02T01:00:00,80.5,82.3,64.8,58.96,0,0,,0,0,7.6,5.6,116.1,1007,0,15,0,,0,3,Clear,clear-night,remote
"37.04,115.87",2022-07-02T02:00:00,75.5,75.5,72.6,90.79,0,0,,0,0,8.9,2.2,40,1007.3,0,3.1,0,,0,3,Clear,clear-night,54715099999
"37.04,115.87",2022-07-02T03:00:00,79.1,79.1,65.2,62.59,0,0,,0,0,4.5,4.3,130.4,1007,0,15,0,,0,3,Clear,clear-night,remote
"37.04,115.87",2022-07-02T04:00:00,78.3,78.3,65,63.69,0,0,,0,0,5.6,4.7,95.7,1007,0,15,0,,0,5,Clear,clear-night,remote
"37.04,115.87",2022-07-02T05:00:00,74,74,72.2,94.12,0,0,,0,0,6.7,2.2,150,1007.8,0,1.2,0,,0,3,Clear,clear-night,54715099999
"37.04,115.87",2022-07-02T06:00:00,78.9,78.9,65.7,64.15,0,0,,0,0,6.5,4,86.5,1007,0.4,15,35,0.1,0,5,Clear,clear-day,remote
"37.04,115.87",2022-07-02T07:00:00,82.5,84.7,66.1,57.76,0,0,,0,0,7.6,5.8,81.8,1008,2.9,15,190,0.7,2,3,Clear,clear-day,remote
"37.04,115.87",2022-07-02T08:00:00,82.7,88.5,73.1,72.99,0,0,,0,0,11.2,4.5,120,1008.2,12.4,3.1,379,1.4,4,10,Clear,clear-day,54715099999
"37.04,115.87",2022-07-02T09:00:00,89.3,92.4,66.8,47.6,0,0,,0,0,5.8,6,104.7,1007,0.6,15,563,2,6,10,Clear,clear-day,remote
"37.04,115.87",2022-07-02T10:00:00,92,94.8,65.9,42.4,0,0,,0,0,4.9,6,89.9,1007,5,15,724,2.6,7,10,Clear,clear-day,remote
"37.04,115.87",2022-07-02T11:00:00,92.4,98.3,69.9,48.04,0,0,,0,0,11.2,4.5,180,1007.8,22.1,12.4,846,3,8,10,Partially cloudy,partly-cloudy-day,54715099999
