name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.45,116.52",2022-11-28T00:00:00,40.4,35.2,37.5,89.37,0.028,100,rain,0,0,11.4,7.6,15.1,1013,100,13.2,0,,0,10,"Rain, Overcast",rain,remote
"37.45,116.52",2022-11-28T01:00:00,40.9,36.4,37.7,88.14,0.008,100,rain,0,0,9.4,6.7,357.6,1013,100,6.5,0,,0,10,"Rain, Overcast",rain,remote
"37.45,116.52",2022-11-28T02:00:00,40.9,35.9,38,89.39,0.035,100,rain,0,0,11,7.6,347.8,1013,100,6.8,0,,0,10,"Rain, Overcast",rain,remote
"37.45,116.52",2022-11-28T03:00:00,41.1,36.4,37.8,88.14,0.016,100,rain,0,0,9.8,7.2,340.8,1014,100,13.8,0,,0,10,"Rain, Overcast",rain,remote
"37.45,116.52",2022-11-28T04:00:00,40.7,35.6,37.3,87.51,0.016,100,rain,0,0,11,7.8,349.7,1013,100,14.7,0,,0,10,"Rain, Overcast",rain,remote
"37.45,116.52",2022-11-28T05:00:00,40.2,34.5,36.6,86.86,0.004,100,rain,0,0,12.8,8.7,3.5,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.45,116.52",2022-11-28T06:00:00,40.4,35.2,36.2,85.04,0,0,,0,0,11.6,7.6,350.7,1014,100,15,0,,0,10,Overcast,cloudy,remote
"37.45,116.52",2022-11-28T07:00:00,40.9,37.8,36.6,84.47,0.004,100,rain,0,0,7.8,4.7,14.3,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.45,116.52",2022-11-28T08:00:00,41.6,37.1,36.8,82.74,0,0,,0,0,10.5,6.9,346.9,1015,99.2,15,4,0,0,10,Overcast,cloudy,remote
"37.45,116.52",2022-11-28T09:00:00,42.2,36.8,36.6,80.46,0,0,,0,0,13.6,8.9,349.3,1016,100,15,34,0.1,0,10,Overcast,cloudy,
"37.45,116.52",2022-11-28T10:00:00,43.2,38.7,36.9,78.3,0,0,,0,0,11.4,7.6,358.9,1016,100,15,46,0.2,0,10,Overcast,cloudy,
"37.45,116.52",2022-11-28T11:00:00,47.2,43.2,38,70.29,0,0,,0,0,11,8.3,6,1016,99.9,15,326,1.2,3,10,Overcast,cloudy,
"37.45,116.52",2022-11-28T12:00:00,49.7,46.6,38.7,65.79,0,0,,0,0,9.6,7.6,358.9,1016,85.1,15,402,1.4,4,10,Partially cloudy,partly-cloudy-day,
"37.45,116.52",2022-11-28T13:00:00,51.9,51.9,38.6,60.31,0,0,,0,0,13,10.3,349.9,1016,100,15,429,1.5,4,10,Overcast,cloudy,
