name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.65,116.8",2022-07-01T00:00:00,75.3,75.3,70.4,84.89,0,0,,0,0,7.2,4.5,180.8,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.65,116.8",2022-07-01T01:00:00,74.9,74.9,70.2,85.39,0,0,,0,0,8.1,4.9,195.6,1006,100,14.9,0,,0,10,Overcast,cloudy,remote
"37.65,116.8",2022-07-01T02:00:00,71.4,71.4,70.4,96.66,0.001,100,rain,0,0,20.8,1.1,280,1006.7,100,1.5,0,,0,10,"Rain, Overcast",rain,"54715099999,54618099999,54725099999"
"37.65,116.8",2022-07-01T03:00:00,74.4,74.4,69.2,83.8,0,0,,0,0,8.5,4.9,240.9,1006,99.9,15,0,,0,10,Overcast,cloudy,remote
"37.65,116.8",2022-07-01T04:00:00,73.8,73.8,68.8,84.29,0,0,,0,0,6.3,4.3,242.2,1006,78.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.65,116.8",2022-07-01T05:00:00,71.2,71.2,70.4,97.19,0.002,100,rain,0,0,14.5,1.1,330,1007.1,24.6,1,0,,0,10,"Rain, Partially cloudy",rain,"54715099999,54618099999,54725099999"
"37.65,116.8",2022-07-01T06:00:00,74.7,74.7,68.4,80.78,0,0,,0,0,3.6,2.5,280.3,1007,95.4,15,43,0.2,0,10,Overcast,cloudy,remote
"37.65,116.8",2022-07-01T07:00:00,76.9,76.9,67.7,73.34,0,0,,0,0,2.9,2,329,1007,6.1,15,176,0.6,2,10,Clear,clear-day,remote
"37.65,116.8",2022-07-01T08:00:00,77.1,77.1,72.7,86.2,0,0,,0,0,6.4,2.9,269,1008.3,5,2.5,389,1.4,4,10,Clear,clear-day,"54715099999,54618099999,54725099999"
"37.65,116.8",2022-07-01T09:00:00,81.8,84.1,66.5,59.87,0,0,,0,0,2.9,2.9,351.2,1008,5,15,570,2.1,6,10,Clear,clear-day,remote
"37.65,116.8",2022-07-01T10:00:00,84.3,87,67,56.23,0,0,,0,0,1.6,1.6,24.1,1008,5,15,728,2.6,7,10,Clear,clear-day,remote
"37.65,116.8",2022-07-01T11:00:00,84.1,88.7,70.4,63.51,0,0,,0,0,9.4,2.9,21,1008.4,5,10.9,848,3.1,8,10,Clear,clear-day,"54715099999,54618099999,54725099999"
"37.65,116.8",2022-07-01T12:00:00,88.6,91.4,66.5,48.09,0,0,,0,0,1.1,0.4,303.7,1007,6.4,15,920,3.3,9,10,Clear,clear-day,remote
"37.65,116.8",2022-07-01T13:00:00,90.2,92.8,65.9,44.85,0,0,,0,0,1.6,0.7,216.2,1006,41.5,15,935,3.4,9,10,Partially cloudy,partly-cloudy-day,remote
"37.65,116.8",2022-07-01T14:00:00,88.4,94.5,71,56.61,0,0,,0,0,8.9,3.3,196,1007.2,65.6,16.1,850,3.1,9,10,Partially cloudy,partly-cloudy-day,"54715099999,54618099999,54725099999"
"37.65,116.8",2022-07-01T15:00:00,89.9,91.1,63.6,41.81,0,0,,0,0,3.8,3.4,70.7,1006,68.1,15,498,1.8,5,10,Partially cloudy,partly-cloudy-day,remote
"37.65,116.8",2022-07-01T16:00:00,89.1,90.5,63.9,43.31,0,0,,0,0,5.6,6.9,72.7,1005,56.4,15,418,1.5,4,10,Partially cloudy,partly-cloudy-day,remote
"37.65,116.8",2022-07-01T17:00:00,90.3,94.7,68.5,48.88,0,0,,0,0,8.9,2.5,290,1005.8,65.2,15.8,358,1.3,4,10,Partially cloudy,partly-cloudy-day,"54715099999,54618099999,54725099999"
"37.65,116.8",2022-07-01T18:00:00,87.9,89.4,64.3,45.64,0,0,,0,0,3.8,5.4,65.9,1005,5,15,201,0.7,2,10,Clear,clear-day,remote
"37.65,116.8",2022-07-01T19:00:00,86.3,88.4,65.7,50.52,0,0,,0,0,6.9,5.1,81.9,1006,0,15,127,0.5,1,10,Clear,clear-day,remote
"37.65,116.8",2022-07-01T20:00:00,83,88.4,72.3,70.25,0,0,,0,0,10.3,2.5,49,1006.8,0,11.1,11,0,0,10,Clear,clear-night,"54715099999,54618099999,54725099999"
"37.65,116.8",2022-07-01T21:00:00,81.9,84.2,66.3,59.15,0,0,,0,0,7.6,5.4,90.2,1007,0,15,0,,0,10,Clear,clear-night,remote
"37.65,116.8",2022-07-01T22:00:00,81.1,83.3,66.5,61.29,0,0,,0,0,5.4,4.7,81.1,1007,4.3,15,0,,0,10,Clear,clear-night,remote
"37.65,116.8",2022-07-01T23:00:00,78.2,78.2,72.8,83.53,0,0,,0,0,13.4,4.5,100,1008.8,5,3.7,0,,0,10,Clear,clear-night,54618099999
"37.65,116.8",2022-07-02T00:00:00,79.4,79.4,67.7,67.49,0,0,,0,0,6.9,5.1,119,1008,14.7,15,0,,0,10,Clear,clear-night,remote
"37.65,116.8",2022-07-02T01:00:00,78.9,78.9,67.7,68.7,0,0,,0,0,6.3,5.1,114.5,1007,21.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.65,116.8",2022-07-02T02:00:00,75.4,75.4,72.9,92.14,0,0,,0,0,11.1,1.8,47,1007.6,0,2.5,0,,0,3,Clear,clear-night,"54715099999,54618099999,54725099999"
