name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.65,116.8",2022-11-28T00:00:00,40.7,35.9,37.8,89.38,0.02,100,rain,0,0,10.7,7.2,8.3,1013,100,14.3,0,,0,10,"Rain, Overcast",rain,remote
"37.65,116.8",2022-11-28T01:00:00,41.3,37.4,37.8,87.53,0,0,,0,0,8.9,5.8,355.7,1013,100,15,0,,0,10,Overcast,cloudy,remote
"37.65,116.8",2022-11-28T02:00:00,41.4,36.7,38.2,88.16,0.031,100,rain,0,0,10.1,7.4,335.1,1014,100,4.9,0,,0,10,"Rain, Overcast",rain,remote
"37.65,116.8",2022-11-28T03:00:00,41.1,35.7,38,88.77,0.028,100,rain,0,0,11.6,8.5,345.1,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.65,116.8",2022-11-28T04:00:00,40.4,34.8,37.3,88.73,0.012,100,rain,0,0,11.9,8.5,355.6,1013,100,9.9,0,,0,10,"Rain, Overcast",rain,remote
"37.65,116.8",2022-11-28T05:00:00,40,34.1,36.8,88.09,0.016,100,rain,0,0,13,8.9,1.8,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.65,116.8",2022-11-28T06:00:00,40.4,35.5,36.6,86.25,0.004,100,rain,0,0,10.5,7.2,343.7,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.65,116.8",2022-11-28T07:00:00,40.9,37.1,37.3,86.9,0,0,,0,0,9.2,5.6,15.6,1014,100,15,0,,0,10,Overcast,cloudy,remote
"37.65,116.8",2022-11-28T08:00:00,41.6,37,37.8,86.33,0,0,,0,0,10.3,7.2,341.2,1015,100,15,2,0,0,10,Overcast,cloudy,remote
"37.65,116.8",2022-11-28T09:00:00,42.2,36.8,37.8,84.55,0,0,,0,0,13.6,8.9,346.4,1016,100,15,21,0.1,0,10,Overcast,cloudy,
"37.65,116.8",2022-11-28T10:00:00,42.9,38.4,38,82.82,0,0,,0,0,11,7.4,4.2,1016,100,15,30,0.1,0,10,Overcast,cloudy,
"37.65,116.8",2022-11-28T11:00:00,44.7,40.4,38.7,79.53,0,0,,0,0,10.5,7.8,1.8,1016,100,15,101,0.4,1,10,Overcast,cloudy,
"37.65,116.8",2022-11-28T12:00:00,46.8,43.3,39.6,75.9,0,0,,0,0,9.6,7.2,358.3,1017,100,15,180,0.6,2,10,Overcast,cloudy,
"37.65,116.8",2022-11-28T13:00:00,49,45.5,40.4,71.98,0,0,,0,0,11.4,8.1,356,1016,100,15,232,0.8,2,10,Overcast,cloudy,
"37.65,116.8",2022-11-28T14:00:00,51.5,51.5,40.7,66.47,0,0,,0,0,13,8.7,357.7,1017,100,15,313,1.1,3,10,Overcast,cloudy,
"37.65,116.8",2022-11-28T15:00:00,52.4,52.4,39.1,60.38,0,0,,0,0,14.8,9.4,347.4,1018,100,15,218,0.8,2,10,Overcast,cloudy,
"37.65,116.8",2022-11-28T16:00:00,51.7,51.7,38,59.44,0,0,,0,0,15,8.3,351.1,1018,99.4,15,110,0.4,1,10,Overcast,cloudy,
"37.65,116.8",2022-11-28T17:00:00,48.5,45.8,36.6,63.35,0,0,,0,0,6.7,6,337.9,1019,100,15,28,0.1,0,10,Overcast,cloudy,
