name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.82,116.52",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,7.6,2.2,199.2,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"36.82,116.52",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,13.4,0,216.9,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"36.82,116.52",2022-07-01T02:00:00,71.9,71.9,70.3,94.89,0,0,,0,0,18.7,1.7,173,1006.6,0,1.7,0,,0,10,Clear,clear-night,"57993199999,54715099999,54823099999"
"36.82,116.52",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,,0,0,7.6,2.2,210.8,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"36.82,116.52",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.4,0,192.9,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"36.82,116.52",2022-07-01T05:00:00,70.2,70.2,69.7,98.35,0.004,100,rain,0,0,15.7,2.2,330,1006.9,0,0.9,0,,0,10,"Rain, Fog",rain,"57993199999,54715099999"
"36.82,116.52",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,1.6,4.5,10,1007,0,1.2,38,0.1,0,10,Clear,clear-day,57993199999
"36.82,116.52",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,1.3,2.2,121.7,1007,0,1.2,195,0.7,2,10,Clear,clear-day,57993199999
"36.82,116.52",2022-07-01T08:00:00,75.2,75.2,72.6,91.56,0,0,,0,0,4.5,2.2,190,1008.3,50,1.9,384,1.4,4,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999"
"36.82,116.52",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,4,2.2,33.8,1008,50,1.9,570,2.1,6,10,Partially cloudy,partly-cloudy-day,57993199999
"36.82,116.52",2022-07-01T10:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,3.8,2.2,41.7,1007,30,2.5,733,2.6,7,10,Partially cloudy,partly-cloudy-day,57993199999
"36.82,116.52",2022-07-01T11:00:00,83.1,88.3,72,69.31,0,0,,0,0,8.9,2.2,50,1008.4,50,6.8,857,3.1,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999"
"36.82,116.52",2022-07-01T12:00:00,86.1,93.7,73.5,66.19,0,0,,0,0,2.9,4.5,61.1,1007,30,6.2,928,3.3,9,10,Partially cloudy,partly-cloudy-day,57993199999
"36.82,116.52",2022-07-01T13:00:00,87.9,98,75.3,66.39,0,0,,0,0,3.6,2.2,176.8,1006,30,6.2,944,3.4,9,10,Partially cloudy,partly-cloudy-day,57993199999
"36.82,116.52",2022-07-01T14:00:00,89.5,96.8,72.1,56.75,0,0,,0,0,8.9,4.3,258,1007.1,30,11.6,905,3.3,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999"
"36.82,116.52",2022-07-01T15:00:00,89.7,96.6,71.7,55.58,0,0,,0,0,6.7,4.5,254.7,1005,50,6.2,812,2.9,8,10,Partially cloudy,partly-cloudy-day,57993199999
"36.82,116.52",2022-07-01T16:00:00,93.3,103.1,73.5,52.78,0,0,,0,0,6.5,2.2,259.5,1005,50,6.2,674,2.4,7,10,Partially cloudy,partly-cloudy-day,57993199999
"36.82,116.52",2022-07-01T17:00:00,91.2,95.2,67.8,46.43,0,0,,0,0,10.4,3.8,256,1005.5,30,14.8,501,1.8,5,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54823099999"
"36.82,116.52",2022-07-01T18:00:00,89.7,100.5,75.3,62.73,0,0,,0,0,4.3,2.2,297.3,1004,30,6.2,311,1.1,3,10,Partially cloudy,partly-cloudy-day,57993199999
"36.82,116.52",2022-07-01T19:00:00,86.1,97.4,77.1,74.64,0,0,,0,0,3.1,2.2,60,1005,30,6.2,125,0.5,1,10,Partially cloudy,partly-cloudy-day,57993199999
"36.82,116.52",2022-07-01T20:00:00,84,89.2,71.3,65.73,0,0,,0,0,10.4,3.3,95,1006.7,0.4,11.5,9,0,0,10,Clear,clear-night,"57993199999,54715099999,54823099999"
"36.82,116.52",2022-07-01T21:00:00,82.5,89.7,75.3,78.93,0,0,,0,0,14.1,4.5,110,1006,0,6.2,0,,0,10,Clear,clear-night,57993199999
"36.82,116.52",2022-07-01T22:00:00,78.9,78.9,73.5,83.57,0,0,,0,0,14.3,4.5,100,1007,0,6.2,0,,0,10,Clear,clear-night,57993199999
"36.82,116.52",2022-07-01T23:00:00,79.8,79.8,70.9,74.08,0,0,,0,0,11.2,4.5,110,1008.3,0,10.8,0,,0,10,Clear,clear-night,"57993199999,54823099999"
"36.82,116.52",2022-07-02T00:00:00,77.1,77.1,75.3,94.19,0,0,,0,0,12.3,2.2,90,1007,0,6.2,0,,0,10,Clear,clear-night,57993199999
"36.82,116.52",2022-07-02T01:00:00,75.3,75.3,75.3,100,0,0,,0,0,12.1,2.2,77.8,1007,0,5,0,,0,10,Clear,clear-night,57993199999
"36.82,116.52",2022-07-02T02:00:00,75.4,75.4,73.8,94.93,0,0,,0,0,8.9,1.2,40,1007.3,0,3.1,0,,0,3,Clear,clear-night,"57993199999,54715099999"
"36.82,116.52",2022-07-02T03:00:00,73.5,73.5,73.5,100,0,0,,0,0,4.9,2.2,90.2,1007,0,2.5,0,,0,3,Clear,clear-night,57993199999
"36.82,116.52",2022-07-02T04:00:00,73.5,73.5,73.5,100,0,0,,0,0,4.5,2.2,110,1007,0,2.5,0,,0,3,Clear,clear-night,57993199999
"36.82,116.52",2022-07-02T05:00:00,74.6,74.6,73.6,96.79,0,0,,0,0,6.7,2.2,150,1007.8,0,1.8,0,,0,3,Clear,clear-day,"57993199999,54715099999"
"36.82,116.52",2022-07-02T06:00:00,75.3,75.3,75.3,100,0,0,,0,0,4,4.5,80,1007,0,2.5,39,0.1,0,3,Clear,clear-day,57993199999
"36.82,116.52",2022-07-02T07:00:00,80.7,87.4,77.1,88.84,0,0,,0,0,3.6,2.2,47.6,1008,0,2.5,197,0.7,2,10,Clear,clear-day,57993199999
