name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.82,116.52",2022-11-28T00:00:00,42.5,36.7,40.2,91.36,0.028,100,rain,0,0,14.8,10.3,358.2,1013,100,11.8,0,,0,10,"Rain, Overcast",rain,remote
"36.82,116.52",2022-11-28T01:00:00,42.7,38,40.2,90.73,0.008,100,rain,0,0,11.2,7.8,356.9,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.82,116.52",2022-11-28T02:00:00,42.3,37.3,40,91.35,0.043,100,rain,0,0,11.2,8.3,337.4,1013,100,7.6,0,,0,10,"Rain, Overcast",rain,remote
"36.82,116.52",2022-11-28T03:00:00,42,37.4,39.8,91.98,0.039,100,rain,0,0,10.5,7.2,351.7,1013,100,10.4,0,,0,10,"Rain, Overcast",rain,remote
"36.82,116.52",2022-11-28T04:00:00,42.5,38.5,40,90.72,0.016,100,rain,0,0,8.9,6.5,352.7,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.82,116.52",2022-11-28T05:00:00,42.7,38.3,40.2,90.73,0.004,100,rain,0,0,11,7.2,13.7,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.82,116.52",2022-11-28T06:00:00,42.7,37.4,40.2,90.73,0.012,100,rain,0,0,12.8,8.9,343.9,1013,100,10.4,0,,0,10,"Rain, Overcast",rain,remote
"36.82,116.52",2022-11-28T07:00:00,42.5,37,39.8,90.09,0.012,100,rain,0,0,14.3,9.4,7.2,1014,100,14.7,0,,0,10,"Rain, Overcast",rain,remote
"36.82,116.52",2022-11-28T08:00:00,42.9,38.4,39.5,87.62,0.004,100,rain,0,0,11.4,7.4,25.1,1014,100,15,4,0,0,10,"Rain, Overcast",rain,remote
"36.82,116.52",2022-11-28T09:00:00,44.3,39.6,39.6,83.51,0,0,,0,0,11.6,8.5,358.1,1015,100,15,68,0.2,1,10,Overcast,cloudy,
"36.82,116.52",2022-11-28T10:00:00,45.8,40.9,39.5,78.51,0,0,,0,0,13,9.6,4.3,1016,99.8,15,148,0.5,1,10,Overcast,cloudy,
"36.82,116.52",2022-11-28T11:00:00,47.6,43.2,39.8,74.39,0,0,,0,0,12.5,9.6,3.9,1016,99.7,15,202,0.7,2,10,Overcast,cloudy,
"36.82,116.52",2022-11-28T12:00:00,49.5,44.9,40.4,70.55,0,0,,0,0,14.8,11.9,4.7,1016,100,15,269,1,3,10,Overcast,cloudy,
"36.82,116.52",2022-11-28T13:00:00,50.4,50.4,40.9,69.67,0,0,,0,0,15,11.4,7.9,1016,78.7,15,285,1,3,10,Partially cloudy,partly-cloudy-day,
"36.82,116.52",2022-11-28T14:00:00,51.7,51.7,41.1,66.96,0,0,,0,0,14.8,11.6,0.1,1016,96.5,15,281,1,3,10,Overcast,cloudy,
"36.82,116.52",2022-11-28T15:00:00,52.4,52.4,39.5,61.23,0,0,,0,0,17.9,13.2,0.4,1017,100,15,169,0.6,2,10,Overcast,cloudy,
"36.82,116.52",2022-11-28T16:00:00,51.9,51.9,39.3,62.03,0,0,,0,0,16.1,9.2,12.2,1018,100,15,104,0.4,1,10,Overcast,cloudy,
"36.82,116.52",2022-11-28T17:00:00,49.4,45.9,38.7,66.68,0,0,,0,0,15.7,8.3,13.4,1019,100,15,31,0.1,0,10,Overcast,cloudy,
"36.82,116.52",2022-11-28T18:00:00,47.9,44.8,39.1,71.36,0,0,,0,0,16.6,6.7,16.9,1019,100,15,0,,0,10,Overcast,cloudy,
"36.82,116.52",2022-11-28T19:00:00,47.6,44.4,39.1,72.34,0,0,,0,0,18.6,6.7,18.2,1020,100,15,0,,0,10,Overcast,cloudy,
