name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.83,117.56",2022-07-01T00:00:00,74.9,74.9,67.6,77.85,0,0,,0,0,11.6,6.3,169.9,1006,100,15,0,,0,3,Overcast,cloudy,remote
"37.83,117.56",2022-07-01T01:00:00,74.2,74.2,67.7,80.24,0,0,,0,0,9.6,5.4,215.5,1006,100,15,0,,0,3,Overcast,cloudy,remote
"37.83,117.56",2022-07-01T02:00:00,71.3,71.3,71.3,100,0.004,100,rain,0,0,20.1,0,273.8,1006.8,100,2.5,0,,0,3,"Rain, Overcast",rain,54725099999
"37.83,117.56",2022-07-01T03:00:00,74.7,74.7,69.7,84.34,0,0,,0,0,6.3,3.1,280.7,1006,90.3,15,0,,0,10,Overcast,cloudy,remote
"37.83,117.56",2022-07-01T04:00:00,74.2,74.2,69.5,85.35,0,0,,0,0,1.1,0.7,219.1,1006,96.5,15,0,,0,10,Overcast,cloudy,remote
"37.83,117.56",2022-07-01T05:00:00,71.7,71.7,71.7,100,0,0,,0,0,20.1,0,129.9,1007.2,92.8,1.9,0,,0,10,Overcast,cloudy,54725099999
"37.83,117.56",2022-07-01T06:00:00,75.1,75.1,69,81.31,0,0,,0,0,0.9,0.4,41.8,1007,100,15,46,0.2,0,10,Overcast,cloudy,remote
"37.83,117.56",2022-07-01T07:00:00,76.7,76.7,68.4,75.63,0,0,,0,0,1.1,0.9,205.7,1007,66.5,15,165,0.6,2,10,Partially cloudy,partly-cloudy-day,remote
"37.83,117.56",2022-07-01T08:00:00,76.7,76.7,73.5,89.75,0,0,,0,0,11.2,2.2,270,1008.2,79.3,4.3,382,1.4,4,10,Partially cloudy,partly-cloudy-day,54725099999
"37.83,117.56",2022-07-01T09:00:00,81.8,84.3,67,61,0,0,,0,0,1.1,1.1,176.3,1008,5,15,562,2,6,10,Clear,clear-day,remote
"37.83,117.56",2022-07-01T10:00:00,84.3,86.9,66.8,55.88,0,0,,0,0,0.9,0.4,170.3,1008,5,15,734,2.6,7,10,Clear,clear-day,remote
"37.83,117.56",2022-07-01T11:00:00,83.9,90.3,73.1,70.08,0,0,,0,0,11.2,2.2,350,1008.5,3.6,9.9,852,3.1,9,10,Clear,clear-day,54725099999
"37.83,117.56",2022-07-01T12:00:00,88.6,91.1,66.1,47.49,0,0,,0,0,2,1.8,116,1007,7.9,15,921,3.3,9,10,Clear,clear-day,remote
"37.83,117.56",2022-07-01T13:00:00,90.1,92.5,65.7,44.82,0,0,,0,0,3.4,2.7,153.2,1006,46.1,15,933,3.4,9,10,Partially cloudy,partly-cloudy-day,remote
