name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.83,117.56",2022-11-28T00:00:00,45.8,40.6,44.1,94.03,0.02,100,rain,0,0,15.7,10.5,345,1013,100,6.2,0,,0,10,"Rain, Overcast",rain,remote
"37.83,117.56",2022-11-28T01:00:00,44.9,39.7,43.1,93.36,0.02,100,rain,0,0,17.9,9.8,10.2,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.83,117.56",2022-11-28T02:00:00,45.2,40.5,42.9,91.46,0.004,100,rain,0,0,15.7,8.9,350.7,1013,100,13.7,0,,0,10,"Rain, Overcast",rain,remote
"37.83,117.56",2022-11-28T03:00:00,44.9,40,43.1,93.36,0.039,100,rain,0,0,15.7,9.2,345.5,1013,100,5.7,0,,0,10,"Rain, Overcast",rain,remote
"37.83,117.56",2022-11-28T04:00:00,44.7,39.5,42.9,93.35,0.039,100,rain,0,0,15.9,9.8,334.2,1013,100,9,0,,0,10,"Rain, Overcast",rain,remote
"37.83,117.56",2022-11-28T05:00:00,44,38.5,41.8,92.05,0.024,100,rain,0,0,16.8,10.3,336.1,1013,100,8.8,0,,0,10,"Rain, Overcast",rain,remote
"37.83,117.56",2022-11-28T06:00:00,43.6,37.9,41.4,92.04,0.016,100,rain,0,0,16.6,10.5,335.2,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.83,117.56",2022-11-28T07:00:00,43.1,37,40.5,90.74,0.008,100,rain,0,0,19.5,11.2,328.9,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.83,117.56",2022-11-28T08:00:00,43.8,38.5,40.9,89.52,0.004,100,rain,0,0,20.4,9.6,343.7,1014,100,15,1,0,0,10,"Rain, Overcast",rain,remote
"37.83,117.56",2022-11-28T09:00:00,44.7,39.3,41.8,89.56,0,4.8,,0,0,19.2,10.5,343.2,1015,100,15,7,0,0,10,Overcast,cloudy,
