name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.5,116.8",2022-07-01T00:00:00,74.7,74.7,69.7,84.34,0,0,,0,0,6.5,3.8,179.3,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.5,116.8",2022-07-01T01:00:00,74.9,74.9,69.2,82.3,0,0,,0,0,7.4,4.5,187.7,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.5,116.8",2022-07-01T02:00:00,70.9,70.9,70,97.03,0.001,100,rain,0,0,20.4,1.7,280,1006.7,100,1.1,0,,0,10,"Rain, Overcast",rain,"54715099999,54725099999,54618099999"
"37.5,116.8",2022-07-01T03:00:00,74.4,74.4,67.7,79.76,0,0,,0,0,6.3,4.3,225.4,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.5,116.8",2022-07-01T04:00:00,74.2,74.2,67.7,80.24,0,0,,0,0,4.3,3.4,227.5,1006,31.1,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.5,116.8",2022-07-01T05:00:00,70.8,70.8,70,97.24,0.003,100,rain,0,0,15.5,1.7,330,1007,83.7,0.9,0,,0,10,"Rain, Partially cloudy",rain,"54715099999,54725099999,54618099999"
"37.5,116.8",2022-07-01T06:00:00,74.9,74.9,68.4,80.3,0,0,,0,0,3.6,2.5,272.8,1007,40.2,15,40,0.1,0,10,Partially cloudy,partly-cloudy-day,remote
"37.5,116.8",2022-07-01T07:00:00,77.1,77.1,68.3,74.27,0,0,,0,0,2.7,2,340.3,1007,5,15,192,0.7,2,10,Clear,clear-day,remote
"37.5,116.8",2022-07-01T08:00:00,76.9,76.9,72.3,85.75,0,0,,0,0,5.7,2.5,226,1008.3,5,2.3,389,1.4,4,10,Clear,clear-day,"54715099999,54725099999,54618099999"
"37.5,116.8",2022-07-01T09:00:00,81.9,84.5,67,60.64,0,0,,0,0,3.4,3.4,0.6,1008,5,15,571,2.1,6,10,Clear,clear-day,remote
"37.5,116.8",2022-07-01T10:00:00,84.3,86.9,66.8,55.88,0,0,,0,0,2.9,3.4,21.2,1008,5,15,729,2.6,7,10,Clear,clear-day,remote
"37.5,116.8",2022-07-01T11:00:00,83.8,88,69.9,63.06,0,0,,0,0,9.3,2.5,35,1008.4,6.7,10.3,850,3.1,9,10,Clear,clear-day,"54715099999,54725099999,54618099999"
"37.5,116.8",2022-07-01T12:00:00,89,91.5,66.1,46.96,0,0,,0,0,2.9,2,41.4,1007,20.8,15,921,3.3,9,10,Partially cloudy,partly-cloudy-day,remote
