name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.4,116.3",2022-11-28T00:00:00,39.6,34.4,35.9,86.21,0.016,100,rain,0,0,11.6,7.6,24.4,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.4,116.3",2022-11-28T01:00:00,40.4,36,36,84.43,0.008,100,rain,0,0,8.7,6.3,352.9,1013,100,7.6,0,,0,10,"Rain, Overcast",rain,remote
"37.4,116.3",2022-11-28T02:00:00,40.4,35.6,36.6,86.25,0.031,100,rain,0,0,10.1,6.9,352.4,1014,100,12,0,,0,10,"Rain, Overcast",rain,remote
"37.4,116.3",2022-11-28T03:00:00,40.5,35.5,36.2,84.44,0.004,100,rain,0,0,10.3,7.6,347.4,1014,100,14.8,0,,0,10,"Rain, Overcast",rain,remote
"37.4,116.3",2022-11-28T04:00:00,40.2,34.6,35.3,82.63,0.008,100,rain,0,0,12.1,8.5,348.5,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.4,116.3",2022-11-28T05:00:00,39.8,34.6,34.6,81.43,0.004,100,rain,0,0,12.1,7.6,6.9,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.4,116.3",2022-11-28T06:00:00,40.2,35.7,34.6,80.3,0,0,,0,0,9.8,6.5,1.5,1014,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,116.3",2022-11-28T07:00:00,40.7,37.2,35,79.77,0,0,,0,0,8.3,5.1,8.9,1014,100,15,0,,0,10,Overcast,cloudy,remote
"37.4,116.3",2022-11-28T08:00:00,41.3,36.1,35,78.12,0,0,,0,0,12.3,8.1,343.9,1015,100,15,5,0,0,10,Overcast,cloudy,remote
"37.4,116.3",2022-11-28T09:00:00,42.2,37.3,34.1,72.8,0,0,,0,0,12.8,7.8,0.2,1016,100,15,40,0.1,0,10,Overcast,cloudy,
"37.4,116.3",2022-11-28T10:00:00,44.3,39.6,33.7,66.07,0,0,,0,0,12.1,8.5,357.1,1016,100,15,119,0.4,1,10,Overcast,cloudy,
"37.4,116.3",2022-11-28T11:00:00,48.1,44.3,34.1,58.1,0,0,,0,0,11.2,8.5,1.6,1017,100,15,397,1.4,4,10,Overcast,cloudy,
"37.4,116.3",2022-11-28T12:00:00,50.4,50.4,34.6,54.41,0,0,,0,0,11.4,8.9,345.3,1017,77.2,15,435,1.6,4,10,Partially cloudy,partly-cloudy-day,
"37.4,116.3",2022-11-28T13:00:00,51.9,51.9,34.2,50.85,0,0,,0,0,14.8,11.6,349,1016,100,15,425,1.5,4,10,Overcast,cloudy,
"37.4,116.3",2022-11-28T14:00:00,52.8,52.8,34.6,49.9,0,0,,0,0,14.5,11.9,341.3,1017,100,15,359,1.3,4,10,Overcast,cloudy,
"37.4,116.3",2022-11-28T15:00:00,52.4,52.4,35.3,52.04,0,0,,0,0,15,11,351.5,1018,100,15,215,0.8,2,10,Overcast,cloudy,
"37.4,116.3",2022-11-28T16:00:00,51.7,51.7,36.4,55.77,0,0,,0,0,15.7,9.4,345.2,1019,100,15,129,0.5,1,10,Overcast,cloudy,
"37.4,116.3",2022-11-28T17:00:00,48.6,45.5,36.6,62.93,0,0,,0,0,12.1,7.2,348.6,1019,100,15,32,0.1,0,10,Overcast,cloudy,
"37.4,116.3",2022-11-28T18:00:00,48.8,47.2,36.2,61.62,0,0,,0,0,6.7,4.5,5,1019,100,15,0,,0,10,Overcast,cloudy,
