name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.48,116.3",2022-07-01T00:00:00,75.8,75.8,68.4,77.92,0,0,,0,0,1.6,1.6,201.4,1006,75.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.48,116.3",2022-07-01T01:00:00,75.3,75.3,68.3,78.85,0,0,,0,0,2.2,2.2,215.1,1006,99.8,15,0,,0,10,Overcast,cloudy,remote
"37.48,116.3",2022-07-01T02:00:00,70.8,70.8,69.8,96.56,0,0,,0,0,20.4,1.9,280,1006.7,100,0.9,0,,0,10,Overcast,fog,"54715099999,54618099999"
"37.48,116.3",2022-07-01T03:00:00,74.4,74.4,68.1,80.75,0,0,,0,0,2.2,2.2,232.6,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.48,116.3",2022-07-01T04:00:00,73.8,73.8,67.9,81.72,0,0,,0,0,3.1,3.1,256.7,1006,99.6,15,0,,0,10,Overcast,cloudy,remote
"37.48,116.3",2022-07-01T05:00:00,70.7,70.7,69.7,96.81,0.003,100,rain,0,0,14.7,1.9,330,1007,14.7,0.7,0,,0,10,"Rain, Fog",rain,"54715099999,54618099999"
"37.48,116.3",2022-07-01T06:00:00,74.7,74.7,68.1,79.79,0,0,,0,0,2.9,2.5,269.2,1007,5,15,40,0.1,0,10,Clear,clear-day,remote
"37.48,116.3",2022-07-01T07:00:00,77.4,77.4,67.7,72.04,0,0,,0,0,3.4,3.4,297.8,1007,5,15,196,0.7,2,10,Clear,clear-day,remote
"37.48,116.3",2022-07-01T08:00:00,76.9,76.9,72.1,85.13,0,0,,0,0,4.8,2.6,169,1008.3,5,2,384,1.4,4,10,Clear,clear-day,"54715099999,54618099999"
"37.48,116.3",2022-07-01T09:00:00,82.8,84.9,65.7,56.38,0,0,,0,0,4.5,4.5,345,1008,5,15,567,2,6,10,Clear,clear-day,remote
"37.48,116.3",2022-07-01T10:00:00,85.4,87.3,65.4,51.35,0,0,,0,0,3.6,4,355.8,1007,3.5,15,727,2.6,7,10,Clear,clear-day,remote
"37.48,116.3",2022-07-01T11:00:00,83.8,87.7,69.4,62.01,0,0,,0,0,8.9,2.6,42,1008.4,4.9,10.4,849,3.1,8,10,Clear,clear-day,"54715099999,54618099999"
"37.48,116.3",2022-07-01T12:00:00,90.4,92.2,64.5,42.42,0,0,,0,0,3.4,2.9,351.6,1007,23.4,15,921,3.3,9,10,Partially cloudy,partly-cloudy-day,remote
"37.48,116.3",2022-07-01T13:00:00,92.2,93.8,63.9,39.35,0,0,,0,0,3.1,1.8,346.4,1006,46.1,15,937,3.4,9,10,Partially cloudy,partly-cloudy-day,remote
"37.48,116.3",2022-07-01T14:00:00,89,95.2,71,55.39,0,0,,0,0,8.9,2.6,227,1007.1,43.4,16.1,895,3.2,9,10,Partially cloudy,partly-cloudy-day,"54715099999,54618099999"
"37.48,116.3",2022-07-01T15:00:00,93.6,94.9,62.9,36.23,0,0,,0,0,3.8,1.3,313.9,1005,41.6,15,806,2.9,8,10,Partially cloudy,partly-cloudy-day,remote
"37.48,116.3",2022-07-01T16:00:00,93.5,94.2,62,35.3,0,0,,0,0,4.3,2.2,10,1005,23.5,15,666,2.4,7,10,Partially cloudy,partly-cloudy-day,remote
"37.48,116.3",2022-07-01T17:00:00,90.9,94.5,67.3,46.15,0,0,,0,0,8.9,2.6,253,1005.6,71.9,15.5,490,1.8,5,10,Partially cloudy,partly-cloudy-day,"54715099999,54618099999"
