name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.85,117.22",2022-07-01T00:00:00,74.9,74.9,70.4,85.92,0,0,,0,0,8.5,4.9,179.7,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.85,117.22",2022-07-01T01:00:00,74.9,74.9,70.4,85.92,0,0,,0,0,7.6,4.5,198.4,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.85,117.22",2022-07-01T02:00:00,72,72,71.3,97.86,0.003,100,rain,0,0,20.9,0,263.5,1006.8,100,2.5,0,,0,10,"Rain, Overcast",rain,"54725099999,54618099999"
"37.85,117.22",2022-07-01T03:00:00,74.6,74.6,69.5,84.33,0,0,,0,0,8.3,4,261.5,1006,67,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.85,117.22",2022-07-01T04:00:00,74,74,69,84.3,0,0,,0,0,4.5,3.4,238.9,1006,89.6,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.85,117.22",2022-07-01T05:00:00,71.9,71.9,71.4,98.49,0,0,,0,0,16.2,0,190,1007.2,97.3,1.6,0,,0,10,Overcast,cloudy,"54725099999,54618099999"
"37.85,117.22",2022-07-01T06:00:00,75.1,75.1,68.1,78.83,0,0,,0,0,2,1.6,194.5,1007,79.8,15,44,0.2,0,10,Partially cloudy,partly-cloudy-day,remote
"37.85,117.22",2022-07-01T07:00:00,76.9,76.9,67.4,72.43,0,0,,0,0,2.5,2.9,195.5,1007,69.4,15,195,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
"37.85,117.22",2022-07-01T08:00:00,77.2,77.2,73.5,88.43,0,0,,0,0,9.6,3,316,1008.3,5,3.7,383,1.4,4,10,Clear,clear-day,"54725099999,54618099999"
"37.85,117.22",2022-07-01T09:00:00,81.8,84,66.1,59.13,0,0,,0,0,2.5,3.1,186.6,1008,5,15,577,2.1,6,10,Clear,clear-day,remote
"37.85,117.22",2022-07-01T10:00:00,84.3,86.5,65.9,54.16,0,0,,0,0,2.5,2.9,181,1008,5,15,734,2.6,7,10,Clear,clear-day,remote
"37.85,117.22",2022-07-01T11:00:00,84.4,90.4,72.3,67.17,0,0,,0,0,10.4,3,350,1008.5,5,11,853,3.1,9,10,Clear,clear-day,"54725099999,54618099999"
"37.85,117.22",2022-07-01T12:00:00,88.6,90.6,65.2,46.03,0,0,,0,0,2.2,2.7,154.9,1007,5,15,923,3.3,9,10,Clear,clear-day,remote
"37.85,117.22",2022-07-01T13:00:00,89.9,91.7,64.7,43.42,0,0,,0,0,2.9,4,172.5,1006,35.9,15,936,3.4,9,10,Partially cloudy,partly-cloudy-day,remote
"37.85,117.22",2022-07-01T14:00:00,87.6,93.7,71.2,58.33,0,0,,0,0,8.9,4.5,150,1007.3,64.8,16.3,887,3.2,9,10,Partially cloudy,partly-cloudy-day,"54725099999,54618099999"
"37.85,117.22",2022-07-01T15:00:00,90.9,92.2,63.4,40.16,0,0,,0,0,2.7,3.1,212.8,1006,88.7,15,664,2.4,7,10,Partially cloudy,partly-cloudy-day,remote
"37.85,117.22",2022-07-01T16:00:00,89.5,90.5,63.1,41.49,0,0,,0,0,2.9,2.7,323.1,1006,91.7,15,292,1.1,3,10,Overcast,cloudy,remote
"37.85,117.22",2022-07-01T17:00:00,89.7,95.3,70.2,52.85,0,0,,0,0,8.9,1.6,30,1006,76.7,16.3,142,0.5,1,10,Partially cloudy,partly-cloudy-day,"54725099999,54618099999"
"37.85,117.22",2022-07-01T18:00:00,87.2,89,65,47.88,0,0,,0,0,5.6,6.3,34.5,1005,2.1,15,156,0.6,2,10,Clear,clear-day,remote
"37.85,117.22",2022-07-01T19:00:00,85.9,88.4,66.3,52.07,0,0,,0,0,8.3,5.6,49,1006,0.5,15,121,0.4,1,10,Clear,clear-day,remote
"37.85,117.22",2022-07-01T20:00:00,81.7,87.5,74,77.71,0,0,,0,0,10.5,1.6,80,1007,0,11.7,10,0,0,10,Clear,clear-night,"54725099999,54618099999"
"37.85,117.22",2022-07-01T21:00:00,81.2,84.2,68.4,65.23,0,0,,0,0,8.9,5.8,69.8,1007,0,15,0,,0,30,Clear,clear-night,remote
"37.85,117.22",2022-07-01T22:00:00,80.1,82.9,68.6,67.99,0,0,,0,0,7.4,5.1,76,1007,0.2,15,0,,0,30,Clear,clear-night,remote
"37.85,117.22",2022-07-01T23:00:00,78.2,78.2,72.8,83.53,0,0,,0,0,13.4,4.5,100,1008.8,4.3,3.7,0,,0,30,Clear,clear-night,54618099999
"37.85,117.22",2022-07-02T00:00:00,79.6,79.6,68.8,69.63,0,0,,0,0,4,3.8,109.6,1008,5.9,15,0,,0,30,Clear,clear-night,remote
"37.85,117.22",2022-07-02T01:00:00,79.2,79.2,68.4,69.59,0,0,,0,0,4,4,133.9,1007,15.9,15,0,,0,10,Clear,clear-night,remote
