name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.7,116.9",2022-11-28T00:00:00,42,36.5,39.8,91.98,0.028,100,rain,0,0,13.9,9.2,345.2,1014,100,9.9,0,,0,10,"Rain, Overcast",rain,remote
"37.7,116.9",2022-11-28T01:00:00,42.2,37.5,39.5,90.08,0.008,100,rain,0,0,11.6,7.4,357.8,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.7,116.9",2022-11-28T02:00:00,42.3,37.9,39.6,90.08,0.024,100,rain,0,0,10.3,7.2,339.1,1013,100,5.2,0,,0,10,"Rain, Overcast",rain,remote
"37.7,116.9",2022-11-28T03:00:00,42.2,37,39.8,91.35,0.043,100,rain,0,0,12.1,8.5,346.1,1013,100,14.9,0,,0,10,"Rain, Overcast",rain,remote
"37.7,116.9",2022-11-28T04:00:00,41.6,36.2,38.9,90.05,0.012,100,rain,0,0,12.3,8.7,354.5,1013,100,7.8,0,,0,10,"Rain, Overcast",rain,remote
"37.7,116.9",2022-11-28T05:00:00,41.1,35.4,38.4,90.03,0.024,100,rain,0,0,13.2,9.2,352.7,1013,100,14.4,0,,0,10,"Rain, Overcast",rain,remote
"37.7,116.9",2022-11-28T06:00:00,41.1,35.4,38,88.77,0.004,100,rain,0,0,12.5,9.2,335.4,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.7,116.9",2022-11-28T07:00:00,41.3,36.8,38.2,88.78,0.008,100,rain,0,0,11,6.7,13.1,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.7,116.9",2022-11-28T08:00:00,42.2,38.2,38.9,88.2,0.004,100,rain,0,0,9.4,6.3,345.1,1015,100,15,2,0,0,10,"Rain, Overcast",rain,remote
"37.7,116.9",2022-11-28T09:00:00,42.7,37.1,39.1,87,0,0,,0,0,14.8,9.8,337,1016,100,15,13,0,0,10,Overcast,cloudy,
"37.7,116.9",2022-11-28T10:00:00,42.9,38.3,39.3,87.01,0,0,,0,0,11.9,7.6,356.5,1016,100,15,14,0.1,0,10,Overcast,cloudy,
"37.7,116.9",2022-11-28T11:00:00,44.1,39.5,39.8,84.67,0,0,,0,0,11.4,8.3,346.8,1016,100,15,53,0.2,1,10,Overcast,cloudy,
"37.7,116.9",2022-11-28T12:00:00,45.2,41,40.5,83.57,0,0,,0,0,10.1,7.8,346.8,1016,100,15,71,0.3,1,10,Overcast,cloudy,
"37.7,116.9",2022-11-28T13:00:00,46.3,42.3,40.9,81.35,0,0,,0,0,10.5,7.8,356.9,1016,100,15,92,0.3,1,10,Overcast,cloudy,
"37.7,116.9",2022-11-28T14:00:00,48.5,44.6,41.4,76.58,0,0,,0,0,12.8,8.7,1,1016,100,15,180,0.6,2,10,Overcast,cloudy,
"37.7,116.9",2022-11-28T15:00:00,50.4,50.4,40.9,69.67,0,0,,0,0,13.6,8.1,345.3,1018,100,15,196,0.7,2,10,Overcast,cloudy,
"37.7,116.9",2022-11-28T16:00:00,50.4,50.4,40.2,67.75,0,0,,0,0,14.5,7.6,357.6,1018,100,15,115,0.4,1,10,Overcast,cloudy,
"37.7,116.9",2022-11-28T17:00:00,47.7,45.6,38.7,70.84,0,0,,0,0,4.9,4.9,346.7,1019,100,15,27,0.1,0,10,Overcast,cloudy,
"37.7,116.9",2022-11-28T18:00:00,48.1,46.2,36.2,63.31,0,0,,0,0,5.4,4.7,336.4,1019,100,15,0,,0,10,Overcast,cloudy,
"37.7,116.9",2022-11-28T19:00:00,47.9,44.7,31.7,53.25,0,0,,0,0,12.1,6.9,337.6,1020,100,15,0,,0,10,Overcast,cloudy,
"37.7,116.9",2022-11-28T20:00:00,46.3,42.2,28.1,48.89,0,0,,0,0,20.4,8.3,345.7,1020,100,15,0,,0,10,Overcast,cloudy,
"37.7,116.9",2022-11-28T21:00:00,43.8,36.3,10.5,25.31,0,0,,0,0,30.9,16.3,4.9,1022,100,15,0,,0,10,Overcast,cloudy,
"37.7,116.9",2022-11-28T22:00:00,41.8,33.1,3.8,20.2,0,0,,0,0,34.7,19,5.1,1023,100,15,0,,0,10,Overcast,cloudy,
"37.7,116.9",2022-11-28T23:00:00,39.5,30.1,2.2,20.52,0,0,,0,0,32.2,18.8,0.7,1025,100,15,0,,0,10,Overcast,cloudy,
"37.7,116.9",2022-11-29T00:00:00,36.8,25.9,1.3,21.87,0,0,,0,0,35.1,21.3,4.4,1026,1.3,15,0,,0,10,Clear,clear-night,
"37.7,116.9",2022-11-29T01:00:00,33.7,22,-0.5,22.7,0,0,,0,0,36.9,20.8,6.1,1027,0,15,0,,0,10,Clear,clear-night,
"37.7,116.9",2022-11-29T02:00:00,31.5,19.8,-0.9,24.35,0,0,,0,0,36.7,18.8,9.7,1028,0,15,0,,0,10,Clear,clear-night,
"37.7,116.9",2022-11-29T03:00:00,30.3,18.5,-0.1,26.5,0,0,,0,0,34.9,17.7,3,1029,0,15,0,,0,10,Clear,clear-night,
"37.7,116.9",2022-11-29T04:00:00,29.2,17.1,0.2,28.17,0,0,,0,0,34.9,17.7,7.8,1029,0,15,0,,0,10,Clear,clear-night,
"37.7,116.9",2022-11-29T05:00:00,28.5,17,1.3,30.51,0,0,,0,0,29.1,15.2,12.5,1031,0,15,0,,0,10,Clear,clear-night,
"37.7,116.9",2022-11-29T06:00:00,27.2,14.6,0.2,30.55,0,0,,0,0,32.7,17.4,14.1,1031,0,15,0,,0,10,Clear,clear-night,
"37.7,116.9",2022-11-29T07:00:00,26.1,13.5,-1.8,29.1,0,0,,0,0,32.7,16.6,12.8,1033,17.6,15,0,,0,10,Clear,clear-night,
"37.7,116.9",2022-11-29T08:00:00,26.5,14.1,-1.9,28.42,0,0,,0,0,31.1,16.1,13.8,1034,0,15,34,0.1,0,10,Clear,clear-day,
"37.7,116.9",2022-11-29T09:00:00,27.9,15.2,-3.9,24.38,0,0,,0,0,30.4,18.3,14.8,1035,5,15,188,0.7,2,10,Clear,clear-day,
"37.7,116.9",2022-11-29T10:00:00,29.9,17.8,-4.5,21.91,0,0,,0,0,25.9,18.3,11.8,1036,100,15,344,1.2,3,10,Overcast,cloudy,
"37.7,116.9",2022-11-29T11:00:00,31.2,19.4,-5.4,19.94,0,0,,0,0,23.9,18.3,5.9,1036,100,15,409,1.5,4,10,Overcast,cloudy,
"37.7,116.9",2022-11-29T12:00:00,31.4,19.2,-6.6,18.62,0,0,,0,0,25.5,19.9,0.7,1036,100,15,383,1.4,4,10,Overcast,cloudy,
"37.7,116.9",2022-11-29T13:00:00,30.3,17.3,-12.2,14.79,0,0,,0,0,25.3,21.5,360,1036,100,15,334,1.2,3,10,Overcast,cloudy,
"37.7,116.9",2022-11-29T14:00:00,29.6,16.5,-14.5,13.54,0,0,,0,0,24.2,21,359.6,1036,100,15,374,1.3,4,10,Overcast,cloudy,
"37.7,116.9",2022-11-29T15:00:00,29,16.8,-15.1,13.47,0,0,,0,0,22.1,17.9,3.3,1037,81,15,295,1.1,3,10,Partially cloudy,partly-cloudy-day,
"37.7,116.9",2022-11-29T16:00:00,28.5,17.1,-12.4,15.77,0,0,,0,0,22.8,15,7.2,1037,0.6,15,172,0.6,2,10,Clear,clear-day,
"37.7,116.9",2022-11-29T17:00:00,24.9,11.8,-15.6,15.55,0,0,,0,0,25.3,16.8,9.7,1038,0,15,35,0.1,0,10,Clear,clear-night,
"37.7,116.9",2022-11-29T18:00:00,23.1,9.5,-17.1,15.58,0,0,,0,0,27.5,16.8,9,1040,1.7,15,0,,0,10,Clear,clear-night,
