name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.08,116.89",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,2.7,2.2,123.9,1006,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"37.08,116.89",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.4,0,270.2,1006,90,2.5,0,,0,5,Partially cloudy,partly-cloudy-night,57993199999
"37.08,116.89",2022-07-01T02:00:00,71.5,71.5,70.6,96.81,0.001,100,rain,0,0,19.3,1.3,204,1006.7,0,1.5,0,,0,3,Rain,rain,"57993199999,54715099999,54725099999,54823099999"
"37.08,116.89",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,,0,0,6.5,2.2,294.3,1006,0,1.2,0,,0,3,Clear,clear-night,57993199999
"37.08,116.89",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,4.5,0,285.4,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.08,116.89",2022-07-01T05:00:00,70.3,70.3,70,98.73,0.003,100,rain,0,0,16.7,2,330,1007,0,1.1,0,,0,10,Rain,rain,"57993199999,54715099999,54725099999"
"37.08,116.89",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,5.4,4.5,10,1007,0,1.2,41,0.1,0,10,Clear,clear-day,57993199999
"37.08,116.89",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.6,2.2,201.5,1007,0,1.2,199,0.7,2,10,Clear,clear-day,57993199999
"37.08,116.89",2022-07-01T08:00:00,75.2,75.2,72.8,92.2,0,0,,0,0,6,2.2,208,1008.3,50,2.2,388,1.4,4,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999"
"37.08,116.89",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,1.6,2.2,188.2,1008,50,1.9,571,2.1,6,10,Partially cloudy,partly-cloudy-day,57993199999
"37.08,116.89",2022-07-01T10:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,1.3,2.2,87.3,1008,30,2.5,730,2.6,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.08,116.89",2022-07-01T11:00:00,83.1,88.7,72.5,70.38,0,0,,0,0,9.5,2.2,36,1008.4,50,6.8,854,3.1,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999"
"37.08,116.89",2022-07-01T12:00:00,86.1,93.7,73.5,66.19,0,0,,0,0,3.1,4.5,188.2,1007,30,6.2,927,3.3,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.08,116.89",2022-07-01T13:00:00,87.9,98,75.3,66.39,0,0,,0,0,3.8,2.2,201.8,1006,30,6.2,940,3.4,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.08,116.89",2022-07-01T14:00:00,89.3,96.6,72.2,57.16,0,0,,0,0,8.9,4.6,247,1007.1,30,11.7,897,3.2,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999"
"37.08,116.89",2022-07-01T15:00:00,89.7,96.6,71.7,55.58,0,0,,0,0,7.6,4.5,309.4,1005,50,6.2,745,2.7,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.08,116.89",2022-07-01T16:00:00,93.3,103.1,73.5,52.78,0,0,,0,0,7.8,2.2,326.4,1005,50,6.2,659,2.4,7,10,Partially cloudy,partly-cloudy-day,57993199999
