name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.05,115.88",2022-11-28T00:00:00,39.3,33.8,36,88.05,0.016,100,rain,0,0,12.5,7.8,21,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.05,115.88",2022-11-28T01:00:00,39.8,34.7,36.4,87.46,0.016,100,rain,0,0,11,7.4,342.9,1013,100,10.7,0,,0,10,"Rain, Overcast",rain,remote
"37.05,115.88",2022-11-28T02:00:00,40.2,35.4,36.9,88.1,0.028,100,rain,0,0,10.1,6.9,336.3,1014,100,10.1,0,,0,10,"Rain, Overcast",rain,remote
"37.05,115.88",2022-11-28T03:00:00,40.5,35.8,37.3,88.12,0.016,100,rain,0,0,9.6,6.9,338.9,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.05,115.88",2022-11-28T04:00:00,40.7,35.8,37.3,87.51,0.004,100,rain,0,0,11,7.4,8.2,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.05,115.88",2022-11-28T05:00:00,41.1,35.7,36.6,83.88,0.004,100,rain,0,0,13,8.5,348.2,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.05,115.88",2022-11-28T06:00:00,41.1,36.1,35.5,80.37,0.004,100,rain,0,0,12.3,7.6,2.6,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.05,115.88",2022-11-28T07:00:00,41.3,36.7,35.3,79.25,0,0,,0,0,11.9,6.9,11.7,1014,100,15,0,,0,10,Overcast,cloudy,remote
"37.05,115.88",2022-11-28T08:00:00,41.6,37,35.5,78.72,0,0,,0,0,12.3,7.2,0.6,1015,100,15,11,0,0,10,Overcast,cloudy,remote
"37.05,115.88",2022-11-28T09:00:00,42.9,37.6,35.1,73.93,0,0,,0,0,14.5,9.2,358.5,1016,100,15,54,0.2,1,10,Overcast,cloudy,
"37.05,115.88",2022-11-28T10:00:00,45.2,40.3,35,67.13,0,0,,0,0,13.9,9.6,2.9,1016,100,15,161,0.6,2,10,Overcast,cloudy,
"37.05,115.88",2022-11-28T11:00:00,48.5,44.4,34.2,57.74,0,0,,0,0,13,9.4,357.4,1017,100,15,395,1.4,4,10,Overcast,cloudy,
"37.05,115.88",2022-11-28T12:00:00,50.3,50.3,33,51.34,0,0,,0,0,15.9,11.9,354.6,1016,100,15,374,1.3,4,10,Overcast,cloudy,
"37.05,115.88",2022-11-28T13:00:00,51.2,51.2,31.5,46.86,0,0,,0,0,17.4,13,355.6,1016,99.8,15,340,1.2,3,10,Overcast,cloudy,
"37.05,115.88",2022-11-28T14:00:00,52.4,52.4,30.6,43.13,0,0,,0,0,17,12.3,345,1018,100,15,410,1.5,4,10,Overcast,cloudy,
"37.05,115.88",2022-11-28T15:00:00,53,53,29.4,40.17,0,0,,0,0,20.4,13.9,353.9,1017,100,15,277,1,3,10,Overcast,cloudy,
"37.05,115.88",2022-11-28T16:00:00,52.6,52.6,31.5,44.44,0,0,,0,0,18.1,10.7,344.9,1019,93.4,15,144,0.5,1,10,Overcast,cloudy,
"37.05,115.88",2022-11-28T17:00:00,49.5,46.3,33,52.73,0,0,,0,0,16.3,7.8,2,1019,100,15,36,0.1,0,10,Overcast,cloudy,
