name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.22,115.99",2022-07-01T00:00:00,74.9,74.9,68.4,80.3,0,0,,0,0,1.6,1.3,113.7,1006,17.2,15,0,,0,10,Clear,clear-night,remote
"37.22,115.99",2022-07-01T01:00:00,74.7,74.7,68.4,80.78,0,0,,0,0,2.7,2.5,233.7,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.22,115.99",2022-07-01T02:00:00,70.4,70.4,69.5,96.98,0,0,,0,0,20.1,2.2,280,1006.7,100,0.6,0,,0,10,Overcast,fog,54715099999
"37.22,115.99",2022-07-01T03:00:00,73.8,73.8,68.1,82.23,0,0,,0,0,2.2,2,231.5,1006,56.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.22,115.99",2022-07-01T04:00:00,73.1,73.1,67.7,83.21,0,0,,0,0,2.5,2.5,276,1006,5,15,0,,0,10,Clear,clear-night,remote
"37.22,115.99",2022-07-01T05:00:00,70.4,70.4,69.5,96.98,0.004,100,rain,0,0,15.7,2.2,330,1006.9,4.8,0.6,0,,0,10,"Rain, Fog",rain,54715099999
"37.22,115.99",2022-07-01T06:00:00,74.4,74.4,67.6,79.27,0,0,,0,0,1.6,1.1,298.4,1007,4,15,38,0.1,0,3,Clear,clear-day,remote
"37.22,115.99",2022-07-01T07:00:00,77.1,77.1,67,71.11,0,0,,0,0,2.5,2.5,318.6,1007,2.6,15,193,0.7,2,10,Clear,clear-day,remote
"37.22,115.99",2022-07-01T08:00:00,76.7,76.7,71.9,84.98,0,0,,0,0,4.5,2.2,190,1008.3,0.3,1.9,382,1.4,4,10,Clear,clear-day,54715099999
"37.22,115.99",2022-07-01T09:00:00,83,85.1,65.7,56.06,0,0,,0,0,5.6,5.1,355.9,1008,0,15,565,2,6,10,Clear,clear-day,remote
"37.22,115.99",2022-07-01T10:00:00,85.6,87.4,65.2,50.73,0,0,,0,0,4.7,5.1,13.6,1007,0,15,726,2.6,7,10,Clear,clear-day,remote
"37.22,115.99",2022-07-01T11:00:00,83.6,87.3,69.2,61.98,0,0,,0,0,8.9,2.2,50,1008.4,1.1,9.9,849,3.1,8,10,Clear,clear-day,54715099999
"37.22,115.99",2022-07-01T12:00:00,90.6,92.3,64.3,41.92,0,0,,0,0,4.3,3.6,355.9,1007,13.4,15,923,3.3,9,10,Clear,clear-day,remote
"37.22,115.99",2022-07-01T13:00:00,92.6,94.1,63.8,38.67,0,0,,0,0,3.6,2.7,354.7,1006,10.4,15,940,3.4,9,10,Clear,clear-day,remote
"37.22,115.99",2022-07-01T14:00:00,89.3,95.5,71,54.85,0,0,,0,0,8.9,2.2,240,1007.1,17.8,16.2,903,3.3,9,10,Clear,clear-day,54715099999
"37.22,115.99",2022-07-01T15:00:00,93.6,94.9,62.9,36.23,0,0,,0,0,4.7,3.4,276,1005,18.1,15,811,2.9,8,10,Clear,clear-day,remote
"37.22,115.99",2022-07-01T16:00:00,93.3,94.1,62.1,35.72,0,0,,0,0,4.5,4.3,259.6,1005,14.5,15,675,2.4,7,10,Clear,clear-day,remote
"37.22,115.99",2022-07-01T17:00:00,91.1,94.4,66.8,44.99,0,0,,0,0,8.9,2.2,230,1005.6,21.4,15.5,507,1.8,5,10,Partially cloudy,partly-cloudy-day,54715099999
"37.22,115.99",2022-07-01T18:00:00,91.8,92.3,61.8,36.88,0,0,,0,0,2.9,4.5,243.9,1005,62.5,15,311,1.1,3,10,Partially cloudy,partly-cloudy-day,remote
"37.22,115.99",2022-07-01T19:00:00,90.1,91,63.1,40.79,0,0,,0,0,5.1,4,244.4,1005,43.7,15,110,0.4,1,10,Partially cloudy,partly-cloudy-day,remote
"37.22,115.99",2022-07-01T20:00:00,83.9,89.4,71.9,67.16,0,0,,0,0,8.9,2.2,30,1006.4,25.7,9.3,10,0,0,10,Partially cloudy,partly-cloudy-night,54715099999
"37.22,115.99",2022-07-01T21:00:00,85.6,86.7,63.6,47.94,0,0,,0,0,3.1,3.1,25.1,1006,0,15,0,,0,10,Clear,clear-night,remote
"37.22,115.99",2022-07-01T22:00:00,83.2,84.9,64.7,53.68,0,0,,0,0,6.3,5.1,79.8,1007,0,15,0,,0,10,Clear,clear-night,remote
"37.22,115.99",2022-07-01T23:00:00,81.6,83.5,65.2,57.64,0,0,,0,0,9.2,6,111.1,1008,0,15,0,,0,10,Clear,clear-night,remote
"37.22,115.99",2022-07-02T00:00:00,81.1,82.9,65.2,58.66,0,0,,0,0,9.8,5.8,109.8,1007,0,15,0,,0,3,Clear,clear-night,remote
"37.22,115.99",2022-07-02T01:00:00,80.3,82.2,65.2,60.06,0,0,,0,0,10.1,5.8,113,1007,0,15,0,,0,3,Clear,clear-night,remote
"37.22,115.99",2022-07-02T02:00:00,75.5,75.5,72.6,90.79,0,0,,0,0,8.9,2.2,40,1007.3,0,3.1,0,,0,3,Clear,clear-night,54715099999
"37.22,115.99",2022-07-02T03:00:00,78.7,78.7,65.2,63.33,0,0,,0,0,4.3,4.3,115.2,1007,0,15,0,,0,3,Clear,clear-night,remote
"37.22,115.99",2022-07-02T04:00:00,78,78,65.2,64.85,0,0,,0,0,4.3,4,113.2,1007,0,15,0,,0,5,Clear,clear-night,remote
"37.22,115.99",2022-07-02T05:00:00,74,74,72.2,94.12,0,0,,0,0,6.7,2.2,150,1007.8,0,1.2,0,,0,10,Clear,clear-day,54715099999
"37.22,115.99",2022-07-02T06:00:00,78.7,78.7,66.3,65.75,0,0,,0,0,4.9,3.6,75.4,1008,0,15,38,0.1,0,5,Clear,clear-day,remote
"37.22,115.99",2022-07-02T07:00:00,81.9,84.1,66.1,58.78,0,0,,0,0,5.4,4.7,82.1,1008,4.7,15,194,0.7,2,3,Clear,clear-day,remote
"37.22,115.99",2022-07-02T08:00:00,82.7,88.5,73.1,72.99,0,0,,0,0,11.2,4.5,120,1008.2,29,3.1,383,1.4,4,10,Partially cloudy,partly-cloudy-day,54715099999
"37.22,115.99",2022-07-02T09:00:00,88.4,91.1,66.3,48.06,0,0,,0,0,5.1,5.8,109.6,1007,98.4,15,564,2,6,10,Overcast,cloudy,remote
"37.22,115.99",2022-07-02T10:00:00,90.9,93.5,65.7,43.58,0,0,,0,0,3.6,4.9,90.4,1007,4.1,15,685,2.5,7,10,Clear,clear-day,remote
"37.22,115.99",2022-07-02T11:00:00,92.4,98.3,69.9,48.04,0,0,,0,0,11.2,4.5,180,1007.8,5,12.4,849,3.1,8,10,Clear,clear-day,54715099999
"37.22,115.99",2022-07-02T12:00:00,95.8,98.8,65.2,36.79,0,0,,0,0,4.9,4.9,99.4,1006,87.1,15,921,3.3,9,10,Partially cloudy,partly-cloudy-day,remote
"37.22,115.99",2022-07-02T13:00:00,97.2,100.2,64.8,34.76,0,0,,0,0,5.4,5.1,84,1005,73.5,15,858,3.1,9,10,Partially cloudy,partly-cloudy-day,remote
"37.22,115.99",2022-07-02T14:00:00,94.7,102.5,71.3,46.93,0,0,,0,0,11.2,2.2,80,1005.7,98.3,9.9,688,2.5,7,10,Overcast,cloudy,54715099999
"37.22,115.99",2022-07-02T15:00:00,95.8,99,65.6,37.25,0,0,rain,0,0,5.1,3.6,141.8,1005,96.8,14.1,650,2.3,7,10,Overcast,cloudy,remote
"37.22,115.99",2022-07-02T16:00:00,94,97.5,66.5,40.62,0,0,,0,0,5.8,2.7,155.7,1004,100,15,219,0.8,2,10,Overcast,cloudy,remote
"37.22,115.99",2022-07-02T17:00:00,94.4,101.2,70.4,46.03,0,0,,0,0,13.4,8.9,110,1003.8,100,11.2,168,0.6,2,10,Overcast,cloudy,54715099999
"37.22,115.99",2022-07-02T18:00:00,91.8,96.3,68.3,46.22,0,0,,0,0,9.6,6,166.2,1004,99.8,15,118,0.4,1,10,Overcast,cloudy,remote
"37.22,115.99",2022-07-02T19:00:00,89,93.9,69.5,52.82,0,0,,0,0,9.2,5.6,183.9,1004,100,15,69,0.2,1,30,Overcast,cloudy,remote
"37.22,115.99",2022-07-02T20:00:00,79.8,79.8,73.5,81.14,0,0,,0,0,22.4,15.7,230,1006.1,100,5.6,7,0,0,10,Overcast,cloudy,54715099999
"37.22,115.99",2022-07-02T21:00:00,88.1,91.7,67.9,51.41,0,0,,0,0,3.8,3.6,145.6,1005,100,15,0,,0,10,Overcast,cloudy,remote
"37.22,115.99",2022-07-02T22:00:00,86.8,90,67.6,52.85,0,0,,0,0,7.2,5.6,156.5,1005,100,15,0,,0,10,Overcast,cloudy,remote
"37.22,115.99",2022-07-02T23:00:00,84.6,87.8,67.7,56.98,0.004,100,rain,0,0,7.4,5.8,158.7,1005,100,8.2,0,,0,10,"Rain, Overcast",rain,remote
"37.22,115.99",2022-07-03T00:00:00,79.4,79.4,70.4,74.03,0,0,,0,0,7.6,5.4,200,1006,100,8.4,0,,0,3,Overcast,cloudy,remote
"37.22,115.99",2022-07-03T01:00:00,78.2,78.2,71.1,79.07,0,0,,0,0,7.8,5.1,199.9,1006,97.2,9.7,0,,0,3,Overcast,cloudy,remote
"37.22,115.99",2022-07-03T02:00:00,78.2,78.2,75.3,90.89,0.008,100,rain,0,0,22.4,4.5,120,1005.4,100,2.5,0,,0,3,"Rain, Overcast",rain,54715099999
"37.22,115.99",2022-07-03T03:00:00,78.3,78.3,72.2,81.53,0,0,rain,0,0,16.3,6,231.5,1005,100,4,0,,0,3,Overcast,cloudy,remote
